symbol,date,time,open,high,low,close,volume
EICHERMOT,2017-04-10,15:30:00,25800.00,25800.00,25526.00,25526.00,26128
EICHERMOT,2017-04-11,15:30:00,25570.00,25976.05,25443.65,25840.00,28088
EICHERMOT,2017-04-12,15:30:00,26120.00,26500.00,26020.50,26320.00,71764
EICHERMOT,2017-04-13,15:30:00,26399.90,26425.00,26049.60,26100.00,20638
EICHERMOT,2017-04-17,15:30:00,26120.00,26360.00,26075.00,26076.00,16682
EICHERMOT,2017-04-18,15:30:00,26026.00,26290.00,25450.00,25469.95,36279
EICHERMOT,2017-04-19,15:30:00,25535.00,25722.00,25342.90,25524.00,21919
EICHERMOT,2017-04-20,15:30:00,25450.00,25614.55,25321.10,25500.00,18994
EICHERMOT,2017-04-21,15:30:00,25570.00,25817.45,25525.70,25649.95,23656
EICHERMOT,2017-04-24,15:30:00,25687.00,26200.00,25466.95,25985.00,26113
EICHERMOT,2017-04-25,15:30:00,26260.10,26260.10,25669.05,26057.00,35341
EICHERMOT,2017-04-26,15:30:00,25990.00,26300.00,25870.00,25930.00,25452
EICHERMOT,2017-04-27,15:30:00,25941.15,26281.00,25900.00,25967.00,27779
EICHERMOT,2017-04-28,15:30:00,26000.25,26249.45,25970.00,26150.00,15472
EICHERMOT,2017-05-02,15:30:00,26311.00,26747.90,25336.80,25665.00,63793
EICHERMOT,2017-05-03,15:30:00,25890.00,26057.70,25660.95,25870.05,17717
EICHERMOT,2017-05-04,15:30:00,25998.95,26099.00,25555.00,25824.00,27609
EICHERMOT,2017-05-05,15:30:00,25988.00,26150.00,25561.35,25819.90,42210
EICHERMOT,2017-05-08,15:30:00,26550.15,26964.90,26170.00,26861.00,106506
EICHERMOT,2017-05-09,15:30:00,26985.00,27151.00,26790.00,27097.00,47011
EICHERMOT,2017-05-10,15:30:00,27120.00,27989.00,26912.30,27900.00,69226
EICHERMOT,2017-05-11,15:30:00,27900.00,30051.00,27900.00,29500.00,163545
EICHERMOT,2017-05-12,15:30:00,29570.00,29780.00,28814.75,29149.00,51338
EICHERMOT,2017-05-15,15:30:00,29403.10,29455.00,28831.00,28915.05,20026
EICHERMOT,2017-05-16,15:30:00,28920.45,29450.00,28820.00,29365.95,36189
EICHERMOT,2017-05-17,15:30:00,29262.00,29300.00,28971.35,28982.05,18545
EICHERMOT,2017-05-18,15:30:00,28900.00,28998.85,28213.00,28213.00,30153
EICHERMOT,2017-05-19,15:30:00,28698.00,28698.00,27756.00,27915.00,44251
EICHERMOT,2017-05-22,15:30:00,27936.05,28279.95,27021.50,27111.05,48952
EICHERMOT,2017-05-23,15:30:00,27199.00,27900.00,27120.55,27578.05,68040
EICHERMOT,2017-05-24,15:30:00,27600.00,27757.05,27200.00,27400.00,34680
EICHERMOT,2017-05-25,15:30:00,27430.00,28120.00,27321.05,28118.00,42365
EICHERMOT,2017-05-26,15:30:00,27915.00,28633.50,27915.00,28270.00,30251
EICHERMOT,2017-05-29,15:30:00,28350.70,28495.00,28028.00,28102.00,21765
EICHERMOT,2017-05-30,15:30:00,28235.00,28459.35,27812.05,28207.30,23730
EICHERMOT,2017-05-31,15:30:00,28400.00,28549.00,28227.65,28499.85,42875
EICHERMOT,2017-06-01,15:30:00,28580.00,29019.45,28500.00,28700.00,47476
EICHERMOT,2017-06-02,15:30:00,28970.00,29300.00,28900.00,29151.15,29954
EICHERMOT,2017-06-05,15:30:00,29151.15,29385.00,29151.15,29349.00,16829
EICHERMOT,2017-06-06,15:30:00,29305.00,29388.70,29000.00,29200.00,16978
EICHERMOT,2017-06-07,15:30:00,29195.90,29775.75,29195.90,29722.50,46587
EICHERMOT,2017-06-08,15:30:00,29714.00,30051.00,29436.00,29738.00,30851
EICHERMOT,2017-06-09,15:30:00,29740.00,29854.70,29371.05,29571.25,21623
EICHERMOT,2017-06-12,15:30:00,29602.00,29717.70,29272.60,29317.00,17946
EICHERMOT,2017-06-13,15:30:00,29399.00,29646.60,29000.00,29021.05,26482
EICHERMOT,2017-06-14,15:30:00,29179.00,29216.90,28921.25,28925.65,18257
EICHERMOT,2017-06-15,15:30:00,29000.00,29049.50,28505.00,28780.00,26950
EICHERMOT,2017-06-16,15:30:00,28850.00,28884.85,28578.35,28700.00,42698
EICHERMOT,2017-06-19,15:30:00,28864.00,28864.00,28400.00,28430.00,23669
EICHERMOT,2017-06-20,15:30:00,28624.80,28728.00,27860.00,27898.00,80974
EICHERMOT,2017-06-21,15:30:00,27990.00,27990.00,27300.00,27495.00,70062
EICHERMOT,2017-06-22,15:30:00,27630.00,27993.90,27511.00,27684.00,103364
