symbol,date,time,open,high,low,close,volume
GAIL,2017-04-10,15:30:00,290.30,291.80,287.60,288.80,1873449
GAIL,2017-04-11,15:30:00,289.50,291.00,287.92,288.71,2179360
GAIL,2017-04-12,15:30:00,289.10,291.00,282.80,282.80,3174557
GAIL,2017-04-13,15:30:00,282.82,288.34,282.82,284.55,3893803
GAIL,2017-04-17,15:30:00,285.10,297.30,285.10,297.20,3617563
GAIL,2017-04-18,15:30:00,299.00,302.60,294.60,296.20,6097596
GAIL,2017-04-19,15:30:00,298.05,299.92,291.79,295.46,6239607
GAIL,2017-04-20,15:30:00,296.25,309.00,294.86,303.15,9404009
GAIL,2017-04-21,15:30:00,303.22,306.75,297.94,300.00,3513575
GAIL,2017-04-24,15:30:00,300.75,310.65,299.36,308.92,5421916
GAIL,2017-04-25,15:30:00,311.89,311.92,307.58,308.48,3918107
GAIL,2017-04-26,15:30:00,310.39,315.11,307.05,310.88,4732892
GAIL,2017-04-27,15:30:00,311.20,316.40,308.60,313.50,4335952
GAIL,2017-04-28,15:30:00,314.14,318.38,311.25,317.29,5038416
GAIL,2017-05-02,15:30:00,318.00,323.48,314.44,322.50,2535893
GAIL,2017-05-03,15:30:00,323.10,325.28,317.44,318.75,3008268
GAIL,2017-05-04,15:30:00,320.18,323.10,316.88,320.89,2096561
GAIL,2017-05-05,15:30:00,321.38,321.75,310.24,313.01,5730411
GAIL,2017-05-08,15:30:00,315.60,316.80,310.91,313.88,1706699
GAIL,2017-05-09,15:30:00,314.02,317.25,311.25,316.91,1016656
GAIL,2017-05-10,15:30:00,316.30,317.00,312.20,313.60,1435496
GAIL,2017-05-11,15:30:00,313.50,314.30,303.80,306.50,4255551
GAIL,2017-05-12,15:30:00,306.00,309.40,300.00,309.40,3269531
GAIL,2017-05-15,15:30:00,309.79,311.44,307.50,310.35,1436735
GAIL,2017-05-16,15:30:00,311.85,312.00,307.69,308.25,3246445
GAIL,2017-05-17,15:30:00,308.60,309.70,304.20,306.40,2669473
GAIL,2017-05-18,15:30:00,304.76,306.75,301.12,302.25,2842853
GAIL,2017-05-19,15:30:00,303.00,304.76,297.00,301.01,3797113
GAIL,2017-05-22,15:30:00,303.22,303.22,290.29,291.64,3141716
GAIL,2017-05-23,15:30:00,285.08,289.84,274.12,285.00,13246804
GAIL,2017-05-24,15:30:00,286.50,294.56,281.36,294.00,5401843
GAIL,2017-05-25,15:30:00,294.41,302.96,293.92,297.60,10362380
GAIL,2017-05-26,15:30:00,299.80,302.20,298.50,301.30,2699655
GAIL,2017-05-29,15:30:00,300.00,304.31,296.36,300.38,2842236
GAIL,2017-05-30,15:30:00,298.61,306.41,298.50,304.80,2750557
GAIL,2017-05-31,15:30:00,304.80,313.40,304.80,309.80,10283623
