symbol,date,time,open,high,low,close,volume
HCLTECH,2016-06-28,15:30:00,729.00,737.50,711.15,712.85,2842681
HCLTECH,2016-06-29,15:30:00,715.70,729.95,708.00,728.95,2483234
HCLTECH,2016-06-30,15:30:00,729.20,735.45,726.40,729.70,2396993
HCLTECH,2016-07-01,15:30:00,735.00,736.80,730.00,730.00,1011883
HCLTECH,2016-07-04,15:30:00,735.00,750.00,734.05,747.45,1631809
HCLTECH,2016-07-05,15:30:00,748.00,748.00,732.20,738.30,1867820
HCLTECH,2016-07-07,15:30:00,741.00,741.00,715.75,717.30,3432568
HCLTECH,2016-07-08,15:30:00,715.00,725.75,715.00,722.50,851316
HCLTECH,2016-07-11,15:30:00,722.00,726.60,715.05,718.25,2124375
HCLTECH,2016-07-12,15:30:00,718.00,723.30,716.05,722.35,1614918
HCLTECH,2016-07-13,15:30:00,722.50,724.00,716.60,720.00,3356550
HCLTECH,2016-07-14,15:30:00,721.50,729.90,719.60,729.50,1084386
HCLTECH,2016-07-15,15:30:00,732.90,740.00,710.25,715.45,2967531
HCLTECH,2016-07-18,15:30:00,722.20,724.70,715.00,723.70,928673
HCLTECH,2016-07-19,15:30:00,717.75,731.70,717.75,731.00,1734756
HCLTECH,2016-07-20,15:30:00,724.90,731.90,716.60,730.90,1222225
HCLTECH,2016-07-21,15:30:00,730.00,730.90,720.15,725.00,885024
HCLTECH,2016-07-22,15:30:00,725.00,730.00,721.60,729.50,914314
HCLTECH,2016-07-25,15:30:00,729.50,741.00,725.00,740.00,1488302
HCLTECH,2016-07-26,15:30:00,738.90,747.40,736.25,746.65,1349165
HCLTECH,2016-07-27,15:30:00,747.00,754.90,742.50,753.40,1677289
HCLTECH,2016-07-28,15:30:00,757.50,758.95,746.10,747.00,2277034
HCLTECH,2016-07-29,15:30:00,749.00,758.00,745.50,752.15,847328
HCLTECH,2016-08-01,15:30:00,753.00,791.00,752.50,778.00,3026539
HCLTECH,2016-08-02,15:30:00,785.85,804.90,781.15,799.55,4700089
