symbol,date,time,open,high,low,close,volume
HDFC,2017-04-10,15:30:00,1484.00,1484.00,1465.05,1465.85,2200153
HDFC,2017-04-11,15:30:00,1465.10,1486.95,1461.20,1479.00,2166320
HDFC,2017-04-12,15:30:00,1475.00,1476.45,1460.00,1468.95,2663565
HDFC,2017-04-13,15:30:00,1470.00,1484.70,1461.15,1475.20,1773012
HDFC,2017-04-17,15:30:00,1475.00,1494.45,1474.80,1480.00,1213004
HDFC,2017-04-18,15:30:00,1482.00,1491.00,1474.00,1480.00,1784505
HDFC,2017-04-19,15:30:00,1491.55,1492.30,1470.20,1490.20,1546962
HDFC,2017-04-20,15:30:00,1490.00,1531.75,1487.10,1511.75,2905255
HDFC,2017-04-21,15:30:00,1519.90,1526.75,1490.95,1503.15,1520049
HDFC,2017-04-24,15:30:00,1509.80,1538.55,1507.45,1525.00,1550370
HDFC,2017-04-25,15:30:00,1535.00,1557.60,1531.00,1541.00,2420240
HDFC,2017-04-26,15:30:00,1551.20,1590.00,1551.20,1576.15,3596629
HDFC,2017-04-27,15:30:00,1582.00,1589.95,1559.05,1561.05,4533632
HDFC,2017-04-28,15:30:00,1564.10,1566.00,1532.15,1537.00,2850999
HDFC,2017-05-02,15:30:00,1547.00,1590.75,1538.90,1585.55,4472856
HDFC,2017-05-03,15:30:00,1588.00,1591.85,1563.00,1564.30,4028393
HDFC,2017-05-04,15:30:00,1573.00,1587.40,1556.00,1558.10,5810079
HDFC,2017-05-05,15:30:00,1570.10,1570.20,1540.95,1543.00,2299986
HDFC,2017-05-08,15:30:00,1542.00,1549.00,1527.15,1529.00,1887869
HDFC,2017-05-09,15:30:00,1537.90,1542.80,1517.85,1523.40,2041977
HDFC,2017-05-10,15:30:00,1532.00,1575.25,1527.20,1570.70,2965910
HDFC,2017-05-11,15:30:00,1581.00,1581.00,1557.00,1558.25,2648011
HDFC,2017-05-12,15:30:00,1565.00,1566.20,1539.35,1549.00,1294006
HDFC,2017-05-15,15:30:00,1554.50,1572.60,1554.10,1561.00,1270297
HDFC,2017-05-16,15:30:00,1558.00,1569.00,1554.00,1568.00,2114918
HDFC,2017-05-17,15:30:00,1565.50,1570.95,1549.75,1550.10,2161434
HDFC,2017-05-18,15:30:00,1547.00,1558.60,1526.50,1545.00,2404372
HDFC,2017-05-19,15:30:00,1545.00,1548.00,1515.35,1526.50,2142433
HDFC,2017-05-22,15:30:00,1530.00,1530.00,1510.25,1519.95,1920867
HDFC,2017-05-23,15:30:00,1521.70,1537.20,1503.45,1510.00,1408855
HDFC,2017-05-24,15:30:00,1519.00,1541.75,1512.40,1525.00,2209471
HDFC,2017-05-25,15:30:00,1533.90,1546.00,1530.50,1539.00,4099792
HDFC,2017-05-26,15:30:00,1538.10,1563.00,1530.25,1544.50,1871008
HDFC,2017-05-29,15:30:00,1546.00,1601.25,1546.00,1596.75,3464406
HDFC,2017-05-30,15:30:00,1595.70,1604.00,1575.05,1582.60,1605211
HDFC,2017-05-31,15:30:00,1581.00,1596.15,1565.40,1576.80,4907685
HDFC,2017-06-01,15:30:00,1551.80,1587.40,1551.80,1577.25,2990228
HDFC,2017-06-02,15:30:00,1582.00,1612.80,1582.00,1595.35,3427957
HDFC,2017-06-05,15:30:00,1606.40,1612.00,1591.15,1605.00,2988075
HDFC,2017-06-06,15:30:00,1610.00,1624.85,1602.50,1603.70,2170920
HDFC,2017-06-07,15:30:00,1609.70,1611.50,1590.60,1600.00,1726464
HDFC,2017-06-08,15:30:00,1608.90,1635.00,1605.00,1631.00,2289492
HDFC,2017-06-09,15:30:00,1628.00,1649.00,1620.10,1646.10,2633241
HDFC,2017-06-12,15:30:00,1644.00,1651.80,1633.85,1647.00,2000556
HDFC,2017-06-13,15:30:00,1642.05,1682.20,1642.05,1665.00,2737084
HDFC,2017-06-14,15:30:00,1661.55,1668.00,1644.00,1647.10,6519614
HDFC,2017-06-15,15:30:00,1648.70,1653.70,1629.55,1635.00,5678766
HDFC,2017-06-16,15:30:00,1634.30,1651.00,1629.15,1635.20,2692532
HDFC,2017-06-19,15:30:00,1659.00,1660.00,1645.20,1659.60,2907637
HDFC,2017-06-20,15:30:00,1651.15,1660.00,1627.90,1632.15,2304515
HDFC,2017-06-21,15:30:00,1632.15,1638.00,1615.50,1626.00,2359678
HDFC,2017-06-22,15:30:00,1626.10,1660.00,1626.10,1650.10,3438975
HDFC,2017-06-23,15:30:00,1660.00,1661.00,1642.10,1650.20,2590704
