symbol,date,time,open,high,low,close,volume
HDFCBANK,2016-06-28,15:30:00,1161.25,1173.10,1150.00,1169.30,1008745
HDFCBANK,2016-06-29,15:30:00,1165.00,1169.50,1159.70,1168.00,1355167
HDFCBANK,2016-06-30,15:30:00,1171.00,1180.00,1162.15,1173.60,4069723
HDFCBANK,2016-07-01,15:30:00,1180.00,1185.00,1171.80,1174.95,1076219
HDFCBANK,2016-07-04,15:30:00,1178.20,1179.50,1171.40,1173.85,1812463
HDFCBANK,2016-07-05,15:30:00,1172.80,1174.30,1162.00,1168.75,534082
HDFCBANK,2016-07-07,15:30:00,1167.90,1188.75,1160.90,1184.70,1208154
HDFCBANK,2016-07-08,15:30:00,1185.10,1185.60,1171.25,1175.40,779717
HDFCBANK,2016-07-11,15:30:00,1186.00,1201.90,1181.05,1201.00,1275633
HDFCBANK,2016-07-12,15:30:00,1209.90,1209.90,1195.55,1202.00,1761508
HDFCBANK,2016-07-13,15:30:00,1199.80,1201.95,1193.30,1198.10,1671768
HDFCBANK,2016-07-14,15:30:00,1201.00,1202.15,1192.20,1199.55,864917
HDFCBANK,2016-07-15,15:30:00,1203.80,1226.00,1195.10,1226.00,1443554
HDFCBANK,2016-07-18,15:30:00,1225.00,1238.50,1222.65,1225.00,1109621
HDFCBANK,2016-07-19,15:30:00,1229.00,1230.75,1213.85,1220.15,646501
HDFCBANK,2016-07-20,15:30:00,1223.00,1238.50,1221.75,1231.55,1172583
HDFCBANK,2016-07-21,15:30:00,1230.70,1239.90,1222.50,1230.30,2278226
HDFCBANK,2016-07-22,15:30:00,1233.35,1234.65,1221.50,1234.55,1405068
HDFCBANK,2016-07-25,15:30:00,1233.00,1249.45,1227.00,1245.00,2468221
HDFCBANK,2016-07-26,15:30:00,1242.40,1245.65,1235.15,1239.50,1416498
HDFCBANK,2016-07-27,15:30:00,1241.00,1247.55,1230.00,1234.40,2683684
HDFCBANK,2016-07-28,15:30:00,1238.00,1251.25,1235.55,1251.00,2661632
HDFCBANK,2016-07-29,15:30:00,1248.00,1250.00,1235.00,1248.50,848919
HDFCBANK,2016-08-01,15:30:00,1249.00,1258.95,1227.65,1244.90,1390216
HDFCBANK,2016-08-02,15:30:00,1247.00,1256.45,1240.40,1245.10,1332349
HDFCBANK,2016-08-03,15:30:00,1241.10,1249.95,1231.00,1239.85,1183469
HDFCBANK,2016-08-04,15:30:00,1246.60,1246.70,1233.60,1244.55,1165720
HDFCBANK,2016-08-05,15:30:00,1247.40,1255.65,1241.75,1250.20,1446228
HDFCBANK,2016-08-08,15:30:00,1252.90,1255.00,1244.55,1248.20,1182194
HDFCBANK,2016-08-09,15:30:00,1252.90,1252.90,1237.70,1245.50,1052714
HDFCBANK,2016-08-10,15:30:00,1245.00,1250.95,1219.75,1224.00,904930
HDFCBANK,2016-08-11,15:30:00,1226.80,1235.00,1222.00,1229.00,714018
HDFCBANK,2016-08-12,15:30:00,1231.05,1235.00,1219.40,1227.80,1160374
HDFCBANK,2016-08-16,15:30:00,1233.00,1238.45,1213.80,1226.50,867142
HDFCBANK,2016-08-17,15:30:00,1233.40,1237.50,1226.00,1236.25,1377759
HDFCBANK,2016-08-18,15:30:00,1238.00,1254.90,1234.55,1250.00,1527914
HDFCBANK,2016-08-19,15:30:00,1250.00,1250.00,1241.45,1249.00,1027659
HDFCBANK,2016-08-22,15:30:00,1245.05,1254.45,1241.00,1251.95,1375323
HDFCBANK,2016-08-23,15:30:00,1251.00,1254.00,1246.05,1254.00,1328631
HDFCBANK,2016-08-24,15:30:00,1252.05,1264.20,1247.05,1262.25,1392734
HDFCBANK,2016-08-25,15:30:00,1264.00,1266.80,1254.30,1259.00,2182472
