symbol,date,time,open,high,low,close,volume
HINDUNILVR,2016-06-28,15:30:00,861.00,889.95,859.00,885.60,1607560
HINDUNILVR,2016-06-29,15:30:00,889.90,894.15,877.00,886.90,857945
HINDUNILVR,2016-06-30,15:30:00,891.00,902.90,890.55,897.90,2029009
HINDUNILVR,2016-07-01,15:30:00,898.60,904.55,886.10,896.10,1099564
HINDUNILVR,2016-07-04,15:30:00,900.00,902.75,888.00,892.90,674938
HINDUNILVR,2016-07-05,15:30:00,895.20,896.20,886.85,890.00,631452
HINDUNILVR,2016-07-07,15:30:00,890.00,920.00,888.60,918.00,1689043
HINDUNILVR,2016-07-08,15:30:00,919.00,926.30,913.45,920.70,1579861
HINDUNILVR,2016-07-11,15:30:00,927.00,934.90,921.35,926.05,746028
HINDUNILVR,2016-07-12,15:30:00,933.90,933.90,913.65,925.00,813346
HINDUNILVR,2016-07-13,15:30:00,923.10,929.75,917.45,924.30,598072
HINDUNILVR,2016-07-14,15:30:00,927.00,935.00,922.05,931.50,757072
HINDUNILVR,2016-07-15,15:30:00,935.00,951.45,932.05,944.05,1284879
HINDUNILVR,2016-07-18,15:30:00,944.00,946.60,910.00,911.00,3013256
HINDUNILVR,2016-07-19,15:30:00,904.10,906.90,888.00,894.60,2602482
HINDUNILVR,2016-07-20,15:30:00,899.45,910.30,897.20,907.35,897886
HINDUNILVR,2016-07-21,15:30:00,907.00,913.65,900.50,910.85,876194
HINDUNILVR,2016-07-22,15:30:00,911.20,915.00,897.00,903.05,967993
HINDUNILVR,2016-07-25,15:30:00,900.50,909.30,895.70,907.40,1297630
HINDUNILVR,2016-07-26,15:30:00,911.90,911.90,899.00,903.65,1094799
HINDUNILVR,2016-07-27,15:30:00,900.00,909.45,898.25,903.95,1168069
HINDUNILVR,2016-07-28,15:30:00,904.90,913.00,895.10,908.80,1760367
HINDUNILVR,2016-07-29,15:30:00,905.40,925.00,902.55,922.20,1284438
HINDUNILVR,2016-08-01,15:30:00,930.00,930.05,916.15,929.95,1270582
HINDUNILVR,2016-08-02,15:30:00,928.90,940.85,924.20,926.80,1442265
HINDUNILVR,2016-08-03,15:30:00,926.80,926.80,909.55,913.00,1067729
HINDUNILVR,2016-08-04,15:30:00,922.00,922.25,908.85,918.00,685515
HINDUNILVR,2016-08-05,15:30:00,921.15,928.65,916.40,925.10,936293
HINDUNILVR,2016-08-08,15:30:00,926.55,934.35,922.40,931.00,640018
HINDUNILVR,2016-08-09,15:30:00,929.50,935.90,924.15,933.90,912239
HINDUNILVR,2016-08-10,15:30:00,935.00,935.35,922.80,923.60,675289
HINDUNILVR,2016-08-11,15:30:00,924.90,938.10,922.55,935.75,859803
HINDUNILVR,2016-08-12,15:30:00,934.80,947.00,926.00,934.70,664203
HINDUNILVR,2016-08-16,15:30:00,931.25,943.90,921.35,922.70,847402
HINDUNILVR,2016-08-17,15:30:00,924.90,925.70,910.30,912.50,685242
HINDUNILVR,2016-08-18,15:30:00,913.00,916.70,905.25,905.65,1047855
HINDUNILVR,2016-08-19,15:30:00,909.00,915.70,901.25,911.10,1232642
HINDUNILVR,2016-08-22,15:30:00,911.90,933.90,911.90,930.00,1405730
HINDUNILVR,2016-08-23,15:30:00,931.00,931.65,919.05,920.75,923109
HINDUNILVR,2016-08-24,15:30:00,921.00,924.95,908.25,920.00,929753
HINDUNILVR,2016-08-25,15:30:00,921.00,922.00,907.20,908.00,1760911
HINDUNILVR,2016-08-26,15:30:00,914.80,914.80,900.00,901.55,753284
HINDUNILVR,2016-08-29,15:30:00,906.00,908.00,901.00,907.50,488018
HINDUNILVR,2016-08-30,15:30:00,908.00,926.30,907.60,924.70,921470
HINDUNILVR,2016-08-31,15:30:00,925.00,926.50,911.85,915.45,2185015
HINDUNILVR,2016-09-01,15:30:00,917.10,929.50,913.35,928.00,654587
HINDUNILVR,2016-09-02,15:30:00,923.50,926.55,917.55,920.50,968873
HINDUNILVR,2016-09-06,15:30:00,924.25,939.75,922.30,938.60,811241
HINDUNILVR,2016-09-07,15:30:00,937.00,938.90,927.40,933.15,728867
HINDUNILVR,2016-09-08,15:30:00,933.00,953.60,931.50,951.00,1528195
HINDUNILVR,2016-09-09,15:30:00,950.00,954.00,927.40,930.55,888951
HINDUNILVR,2016-09-12,15:30:00,924.85,924.85,912.45,919.00,677577
HINDUNILVR,2016-09-14,15:30:00,917.00,924.50,905.00,911.50,1349809
HINDUNILVR,2016-09-15,15:30:00,910.20,920.85,906.00,913.50,964711
HINDUNILVR,2016-09-16,15:30:00,916.25,928.60,909.40,913.00,1542460
HINDUNILVR,2016-09-19,15:30:00,915.45,922.50,909.10,910.55,793036
HINDUNILVR,2016-09-20,15:30:00,912.15,916.80,900.90,901.90,1133099
HINDUNILVR,2016-09-21,15:30:00,902.00,914.55,900.55,911.95,1102665
HINDUNILVR,2016-09-22,15:30:00,913.00,917.95,903.25,910.00,1250220
HINDUNILVR,2016-09-23,15:30:00,911.00,912.50,901.00,910.00,1498875
HINDUNILVR,2016-09-26,15:30:00,909.00,913.90,886.50,895.00,1153660
HINDUNILVR,2016-09-27,15:30:00,895.00,900.95,889.40,900.35,849724
HINDUNILVR,2016-09-28,15:30:00,900.00,900.85,881.25,888.30,1877866
HINDUNILVR,2016-09-29,15:30:00,891.00,892.80,873.50,880.65,3307074
HINDUNILVR,2016-09-30,15:30:00,877.10,879.85,865.00,870.60,3104818
HINDUNILVR,2016-10-03,15:30:00,878.00,878.00,860.20,869.90,2066037
