symbol,date,time,open,high,low,close,volume
ICICIBANK,2016-06-28,15:30:00,209.60,212.90,209.10,212.30,11302738
ICICIBANK,2016-06-29,15:30:00,214.45,216.64,212.95,215.09,7959976
ICICIBANK,2016-06-30,15:30:00,217.70,220.70,217.50,218.50,16851065
ICICIBANK,2016-07-01,15:30:00,219.73,220.59,217.77,218.05,9108854
ICICIBANK,2016-07-04,15:30:00,221.00,226.32,219.91,226.18,10389223
ICICIBANK,2016-07-05,15:30:00,228.00,228.27,222.32,222.41,10375133
ICICIBANK,2016-07-07,15:30:00,222.73,224.59,221.82,222.27,8365966
ICICIBANK,2016-07-08,15:30:00,222.27,222.27,217.77,220.18,7658211
ICICIBANK,2016-07-11,15:30:00,224.20,227.90,224.20,227.00,9682386
ICICIBANK,2016-07-12,15:30:00,228.73,238.36,227.95,237.91,28558550
ICICIBANK,2016-07-13,15:30:00,240.23,243.36,235.55,237.23,28248931
ICICIBANK,2016-07-14,15:30:00,237.27,245.09,236.05,243.86,14269365
ICICIBANK,2016-07-15,15:30:00,245.00,245.32,239.45,241.64,11510450
ICICIBANK,2016-07-18,15:30:00,241.64,246.59,238.68,239.09,14310274
ICICIBANK,2016-07-19,15:30:00,240.91,245.91,239.32,244.77,14880050
ICICIBANK,2016-07-20,15:30:00,242.73,243.82,241.32,243.27,7892214
ICICIBANK,2016-07-21,15:30:00,242.60,244.50,237.50,238.20,12060367
ICICIBANK,2016-07-22,15:30:00,238.50,240.36,235.32,239.82,8537587
ICICIBANK,2016-07-25,15:30:00,238.09,246.32,237.05,242.86,11311554
ICICIBANK,2016-07-26,15:30:00,244.05,245.00,236.45,237.68,11896758
ICICIBANK,2016-07-27,15:30:00,238.91,248.91,238.91,245.95,26003949
ICICIBANK,2016-07-28,15:30:00,246.27,249.09,245.86,246.32,9781546
ICICIBANK,2016-07-29,15:30:00,245.50,246.68,238.23,238.45,21115026
ICICIBANK,2016-08-01,15:30:00,232.60,237.50,225.60,227.30,42583052
ICICIBANK,2016-08-02,15:30:00,226.77,226.77,222.73,223.23,20758832
ICICIBANK,2016-08-03,15:30:00,222.45,224.77,218.68,219.36,17910407
ICICIBANK,2016-08-04,15:30:00,222.59,222.77,215.14,220.45,29931529
ICICIBANK,2016-08-05,15:30:00,221.91,226.05,221.91,223.64,16307350
ICICIBANK,2016-08-08,15:30:00,223.73,225.18,222.32,222.73,11906856
ICICIBANK,2016-08-09,15:30:00,223.09,225.91,222.27,223.05,12642014
ICICIBANK,2016-08-10,15:30:00,223.64,224.14,216.50,217.50,12527824
ICICIBANK,2016-08-11,15:30:00,218.18,221.23,215.95,221.14,9477854
ICICIBANK,2016-08-12,15:30:00,221.40,225.10,219.30,222.80,11727486
ICICIBANK,2016-08-16,15:30:00,223.64,226.77,221.68,225.05,13111525
ICICIBANK,2016-08-17,15:30:00,225.50,228.70,222.90,224.50,12875115
ICICIBANK,2016-08-18,15:30:00,225.32,230.73,225.23,229.55,20725329
ICICIBANK,2016-08-19,15:30:00,230.00,232.45,228.68,230.82,14519514
ICICIBANK,2016-08-22,15:30:00,231.14,231.77,226.09,229.55,9076842
ICICIBANK,2016-08-23,15:30:00,227.68,229.09,226.14,227.50,10995821
ICICIBANK,2016-08-24,15:30:00,227.45,228.82,225.32,225.68,9228360
ICICIBANK,2016-08-25,15:30:00,225.41,227.45,223.73,224.55,14901359
ICICIBANK,2016-08-26,15:30:00,225.64,226.18,221.09,223.41,11490424
ICICIBANK,2016-08-29,15:30:00,222.73,229.68,222.36,227.73,9206563
ICICIBANK,2016-08-30,15:30:00,229.10,233.50,229.10,232.60,15251016
ICICIBANK,2016-08-31,15:30:00,233.73,237.14,233.64,234.41,16906022
ICICIBANK,2016-09-01,15:30:00,235.23,240.00,235.23,237.36,18098850
ICICIBANK,2016-09-02,15:30:00,238.64,240.27,236.59,237.86,8034006
ICICIBANK,2016-09-06,15:30:00,238.80,249.00,238.80,247.60,23274042
ICICIBANK,2016-09-07,15:30:00,249.09,257.95,247.41,252.73,35379184
ICICIBANK,2016-09-08,15:30:00,253.27,255.18,250.50,251.36,13116476
ICICIBANK,2016-09-09,15:30:00,249.59,250.91,245.55,249.09,16649877
ICICIBANK,2016-09-12,15:30:00,242.73,244.95,238.82,243.50,20617373
ICICIBANK,2016-09-14,15:30:00,242.45,248.91,242.14,247.14,16807794
ICICIBANK,2016-09-15,15:30:00,247.00,248.86,243.82,245.91,12135373
ICICIBANK,2016-09-16,15:30:00,247.05,250.55,242.09,243.55,32955498
ICICIBANK,2016-09-19,15:30:00,243.64,247.64,243.45,247.14,15144400
ICICIBANK,2016-09-20,15:30:00,247.18,249.27,244.86,247.73,11030397
ICICIBANK,2016-09-21,15:30:00,248.00,248.18,242.68,245.45,12736748
ICICIBANK,2016-09-22,15:30:00,250.91,252.64,247.55,250.05,14886285
ICICIBANK,2016-09-23,15:30:00,250.73,250.77,245.36,246.50,17977572
ICICIBANK,2016-09-26,15:30:00,244.10,244.30,238.00,239.10,15868806
ICICIBANK,2016-09-27,15:30:00,239.59,240.27,235.45,236.68,17356844
ICICIBANK,2016-09-28,15:30:00,236.73,238.59,235.50,237.09,17881786
ICICIBANK,2016-09-29,15:30:00,239.09,239.55,221.18,229.05,48140662
ICICIBANK,2016-09-30,15:30:00,225.50,230.27,224.50,229.45,15104921
ICICIBANK,2016-10-03,15:30:00,228.18,233.55,227.36,233.14,18062318
ICICIBANK,2016-10-04,15:30:00,233.50,236.32,231.73,234.82,16201325
ICICIBANK,2016-10-05,15:30:00,236.32,236.91,231.45,232.18,16039582
ICICIBANK,2016-10-06,15:30:00,233.64,233.68,226.55,229.32,13854468
ICICIBANK,2016-10-07,15:30:00,228.10,230.80,225.60,228.20,10506728
ICICIBANK,2016-10-10,15:30:00,229.00,230.18,226.50,228.00,6611211
ICICIBANK,2016-10-13,15:30:00,225.30,225.80,217.40,219.60,20736802
ICICIBANK,2016-10-14,15:30:00,219.30,220.90,217.90,220.50,10761830
ICICIBANK,2016-10-17,15:30:00,223.64,236.27,223.23,235.59,69082440
ICICIBANK,2016-10-18,15:30:00,235.95,246.73,235.91,244.73,41861706
ICICIBANK,2016-10-19,15:30:00,246.68,247.00,239.32,241.05,19968760
ICICIBANK,2016-10-20,15:30:00,242.86,253.55,242.86,252.27,36280178
ICICIBANK,2016-10-21,15:30:00,251.14,254.59,249.18,252.68,26362877
ICICIBANK,2016-10-24,15:30:00,253.77,260.41,253.77,258.64,22219428
ICICIBANK,2016-10-25,15:30:00,262.90,265.10,258.70,263.90,25090671
ICICIBANK,2016-10-26,15:30:00,258.59,258.59,251.82,253.32,30017739
