symbol,date,time,open,high,low,close,volume
IDEA,2017-04-10,15:30:00,88.15,88.40,87.05,88.15,10321860
IDEA,2017-04-11,15:30:00,88.00,89.20,87.75,88.70,7109036
IDEA,2017-04-12,15:30:00,88.45,88.60,86.40,86.70,6947226
IDEA,2017-04-13,15:30:00,87.00,87.65,85.85,85.90,5184684
IDEA,2017-04-17,15:30:00,86.70,86.70,85.10,86.15,7249503
IDEA,2017-04-18,15:30:00,86.15,88.20,85.90,86.10,11474106
IDEA,2017-04-19,15:30:00,86.85,87.00,85.55,85.95,5082422
IDEA,2017-04-20,15:30:00,86.00,86.90,84.30,84.45,5672912
IDEA,2017-04-21,15:30:00,85.40,86.20,84.90,85.35,5718451
IDEA,2017-04-24,15:30:00,86.20,86.20,84.50,85.00,4027573
IDEA,2017-04-25,15:30:00,85.50,86.45,84.75,85.25,13054374
IDEA,2017-04-26,15:30:00,86.25,86.25,85.25,85.50,6355793
IDEA,2017-04-27,15:30:00,85.90,86.65,84.80,84.90,10095780
IDEA,2017-04-28,15:30:00,85.60,86.20,85.00,85.75,6883647
IDEA,2017-05-02,15:30:00,86.00,86.20,84.50,84.70,4731039
IDEA,2017-05-03,15:30:00,85.35,85.40,83.30,84.10,5492181
IDEA,2017-05-04,15:30:00,84.00,84.50,81.95,82.60,4425078
IDEA,2017-05-05,15:30:00,82.65,82.75,81.20,82.05,6960368
IDEA,2017-05-08,15:30:00,80.50,91.40,80.50,87.50,18728385
IDEA,2017-05-09,15:30:00,87.65,88.75,85.60,86.65,8591166
IDEA,2017-05-10,15:30:00,86.05,92.40,85.70,90.95,24788439
IDEA,2017-05-11,15:30:00,92.00,92.30,87.75,90.80,17630439
IDEA,2017-05-12,15:30:00,90.90,93.00,90.30,92.15,15691635
IDEA,2017-05-15,15:30:00,92.00,93.35,84.55,86.50,41477204
IDEA,2017-05-16,15:30:00,86.50,88.00,85.05,87.60,14732113
IDEA,2017-05-17,15:30:00,87.90,87.90,86.20,87.20,11574221
IDEA,2017-05-18,15:30:00,86.20,87.95,85.80,87.00,8588960
IDEA,2017-05-19,15:30:00,88.00,89.00,87.00,87.90,6631802
IDEA,2017-05-22,15:30:00,88.00,88.55,87.10,87.90,5032662
IDEA,2017-05-23,15:30:00,87.75,88.15,83.65,83.90,6879751
IDEA,2017-05-24,15:30:00,84.80,84.85,76.75,79.55,13460616
IDEA,2017-05-25,15:30:00,78.10,80.30,75.80,79.05,15395521
IDEA,2017-05-26,15:30:00,79.10,81.05,79.10,79.55,6139195
IDEA,2017-05-29,15:30:00,81.00,81.30,77.75,79.10,5587235
IDEA,2017-05-30,15:30:00,79.65,80.60,78.00,79.55,11288043
IDEA,2017-05-31,15:30:00,79.50,80.50,78.50,80.25,16730505
IDEA,2017-06-01,15:30:00,79.25,80.75,78.75,79.35,5281486
IDEA,2017-06-02,15:30:00,80.00,81.00,79.60,79.70,7048264
IDEA,2017-06-05,15:30:00,80.00,82.10,79.90,81.95,7373893
IDEA,2017-06-06,15:30:00,81.70,81.95,79.60,79.80,4266153
IDEA,2017-06-07,15:30:00,80.10,80.65,78.35,78.65,5963563
IDEA,2017-06-08,15:30:00,79.00,80.50,78.35,79.35,6660145
IDEA,2017-06-09,15:30:00,79.00,79.45,78.30,78.90,3613478
IDEA,2017-06-12,15:30:00,78.80,79.75,78.20,79.05,4393522
IDEA,2017-06-13,15:30:00,79.00,79.55,78.55,78.70,5240363
IDEA,2017-06-14,15:30:00,79.10,79.25,76.30,77.20,10967499
IDEA,2017-06-15,15:30:00,77.30,77.75,76.30,76.40,5315732
IDEA,2017-06-16,15:30:00,76.90,79.55,76.10,77.50,18219590
IDEA,2017-06-19,15:30:00,78.70,81.50,77.50,79.60,10868973
IDEA,2017-06-20,15:30:00,78.25,82.40,78.25,81.95,11347598
IDEA,2017-06-21,15:30:00,81.40,83.15,80.30,80.55,6994285
IDEA,2017-06-22,15:30:00,80.95,81.60,79.65,80.05,5198919
IDEA,2017-06-23,15:30:00,80.45,80.70,78.70,79.50,4222476
IDEA,2017-06-27,15:30:00,79.50,81.50,79.35,81.35,5348018
IDEA,2017-06-28,15:30:00,81.75,84.30,80.70,83.95,8073979
IDEA,2017-06-29,15:30:00,83.95,85.45,83.30,83.85,19731806
IDEA,2017-06-30,15:30:00,83.85,85.70,82.60,85.30,9883206
IDEA,2017-07-03,15:30:00,85.25,87.60,84.15,85.80,10107475
IDEA,2017-07-04,15:30:00,85.95,86.10,83.60,83.95,3813687
IDEA,2017-07-05,15:30:00,84.00,84.20,83.10,83.30,5220537
IDEA,2017-07-06,15:30:00,83.75,84.00,82.25,82.45,4625534
IDEA,2017-07-07,15:30:00,82.40,83.70,81.85,83.30,5359037
IDEA,2017-07-10,15:30:00,85.00,91.65,83.80,87.05,6257489
IDEA,2017-07-11,15:30:00,86.70,89.40,83.90,84.40,21075054
IDEA,2017-07-12,15:30:00,85.30,86.00,84.35,85.40,9366888
IDEA,2017-07-13,15:30:00,86.25,88.30,86.25,87.50,15374342
IDEA,2017-07-14,15:30:00,87.50,90.65,87.10,88.65,10952560
IDEA,2017-07-17,15:30:00,89.00,89.55,88.00,88.75,6577192
IDEA,2017-07-18,15:30:00,88.35,91.50,86.65,87.40,10050609
IDEA,2017-07-19,15:30:00,88.00,96.30,87.75,95.10,39023886
IDEA,2017-07-20,15:30:00,95.85,96.50,94.05,95.15,13962318
IDEA,2017-07-21,15:30:00,95.45,95.45,88.10,91.65,41876006
IDEA,2017-07-24,15:30:00,90.50,92.85,89.35,91.60,15256688
IDEA,2017-07-25,15:30:00,94.50,99.70,94.00,96.90,53830204
IDEA,2017-07-26,15:30:00,98.00,98.20,93.50,94.50,16622128
IDEA,2017-07-27,15:30:00,94.45,97.70,91.10,92.35,35417595
IDEA,2017-07-28,15:30:00,87.55,96.70,87.55,95.40,35761164
IDEA,2017-07-31,15:30:00,94.90,95.55,92.10,92.35,12961089
IDEA,2017-08-01,15:30:00,93.90,93.90,91.50,92.30,10279578
IDEA,2017-08-02,15:30:00,92.95,93.85,91.65,92.05,8289275
IDEA,2017-08-03,15:30:00,93.40,94.50,91.85,93.45,10304736
IDEA,2017-08-04,15:30:00,93.00,93.55,90.45,92.90,9274211
IDEA,2017-08-07,15:30:00,92.80,94.25,92.75,93.10,4899324
IDEA,2017-08-08,15:30:00,94.80,95.00,91.20,91.65,13411250
IDEA,2017-08-09,15:30:00,91.65,92.70,90.60,90.80,5140576
IDEA,2017-08-10,15:30:00,90.80,93.00,86.55,88.30,10457668
IDEA,2017-08-11,15:30:00,87.00,88.90,85.45,86.50,7099401
IDEA,2017-08-14,15:30:00,86.35,87.85,84.80,86.50,7611248
IDEA,2017-08-16,15:30:00,85.75,87.40,85.65,86.95,5457158
IDEA,2017-08-17,15:30:00,87.90,90.20,87.00,89.15,8881668
IDEA,2017-08-18,15:30:00,88.85,92.10,88.05,90.65,8984832
IDEA,2017-08-21,15:30:00,90.00,91.35,88.65,88.75,4120928
IDEA,2017-08-22,15:30:00,89.90,90.25,87.30,88.50,7181822
IDEA,2017-08-23,15:30:00,88.80,91.10,87.50,90.35,7306222
IDEA,2017-08-24,15:30:00,89.60,90.70,89.25,89.85,3124042
IDEA,2017-08-28,15:30:00,89.65,91.20,89.55,89.80,5239356
IDEA,2017-08-29,15:30:00,90.00,90.00,86.70,87.50,7281004
IDEA,2017-08-30,15:30:00,88.00,88.90,87.50,87.80,3125061
IDEA,2017-08-31,15:30:00,88.00,91.45,87.20,91.10,12979971
IDEA,2017-09-01,15:30:00,91.00,91.30,88.50,88.50,5903514
IDEA,2017-09-04,15:30:00,88.50,89.25,85.85,86.70,9512101
IDEA,2017-09-05,15:30:00,87.00,87.60,84.30,84.50,8751333
IDEA,2017-09-06,15:30:00,84.50,84.50,81.60,81.75,12481156
IDEA,2017-09-07,15:30:00,82.20,82.60,80.25,80.65,7866252
IDEA,2017-09-08,15:30:00,81.85,82.00,79.30,79.60,8796879
IDEA,2017-09-11,15:30:00,80.20,80.55,78.35,78.60,6650791
IDEA,2017-09-12,15:30:00,78.70,79.70,77.00,78.55,15478764
IDEA,2017-09-13,15:30:00,79.35,84.45,78.60,82.55,31628590
IDEA,2017-09-14,15:30:00,82.90,83.40,81.20,81.65,8457020
IDEA,2017-09-15,15:30:00,80.55,82.45,79.25,80.35,16600971
IDEA,2017-09-18,15:30:00,81.00,83.15,80.70,82.35,10355123
IDEA,2017-09-19,15:30:00,82.45,83.65,82.05,83.20,9898456
IDEA,2017-09-20,15:30:00,77.00,81.40,77.00,80.10,26020707
IDEA,2017-09-21,15:30:00,80.00,81.25,78.50,80.05,9267299
IDEA,2017-09-22,15:30:00,79.00,79.75,78.00,78.05,6955341
IDEA,2017-09-25,15:30:00,78.95,78.95,75.05,75.90,8826208
IDEA,2017-09-26,15:30:00,76.10,77.05,75.60,75.80,3944203
IDEA,2017-09-27,15:30:00,75.50,76.50,74.75,75.55,7211053
IDEA,2017-09-28,15:30:00,75.75,76.50,74.95,75.40,6530842
IDEA,2017-09-29,15:30:00,75.80,78.00,75.30,77.80,6519987
IDEA,2017-10-03,15:30:00,78.70,78.70,75.45,76.05,4714914
IDEA,2017-10-04,15:30:00,76.20,76.20,73.30,74.30,6132517
IDEA,2017-10-05,15:30:00,74.20,74.65,73.45,73.70,6805052
IDEA,2017-10-06,15:30:00,74.05,74.30,73.30,73.90,4178024
IDEA,2017-10-09,15:30:00,74.20,75.70,73.90,74.50,4138282
IDEA,2017-10-10,15:30:00,74.70,74.90,71.45,73.15,6754950
IDEA,2017-10-11,15:30:00,74.10,76.00,72.50,72.65,10042429
