symbol,date,time,open,high,low,close,volume
INDUSINDBK,2017-04-10,15:30:00,1412.50,1431.00,1409.05,1430.00,725902
INDUSINDBK,2017-04-11,15:30:00,1429.95,1438.20,1418.50,1426.00,797974
INDUSINDBK,2017-04-12,15:30:00,1425.00,1439.95,1415.00,1438.80,418338
INDUSINDBK,2017-04-13,15:30:00,1435.00,1444.35,1428.10,1436.50,582737
INDUSINDBK,2017-04-17,15:30:00,1438.00,1442.25,1425.00,1432.25,534509
INDUSINDBK,2017-04-18,15:30:00,1432.40,1444.95,1428.55,1432.75,2004482
INDUSINDBK,2017-04-19,15:30:00,1440.00,1443.75,1411.55,1420.50,3107388
INDUSINDBK,2017-04-20,15:30:00,1415.00,1443.15,1400.05,1428.05,2637171
INDUSINDBK,2017-04-21,15:30:00,1437.00,1444.45,1430.05,1437.70,1735248
INDUSINDBK,2017-04-24,15:30:00,1439.00,1443.30,1431.45,1435.85,666961
INDUSINDBK,2017-04-25,15:30:00,1437.00,1460.00,1434.00,1458.00,1439089
INDUSINDBK,2017-04-26,15:30:00,1461.00,1470.00,1454.40,1465.35,1186077
INDUSINDBK,2017-04-27,15:30:00,1462.00,1483.45,1458.65,1467.00,1135148
INDUSINDBK,2017-04-28,15:30:00,1470.70,1480.60,1440.80,1449.80,614095
INDUSINDBK,2017-05-02,15:30:00,1454.00,1455.00,1440.15,1450.00,955073
INDUSINDBK,2017-05-03,15:30:00,1449.90,1451.45,1429.00,1435.90,635349
INDUSINDBK,2017-05-04,15:30:00,1446.00,1446.00,1410.10,1426.00,1452308
INDUSINDBK,2017-05-05,15:30:00,1429.95,1429.95,1403.70,1409.00,1878351
INDUSINDBK,2017-05-08,15:30:00,1406.50,1434.80,1401.80,1434.80,1600519
INDUSINDBK,2017-05-09,15:30:00,1432.00,1432.00,1415.55,1422.90,781989
INDUSINDBK,2017-05-10,15:30:00,1425.40,1435.00,1419.30,1432.00,420102
INDUSINDBK,2017-05-11,15:30:00,1438.00,1438.00,1420.00,1420.30,839412
INDUSINDBK,2017-05-12,15:30:00,1424.80,1424.80,1404.50,1413.00,602647
INDUSINDBK,2017-05-15,15:30:00,1414.20,1422.60,1403.40,1420.00,949033
INDUSINDBK,2017-05-16,15:30:00,1417.75,1440.00,1410.45,1438.15,744209
INDUSINDBK,2017-05-17,15:30:00,1438.00,1448.30,1420.00,1422.00,579645
INDUSINDBK,2017-05-18,15:30:00,1422.00,1422.00,1388.00,1402.45,640858
INDUSINDBK,2017-05-19,15:30:00,1405.00,1413.25,1383.00,1390.00,1247834
INDUSINDBK,2017-05-22,15:30:00,1390.35,1404.00,1375.20,1393.00,936813
INDUSINDBK,2017-05-23,15:30:00,1389.30,1398.90,1378.50,1394.00,791125
INDUSINDBK,2017-05-24,15:30:00,1403.95,1422.95,1392.00,1420.20,1007226
INDUSINDBK,2017-05-25,15:30:00,1420.00,1472.00,1418.05,1459.45,1464760
INDUSINDBK,2017-05-26,15:30:00,1458.00,1484.80,1452.80,1481.00,766520
INDUSINDBK,2017-05-29,15:30:00,1479.00,1504.70,1473.45,1488.05,655977
INDUSINDBK,2017-05-30,15:30:00,1484.00,1494.00,1471.00,1474.95,594316
INDUSINDBK,2017-05-31,15:30:00,1474.90,1487.45,1472.10,1481.00,536696
INDUSINDBK,2017-06-01,15:30:00,1470.30,1500.00,1470.30,1493.65,560468
INDUSINDBK,2017-06-02,15:30:00,1494.10,1519.95,1483.10,1517.60,638560
INDUSINDBK,2017-06-05,15:30:00,1518.90,1519.25,1502.60,1508.00,447987
INDUSINDBK,2017-06-06,15:30:00,1509.70,1523.00,1495.50,1515.35,456242
INDUSINDBK,2017-06-07,15:30:00,1512.70,1520.90,1502.00,1520.00,392417
INDUSINDBK,2017-06-08,15:30:00,1520.90,1536.70,1517.05,1523.25,1261815
INDUSINDBK,2017-06-09,15:30:00,1520.00,1538.00,1512.95,1525.00,724205
INDUSINDBK,2017-06-12,15:30:00,1520.00,1524.25,1502.10,1504.90,325151
INDUSINDBK,2017-06-13,15:30:00,1513.80,1513.80,1487.20,1488.60,671410
INDUSINDBK,2017-06-14,15:30:00,1497.00,1505.60,1485.15,1498.00,1032366
INDUSINDBK,2017-06-15,15:30:00,1497.80,1501.25,1487.45,1495.50,424499
INDUSINDBK,2017-06-16,15:30:00,1492.90,1513.00,1487.05,1500.00,1375090
INDUSINDBK,2017-06-19,15:30:00,1503.10,1521.50,1499.50,1509.00,692751
INDUSINDBK,2017-06-20,15:30:00,1512.10,1521.45,1503.55,1514.90,472248
INDUSINDBK,2017-06-21,15:30:00,1508.30,1512.00,1489.05,1492.80,859762
INDUSINDBK,2017-06-22,15:30:00,1497.85,1506.45,1487.30,1490.40,905839
INDUSINDBK,2017-06-23,15:30:00,1493.70,1503.00,1485.30,1494.00,596334
INDUSINDBK,2017-06-27,15:30:00,1495.00,1502.00,1485.00,1486.00,1285379
INDUSINDBK,2017-06-28,15:30:00,1486.05,1499.00,1463.15,1497.25,972763
INDUSINDBK,2017-06-29,15:30:00,1495.05,1509.80,1474.15,1478.50,806219
INDUSINDBK,2017-06-30,15:30:00,1468.65,1483.50,1462.30,1482.10,806197
INDUSINDBK,2017-07-03,15:30:00,1482.90,1495.60,1472.75,1489.30,1167857
INDUSINDBK,2017-07-04,15:30:00,1477.05,1501.00,1477.05,1501.00,812900
INDUSINDBK,2017-07-05,15:30:00,1505.00,1519.85,1499.00,1519.00,498116
INDUSINDBK,2017-07-06,15:30:00,1523.50,1523.50,1506.15,1520.00,803617
INDUSINDBK,2017-07-07,15:30:00,1514.50,1529.90,1511.55,1526.00,840805
INDUSINDBK,2017-07-10,15:30:00,1541.55,1564.95,1526.50,1554.00,260961
INDUSINDBK,2017-07-11,15:30:00,1565.00,1571.00,1550.65,1561.00,2874052
INDUSINDBK,2017-07-12,15:30:00,1572.60,1581.20,1562.00,1573.00,1550156
INDUSINDBK,2017-07-13,15:30:00,1581.00,1585.00,1561.30,1579.00,712568
INDUSINDBK,2017-07-14,15:30:00,1582.00,1582.90,1568.65,1575.05,971789
INDUSINDBK,2017-07-17,15:30:00,1576.00,1584.75,1560.00,1584.50,762299
INDUSINDBK,2017-07-18,15:30:00,1575.55,1581.90,1564.50,1571.05,789508
INDUSINDBK,2017-07-19,15:30:00,1576.00,1584.00,1569.60,1574.50,704416
INDUSINDBK,2017-07-20,15:30:00,1579.00,1580.95,1554.85,1560.00,747783
INDUSINDBK,2017-07-21,15:30:00,1560.00,1568.90,1551.15,1568.00,665760
INDUSINDBK,2017-07-24,15:30:00,1565.65,1565.65,1549.50,1556.95,980822
INDUSINDBK,2017-07-25,15:30:00,1554.00,1556.90,1539.10,1542.40,1159201
