symbol,date,time,open,high,low,close,volume
INFRATEL,2016-06-28,15:30:00,330.00,340.80,329.15,338.55,2636717
INFRATEL,2016-06-29,15:30:00,341.80,346.05,339.45,344.00,4078375
INFRATEL,2016-06-30,15:30:00,343.95,347.60,340.70,346.20,3240202
INFRATEL,2016-07-01,15:30:00,345.10,353.30,345.10,350.45,1729211
INFRATEL,2016-07-04,15:30:00,354.80,358.60,351.10,355.70,1610426
INFRATEL,2016-07-05,15:30:00,358.80,360.65,353.40,358.55,2132580
INFRATEL,2016-07-07,15:30:00,357.00,358.75,349.10,351.00,1761615
INFRATEL,2016-07-08,15:30:00,350.00,350.80,340.25,346.75,1959699
INFRATEL,2016-07-11,15:30:00,349.80,353.05,347.30,352.05,1540886
INFRATEL,2016-07-12,15:30:00,353.85,358.80,349.00,349.00,1710174
INFRATEL,2016-07-13,15:30:00,352.60,353.55,343.75,353.00,1137492
INFRATEL,2016-07-14,15:30:00,351.75,354.40,349.45,352.60,1156677
INFRATEL,2016-07-15,15:30:00,354.45,358.00,349.55,353.70,1542062
INFRATEL,2016-07-18,15:30:00,353.00,359.35,350.95,356.55,1133441
INFRATEL,2016-07-19,15:30:00,357.40,363.45,352.00,357.30,1768022
INFRATEL,2016-07-20,15:30:00,356.80,361.00,353.10,355.00,1580433
INFRATEL,2016-07-21,15:30:00,355.40,355.70,352.00,352.50,766068
INFRATEL,2016-07-22,15:30:00,352.60,363.95,350.90,360.90,1027883
INFRATEL,2016-07-25,15:30:00,362.65,371.45,362.20,366.00,1115580
INFRATEL,2016-07-26,15:30:00,366.50,371.90,360.50,361.05,1427705
INFRATEL,2016-07-27,15:30:00,368.00,383.00,361.95,381.30,2649643
INFRATEL,2016-07-28,15:30:00,381.10,413.70,380.45,400.15,4249348
INFRATEL,2016-07-29,15:30:00,400.60,402.00,392.05,396.00,1137050
INFRATEL,2016-08-01,15:30:00,396.70,408.50,394.15,396.40,2200406
INFRATEL,2016-08-02,15:30:00,399.95,406.30,386.55,388.00,2649418
INFRATEL,2016-08-03,15:30:00,388.40,399.00,388.00,396.00,1256722
INFRATEL,2016-08-04,15:30:00,396.00,396.80,388.00,392.70,2785908
INFRATEL,2016-08-05,15:30:00,390.00,397.00,388.10,389.10,2020303
INFRATEL,2016-08-08,15:30:00,391.95,394.95,379.25,380.45,1152412
INFRATEL,2016-08-09,15:30:00,380.70,388.00,376.70,384.50,2240139
INFRATEL,2016-08-10,15:30:00,384.00,386.00,376.00,377.35,1009414
INFRATEL,2016-08-11,15:30:00,378.30,378.70,365.25,368.80,1128123
INFRATEL,2016-08-12,15:30:00,368.70,374.05,361.50,368.05,1029376
INFRATEL,2016-08-16,15:30:00,368.05,370.80,342.30,350.60,4412401
INFRATEL,2016-08-17,15:30:00,353.00,353.15,345.55,348.45,2556095
INFRATEL,2016-08-18,15:30:00,352.00,352.00,344.20,347.55,1625259
INFRATEL,2016-08-19,15:30:00,349.00,349.00,339.25,341.90,2427693
INFRATEL,2016-08-22,15:30:00,346.00,347.85,338.40,339.00,2945778
INFRATEL,2016-08-23,15:30:00,337.30,347.75,337.30,345.35,2189366
INFRATEL,2016-08-24,15:30:00,346.00,349.45,342.55,347.00,943469
INFRATEL,2016-08-25,15:30:00,347.50,348.30,338.00,339.80,1160464
INFRATEL,2016-08-26,15:30:00,341.00,349.00,341.00,345.50,1664446
INFRATEL,2016-08-29,15:30:00,348.00,348.00,336.25,338.70,824483
INFRATEL,2016-08-30,15:30:00,338.95,346.70,336.10,344.05,1424732
INFRATEL,2016-08-31,15:30:00,345.00,353.25,344.40,350.55,1824862
INFRATEL,2016-09-01,15:30:00,347.50,357.10,341.65,344.00,1279911
