symbol,date,time,open,high,low,close,volume
INFY,2017-04-10,15:30:00,984.90,989.50,950.10,951.05,4764236
INFY,2017-04-11,15:30:00,956.05,971.70,956.05,968.00,4327733
INFY,2017-04-12,15:30:00,970.00,976.90,960.35,967.85,3348376
INFY,2017-04-13,15:30:00,970.00,990.00,926.65,932.90,15486594
INFY,2017-04-17,15:30:00,930.00,932.10,923.50,924.75,3606717
INFY,2017-04-18,15:30:00,924.75,934.00,919.10,923.05,2323759
INFY,2017-04-19,15:30:00,923.00,930.00,912.65,919.40,5035851
INFY,2017-04-20,15:30:00,921.50,929.70,918.55,928.15,2274500
INFY,2017-04-21,15:30:00,934.80,934.80,921.10,922.50,1788733
INFY,2017-04-24,15:30:00,917.50,928.50,913.00,927.00,2778333
INFY,2017-04-25,15:30:00,925.90,933.00,920.55,929.60,2368530
INFY,2017-04-26,15:30:00,929.95,935.55,910.20,914.15,4542248
INFY,2017-04-27,15:30:00,916.00,929.00,916.00,927.20,3898604
INFY,2017-04-28,15:30:00,926.85,927.40,915.60,921.00,2514851
INFY,2017-05-02,15:30:00,924.00,926.40,915.10,923.15,1615563
INFY,2017-05-03,15:30:00,926.50,939.10,917.65,934.00,2329724
INFY,2017-05-04,15:30:00,937.00,939.65,928.90,936.00,2639903
INFY,2017-05-05,15:30:00,936.00,937.35,920.00,930.00,2216394
INFY,2017-05-08,15:30:00,938.00,948.55,932.00,943.10,2353549
INFY,2017-05-09,15:30:00,950.60,951.95,942.10,946.95,2824686
INFY,2017-05-10,15:30:00,947.15,950.00,937.15,945.30,1682151
INFY,2017-05-11,15:30:00,946.85,949.85,937.55,944.05,1614741
INFY,2017-05-12,15:30:00,953.00,966.00,951.45,965.45,5489998
INFY,2017-05-15,15:30:00,963.50,963.50,949.10,953.25,3648582
INFY,2017-05-16,15:30:00,953.10,960.15,946.95,956.00,3065084
INFY,2017-05-17,15:30:00,951.60,958.45,943.85,952.90,1457754
INFY,2017-05-18,15:30:00,943.00,973.90,942.85,960.25,4028924
INFY,2017-05-19,15:30:00,961.50,962.70,947.85,957.40,2128698
INFY,2017-05-22,15:30:00,958.40,966.90,956.55,960.00,2751526
INFY,2017-05-23,15:30:00,964.65,967.00,954.10,957.50,2019991
INFY,2017-05-24,15:30:00,960.00,965.50,949.60,957.00,2818143
INFY,2017-05-25,15:30:00,961.00,986.60,961.00,981.00,5219257
INFY,2017-05-26,15:30:00,987.00,1000.00,980.60,996.05,2494002
INFY,2017-05-29,15:30:00,990.90,996.70,975.70,986.00,3154217
INFY,2017-05-30,15:30:00,982.00,1000.00,978.65,993.00,1858455
INFY,2017-05-31,15:30:00,993.55,993.55,974.85,976.05,3881950
INFY,2017-06-01,15:30:00,969.30,979.70,958.55,971.25,2754303
INFY,2017-06-02,15:30:00,973.40,975.45,964.20,966.00,1958983
INFY,2017-06-05,15:30:00,970.00,972.00,957.05,959.00,2731349
INFY,2017-06-06,15:30:00,965.00,987.50,964.40,980.00,3504343
INFY,2017-06-07,15:30:00,985.00,988.90,945.00,959.30,6227523
