symbol,date,time,open,high,low,close,volume
ITC,2017-04-10,15:30:00,275.00,275.00,272.10,273.00,5476450
ITC,2017-04-11,15:30:00,273.10,282.60,271.80,281.85,10934606
ITC,2017-04-12,15:30:00,281.70,284.80,279.55,281.60,7229006
ITC,2017-04-13,15:30:00,281.90,282.00,277.50,278.15,3934247
ITC,2017-04-17,15:30:00,276.55,282.50,275.55,279.25,4831017
ITC,2017-04-18,15:30:00,280.20,284.00,278.10,279.70,4330981
ITC,2017-04-19,15:30:00,281.15,281.50,277.85,279.70,4952956
ITC,2017-04-20,15:30:00,279.70,281.50,278.35,280.45,4237611
ITC,2017-04-21,15:30:00,282.00,282.00,272.70,275.15,8706432
ITC,2017-04-24,15:30:00,276.40,277.55,271.15,276.80,7118774
ITC,2017-04-25,15:30:00,278.00,282.00,273.90,281.60,12721177
ITC,2017-04-26,15:30:00,283.30,292.90,282.00,291.10,18942043
ITC,2017-04-27,15:30:00,291.40,291.90,284.50,285.35,13553616
ITC,2017-04-28,15:30:00,285.80,286.50,277.35,277.80,12374841
ITC,2017-05-02,15:30:00,280.50,281.30,276.50,278.85,7028028
ITC,2017-05-03,15:30:00,279.50,279.50,275.50,276.80,6039290
ITC,2017-05-04,15:30:00,277.90,282.20,276.15,280.80,7771540
ITC,2017-05-05,15:30:00,280.95,280.95,276.40,277.55,4036786
ITC,2017-05-08,15:30:00,277.55,278.50,272.55,273.30,10629552
ITC,2017-05-09,15:30:00,273.50,276.65,271.00,271.55,6748832
ITC,2017-05-10,15:30:00,272.20,275.70,272.00,274.50,4578228
ITC,2017-05-11,15:30:00,275.50,279.15,274.00,276.10,9415397
ITC,2017-05-12,15:30:00,277.30,277.30,274.05,275.90,4499390
ITC,2017-05-15,15:30:00,275.90,278.90,275.50,278.50,5462855
ITC,2017-05-16,15:30:00,278.50,284.30,278.00,283.00,11204308
ITC,2017-05-17,15:30:00,284.10,284.40,279.25,281.50,8297700
ITC,2017-05-18,15:30:00,278.00,281.05,277.05,277.65,7924261
ITC,2017-05-19,15:30:00,282.25,295.65,281.95,286.40,35724128
ITC,2017-05-22,15:30:00,292.45,304.80,291.30,303.00,35939315
ITC,2017-05-23,15:30:00,301.90,303.90,298.25,300.00,19784738
ITC,2017-05-24,15:30:00,300.00,301.95,297.90,300.10,9457848
ITC,2017-05-25,15:30:00,300.00,304.70,295.35,301.00,22769975
ITC,2017-05-26,15:30:00,302.00,313.80,299.55,306.10,21742467
ITC,2017-05-29,15:30:00,304.00,319.85,303.50,315.35,19665146
ITC,2017-05-30,15:30:00,312.90,315.20,310.05,311.50,8547146
ITC,2017-05-31,15:30:00,311.45,313.40,307.00,312.85,12308066
ITC,2017-06-01,15:30:00,312.00,316.75,310.80,315.00,8253042
ITC,2017-06-02,15:30:00,316.10,319.90,315.20,319.30,11073749
ITC,2017-06-05,15:30:00,315.00,318.25,313.30,317.50,9482413
ITC,2017-06-06,15:30:00,317.50,319.00,309.30,311.30,9841205
ITC,2017-06-07,15:30:00,311.30,314.75,310.35,311.70,11534375
ITC,2017-06-08,15:30:00,313.00,313.25,309.40,311.20,7781415
ITC,2017-06-09,15:30:00,310.75,312.60,304.70,305.70,10065468
ITC,2017-06-12,15:30:00,307.00,307.50,302.50,304.25,6266299
ITC,2017-06-13,15:30:00,305.05,306.00,302.20,305.10,5107002
ITC,2017-06-14,15:30:00,304.95,306.00,299.15,299.80,14574048
ITC,2017-06-15,15:30:00,302.95,302.95,299.50,302.55,7427656
ITC,2017-06-16,15:30:00,302.50,309.60,302.50,305.85,12323676
ITC,2017-06-19,15:30:00,309.00,311.85,308.10,310.55,6982651
ITC,2017-06-20,15:30:00,312.00,312.20,308.10,309.20,8260929
ITC,2017-06-21,15:30:00,309.40,311.00,307.20,309.25,8279767
ITC,2017-06-22,15:30:00,308.65,314.20,308.20,311.05,8944754
ITC,2017-06-23,15:30:00,310.00,312.90,308.60,311.00,7176861
ITC,2017-06-27,15:30:00,311.75,316.50,311.00,311.00,9688675
ITC,2017-06-28,15:30:00,311.60,311.60,307.10,308.80,7919072
ITC,2017-06-29,15:30:00,309.10,313.25,308.60,310.10,9929212
ITC,2017-06-30,15:30:00,310.25,324.70,310.25,323.00,23196959
ITC,2017-07-03,15:30:00,346.00,354.80,340.30,342.80,47079622
ITC,2017-07-04,15:30:00,342.80,343.45,336.25,337.95,11232007
