symbol,date,time,open,high,low,close,volume
KOTAKBANK,2016-06-28,15:30:00,738.40,747.80,737.70,740.00,761264
KOTAKBANK,2016-06-29,15:30:00,745.00,754.00,742.65,750.95,1477280
KOTAKBANK,2016-06-30,15:30:00,759.90,766.55,754.25,761.45,3334365
KOTAKBANK,2016-07-01,15:30:00,764.00,766.00,750.90,752.50,1565210
KOTAKBANK,2016-07-04,15:30:00,755.50,756.25,741.20,742.90,1172694
KOTAKBANK,2016-07-05,15:30:00,744.45,747.40,738.40,740.00,1125300
KOTAKBANK,2016-07-07,15:30:00,741.00,751.50,739.15,745.00,963213
KOTAKBANK,2016-07-08,15:30:00,745.10,747.70,737.60,742.00,604463
KOTAKBANK,2016-07-11,15:30:00,750.95,763.00,747.10,761.50,1871614
KOTAKBANK,2016-07-12,15:30:00,765.00,766.75,757.95,762.05,1541569
KOTAKBANK,2016-07-13,15:30:00,763.45,776.75,760.45,775.30,2018597
KOTAKBANK,2016-07-14,15:30:00,779.00,784.00,774.40,775.75,1555879
KOTAKBANK,2016-07-15,15:30:00,779.00,781.00,767.65,771.55,2059278
KOTAKBANK,2016-07-18,15:30:00,775.00,782.85,769.35,780.00,2358938
KOTAKBANK,2016-07-19,15:30:00,779.50,781.45,769.40,777.80,1608870
KOTAKBANK,2016-07-20,15:30:00,778.00,784.35,778.00,781.90,1316948
KOTAKBANK,2016-07-21,15:30:00,786.50,787.50,759.00,760.50,3849134
KOTAKBANK,2016-07-22,15:30:00,762.00,764.90,753.25,759.95,1429617
KOTAKBANK,2016-07-25,15:30:00,761.95,773.20,750.00,765.10,3393118
KOTAKBANK,2016-07-26,15:30:00,765.50,766.00,746.35,753.90,1749020
KOTAKBANK,2016-07-27,15:30:00,752.10,760.00,745.50,752.65,1076756
KOTAKBANK,2016-07-28,15:30:00,756.00,760.05,745.65,755.00,3435526
KOTAKBANK,2016-07-29,15:30:00,751.50,766.15,749.30,763.00,1457598
KOTAKBANK,2016-08-01,15:30:00,766.00,769.45,748.00,756.50,1750650
KOTAKBANK,2016-08-02,15:30:00,750.30,763.00,749.90,761.15,1495743
KOTAKBANK,2016-08-03,15:30:00,759.00,764.00,754.80,757.45,1344312
KOTAKBANK,2016-08-04,15:30:00,759.75,761.30,751.00,755.95,1249512
KOTAKBANK,2016-08-05,15:30:00,759.80,776.00,756.60,770.55,2365366
KOTAKBANK,2016-08-08,15:30:00,777.00,781.80,767.95,769.05,1659840
KOTAKBANK,2016-08-09,15:30:00,772.80,772.90,760.10,765.50,877535
KOTAKBANK,2016-08-10,15:30:00,769.70,769.70,758.65,761.30,1093959
KOTAKBANK,2016-08-11,15:30:00,761.00,768.95,759.15,766.60,1006546
KOTAKBANK,2016-08-12,15:30:00,771.90,771.90,760.00,760.20,1128132
KOTAKBANK,2016-08-16,15:30:00,766.50,775.90,762.15,771.75,1826143
KOTAKBANK,2016-08-17,15:30:00,771.00,771.60,761.10,766.00,814886
KOTAKBANK,2016-08-18,15:30:00,766.90,785.95,766.85,784.00,1765760
KOTAKBANK,2016-08-19,15:30:00,785.95,785.95,774.00,780.00,996170
KOTAKBANK,2016-08-22,15:30:00,780.00,782.00,768.80,773.90,612762
