symbol,date,time,open,high,low,close,volume
LT,2015-10-28,15:30:00,1489.90,1499.00,1483.00,1494.05,1681474
LT,2015-10-29,15:30:00,1495.00,1495.95,1466.60,1468.50,1934401
LT,2015-10-30,15:30:00,1473.00,1497.70,1400.00,1407.90,7609622
LT,2015-11-02,15:30:00,1400.00,1404.00,1374.25,1385.90,4948639
LT,2015-11-03,15:30:00,1396.90,1396.90,1367.60,1369.00,3477277
LT,2015-11-04,15:30:00,1388.00,1388.00,1365.00,1368.45,2591003
LT,2015-11-05,15:30:00,1370.00,1379.55,1364.00,1367.00,2482285
LT,2015-11-06,15:30:00,1373.00,1386.50,1372.10,1376.55,1878548
LT,2015-11-09,19:00:00,1350.00,1364.00,1331.10,1357.20,2596587
LT,2015-11-10,15:30:00,1355.05,1367.50,1343.00,1350.00,2368611
LT,2015-11-11,19:05:00,1364.00,1368.90,1357.00,1368.00,424334
LT,2015-11-13,15:30:00,1359.00,1359.00,1330.00,1330.65,1819277
LT,2015-11-16,15:30:00,1329.50,1362.80,1326.00,1357.90,2302006
LT,2015-11-17,15:30:00,1368.50,1372.50,1345.00,1350.80,1863485
LT,2015-11-18,15:30:00,1354.00,1369.00,1341.00,1341.50,1691665
LT,2015-11-19,15:30:00,1358.00,1365.00,1350.10,1360.00,1204470
LT,2015-11-20,15:30:00,1362.40,1373.40,1344.50,1368.10,1695777
LT,2015-11-23,15:30:00,1370.00,1383.90,1365.05,1365.50,1452043
LT,2015-11-24,15:30:00,1363.00,1368.90,1337.50,1341.00,1741236
LT,2015-11-26,15:30:00,1349.75,1354.30,1330.15,1337.50,2717972
LT,2015-11-27,15:30:00,1336.40,1367.50,1336.00,1364.95,2308646
LT,2015-11-30,15:30:00,1364.85,1383.95,1364.00,1371.50,2408927
LT,2015-12-01,15:30:00,1375.00,1382.90,1360.55,1366.00,918083
LT,2015-12-02,15:30:00,1368.00,1374.00,1351.85,1353.55,1187481
LT,2015-12-03,15:30:00,1350.50,1364.90,1344.25,1348.00,1184154
LT,2015-12-04,15:30:00,1340.55,1351.30,1338.00,1339.10,1467437
LT,2015-12-07,15:30:00,1345.45,1351.50,1336.10,1340.15,1099343
LT,2015-12-08,15:30:00,1337.95,1340.00,1314.00,1315.25,1478559
LT,2015-12-09,15:30:00,1320.10,1324.95,1298.40,1300.90,2218455
LT,2015-12-10,15:30:00,1309.60,1317.75,1301.00,1309.55,1928874
LT,2015-12-11,15:30:00,1311.10,1313.75,1276.55,1286.40,2742679
LT,2015-12-14,15:30:00,1284.40,1292.35,1264.50,1277.25,2673504
LT,2015-12-15,15:30:00,1275.00,1289.30,1265.10,1282.00,2222164
LT,2015-12-16,15:30:00,1290.75,1299.00,1276.00,1281.10,2234035
LT,2015-12-17,15:30:00,1289.00,1299.70,1281.55,1295.30,2509524
LT,2015-12-18,15:30:00,1291.85,1308.60,1284.10,1287.00,2623330
LT,2015-12-21,15:30:00,1286.45,1297.70,1284.50,1291.00,1173446
LT,2015-12-22,15:30:00,1291.00,1296.90,1276.00,1278.25,1748333
LT,2015-12-23,15:30:00,1288.00,1299.00,1283.00,1290.00,1613453
LT,2015-12-24,15:30:00,1296.80,1301.50,1286.30,1294.00,1484965
LT,2015-12-28,15:30:00,1297.15,1300.20,1288.15,1289.00,1571842
LT,2015-12-29,15:30:00,1300.00,1301.00,1285.30,1288.00,1520061
LT,2015-12-30,15:30:00,1293.50,1298.00,1281.50,1283.50,1207818
LT,2015-12-31,15:30:00,1286.00,1286.55,1272.15,1277.00,1549912
LT,2016-01-01,15:30:00,1279.00,1291.00,1272.55,1288.10,751822
LT,2016-01-04,15:30:00,1286.00,1289.95,1253.30,1253.55,1844842
LT,2016-01-05,15:30:00,1262.80,1269.00,1252.50,1254.00,1646756
LT,2016-01-06,15:30:00,1259.00,1259.80,1235.00,1235.50,1819090
LT,2016-01-07,15:30:00,1228.15,1228.35,1200.00,1208.00,3126507
