symbol,date,time,open,high,low,close,volume
MARUTI,2017-04-10,15:30:00,6282.00,6307.80,6245.05,6265.00,318486
MARUTI,2017-04-11,15:30:00,6274.80,6305.00,6230.00,6241.25,373105
MARUTI,2017-04-12,15:30:00,6263.90,6263.90,6126.70,6149.40,415372
MARUTI,2017-04-13,15:30:00,6155.00,6175.00,6066.90,6070.60,386820
MARUTI,2017-04-17,15:30:00,6070.60,6137.50,6021.00,6122.00,342286
MARUTI,2017-04-18,15:30:00,6120.00,6234.35,6120.00,6126.00,453391
MARUTI,2017-04-19,15:30:00,6131.90,6222.35,6113.80,6206.00,366504
MARUTI,2017-04-20,15:30:00,6200.00,6303.15,6188.00,6255.00,466934
MARUTI,2017-04-21,15:30:00,6283.90,6295.05,6177.00,6181.95,294827
MARUTI,2017-04-24,15:30:00,6223.20,6335.00,6200.00,6304.85,426893
MARUTI,2017-04-25,15:30:00,6327.70,6350.00,6282.50,6330.35,384281
MARUTI,2017-04-26,15:30:00,6335.00,6424.75,6311.00,6395.45,540500
MARUTI,2017-04-27,15:30:00,6439.00,6450.00,6320.35,6355.00,1087684
MARUTI,2017-04-28,15:30:00,6410.00,6589.80,6390.55,6511.00,949573
MARUTI,2017-05-02,15:30:00,6676.00,6730.00,6618.00,6690.00,888539
MARUTI,2017-05-03,15:30:00,6714.80,6714.95,6631.10,6656.00,370021
MARUTI,2017-05-04,15:30:00,6662.00,6686.95,6626.00,6632.00,372533
MARUTI,2017-05-05,15:30:00,6625.55,6676.40,6602.00,6649.00,337498
MARUTI,2017-05-08,15:30:00,6688.00,6703.65,6612.55,6626.00,208481
MARUTI,2017-05-09,15:30:00,6666.00,6666.00,6615.00,6632.00,215203
MARUTI,2017-05-10,15:30:00,6645.00,6754.00,6635.90,6746.80,295859
MARUTI,2017-05-11,15:30:00,6749.00,6789.40,6711.10,6755.00,259056
MARUTI,2017-05-12,15:30:00,6798.00,6798.00,6691.00,6727.00,256491
MARUTI,2017-05-15,15:30:00,6759.40,6839.10,6733.45,6824.00,336356
MARUTI,2017-05-16,15:30:00,6850.00,6977.55,6830.00,6968.40,707624
MARUTI,2017-05-17,15:30:00,6950.00,6979.00,6885.85,6945.00,445461
MARUTI,2017-05-18,15:30:00,6918.30,6948.00,6814.45,6822.00,406814
MARUTI,2017-05-19,15:30:00,6854.80,6893.90,6691.55,6756.30,552223
MARUTI,2017-05-22,15:30:00,6803.95,6843.95,6689.25,6694.30,327493
MARUTI,2017-05-23,15:30:00,6765.00,6910.00,6743.65,6867.95,956457
MARUTI,2017-05-24,15:30:00,6903.00,6912.55,6813.00,6865.00,433647
MARUTI,2017-05-25,15:30:00,6879.95,7018.00,6835.00,6970.00,435721
MARUTI,2017-05-26,15:30:00,6971.15,7085.05,6936.20,7068.05,373937
MARUTI,2017-05-29,15:30:00,7050.00,7197.80,7025.55,7144.00,427378
MARUTI,2017-05-30,15:30:00,7134.45,7206.60,7084.15,7138.05,403698
MARUTI,2017-05-31,15:30:00,7138.00,7248.00,7134.95,7219.75,650259
MARUTI,2017-06-01,15:30:00,7242.00,7245.00,7110.10,7150.00,649217
MARUTI,2017-06-02,15:30:00,7182.00,7187.70,7100.00,7110.60,310268
MARUTI,2017-06-05,15:30:00,7139.80,7161.90,7091.10,7116.05,296147
MARUTI,2017-06-06,15:30:00,7134.00,7154.30,7085.05,7118.95,324579
MARUTI,2017-06-07,15:30:00,7135.00,7225.00,7107.60,7198.00,518152
MARUTI,2017-06-08,15:30:00,7199.00,7274.95,7198.00,7260.00,426525
MARUTI,2017-06-09,15:30:00,7271.00,7480.90,7230.00,7474.90,1122640
MARUTI,2017-06-12,15:30:00,7445.00,7450.00,7355.50,7375.00,454342
MARUTI,2017-06-13,15:30:00,7394.60,7455.00,7335.00,7342.00,607567
MARUTI,2017-06-14,15:30:00,7343.00,7392.45,7331.85,7352.00,277472
MARUTI,2017-06-15,15:30:00,7348.35,7393.00,7272.15,7302.95,388150
MARUTI,2017-06-16,15:30:00,7332.00,7360.05,7250.00,7272.00,547028
MARUTI,2017-06-19,15:30:00,7314.00,7322.15,7235.00,7250.00,372747
MARUTI,2017-06-20,15:30:00,7265.00,7283.65,7190.30,7207.05,757716
MARUTI,2017-06-21,15:30:00,7220.00,7284.50,7153.30,7279.00,460423
MARUTI,2017-06-22,15:30:00,7291.00,7352.00,7288.00,7320.00,436033
MARUTI,2017-06-23,15:30:00,7321.25,7331.65,7205.00,7225.00,355854
MARUTI,2017-06-27,15:30:00,7239.50,7267.20,7155.10,7175.00,365667
MARUTI,2017-06-28,15:30:00,7213.95,7324.00,7205.00,7230.10,637214
MARUTI,2017-06-29,15:30:00,7254.90,7290.00,7205.00,7213.80,543979
MARUTI,2017-06-30,15:30:00,7214.80,7233.60,7157.15,7201.25,367886
MARUTI,2017-07-03,15:30:00,7238.90,7365.00,7211.20,7359.00,556846
MARUTI,2017-07-04,15:30:00,7386.00,7415.05,7340.00,7364.00,428293
MARUTI,2017-07-05,15:30:00,7374.75,7394.00,7332.00,7378.00,273869
MARUTI,2017-07-06,15:30:00,7377.65,7498.00,7376.20,7476.75,416512
MARUTI,2017-07-07,15:30:00,7470.00,7474.05,7420.00,7428.00,339803
MARUTI,2017-07-10,15:30:00,7500.50,7500.50,6700.00,7433.30,47433
MARUTI,2017-07-11,15:30:00,7473.90,7495.00,7400.00,7452.20,423681
MARUTI,2017-07-12,15:30:00,7485.00,7485.00,7435.10,7463.10,233096
MARUTI,2017-07-13,15:30:00,7490.00,7574.50,7465.15,7561.00,472029
MARUTI,2017-07-14,15:30:00,7574.95,7588.95,7520.00,7560.90,267450
MARUTI,2017-07-17,15:30:00,7571.95,7578.00,7504.30,7508.80,289180
MARUTI,2017-07-18,15:30:00,7525.00,7591.50,7515.00,7538.00,387214
MARUTI,2017-07-19,15:30:00,7564.25,7584.00,7535.00,7555.55,223986
MARUTI,2017-07-20,15:30:00,7580.00,7584.50,7480.05,7495.00,290547
MARUTI,2017-07-21,15:30:00,7500.00,7549.90,7445.00,7529.00,434483
MARUTI,2017-07-24,15:30:00,7554.00,7569.00,7495.00,7538.30,357195
MARUTI,2017-07-25,15:30:00,7573.00,7573.00,7493.55,7500.00,323585
MARUTI,2017-07-26,15:30:00,7539.00,7595.00,7504.00,7576.00,377790
MARUTI,2017-07-27,15:30:00,7615.00,7683.40,7536.00,7570.00,1148259
MARUTI,2017-07-28,15:30:00,7617.00,7673.60,7584.00,7624.10,459181
MARUTI,2017-07-31,15:30:00,7664.00,7765.00,7651.00,7745.10,505371
MARUTI,2017-08-01,15:30:00,7759.90,7920.00,7725.00,7855.00,1096934
MARUTI,2017-08-02,15:30:00,7878.90,7880.00,7775.00,7784.90,414448
MARUTI,2017-08-03,15:30:00,7794.00,7829.00,7711.00,7750.00,287116
