symbol,date,time,open,high,low,close,volume
NTPC,2017-04-10,15:30:00,168.05,168.95,165.25,166.80,2238457
NTPC,2017-04-11,15:30:00,167.05,167.90,163.30,166.70,14511861
NTPC,2017-04-12,15:30:00,167.40,168.25,164.30,164.80,7021276
NTPC,2017-04-13,15:30:00,165.00,165.45,164.20,164.55,3408959
NTPC,2017-04-17,15:30:00,164.70,165.00,158.40,159.70,7983940
NTPC,2017-04-18,15:30:00,160.50,163.45,160.00,161.65,4227842
NTPC,2017-04-19,15:30:00,161.70,165.90,161.10,164.70,4529005
NTPC,2017-04-20,15:30:00,164.80,164.90,163.20,163.40,1984256
NTPC,2017-04-21,15:30:00,164.05,167.50,163.95,167.00,7948581
NTPC,2017-04-24,15:30:00,167.20,168.45,165.75,165.95,2098164
NTPC,2017-04-25,15:30:00,166.95,167.00,163.55,165.35,3086736
NTPC,2017-04-26,15:30:00,165.45,166.45,164.40,165.55,3432662
NTPC,2017-04-27,15:30:00,165.25,166.45,163.00,163.75,4056946
NTPC,2017-04-28,15:30:00,164.00,165.20,163.40,164.50,2553330
NTPC,2017-05-02,15:30:00,164.65,165.60,161.30,162.00,3354986
NTPC,2017-05-03,15:30:00,163.00,164.55,161.35,162.15,3225307
NTPC,2017-05-04,15:30:00,162.60,163.35,162.15,162.50,2787407
NTPC,2017-05-05,15:30:00,162.35,162.40,159.45,159.65,2089934
NTPC,2017-05-08,15:30:00,159.40,161.35,159.40,161.00,3077275
NTPC,2017-05-09,15:30:00,161.35,161.55,159.85,160.95,2655499
NTPC,2017-05-10,15:30:00,161.35,162.95,161.20,162.15,2275501
NTPC,2017-05-11,15:30:00,162.30,162.45,159.75,160.30,3806389
NTPC,2017-05-12,15:30:00,160.05,161.60,158.00,159.00,2290107
NTPC,2017-05-15,15:30:00,159.00,160.00,157.80,159.70,1717401
NTPC,2017-05-16,15:30:00,159.75,160.90,159.40,159.50,4681106
NTPC,2017-05-17,15:30:00,160.50,161.80,158.50,158.90,7019965
NTPC,2017-05-18,15:30:00,158.00,159.35,157.30,158.15,5154286
NTPC,2017-05-19,15:30:00,159.40,160.70,158.10,159.30,2377482
NTPC,2017-05-22,15:30:00,159.30,160.25,157.75,158.05,2770087
NTPC,2017-05-23,15:30:00,158.00,158.40,155.10,156.60,2350667
NTPC,2017-05-24,15:30:00,157.10,158.85,155.60,156.00,2358345
NTPC,2017-05-25,15:30:00,156.65,157.15,154.80,156.20,4993490
NTPC,2017-05-26,15:30:00,156.25,156.60,155.50,156.00,2655798
NTPC,2017-05-29,15:30:00,156.90,157.80,153.15,157.40,6835953
NTPC,2017-05-30,15:30:00,156.50,163.50,156.40,161.00,4892516
NTPC,2017-05-31,15:30:00,160.10,162.70,159.80,160.00,5321261
NTPC,2017-06-01,15:30:00,160.20,161.60,159.55,160.35,1958555
NTPC,2017-06-02,15:30:00,160.95,163.40,160.80,162.30,4963173
NTPC,2017-06-05,15:30:00,162.25,163.10,161.50,162.55,2488677
NTPC,2017-06-06,15:30:00,163.00,163.00,157.75,157.95,4363411
NTPC,2017-06-07,15:30:00,157.70,158.50,156.95,157.80,8914640
NTPC,2017-06-08,15:30:00,158.10,158.30,156.80,157.85,1510725
NTPC,2017-06-09,15:30:00,158.00,159.55,156.35,158.00,2450095
NTPC,2017-06-12,15:30:00,158.00,158.80,155.80,158.20,3115761
NTPC,2017-06-13,15:30:00,158.25,160.30,158.10,159.85,3408581
NTPC,2017-06-14,15:30:00,160.30,160.30,158.40,160.00,2192186
NTPC,2017-06-15,15:30:00,159.55,162.50,158.25,158.65,5208833
NTPC,2017-06-16,15:30:00,159.05,161.25,159.05,160.80,4235495
NTPC,2017-06-19,15:30:00,161.10,161.70,159.35,160.55,2846564
NTPC,2017-06-20,15:30:00,160.25,160.80,158.65,159.00,2169234
