symbol,date,time,open,high,low,close,volume
ONGC,2017-04-10,15:30:00,187.30,187.75,186.20,186.50,3953031
ONGC,2017-04-11,15:30:00,187.60,188.40,186.85,187.90,7982429
ONGC,2017-04-12,15:30:00,188.05,188.70,185.75,186.50,4050669
ONGC,2017-04-13,15:30:00,187.00,187.30,184.35,184.90,3338347
ONGC,2017-04-17,15:30:00,185.40,185.40,182.50,183.35,3070001
ONGC,2017-04-18,15:30:00,183.35,184.40,180.50,180.75,3358340
ONGC,2017-04-19,15:30:00,181.00,181.95,179.20,180.05,4198156
ONGC,2017-04-20,15:30:00,181.15,183.40,178.50,179.25,9102962
ONGC,2017-04-21,15:30:00,180.10,182.05,179.70,180.10,4117134
ONGC,2017-04-24,15:30:00,180.50,182.20,180.50,181.35,4311732
ONGC,2017-04-25,15:30:00,182.40,182.45,180.45,181.30,5784684
ONGC,2017-04-26,15:30:00,181.60,181.80,179.80,179.95,4850265
ONGC,2017-04-27,15:30:00,180.70,180.80,178.30,178.60,7471812
ONGC,2017-04-28,15:30:00,180.00,187.15,179.40,186.05,10789077
ONGC,2017-05-02,15:30:00,188.00,193.90,187.65,191.80,17143827
ONGC,2017-05-03,15:30:00,193.95,194.75,190.65,191.15,6245067
ONGC,2017-05-04,15:30:00,192.00,192.45,188.40,188.70,4432281
ONGC,2017-05-05,15:30:00,188.50,188.60,182.25,183.55,8117137
ONGC,2017-05-08,15:30:00,184.60,188.20,184.00,185.85,5592129
ONGC,2017-05-09,15:30:00,186.90,187.75,185.50,186.00,4713977
ONGC,2017-05-10,15:30:00,186.95,188.45,185.60,187.95,4038348
ONGC,2017-05-11,15:30:00,189.10,190.25,183.10,183.85,10796830
ONGC,2017-05-12,15:30:00,184.75,186.40,184.00,185.00,6242350
ONGC,2017-05-15,15:30:00,187.30,188.30,186.15,186.90,5766195
ONGC,2017-05-16,15:30:00,187.45,187.50,184.60,185.00,6960470
ONGC,2017-05-17,15:30:00,185.20,186.65,183.90,184.30,6074714
ONGC,2017-05-18,15:30:00,184.40,184.40,180.50,180.70,4628258
ONGC,2017-05-19,15:30:00,181.90,182.65,179.15,180.20,5853904
ONGC,2017-05-22,15:30:00,181.05,181.60,176.60,177.20,5558525
ONGC,2017-05-23,15:30:00,177.90,177.90,173.70,174.30,5162996
ONGC,2017-05-24,15:30:00,174.30,176.25,172.90,173.90,6540417
ONGC,2017-05-25,15:30:00,174.80,175.65,173.50,174.85,8230189
ONGC,2017-05-26,15:30:00,174.70,177.50,174.30,175.80,6460263
ONGC,2017-05-29,15:30:00,174.50,177.30,171.20,175.10,6629243
