symbol,date,time,open,high,low,close,volume
POWERGRID,2016-06-28,15:30:00,154.55,156.00,153.65,156.00,3286146
POWERGRID,2016-06-29,15:30:00,155.80,160.35,155.55,159.00,5534277
POWERGRID,2016-06-30,15:30:00,160.00,163.85,159.30,163.00,10516670
POWERGRID,2016-07-01,15:30:00,164.00,166.40,163.00,164.90,5602957
POWERGRID,2016-07-04,15:30:00,166.70,167.30,164.65,165.00,3236074
POWERGRID,2016-07-05,15:30:00,165.30,165.80,160.80,161.05,3099561
POWERGRID,2016-07-07,15:30:00,161.00,164.15,160.20,163.80,3325327
POWERGRID,2016-07-08,15:30:00,163.50,165.40,161.60,164.00,4389695
POWERGRID,2016-07-11,15:30:00,166.10,171.15,165.95,166.30,6262540
POWERGRID,2016-07-12,15:30:00,167.00,169.00,166.05,166.55,5165027
POWERGRID,2016-07-13,15:30:00,166.85,168.45,160.70,161.45,6247588
POWERGRID,2016-07-14,15:30:00,162.55,165.60,161.90,165.45,4178500
POWERGRID,2016-07-15,15:30:00,166.05,166.40,163.10,164.35,3729344
POWERGRID,2016-07-18,15:30:00,164.60,165.80,162.60,163.15,2189039
POWERGRID,2016-07-19,15:30:00,163.30,167.00,163.00,166.70,3368236
POWERGRID,2016-07-20,15:30:00,167.00,170.00,166.90,167.90,3977678
POWERGRID,2016-07-21,15:30:00,168.30,168.35,161.80,162.60,2356485
POWERGRID,2016-07-22,15:30:00,163.50,168.05,162.85,167.55,4053425
POWERGRID,2016-07-25,15:30:00,166.55,169.60,166.15,168.20,2231660
POWERGRID,2016-07-26,15:30:00,169.25,173.00,167.20,172.70,4656838
POWERGRID,2016-07-27,15:30:00,173.00,173.70,171.55,172.50,4979070
POWERGRID,2016-07-28,15:30:00,172.90,178.85,172.15,177.70,17673858
POWERGRID,2016-07-29,15:30:00,177.10,177.50,174.70,176.00,6962353
POWERGRID,2016-08-01,15:30:00,176.00,179.90,175.65,178.00,6730685
POWERGRID,2016-08-02,15:30:00,177.50,180.20,176.05,178.75,3648970
POWERGRID,2016-08-03,15:30:00,179.00,179.10,173.70,175.40,6026326
POWERGRID,2016-08-04,15:30:00,176.80,179.35,176.35,178.25,5089138
POWERGRID,2016-08-05,15:30:00,179.00,181.20,176.05,176.65,4959223
POWERGRID,2016-08-08,15:30:00,177.00,180.00,175.50,178.60,5366541
POWERGRID,2016-08-09,15:30:00,178.50,179.65,175.50,175.85,3551638
POWERGRID,2016-08-10,15:30:00,176.10,176.50,173.60,175.00,2131683
POWERGRID,2016-08-11,15:30:00,174.10,176.55,172.45,173.90,2822105
POWERGRID,2016-08-12,15:30:00,174.20,179.00,174.20,178.15,2458124
POWERGRID,2016-08-16,15:30:00,178.80,183.10,176.25,176.90,12584689
POWERGRID,2016-08-17,15:30:00,177.95,178.80,174.25,174.50,6524484
POWERGRID,2016-08-18,15:30:00,177.00,183.20,176.25,182.65,11623683
POWERGRID,2016-08-19,15:30:00,183.00,183.00,179.30,180.60,9317106
POWERGRID,2016-08-22,15:30:00,181.45,182.80,180.75,181.70,6376211
POWERGRID,2016-08-23,15:30:00,181.45,183.40,180.00,181.70,4175820
POWERGRID,2016-08-24,15:30:00,182.30,183.00,181.10,182.20,2992034
POWERGRID,2016-08-25,15:30:00,182.50,185.00,180.50,182.40,7309913
POWERGRID,2016-08-26,15:30:00,182.65,183.40,180.20,180.40,3992579
POWERGRID,2016-08-29,15:30:00,181.20,181.35,177.60,180.05,1662934
POWERGRID,2016-08-30,15:30:00,180.90,183.80,179.70,183.80,2932197
POWERGRID,2016-08-31,15:30:00,183.10,184.50,181.85,183.60,3620117
POWERGRID,2016-09-01,15:30:00,183.50,185.00,182.25,184.40,3440430
POWERGRID,2016-09-02,15:30:00,184.55,185.00,182.30,183.50,2170349
POWERGRID,2016-09-06,15:30:00,184.75,187.70,183.80,186.05,5063107
POWERGRID,2016-09-07,15:30:00,186.10,187.00,183.90,184.55,2826563
POWERGRID,2016-09-08,15:30:00,183.90,187.65,181.65,186.10,3363950
POWERGRID,2016-09-09,15:30:00,186.00,186.65,183.40,184.10,2841605
POWERGRID,2016-09-12,15:30:00,182.60,183.40,179.75,180.05,2331270
POWERGRID,2016-09-14,15:30:00,179.95,181.05,178.50,179.80,3757990
POWERGRID,2016-09-15,15:30:00,180.40,180.40,174.05,175.50,5017570
POWERGRID,2016-09-16,15:30:00,176.30,180.50,173.15,173.80,12201034
POWERGRID,2016-09-19,15:30:00,175.70,178.20,174.25,177.25,2400079
POWERGRID,2016-09-20,15:30:00,177.65,179.40,177.00,178.00,2682936
POWERGRID,2016-09-21,15:30:00,178.10,180.10,174.55,175.35,2788843
POWERGRID,2016-09-22,15:30:00,177.10,180.30,176.20,178.25,2630455
POWERGRID,2016-09-23,15:30:00,178.25,179.40,175.70,176.00,4274739
POWERGRID,2016-09-26,15:30:00,175.70,178.30,174.85,175.25,3562557
POWERGRID,2016-09-27,15:30:00,176.65,178.15,175.85,176.35,3414102
POWERGRID,2016-09-28,15:30:00,176.20,179.10,176.20,178.00,2540053
POWERGRID,2016-09-29,15:30:00,178.75,182.10,171.70,174.20,7526759
POWERGRID,2016-09-30,15:30:00,174.10,177.70,171.55,176.30,6655428
POWERGRID,2016-10-03,15:30:00,177.15,182.90,175.60,181.80,5289415
POWERGRID,2016-10-04,15:30:00,181.50,182.70,180.45,180.90,4481602
POWERGRID,2016-10-05,15:30:00,181.15,183.40,180.40,180.70,3008118
POWERGRID,2016-10-06,15:30:00,181.30,182.25,177.50,177.80,3180505
POWERGRID,2016-10-07,15:30:00,177.90,179.60,176.30,177.40,2238796
POWERGRID,2016-10-10,15:30:00,177.20,179.00,177.20,177.75,2508185
POWERGRID,2016-10-13,15:30:00,177.55,177.85,173.70,175.00,8379738
POWERGRID,2016-10-14,15:30:00,175.80,178.50,172.55,178.00,2789366
POWERGRID,2016-10-17,15:30:00,176.30,177.65,174.80,175.00,2550834
POWERGRID,2016-10-18,15:30:00,176.75,177.80,175.00,176.50,4100567
