symbol,date,time,open,high,low,close,volume
RELIANCE,2016-06-28,15:30:00,956.40,961.55,955.00,958.00,1738370
RELIANCE,2016-06-29,15:30:00,962.00,968.95,960.00,967.00,1719857
RELIANCE,2016-06-30,15:30:00,972.00,977.50,967.05,969.00,2916329
RELIANCE,2016-07-01,15:30:00,972.75,976.80,970.00,974.75,1510979
RELIANCE,2016-07-04,15:30:00,975.50,993.60,975.50,986.35,1783750
RELIANCE,2016-07-05,15:30:00,986.10,1002.90,980.30,991.20,2596678
RELIANCE,2016-07-07,15:30:00,992.50,1000.50,986.15,988.10,2749648
RELIANCE,2016-07-08,15:30:00,987.00,989.00,976.35,977.60,1632225
RELIANCE,2016-07-11,15:30:00,991.00,994.95,985.50,991.55,1889606
RELIANCE,2016-07-12,15:30:00,995.25,1005.00,991.00,1003.40,2232685
RELIANCE,2016-07-13,15:30:00,1005.20,1016.70,1004.15,1008.00,3409386
RELIANCE,2016-07-14,15:30:00,1008.10,1014.10,998.25,1004.20,2459183
RELIANCE,2016-07-15,15:30:00,1009.00,1021.00,1003.50,1014.35,3198562
RELIANCE,2016-07-18,15:30:00,1028.00,1038.75,1001.75,1002.90,7339086
RELIANCE,2016-07-19,15:30:00,1006.00,1022.95,995.30,1022.50,3805750
RELIANCE,2016-07-20,15:30:00,1019.95,1028.30,1016.55,1022.75,2803645
RELIANCE,2016-07-21,15:30:00,1024.00,1025.00,1005.00,1006.20,1534044
RELIANCE,2016-07-22,15:30:00,1006.00,1017.80,1005.10,1015.90,1577114
RELIANCE,2016-07-25,15:30:00,1014.00,1023.75,1007.35,1020.50,1883884
RELIANCE,2016-07-26,15:30:00,1023.00,1034.80,1015.20,1022.25,2403872
RELIANCE,2016-07-27,15:30:00,1023.05,1026.00,1008.95,1011.20,2521448
RELIANCE,2016-07-28,15:30:00,1014.95,1030.50,1013.05,1024.00,3568375
RELIANCE,2016-07-29,15:30:00,1024.00,1024.90,1012.00,1016.05,2201164
RELIANCE,2016-08-01,15:30:00,1018.00,1020.30,1005.05,1009.00,1823694
RELIANCE,2016-08-02,15:30:00,1008.00,1020.00,1006.30,1013.00,1762408
RELIANCE,2016-08-03,15:30:00,1014.40,1014.40,991.50,992.90,2713804
RELIANCE,2016-08-04,15:30:00,999.00,1000.00,983.40,995.20,2328716
RELIANCE,2016-08-05,15:30:00,998.00,1019.00,997.05,1018.00,2767914
RELIANCE,2016-08-08,15:30:00,1019.90,1034.00,1018.65,1027.30,3098753
RELIANCE,2016-08-09,15:30:00,1027.00,1034.50,1021.00,1029.90,3038046
RELIANCE,2016-08-10,15:30:00,1031.25,1034.55,1002.00,1002.20,3079463
RELIANCE,2016-08-11,15:30:00,1001.95,1022.85,999.60,1014.00,3238899
RELIANCE,2016-08-12,15:30:00,1017.00,1042.90,1017.00,1032.55,3740861
RELIANCE,2016-08-16,15:30:00,1036.25,1044.80,1015.50,1023.65,3055603
RELIANCE,2016-08-17,15:30:00,1024.10,1028.80,1007.20,1014.00,3539970
RELIANCE,2016-08-18,15:30:00,1016.00,1023.65,1016.00,1018.00,1771449
RELIANCE,2016-08-19,15:30:00,1018.00,1022.00,1007.10,1013.30,1869308
RELIANCE,2016-08-22,15:30:00,1012.00,1019.70,1007.20,1010.05,1527904
RELIANCE,2016-08-23,15:30:00,1012.00,1015.00,1005.00,1011.20,1673328
RELIANCE,2016-08-24,15:30:00,1011.70,1021.95,1011.00,1021.25,1993153
RELIANCE,2016-08-25,15:30:00,1021.20,1029.00,1009.00,1013.95,3419775
RELIANCE,2016-08-26,15:30:00,1017.90,1030.80,1014.60,1026.60,2203465
RELIANCE,2016-08-29,15:30:00,1027.25,1059.75,1026.10,1059.30,3701495
RELIANCE,2016-08-30,15:30:00,1062.00,1068.50,1053.00,1064.75,4153522
RELIANCE,2016-08-31,15:30:00,1064.90,1074.00,1047.00,1047.90,5324960
RELIANCE,2016-09-01,15:30:00,1053.00,1072.75,1025.70,1028.05,9742454
RELIANCE,2016-09-02,15:30:00,1031.10,1032.55,1002.30,1013.00,6428814
RELIANCE,2016-09-06,15:30:00,1019.90,1025.00,1015.00,1021.70,2631091
RELIANCE,2016-09-07,15:30:00,1022.00,1027.05,1013.05,1017.00,2954995
RELIANCE,2016-09-08,15:30:00,1023.05,1035.95,1020.20,1034.00,2790196
RELIANCE,2016-09-09,15:30:00,1035.00,1049.90,1030.00,1041.50,3490441
RELIANCE,2016-09-12,15:30:00,1030.40,1056.00,1029.15,1046.95,7699800
RELIANCE,2016-09-14,15:30:00,1048.00,1059.00,1040.90,1043.00,4252754
RELIANCE,2016-09-15,15:30:00,1047.00,1070.20,1047.00,1064.80,7170885
RELIANCE,2016-09-16,15:30:00,1067.00,1093.85,1059.10,1072.90,8988926
RELIANCE,2016-09-19,15:30:00,1072.55,1088.00,1071.00,1083.00,3812324
RELIANCE,2016-09-20,15:30:00,1084.00,1084.75,1069.05,1073.55,2635854
RELIANCE,2016-09-21,15:30:00,1074.00,1084.90,1069.00,1070.00,2501476
RELIANCE,2016-09-22,15:30:00,1083.00,1095.80,1079.00,1086.95,4288544
RELIANCE,2016-09-23,15:30:00,1089.00,1109.45,1089.00,1101.60,7105725
RELIANCE,2016-09-26,15:30:00,1103.40,1129.55,1100.25,1106.30,8734943
RELIANCE,2016-09-27,15:30:00,1117.00,1125.95,1106.60,1110.90,4428693
RELIANCE,2016-09-28,15:30:00,1107.90,1108.00,1086.30,1089.00,5673488
RELIANCE,2016-09-29,15:30:00,1095.00,1110.75,1067.40,1074.55,4859746
RELIANCE,2016-09-30,15:30:00,1068.00,1094.55,1066.30,1084.50,2560105
RELIANCE,2016-10-03,15:30:00,1087.00,1107.95,1076.25,1090.00,4143109
RELIANCE,2016-10-04,15:30:00,1093.05,1108.30,1092.00,1095.00,2997544
RELIANCE,2016-10-05,15:30:00,1104.00,1106.50,1085.80,1090.00,2466397
RELIANCE,2016-10-06,15:30:00,1092.00,1126.25,1092.00,1112.00,4825630
RELIANCE,2016-10-07,15:30:00,1114.00,1123.05,1106.50,1106.95,3492838
RELIANCE,2016-10-10,15:30:00,1114.00,1122.00,1094.00,1096.00,2640973
RELIANCE,2016-10-13,15:30:00,1089.00,1089.05,1052.00,1058.50,5014667
RELIANCE,2016-10-14,15:30:00,1063.00,1082.00,1061.65,1078.95,3489473
RELIANCE,2016-10-17,15:30:00,1080.00,1080.80,1058.75,1060.40,2246237
RELIANCE,2016-10-18,15:30:00,1066.00,1082.75,1062.05,1079.55,2531133
RELIANCE,2016-10-19,15:30:00,1084.45,1094.70,1081.40,1087.00,3902656
RELIANCE,2016-10-20,15:30:00,1093.95,1098.00,1084.05,1086.10,2314521
RELIANCE,2016-10-21,15:30:00,1097.00,1097.00,1058.40,1065.00,9968242
RELIANCE,2016-10-24,15:30:00,1070.00,1074.00,1060.65,1063.30,2403099
RELIANCE,2016-10-25,15:30:00,1065.00,1065.25,1054.20,1063.50,1750711
RELIANCE,2016-10-26,15:30:00,1056.05,1059.45,1052.10,1054.50,2502055
RELIANCE,2016-10-27,15:30:00,1051.10,1053.90,1043.40,1050.50,2935574
RELIANCE,2016-10-28,15:30:00,1050.00,1058.00,1043.80,1056.00,1857917
RELIANCE,2016-11-01,15:30:00,1051.30,1055.95,1047.40,1052.00,2337011
RELIANCE,2016-11-02,15:30:00,1041.00,1042.85,1021.00,1026.40,1609225
RELIANCE,2016-11-03,15:30:00,1023.85,1034.75,1020.60,1021.90,1671371
RELIANCE,2016-11-04,15:30:00,1020.25,1026.90,1000.00,1006.55,2636911
RELIANCE,2016-11-07,15:30:00,1014.00,1016.55,999.05,1000.00,2172921
RELIANCE,2016-11-08,15:30:00,1005.70,1005.70,998.30,1003.90,3070346
RELIANCE,2016-11-09,15:30:00,950.00,1009.00,930.00,1003.00,4946573
RELIANCE,2016-11-10,15:30:00,1018.60,1028.95,1007.00,1008.05,2231907
RELIANCE,2016-11-11,15:30:00,997.85,1017.50,995.10,998.00,3377392
RELIANCE,2016-11-15,15:30:00,996.50,1000.00,979.55,982.85,3311592
RELIANCE,2016-11-16,15:30:00,995.00,996.80,980.70,982.05,3783226
RELIANCE,2016-11-17,15:30:00,986.00,998.15,974.40,977.05,2886635
RELIANCE,2016-11-18,15:30:00,985.00,992.70,982.00,986.40,4151928
RELIANCE,2016-11-21,15:30:00,987.55,993.55,983.20,993.00,3024712
RELIANCE,2016-11-22,15:30:00,997.70,1007.80,993.30,1001.30,4033660
RELIANCE,2016-11-23,15:30:00,1005.00,1010.50,999.55,1007.00,2996248
RELIANCE,2016-11-24,15:30:00,1005.55,1005.55,982.20,992.40,4323375
RELIANCE,2016-11-25,15:30:00,990.00,995.90,984.35,993.00,2389829
RELIANCE,2016-11-28,15:30:00,993.00,1000.60,984.10,986.50,1900161
RELIANCE,2016-11-29,15:30:00,989.00,1004.30,988.05,997.95,2259609
RELIANCE,2016-11-30,15:30:00,999.95,999.95,986.65,988.15,6308004
RELIANCE,2016-12-01,15:30:00,1000.00,1015.00,995.00,996.50,2886513
RELIANCE,2016-12-02,15:30:00,995.90,1005.00,991.80,995.60,2853045
RELIANCE,2016-12-05,15:30:00,995.00,999.70,986.50,993.05,911410
RELIANCE,2016-12-06,15:30:00,996.00,1006.55,994.60,1003.25,1537535
RELIANCE,2016-12-07,15:30:00,1004.00,1007.60,996.35,1001.85,1127113
RELIANCE,2016-12-08,15:30:00,1005.05,1021.80,1004.35,1019.55,2000230
RELIANCE,2016-12-09,15:30:00,1022.00,1031.85,1020.30,1028.95,1883333
RELIANCE,2016-12-12,15:30:00,1020.50,1041.70,1020.50,1024.90,2062700
RELIANCE,2016-12-13,15:30:00,1028.00,1041.00,1027.55,1039.00,2369453
RELIANCE,2016-12-14,15:30:00,1039.80,1064.45,1038.20,1056.35,5517829
RELIANCE,2016-12-15,15:30:00,1052.40,1067.60,1048.65,1051.00,4418967
RELIANCE,2016-12-16,15:30:00,1052.00,1062.00,1052.00,1055.85,3415537
RELIANCE,2016-12-19,15:30:00,1055.00,1066.95,1054.35,1060.55,3430950
RELIANCE,2016-12-20,15:30:00,1054.70,1061.00,1053.15,1060.00,2671719
