symbol,date,time,open,high,low,close,volume
SBIN,2017-04-10,15:30:00,289.80,290.35,286.55,290.00,10307875
SBIN,2017-04-11,15:30:00,289.30,295.15,288.80,294.30,11682024
SBIN,2017-04-12,15:30:00,294.00,295.45,289.10,290.25,13251421
SBIN,2017-04-13,15:30:00,290.25,293.10,290.00,292.00,9944020
SBIN,2017-04-17,15:30:00,291.10,292.75,288.50,290.20,8146800
SBIN,2017-04-18,15:30:00,291.05,296.90,288.40,291.55,13457050
SBIN,2017-04-19,15:30:00,291.55,291.75,282.90,284.90,18149995
SBIN,2017-04-20,15:30:00,283.90,286.90,282.20,284.85,14514929
SBIN,2017-04-21,15:30:00,287.00,287.00,279.25,282.40,12042308
SBIN,2017-04-24,15:30:00,283.25,287.85,280.90,286.05,10077853
SBIN,2017-04-25,15:30:00,287.50,288.80,285.00,285.90,11531902
SBIN,2017-04-26,15:30:00,287.10,289.50,283.35,285.75,13836891
SBIN,2017-04-27,15:30:00,286.45,287.95,281.05,282.90,22622372
SBIN,2017-04-28,15:30:00,283.00,290.75,282.50,289.40,14152004
SBIN,2017-05-02,15:30:00,290.25,292.50,287.10,288.35,9754789
SBIN,2017-05-03,15:30:00,289.40,293.20,285.80,289.40,13950914
SBIN,2017-05-04,15:30:00,294.00,300.00,293.10,299.80,24534923
SBIN,2017-05-05,15:30:00,301.00,304.90,292.15,295.95,34756331
SBIN,2017-05-08,15:30:00,296.10,300.75,293.90,298.80,11560550
SBIN,2017-05-09,15:30:00,300.90,300.90,295.25,296.40,7843574
SBIN,2017-05-10,15:30:00,297.00,298.15,293.00,294.85,8699405
SBIN,2017-05-11,15:30:00,295.90,299.40,294.45,297.70,11934889
SBIN,2017-05-12,15:30:00,300.00,302.60,296.00,297.85,13376269
SBIN,2017-05-15,15:30:00,298.40,302.00,297.50,300.85,10383539
SBIN,2017-05-16,15:30:00,302.00,308.40,299.35,308.05,17533439
SBIN,2017-05-17,15:30:00,308.00,308.80,305.50,307.05,14120513
SBIN,2017-05-18,15:30:00,304.85,307.90,302.00,302.00,15471393
SBIN,2017-05-19,15:30:00,304.45,315.30,302.00,308.95,55250969
SBIN,2017-05-22,15:30:00,308.95,309.40,293.20,294.40,35771221
SBIN,2017-05-23,15:30:00,295.00,295.90,287.25,288.85,19846852
SBIN,2017-05-24,15:30:00,290.05,290.45,281.65,283.25,16435958
SBIN,2017-05-25,15:30:00,284.15,291.35,283.55,290.00,15018467
SBIN,2017-05-26,15:30:00,290.50,291.00,285.30,289.00,12304394
SBIN,2017-05-29,15:30:00,288.90,290.85,283.30,283.60,10619968
SBIN,2017-05-30,15:30:00,283.40,289.75,281.05,288.50,9643418
SBIN,2017-05-31,15:30:00,289.00,291.50,287.20,288.15,10697171
SBIN,2017-06-01,15:30:00,287.95,291.40,284.60,287.85,12186700
SBIN,2017-06-02,15:30:00,289.90,290.50,286.35,287.20,12004368
SBIN,2017-06-05,15:30:00,288.05,289.75,286.75,287.25,7917410
SBIN,2017-06-06,15:30:00,292.00,292.95,286.60,287.40,12346121
SBIN,2017-06-07,15:30:00,288.20,291.50,287.20,290.90,10864355
SBIN,2017-06-08,15:30:00,292.00,292.00,287.75,288.45,8370299
SBIN,2017-06-09,15:30:00,288.30,289.40,285.80,288.45,10804887
SBIN,2017-06-12,15:30:00,286.75,287.00,284.30,284.65,10326846
SBIN,2017-06-13,15:30:00,285.40,287.00,283.00,283.45,9171049
SBIN,2017-06-14,15:30:00,285.90,286.30,282.60,284.40,11566255
SBIN,2017-06-15,15:30:00,283.85,285.80,281.35,283.85,11925641
SBIN,2017-06-16,15:30:00,284.70,286.65,283.25,285.95,19246907
SBIN,2017-06-19,15:30:00,286.60,289.85,285.30,287.70,14848661
SBIN,2017-06-20,15:30:00,287.60,291.00,285.60,290.20,14927701
SBIN,2017-06-21,15:30:00,288.25,292.45,288.25,290.60,10537576
SBIN,2017-06-22,15:30:00,291.25,295.90,291.05,293.70,26110402
SBIN,2017-06-23,15:30:00,294.75,295.55,287.80,288.95,20648597
SBIN,2017-06-27,15:30:00,289.25,289.45,276.80,280.00,25523129
SBIN,2017-06-28,15:30:00,277.60,278.45,273.75,276.25,17241351
SBIN,2017-06-29,15:30:00,277.15,279.30,271.65,272.80,30457363
SBIN,2017-06-30,15:30:00,272.00,274.75,269.70,273.55,12235472
SBIN,2017-07-03,15:30:00,274.10,275.50,272.55,275.30,8951033
SBIN,2017-07-04,15:30:00,275.00,276.45,272.05,273.30,7856082
SBIN,2017-07-05,15:30:00,273.90,275.60,272.35,275.15,10048734
SBIN,2017-07-06,15:30:00,275.05,282.70,274.60,280.85,16115817
SBIN,2017-07-07,15:30:00,280.60,282.40,279.20,279.90,5914038
SBIN,2017-07-10,15:30:00,300.00,300.00,280.85,285.30,2171603
SBIN,2017-07-11,15:30:00,287.50,289.70,283.00,283.75,12400820
SBIN,2017-07-12,15:30:00,284.70,288.40,283.20,287.80,7524835
SBIN,2017-07-13,15:30:00,288.90,290.00,286.55,288.35,8434324
SBIN,2017-07-14,15:30:00,288.80,293.60,287.25,291.50,13750192
SBIN,2017-07-17,15:30:00,292.80,294.10,289.65,293.25,10549310
SBIN,2017-07-18,15:30:00,291.85,296.40,290.00,290.50,11913832
SBIN,2017-07-19,15:30:00,291.50,294.00,291.40,293.95,9006728
SBIN,2017-07-20,15:30:00,293.00,294.25,290.05,291.30,6256500
SBIN,2017-07-21,15:30:00,291.05,292.20,288.25,290.80,7266604
SBIN,2017-07-24,15:30:00,290.80,296.30,290.70,294.50,11195781
SBIN,2017-07-25,15:30:00,296.00,297.30,294.65,296.45,10846999
SBIN,2017-07-26,15:30:00,296.25,299.65,295.25,296.00,12527914
SBIN,2017-07-27,15:30:00,297.00,299.85,296.20,298.35,22286060
SBIN,2017-07-28,15:30:00,297.00,300.75,295.60,299.20,15766196
SBIN,2017-07-31,15:30:00,299.40,313.85,298.00,312.80,41547584
SBIN,2017-08-01,15:30:00,314.00,314.80,307.95,309.25,14888804
SBIN,2017-08-02,15:30:00,310.00,311.80,305.30,305.60,17005571
SBIN,2017-08-03,15:30:00,307.00,307.40,299.10,300.65,14459919
SBIN,2017-08-04,15:30:00,300.30,306.30,297.60,305.80,9615344
SBIN,2017-08-07,15:30:00,305.80,311.80,305.15,310.60,11420767
SBIN,2017-08-08,15:30:00,311.00,311.80,301.20,305.00,13578680
SBIN,2017-08-09,15:30:00,302.75,307.45,300.10,301.35,15852734
SBIN,2017-08-10,15:30:00,301.20,302.40,292.00,298.00,14519518
SBIN,2017-08-11,15:30:00,294.50,303.00,277.45,280.35,67652562
SBIN,2017-08-14,15:30:00,281.45,282.40,276.50,277.80,23773509
SBIN,2017-08-16,15:30:00,279.05,283.90,274.20,283.20,21074533
SBIN,2017-08-17,15:30:00,283.80,284.70,280.00,280.80,12134114
SBIN,2017-08-18,15:30:00,278.00,279.65,276.00,278.30,12653217
SBIN,2017-08-21,15:30:00,279.00,280.65,273.35,274.55,9247153
SBIN,2017-08-22,15:30:00,276.00,277.00,271.20,274.05,11814388
SBIN,2017-08-23,15:30:00,274.75,279.70,274.20,278.70,11317821
SBIN,2017-08-24,15:30:00,279.70,281.45,277.50,280.10,14138226
SBIN,2017-08-28,15:30:00,282.10,282.10,279.00,279.30,10505317
SBIN,2017-08-29,15:30:00,278.45,280.85,276.05,276.35,10335964
SBIN,2017-08-30,15:30:00,278.00,279.25,276.00,276.65,7648702
SBIN,2017-08-31,15:30:00,276.85,279.50,274.20,278.50,14222467
SBIN,2017-09-01,15:30:00,277.65,280.40,276.60,278.00,8255209
SBIN,2017-09-04,15:30:00,278.95,279.60,276.40,277.45,7168751
SBIN,2017-09-05,15:30:00,278.10,279.50,275.95,276.60,9565430
SBIN,2017-09-06,15:30:00,275.95,276.65,273.65,274.10,7306781
SBIN,2017-09-07,15:30:00,275.40,276.90,273.10,273.95,16102724
SBIN,2017-09-08,15:30:00,274.90,275.40,271.10,271.50,7077895
SBIN,2017-09-11,15:30:00,272.60,273.50,269.55,270.60,14489224
SBIN,2017-09-12,15:30:00,272.00,275.65,270.50,273.60,8375133
SBIN,2017-09-13,15:30:00,274.95,276.60,272.50,272.95,10150073
SBIN,2017-09-14,15:30:00,273.40,275.60,272.30,274.40,8015217
SBIN,2017-09-15,15:30:00,270.75,274.50,269.90,271.50,18404860
