symbol,date,time,open,high,low,close,volume
TATAMOTORS,2017-04-10,15:30:00,471.65,478.30,467.55,475.80,5437523
TATAMOTORS,2017-04-11,15:30:00,477.90,478.35,471.10,472.55,4887918
TATAMOTORS,2017-04-12,15:30:00,468.70,471.55,461.60,465.05,5991598
TATAMOTORS,2017-04-13,15:30:00,461.85,463.35,451.20,455.20,5930185
TATAMOTORS,2017-04-17,15:30:00,452.00,455.70,447.30,447.50,4913930
TATAMOTORS,2017-04-18,15:30:00,452.00,455.75,442.50,443.40,4235130
TATAMOTORS,2017-04-19,15:30:00,443.00,449.50,438.30,444.95,6319332
TATAMOTORS,2017-04-20,15:30:00,447.85,447.85,442.10,444.10,3288900
TATAMOTORS,2017-04-21,15:30:00,446.75,448.45,437.60,440.20,5325590
TATAMOTORS,2017-04-24,15:30:00,439.80,449.00,438.75,443.90,6214069
TATAMOTORS,2017-04-25,15:30:00,445.85,447.75,443.30,446.30,5894090
TATAMOTORS,2017-04-26,15:30:00,446.00,454.40,445.50,451.00,8438042
TATAMOTORS,2017-04-27,15:30:00,455.00,460.90,452.70,455.00,10589249
TATAMOTORS,2017-04-28,15:30:00,457.10,462.00,454.40,459.35,5126904
TATAMOTORS,2017-05-02,15:30:00,456.60,457.20,448.55,450.50,6071958
TATAMOTORS,2017-05-03,15:30:00,451.35,456.00,444.65,445.95,5158586
TATAMOTORS,2017-05-04,15:30:00,446.65,448.10,435.15,437.00,6204022
TATAMOTORS,2017-05-05,15:30:00,436.50,436.50,418.00,419.90,9487539
TATAMOTORS,2017-05-08,15:30:00,424.75,428.70,417.25,422.60,7427873
TATAMOTORS,2017-05-09,15:30:00,424.75,428.80,422.70,426.90,2833132
TATAMOTORS,2017-05-10,15:30:00,427.80,433.00,424.00,432.00,5378402
TATAMOTORS,2017-05-11,15:30:00,434.00,434.50,425.40,427.70,4049649
TATAMOTORS,2017-05-12,15:30:00,429.65,433.80,427.45,432.00,3850940
TATAMOTORS,2017-05-15,15:30:00,434.00,434.00,430.10,431.95,1885702
TATAMOTORS,2017-05-16,15:30:00,432.25,439.50,432.25,437.30,3452072
TATAMOTORS,2017-05-17,15:30:00,436.50,452.50,435.10,448.90,6572678
TATAMOTORS,2017-05-18,15:30:00,442.00,448.70,436.00,436.95,6158546
TATAMOTORS,2017-05-19,15:30:00,439.00,444.95,434.60,443.10,4387481
TATAMOTORS,2017-05-22,15:30:00,446.00,452.75,442.60,449.20,6145914
TATAMOTORS,2017-05-23,15:30:00,451.45,456.45,444.30,447.90,10330814
TATAMOTORS,2017-05-24,15:30:00,470.00,473.35,458.10,470.50,27370795
TATAMOTORS,2017-05-25,15:30:00,470.00,479.00,464.70,474.80,15108872
TATAMOTORS,2017-05-26,15:30:00,474.10,488.25,473.50,481.00,7692869
TATAMOTORS,2017-05-29,15:30:00,482.50,485.00,471.80,483.50,4253044
TATAMOTORS,2017-05-30,15:30:00,482.70,487.00,480.00,480.70,3101380
TATAMOTORS,2017-05-31,15:30:00,482.30,483.00,474.80,476.40,5393856
TATAMOTORS,2017-06-01,15:30:00,476.95,479.70,473.55,477.00,3001232
TATAMOTORS,2017-06-02,15:30:00,480.00,485.95,477.70,477.95,4319080
TATAMOTORS,2017-06-05,15:30:00,478.30,481.90,475.20,478.60,2464819
TATAMOTORS,2017-06-06,15:30:00,482.90,484.35,457.60,461.70,8016939
TATAMOTORS,2017-06-07,15:30:00,462.55,463.65,453.50,458.60,5250544
TATAMOTORS,2017-06-08,15:30:00,459.50,463.45,457.35,460.65,4066322
TATAMOTORS,2017-06-09,15:30:00,459.95,468.00,455.00,466.90,4598706
TATAMOTORS,2017-06-12,15:30:00,463.75,465.25,455.20,455.55,4341696
TATAMOTORS,2017-06-13,15:30:00,457.15,458.75,448.00,448.50,3577406
TATAMOTORS,2017-06-14,15:30:00,450.80,453.40,447.05,452.00,3605931
TATAMOTORS,2017-06-15,15:30:00,452.00,457.85,446.95,447.20,3879154
TATAMOTORS,2017-06-16,15:30:00,454.70,458.40,452.00,455.35,7042094
