symbol,date,time,open,high,low,close,volume
TATAMTRDVR,2016-06-28,15:30:00,295.80,295.90,286.40,288.10,3563300
TATAMTRDVR,2016-06-29,15:30:00,291.00,292.75,286.60,286.80,4997896
TATAMTRDVR,2016-06-30,15:30:00,290.25,294.80,289.30,292.90,6763831
TATAMTRDVR,2016-07-01,15:30:00,294.00,297.40,290.30,292.20,2412068
TATAMTRDVR,2016-07-04,15:30:00,296.00,304.40,295.10,303.85,3205282
TATAMTRDVR,2016-07-05,15:30:00,303.00,303.40,295.10,295.55,1407106
TATAMTRDVR,2016-07-07,15:30:00,295.35,298.25,290.15,290.50,2189969
TATAMTRDVR,2016-07-08,15:30:00,294.80,297.80,292.75,295.80,2483303
TATAMTRDVR,2016-07-11,15:30:00,300.00,308.85,299.00,306.40,2025590
TATAMTRDVR,2016-07-12,15:30:00,310.50,313.40,308.10,309.00,1936852
TATAMTRDVR,2016-07-13,15:30:00,311.25,312.00,303.20,305.90,1797658
TATAMTRDVR,2016-07-14,15:30:00,304.60,312.30,304.60,310.00,1095984
TATAMTRDVR,2016-07-15,15:30:00,311.25,318.70,303.50,311.95,2679487
TATAMTRDVR,2016-07-18,15:30:00,314.90,322.25,312.55,313.45,2215229
TATAMTRDVR,2016-07-19,15:30:00,314.30,322.00,314.30,320.00,1585590
TATAMTRDVR,2016-07-20,15:30:00,319.80,322.80,318.95,319.10,1166301
TATAMTRDVR,2016-07-21,15:30:00,321.70,326.35,317.25,320.00,1778687
TATAMTRDVR,2016-07-22,15:30:00,321.00,330.95,319.25,330.70,1627600
TATAMTRDVR,2016-07-25,15:30:00,330.50,333.00,328.20,330.40,1849153
TATAMTRDVR,2016-07-26,15:30:00,333.00,334.00,324.45,326.90,1341273
TATAMTRDVR,2016-07-27,15:30:00,327.80,331.70,322.65,330.40,1875507
TATAMTRDVR,2016-07-28,15:30:00,331.00,331.65,323.30,330.00,4335354
TATAMTRDVR,2016-07-29,15:30:00,327.70,331.70,322.60,323.55,1159594
TATAMTRDVR,2016-08-01,15:30:00,328.00,333.95,325.60,330.45,1150689
TATAMTRDVR,2016-08-02,15:30:00,331.00,334.80,321.25,323.00,2885984
TATAMTRDVR,2016-08-03,15:30:00,324.90,327.80,312.20,312.50,1322928
TATAMTRDVR,2016-08-04,15:30:00,314.20,324.35,314.20,321.40,2900196
TATAMTRDVR,2016-08-05,15:30:00,325.00,332.70,322.05,331.80,1742139
TATAMTRDVR,2016-08-08,15:30:00,335.90,338.10,333.85,333.90,1561056
TATAMTRDVR,2016-08-09,15:30:00,337.00,339.35,330.85,336.25,1492336
TATAMTRDVR,2016-08-10,15:30:00,336.35,337.95,329.60,333.35,1759550
TATAMTRDVR,2016-08-11,15:30:00,333.00,334.30,325.70,328.10,962902
TATAMTRDVR,2016-08-12,15:30:00,330.00,337.50,330.00,335.65,992433
TATAMTRDVR,2016-08-16,15:30:00,337.00,337.00,326.50,330.90,1460134
TATAMTRDVR,2016-08-17,15:30:00,332.90,334.70,330.70,332.50,795373
TATAMTRDVR,2016-08-18,15:30:00,334.50,340.00,332.55,337.10,764942
TATAMTRDVR,2016-08-19,15:30:00,336.55,342.55,336.10,337.30,993684
TATAMTRDVR,2016-08-22,15:30:00,338.40,339.25,330.90,331.90,631597
TATAMTRDVR,2016-08-23,15:30:00,331.75,332.25,325.60,327.95,2477632
