symbol,date,time,open,high,low,close,volume
TATAPOWER,2017-04-10,15:30:00,87.80,87.85,86.85,87.00,5509757
TATAPOWER,2017-04-11,15:30:00,87.45,90.15,81.15,85.50,32224697
TATAPOWER,2017-04-12,15:30:00,85.05,86.30,84.10,85.65,7643076
TATAPOWER,2017-04-13,15:30:00,84.70,85.20,83.90,85.00,4775644
TATAPOWER,2017-04-17,15:30:00,84.90,84.90,83.70,84.10,6224581
TATAPOWER,2017-04-18,15:30:00,84.15,84.55,83.35,83.50,4184680
TATAPOWER,2017-04-19,15:30:00,84.15,86.65,84.10,85.95,7511675
TATAPOWER,2017-04-20,15:30:00,86.20,86.25,83.95,84.30,3216298
TATAPOWER,2017-04-21,15:30:00,85.35,85.35,83.70,84.30,3326507
TATAPOWER,2017-04-24,15:30:00,84.45,86.30,84.20,86.00,2678461
TATAPOWER,2017-04-25,15:30:00,86.75,86.85,84.95,85.05,4439588
TATAPOWER,2017-04-26,15:30:00,85.20,85.60,84.80,85.05,3153522
TATAPOWER,2017-04-27,15:30:00,85.05,85.50,83.90,84.25,4571169
TATAPOWER,2017-04-28,15:30:00,84.30,85.00,83.90,84.75,2302640
TATAPOWER,2017-05-02,15:30:00,84.35,84.65,83.40,83.55,1944305
TATAPOWER,2017-05-03,15:30:00,84.00,84.05,82.05,82.20,2287917
TATAPOWER,2017-05-04,15:30:00,82.20,83.30,81.75,83.30,3787868
TATAPOWER,2017-05-05,15:30:00,82.75,84.15,82.50,83.10,2399071
TATAPOWER,2017-05-08,15:30:00,83.20,83.50,82.50,83.20,2569523
TATAPOWER,2017-05-09,15:30:00,83.30,83.35,82.70,83.15,1743406
TATAPOWER,2017-05-10,15:30:00,83.30,83.55,81.40,81.70,5865523
TATAPOWER,2017-05-11,15:30:00,82.00,83.05,81.60,83.05,2866991
TATAPOWER,2017-05-12,15:30:00,82.60,82.85,82.00,82.25,1575436
TATAPOWER,2017-05-15,15:30:00,82.55,83.80,82.15,83.55,2007841
TATAPOWER,2017-05-16,15:30:00,83.90,85.95,83.40,83.70,5141578
