symbol,date,time,open,high,low,close,volume
TATASTEEL,2015-10-28,15:30:00,244.50,248.50,244.00,246.95,3436974
TATASTEEL,2015-10-29,15:30:00,246.30,251.45,244.70,249.05,4589032
TATASTEEL,2015-10-30,15:30:00,248.40,254.80,245.15,245.95,6173260
TATASTEEL,2015-11-02,15:30:00,246.50,246.60,236.30,238.50,4909596
TATASTEEL,2015-11-03,15:30:00,241.70,243.00,234.90,235.15,4492769
TATASTEEL,2015-11-04,15:30:00,239.15,240.00,233.85,234.55,4861348
TATASTEEL,2015-11-05,15:30:00,236.00,236.00,224.30,224.55,8801639
TATASTEEL,2015-11-06,15:30:00,218.90,221.85,215.10,219.20,9906366
TATASTEEL,2015-11-09,19:00:00,215.00,224.40,212.65,221.05,6272638
TATASTEEL,2015-11-10,15:30:00,220.80,222.25,217.15,217.60,4536410
TATASTEEL,2015-11-11,19:05:00,220.45,221.75,219.75,220.75,772162
TATASTEEL,2015-11-13,15:30:00,218.70,223.60,216.60,222.45,4426975
TATASTEEL,2015-11-16,15:30:00,222.85,231.90,220.20,231.90,6923327
TATASTEEL,2015-11-17,15:30:00,231.90,235.75,230.90,235.50,5240948
TATASTEEL,2015-11-18,15:30:00,234.10,235.00,225.20,225.70,5283608
TATASTEEL,2015-11-19,15:30:00,227.50,229.70,225.60,228.75,3661120
TATASTEEL,2015-11-20,15:30:00,228.10,232.75,228.10,229.80,3859405
TATASTEEL,2015-11-23,15:30:00,230.85,230.85,223.10,224.70,4102378
TATASTEEL,2015-11-24,15:30:00,223.35,226.40,222.50,224.30,4179013
TATASTEEL,2015-11-26,15:30:00,225.50,230.00,224.20,227.65,4588073
TATASTEEL,2015-11-27,15:30:00,227.90,235.00,227.55,231.20,5393087
TATASTEEL,2015-11-30,15:30:00,232.40,234.40,228.80,229.00,4556796
TATASTEEL,2015-12-01,15:30:00,230.80,238.50,230.30,238.35,6586598
TATASTEEL,2015-12-02,15:30:00,239.95,245.90,238.10,243.40,8858386
TATASTEEL,2015-12-03,15:30:00,240.15,243.50,236.80,239.90,7107867
TATASTEEL,2015-12-04,15:30:00,238.05,244.25,237.10,240.50,5538118
TATASTEEL,2015-12-07,15:30:00,244.80,247.50,242.45,243.05,4936426
TATASTEEL,2015-12-08,15:30:00,242.05,243.05,233.50,233.95,4545921
TATASTEEL,2015-12-09,15:30:00,234.00,235.85,224.90,227.30,4727674
TATASTEEL,2015-12-10,15:30:00,227.25,234.75,226.50,233.90,4804837
TATASTEEL,2015-12-11,15:30:00,235.10,243.90,235.10,241.30,11922435
TATASTEEL,2015-12-14,15:30:00,239.00,248.90,238.45,245.15,11314471
TATASTEEL,2015-12-15,15:30:00,247.00,247.25,241.25,244.55,5218812
TATASTEEL,2015-12-16,15:30:00,246.55,248.60,242.10,245.40,5759897
TATASTEEL,2015-12-17,15:30:00,246.90,257.95,246.05,257.50,12112293
TATASTEEL,2015-12-18,15:30:00,256.50,257.95,254.00,255.95,6944209
TATASTEEL,2015-12-21,15:30:00,255.50,261.40,254.65,257.55,6195237
TATASTEEL,2015-12-22,15:30:00,259.00,261.80,256.55,257.40,4544256
