symbol,date,time,open,high,low,close,volume
TECHM,2015-10-28,15:30:00,536.70,554.00,536.50,548.95,1731286
TECHM,2015-10-29,15:30:00,550.00,556.55,545.15,548.35,3049427
TECHM,2015-10-30,15:30:00,549.00,550.25,537.10,537.60,879393
TECHM,2015-11-02,15:30:00,541.00,557.50,532.45,557.40,1862983
TECHM,2015-11-03,15:30:00,558.30,563.00,548.50,558.80,1884815
TECHM,2015-11-04,15:30:00,568.00,568.50,540.10,542.90,3424936
TECHM,2015-11-05,15:30:00,545.50,546.95,532.95,533.30,1057337
TECHM,2015-11-06,15:30:00,537.00,537.35,526.15,533.45,1218451
TECHM,2015-11-09,19:00:00,524.00,534.85,519.05,531.45,2136740
TECHM,2015-11-10,15:30:00,532.40,532.95,523.55,525.70,860680
TECHM,2015-11-11,19:05:00,529.90,529.90,524.20,524.80,101167
TECHM,2015-11-13,15:30:00,520.00,525.55,518.00,518.70,860928
TECHM,2015-11-16,15:30:00,518.00,518.55,508.00,517.00,1347660
TECHM,2015-11-17,15:30:00,516.05,527.75,516.05,521.10,2175347
TECHM,2015-11-18,15:30:00,523.50,530.40,515.00,517.10,892774
TECHM,2015-11-19,15:30:00,521.50,535.80,520.00,535.05,1214934
TECHM,2015-11-20,15:30:00,534.95,540.00,531.00,532.40,1126241
TECHM,2015-11-23,15:30:00,536.00,544.75,535.10,540.00,839938
TECHM,2015-11-24,15:30:00,535.10,543.75,532.45,536.20,985303
TECHM,2015-11-26,15:30:00,538.00,544.00,527.05,530.70,3051131
TECHM,2015-11-27,15:30:00,529.90,536.85,528.50,533.00,772320
TECHM,2015-11-30,15:30:00,534.90,541.20,530.00,531.75,2080681
TECHM,2015-12-01,15:30:00,533.00,543.10,533.00,542.90,1079295
TECHM,2015-12-02,15:30:00,543.00,545.60,537.15,540.15,715680
TECHM,2015-12-03,15:30:00,539.60,544.50,536.00,542.90,852540
TECHM,2015-12-04,15:30:00,539.95,544.60,534.00,536.30,938866
TECHM,2015-12-07,15:30:00,536.00,546.50,535.15,545.00,788606
TECHM,2015-12-08,15:30:00,544.95,546.00,528.60,529.00,1061492
TECHM,2015-12-09,15:30:00,531.00,537.50,525.10,528.00,1223560
TECHM,2015-12-10,15:30:00,530.40,540.50,523.80,538.30,702931
TECHM,2015-12-11,15:30:00,540.00,543.90,535.10,536.00,926348
TECHM,2015-12-14,15:30:00,527.00,545.00,527.00,543.00,773988
TECHM,2015-12-15,15:30:00,548.00,548.00,516.60,521.35,2697637
TECHM,2015-12-16,15:30:00,522.55,531.00,520.10,523.00,1399927
TECHM,2015-12-17,15:30:00,525.50,532.15,520.60,529.95,2067366
TECHM,2015-12-18,15:30:00,525.70,528.00,521.50,522.00,1534964
TECHM,2015-12-21,15:30:00,519.40,524.40,514.05,521.80,874232
TECHM,2015-12-22,15:30:00,524.00,526.80,518.90,519.85,666767
TECHM,2015-12-23,15:30:00,525.00,525.05,516.60,518.95,697224
TECHM,2015-12-24,15:30:00,520.00,521.75,516.00,516.50,453150
TECHM,2015-12-28,15:30:00,516.05,520.50,512.40,518.30,1083432
TECHM,2015-12-29,15:30:00,520.95,522.00,518.00,518.35,570433
TECHM,2015-12-30,15:30:00,519.50,528.00,519.25,524.00,1227498
TECHM,2015-12-31,15:30:00,523.30,526.00,520.35,522.75,421683
TECHM,2016-01-01,15:30:00,524.90,524.90,518.50,520.70,312042
TECHM,2016-01-04,15:30:00,520.05,521.30,505.00,513.55,2684305
TECHM,2016-01-05,15:30:00,516.95,523.30,516.60,520.65,1707124
TECHM,2016-01-06,15:30:00,522.00,527.00,520.80,525.00,1456740
TECHM,2016-01-07,15:30:00,521.10,522.45,504.00,513.65,2014798
TECHM,2016-01-08,15:30:00,516.00,526.25,512.75,524.00,1426135
TECHM,2016-01-11,15:30:00,517.00,517.00,505.85,506.90,1791903
TECHM,2016-01-12,15:30:00,507.95,509.30,498.00,506.10,1836753
TECHM,2016-01-13,15:30:00,508.00,512.25,496.75,505.00,1431164
TECHM,2016-01-14,15:30:00,497.00,516.00,494.05,515.00,2022474
TECHM,2016-01-15,15:30:00,519.00,529.95,511.85,523.00,1612782
TECHM,2016-01-18,15:30:00,516.00,526.95,514.20,516.70,1035936
TECHM,2016-01-19,15:30:00,518.00,521.60,510.10,513.00,978429
TECHM,2016-01-20,15:30:00,507.25,512.80,503.60,511.00,2002842
TECHM,2016-01-21,15:30:00,508.00,516.30,506.55,507.05,1873696
TECHM,2016-01-22,15:30:00,513.00,516.75,503.70,516.00,894565
TECHM,2016-01-25,15:30:00,517.00,523.75,513.50,514.65,689789
TECHM,2016-01-27,15:30:00,514.00,515.60,501.00,505.25,2171390
TECHM,2016-01-28,15:30:00,505.00,509.25,495.90,502.00,2091098
TECHM,2016-01-29,15:30:00,500.00,505.65,492.95,501.00,1583928
TECHM,2016-02-01,15:30:00,504.95,518.40,496.15,496.75,2717866
TECHM,2016-02-02,15:30:00,496.00,499.35,472.10,473.85,5733789
TECHM,2016-02-03,15:30:00,471.00,476.80,465.50,474.50,2019903
TECHM,2016-02-04,15:30:00,478.90,478.90,465.10,470.55,1465102
TECHM,2016-02-05,15:30:00,471.90,476.30,468.10,476.10,1196754
TECHM,2016-02-08,15:30:00,471.50,482.00,468.20,468.20,598666
TECHM,2016-02-09,15:30:00,465.00,467.85,446.45,447.95,2352111
TECHM,2016-02-10,15:30:00,447.90,447.90,436.75,438.10,2686031
TECHM,2016-02-11,15:30:00,440.40,443.10,429.00,433.35,1731120
TECHM,2016-02-12,15:30:00,438.00,439.15,425.25,429.50,1443312
TECHM,2016-02-15,15:30:00,432.15,439.10,428.10,430.00,1888109
TECHM,2016-02-16,15:30:00,434.95,436.40,419.65,422.05,979478
TECHM,2016-02-17,15:30:00,422.35,431.50,415.15,429.80,1169666
TECHM,2016-02-18,15:30:00,434.95,435.90,422.90,429.05,1262032
TECHM,2016-02-19,15:30:00,428.60,442.55,426.55,439.70,1644603
TECHM,2016-02-22,15:30:00,440.55,441.90,426.55,431.00,1155619
TECHM,2016-02-23,15:30:00,431.70,432.40,424.00,425.00,1074713
TECHM,2016-02-24,15:30:00,425.00,428.00,418.35,422.00,822293
TECHM,2016-02-25,15:30:00,421.90,423.80,411.00,416.50,2406282
TECHM,2016-02-26,15:30:00,419.25,424.95,411.30,416.00,1912583
TECHM,2016-02-29,15:30:00,417.50,424.00,407.40,415.85,1555018
TECHM,2016-03-01,15:30:00,417.00,435.00,416.00,430.25,1570024
TECHM,2016-03-02,15:30:00,438.45,460.75,434.05,453.90,2339747
TECHM,2016-03-03,15:30:00,459.70,464.00,452.20,461.00,2371409
TECHM,2016-03-04,15:30:00,460.00,462.00,449.95,450.05,2756908
TECHM,2016-03-08,15:30:00,455.00,459.55,445.00,445.80,2050957
TECHM,2016-03-09,15:30:00,443.90,467.50,442.10,463.35,4030260
TECHM,2016-03-10,15:30:00,469.85,473.20,464.20,464.70,3266594
TECHM,2016-03-11,15:30:00,467.95,470.00,455.60,459.00,1025718
TECHM,2016-03-14,15:30:00,460.00,472.30,458.00,470.50,5115313
TECHM,2016-03-15,15:30:00,472.60,475.25,459.00,460.40,996244
TECHM,2016-03-16,15:30:00,457.00,469.15,456.50,466.40,1223337
TECHM,2016-03-17,15:30:00,471.00,490.00,471.00,486.35,2474194
TECHM,2016-03-18,15:30:00,488.00,496.00,483.15,493.50,3064899
TECHM,2016-03-21,15:30:00,492.45,498.40,486.00,491.75,1653354
TECHM,2016-03-22,15:30:00,490.10,492.75,480.20,482.10,2064995
TECHM,2016-03-23,15:30:00,484.00,484.65,474.65,479.05,1458923
TECHM,2016-03-28,15:30:00,482.00,485.25,464.00,478.00,3609846
TECHM,2016-03-29,15:30:00,475.10,479.85,464.00,466.55,2044000
TECHM,2016-03-30,15:30:00,471.00,478.80,465.75,475.10,3203825
TECHM,2016-03-31,15:30:00,475.00,483.00,473.20,475.20,4630177
TECHM,2016-04-01,15:30:00,476.00,476.05,460.00,462.05,2394963
TECHM,2016-04-04,15:30:00,468.00,474.00,466.20,471.00,1708093
TECHM,2016-04-05,15:30:00,472.50,473.00,460.10,462.70,1430387
TECHM,2016-04-06,15:30:00,463.50,465.35,448.40,452.25,2671558
