symbol,date,time,open,high,low,close,volume
ULTRACEMCO,2017-04-10,15:30:00,4065.00,4107.65,4021.00,4049.70,146951
ULTRACEMCO,2017-04-11,15:30:00,4030.00,4080.00,4025.30,4035.00,224440
ULTRACEMCO,2017-04-12,15:30:00,4069.00,4069.00,4014.10,4032.00,112568
ULTRACEMCO,2017-04-13,15:30:00,4040.00,4043.90,4010.05,4010.15,275406
ULTRACEMCO,2017-04-17,15:30:00,4021.50,4041.00,3993.20,4014.90,166286
ULTRACEMCO,2017-04-18,15:30:00,4000.00,4063.95,3955.60,3971.00,263758
ULTRACEMCO,2017-04-19,15:30:00,3971.50,4006.85,3926.00,3936.95,266518
ULTRACEMCO,2017-04-20,15:30:00,3950.00,4020.90,3941.85,4015.00,138135
ULTRACEMCO,2017-04-21,15:30:00,4024.90,4034.50,3963.65,3982.00,173540
ULTRACEMCO,2017-04-24,15:30:00,3997.45,4209.00,3992.45,4130.00,694285
ULTRACEMCO,2017-04-25,15:30:00,4165.00,4266.25,4108.15,4238.25,531152
ULTRACEMCO,2017-04-26,15:30:00,4238.00,4275.00,4200.20,4224.00,217768
ULTRACEMCO,2017-04-27,15:30:00,4233.80,4248.00,4212.00,4225.00,289892
ULTRACEMCO,2017-04-28,15:30:00,4225.00,4269.95,4216.05,4231.00,174274
ULTRACEMCO,2017-05-02,15:30:00,4248.95,4248.95,4152.05,4199.50,203245
ULTRACEMCO,2017-05-03,15:30:00,4216.00,4325.00,4210.00,4300.00,309226
ULTRACEMCO,2017-05-04,15:30:00,4296.55,4355.00,4282.40,4318.20,196089
ULTRACEMCO,2017-05-05,15:30:00,4315.00,4343.00,4283.35,4329.00,283727
ULTRACEMCO,2017-05-08,15:30:00,4336.00,4449.00,4336.00,4412.00,153494
ULTRACEMCO,2017-05-09,15:30:00,4420.00,4447.50,4398.05,4430.00,214276
ULTRACEMCO,2017-05-10,15:30:00,4447.95,4460.00,4325.55,4365.45,222094
ULTRACEMCO,2017-05-11,15:30:00,4373.00,4447.45,4352.05,4413.45,159351
ULTRACEMCO,2017-05-12,15:30:00,4400.45,4419.95,4373.25,4411.00,207498
ULTRACEMCO,2017-05-15,15:30:00,4415.00,4498.00,4415.00,4442.00,131348
ULTRACEMCO,2017-05-16,15:30:00,4457.20,4533.10,4444.00,4488.00,252094
ULTRACEMCO,2017-05-17,15:30:00,4489.95,4489.95,4455.70,4471.05,173787
ULTRACEMCO,2017-05-18,15:30:00,4450.70,4450.70,4326.05,4336.35,312920
ULTRACEMCO,2017-05-19,15:30:00,4399.00,4417.40,4336.00,4370.00,118708
ULTRACEMCO,2017-05-22,15:30:00,4380.00,4405.05,4260.50,4277.00,153155
ULTRACEMCO,2017-05-23,15:30:00,4276.00,4315.50,4236.00,4280.00,229419
ULTRACEMCO,2017-05-24,15:30:00,4293.75,4293.75,4149.25,4184.95,189988
ULTRACEMCO,2017-05-25,15:30:00,4181.00,4187.00,4130.00,4152.00,399568
ULTRACEMCO,2017-05-26,15:30:00,4161.00,4216.90,4141.70,4155.00,235032
ULTRACEMCO,2017-05-29,15:30:00,4165.00,4182.10,4045.00,4072.00,310173
ULTRACEMCO,2017-05-30,15:30:00,4072.00,4111.05,4052.25,4083.00,268009
ULTRACEMCO,2017-05-31,15:30:00,4086.30,4259.95,4086.30,4199.00,443950
ULTRACEMCO,2017-06-01,15:30:00,4228.70,4252.05,4159.50,4187.80,143799
ULTRACEMCO,2017-06-02,15:30:00,4230.00,4253.90,4198.40,4225.00,187673
ULTRACEMCO,2017-06-05,15:30:00,4233.00,4261.90,4165.20,4180.00,137269
ULTRACEMCO,2017-06-06,15:30:00,4185.00,4194.75,4111.00,4123.35,151928
ULTRACEMCO,2017-06-07,15:30:00,4132.00,4163.00,4102.00,4139.95,137567
ULTRACEMCO,2017-06-08,15:30:00,4145.00,4166.00,4107.05,4120.00,139961
ULTRACEMCO,2017-06-09,15:30:00,4132.00,4133.15,4051.50,4110.50,222729
ULTRACEMCO,2017-06-12,15:30:00,4110.50,4111.95,4027.05,4045.00,134143
ULTRACEMCO,2017-06-13,15:30:00,4033.00,4136.60,4031.30,4056.00,171853
ULTRACEMCO,2017-06-14,15:30:00,4072.00,4081.35,3987.05,4041.30,442763
ULTRACEMCO,2017-06-15,15:30:00,4032.30,4100.00,4010.00,4040.60,248575
ULTRACEMCO,2017-06-16,15:30:00,4048.00,4132.95,4010.00,4110.70,249460
ULTRACEMCO,2017-06-19,15:30:00,4136.00,4149.35,4084.10,4097.00,145691
ULTRACEMCO,2017-06-20,15:30:00,4124.00,4126.00,4053.45,4060.00,177824
ULTRACEMCO,2017-06-21,15:30:00,4055.00,4060.10,4007.05,4022.00,215935
ULTRACEMCO,2017-06-22,15:30:00,4034.00,4087.45,3992.00,4067.00,363645
ULTRACEMCO,2017-06-23,15:30:00,4068.90,4085.00,3991.00,3991.65,226036
ULTRACEMCO,2017-06-27,15:30:00,3993.00,4015.05,3863.15,3871.55,339043
ULTRACEMCO,2017-06-28,15:30:00,3878.00,3966.30,3840.55,3950.05,261198
ULTRACEMCO,2017-06-29,15:30:00,4000.00,4000.00,3940.10,3945.00,877055
ULTRACEMCO,2017-06-30,15:30:00,3984.00,3994.90,3926.00,3955.00,244498
ULTRACEMCO,2017-07-03,15:30:00,3970.00,4009.90,3935.45,3985.10,218282
ULTRACEMCO,2017-07-04,15:30:00,3989.00,4048.00,3977.05,4011.00,178852
ULTRACEMCO,2017-07-05,15:30:00,4035.00,4106.40,4026.15,4078.05,169732
ULTRACEMCO,2017-07-06,15:30:00,4096.80,4130.00,4067.05,4110.95,151491
ULTRACEMCO,2017-07-07,15:30:00,4100.00,4142.00,4088.00,4097.00,145864
ULTRACEMCO,2017-07-10,15:30:00,4110.10,4165.00,4097.95,4149.00,26486
ULTRACEMCO,2017-07-11,15:30:00,4148.00,4170.00,4140.00,4145.00,130236
ULTRACEMCO,2017-07-12,15:30:00,4170.00,4199.40,4151.00,4189.00,161823
ULTRACEMCO,2017-07-13,15:30:00,4198.95,4227.95,4185.65,4195.00,131100
ULTRACEMCO,2017-07-14,15:30:00,4209.00,4237.90,4182.45,4216.05,125584
ULTRACEMCO,2017-07-17,15:30:00,4203.00,4371.90,4203.00,4355.00,276947
ULTRACEMCO,2017-07-18,15:30:00,4356.25,4454.10,4301.00,4311.95,739090
ULTRACEMCO,2017-07-19,15:30:00,4316.00,4318.00,4188.10,4210.00,446659
ULTRACEMCO,2017-07-20,15:30:00,4226.80,4233.70,4134.40,4136.20,292416
ULTRACEMCO,2017-07-21,15:30:00,4156.00,4188.60,4139.95,4171.00,122241
ULTRACEMCO,2017-07-24,15:30:00,4181.00,4224.00,4162.05,4192.45,183331
ULTRACEMCO,2017-07-25,15:30:00,4182.00,4210.00,4100.00,4100.00,359976
ULTRACEMCO,2017-07-26,15:30:00,4114.90,4123.00,4067.15,4074.00,238144
ULTRACEMCO,2017-07-27,15:30:00,4095.00,4110.00,4031.25,4049.90,291936
ULTRACEMCO,2017-07-28,15:30:00,4040.00,4064.20,4001.05,4014.65,193195
ULTRACEMCO,2017-07-31,15:30:00,4043.80,4070.00,4001.10,4064.00,198206
ULTRACEMCO,2017-08-01,15:30:00,4078.00,4095.00,4051.50,4069.05,243417
ULTRACEMCO,2017-08-02,15:30:00,4070.00,4098.00,4042.50,4090.05,132722
ULTRACEMCO,2017-08-03,15:30:00,4097.00,4138.70,4070.00,4085.00,195349
