symbol,date,time,open,high,low,close,volume
WIPRO,2015-10-28,15:30:00,574.90,581.25,569.75,577.85,1405681
WIPRO,2015-10-29,15:30:00,579.05,579.90,571.00,576.00,1528155
WIPRO,2015-10-30,15:30:00,572.50,579.05,569.15,569.20,1134312
WIPRO,2015-11-02,15:30:00,573.50,577.35,568.50,574.20,1817822
WIPRO,2015-11-03,15:30:00,575.15,579.65,571.35,573.70,1056986
WIPRO,2015-11-04,15:30:00,577.10,578.95,571.45,572.55,815785
WIPRO,2015-11-05,15:30:00,573.25,574.90,569.35,571.20,614621
WIPRO,2015-11-06,15:30:00,568.25,572.65,566.70,569.65,686204
WIPRO,2015-11-09,19:00:00,563.50,567.00,556.20,560.95,1327976
WIPRO,2015-11-10,15:30:00,560.95,561.80,551.45,556.65,1430715
WIPRO,2015-11-11,19:05:00,558.00,561.00,556.00,556.50,83884
WIPRO,2015-11-13,15:30:00,554.00,555.25,550.40,551.80,623741
WIPRO,2015-11-16,15:30:00,549.90,557.95,542.25,552.60,1110826
WIPRO,2015-11-17,15:30:00,557.00,557.00,551.00,556.50,1465537
WIPRO,2015-11-18,15:30:00,553.50,556.85,551.15,554.00,1230338
WIPRO,2015-11-19,15:30:00,555.45,562.00,552.65,558.25,1006337
WIPRO,2015-11-20,15:30:00,561.70,575.00,558.00,569.70,1853958
WIPRO,2015-11-23,15:30:00,573.95,576.15,567.55,569.95,1111794
WIPRO,2015-11-24,15:30:00,573.20,577.40,562.50,562.60,1020358
WIPRO,2015-11-26,15:30:00,559.00,572.95,559.00,570.00,1926209
WIPRO,2015-11-27,15:30:00,569.50,570.40,564.90,570.00,1338360
WIPRO,2015-11-30,15:30:00,569.00,575.75,567.20,569.95,4168988
WIPRO,2015-12-01,15:30:00,579.20,587.45,579.20,582.30,1725073
WIPRO,2015-12-02,15:30:00,584.80,585.40,576.05,578.00,710176
WIPRO,2015-12-03,15:30:00,585.00,585.00,569.30,572.35,1307704
WIPRO,2015-12-04,15:30:00,572.35,572.35,562.20,571.70,1033750
WIPRO,2015-12-07,15:30:00,571.85,577.40,567.90,576.15,1165015
WIPRO,2015-12-08,15:30:00,574.20,578.90,564.35,564.95,700651
WIPRO,2015-12-09,15:30:00,564.00,573.85,562.55,565.05,791915
WIPRO,2015-12-10,15:30:00,567.05,570.00,559.65,564.00,1127698
WIPRO,2015-12-11,15:30:00,567.00,567.75,560.60,566.05,692121
WIPRO,2015-12-14,15:30:00,563.20,570.00,560.00,570.00,744942
WIPRO,2015-12-15,15:30:00,568.40,570.00,556.40,558.50,1198868
WIPRO,2015-12-16,15:30:00,552.25,558.85,552.25,556.00,2056888
WIPRO,2015-12-17,15:30:00,557.50,558.40,553.10,556.50,1905689
WIPRO,2015-12-18,15:30:00,554.00,557.35,550.45,553.00,2805312
WIPRO,2015-12-21,15:30:00,553.80,559.25,548.50,557.15,1163941
WIPRO,2015-12-22,15:30:00,554.80,557.50,553.00,555.95,1247602
WIPRO,2015-12-23,15:30:00,560.00,560.00,554.00,556.00,791612
WIPRO,2015-12-24,15:30:00,556.50,559.80,554.50,557.25,404033
WIPRO,2015-12-28,15:30:00,555.55,564.00,555.55,560.65,978882
WIPRO,2015-12-29,15:30:00,561.90,568.20,558.95,563.50,800357
WIPRO,2015-12-30,15:30:00,565.90,568.00,556.00,557.95,502172
WIPRO,2015-12-31,15:30:00,558.00,563.40,557.00,563.40,1322771
WIPRO,2016-01-01,15:30:00,559.80,559.80,554.10,557.15,593536
WIPRO,2016-01-04,15:30:00,557.00,560.00,556.00,556.30,643432
WIPRO,2016-01-05,15:30:00,562.00,565.00,554.25,557.60,878912
WIPRO,2016-01-06,15:30:00,557.00,559.80,553.00,553.50,1148164
WIPRO,2016-01-07,15:30:00,553.00,557.45,547.10,549.10,2094055
WIPRO,2016-01-08,15:30:00,552.10,557.85,549.55,555.00,871557
WIPRO,2016-01-11,15:30:00,552.00,553.95,534.40,536.50,1866410
WIPRO,2016-01-12,15:30:00,536.50,551.00,531.20,547.45,1309157
WIPRO,2016-01-13,15:30:00,547.00,551.90,540.45,546.60,672669
WIPRO,2016-01-14,15:30:00,545.00,549.90,536.00,545.50,1094750
WIPRO,2016-01-15,15:30:00,546.60,548.85,537.00,544.00,625158
WIPRO,2016-01-18,15:30:00,537.00,550.80,530.75,548.60,1693486
WIPRO,2016-01-19,15:30:00,548.00,552.00,538.00,542.60,957428
WIPRO,2016-01-20,15:30:00,539.05,551.90,533.20,542.00,1169646
WIPRO,2016-01-21,15:30:00,541.55,555.00,541.55,550.10,1743800
WIPRO,2016-01-22,15:30:00,555.70,555.70,547.10,550.60,833487
WIPRO,2016-01-25,15:30:00,547.90,549.80,543.80,547.00,795530
WIPRO,2016-01-27,15:30:00,550.00,554.95,543.55,554.75,2092598
WIPRO,2016-01-28,15:30:00,553.20,553.70,544.40,549.00,1211162
WIPRO,2016-01-29,15:30:00,548.60,565.70,548.60,563.80,1450233
WIPRO,2016-02-01,15:30:00,565.60,573.90,557.30,565.25,1506973
WIPRO,2016-02-02,15:30:00,570.10,571.55,564.20,568.10,1285343
WIPRO,2016-02-03,15:30:00,566.50,566.50,554.05,558.50,602527
WIPRO,2016-02-04,15:30:00,560.30,561.65,553.70,560.00,1051872
WIPRO,2016-02-05,15:30:00,560.00,565.80,555.40,558.65,1076643
WIPRO,2016-02-08,15:30:00,558.05,560.20,543.30,544.00,822141
WIPRO,2016-02-09,15:30:00,539.90,539.90,534.00,535.25,800236
WIPRO,2016-02-10,15:30:00,536.25,536.65,528.00,532.95,967008
WIPRO,2016-02-11,15:30:00,531.20,532.30,513.10,519.00,988027
WIPRO,2016-02-12,15:30:00,524.80,529.45,508.25,520.00,1799742
WIPRO,2016-02-15,15:30:00,522.90,527.60,518.15,525.45,977686
WIPRO,2016-02-16,15:30:00,527.00,530.50,521.15,526.60,691104
WIPRO,2016-02-17,15:30:00,523.00,529.95,517.25,526.90,1080696
WIPRO,2016-02-18,15:30:00,528.10,543.80,528.10,540.00,888820
WIPRO,2016-02-19,15:30:00,541.40,549.50,538.15,549.00,1081601
WIPRO,2016-02-22,15:30:00,547.20,548.10,536.50,540.05,847687
WIPRO,2016-02-23,15:30:00,542.15,543.70,535.60,540.00,944414
WIPRO,2016-02-24,15:30:00,540.10,542.25,530.50,532.55,972998
WIPRO,2016-02-25,15:30:00,534.40,538.75,522.10,538.00,959822
WIPRO,2016-02-26,15:30:00,540.20,541.90,526.70,530.00,984483
WIPRO,2016-02-29,15:30:00,529.00,531.85,507.90,521.00,2079616
WIPRO,2016-03-01,15:30:00,525.00,539.00,523.45,537.50,1725272
WIPRO,2016-03-02,15:30:00,540.00,541.85,530.15,541.00,1790337
WIPRO,2016-03-03,15:30:00,540.15,548.45,535.25,543.70,1220839
WIPRO,2016-03-04,15:30:00,544.90,545.65,535.10,537.00,1600026
WIPRO,2016-03-08,15:30:00,537.70,543.50,534.20,541.55,1551999
WIPRO,2016-03-09,15:30:00,542.00,542.00,533.25,537.80,1986973
WIPRO,2016-03-10,15:30:00,539.05,539.90,532.70,536.15,1212160
WIPRO,2016-03-11,15:30:00,535.80,539.80,535.70,539.50,1118101
WIPRO,2016-03-14,15:30:00,543.00,543.00,536.50,539.50,1041114
WIPRO,2016-03-15,15:30:00,541.50,543.00,528.40,535.10,1947163
WIPRO,2016-03-16,15:30:00,535.10,540.50,530.05,539.60,1888434
WIPRO,2016-03-17,15:30:00,541.60,543.95,535.60,538.65,1844902
WIPRO,2016-03-18,15:30:00,540.55,553.80,540.50,552.00,2533610
WIPRO,2016-03-21,15:30:00,554.40,562.40,541.80,559.40,1104727
WIPRO,2016-03-22,15:30:00,556.50,556.60,551.10,552.30,1482267
WIPRO,2016-03-23,15:30:00,550.10,559.20,545.80,557.90,1442509
WIPRO,2016-03-28,15:30:00,558.55,563.60,549.30,557.70,1457996
WIPRO,2016-03-29,15:30:00,557.00,559.00,548.00,550.85,1503438
WIPRO,2016-03-30,15:30:00,552.70,563.65,551.25,563.40,1478150
WIPRO,2016-03-31,15:30:00,561.85,570.00,557.20,567.05,3875911
WIPRO,2016-04-01,15:30:00,567.00,572.50,557.20,561.50,1379141
WIPRO,2016-04-04,15:30:00,566.90,571.10,563.15,565.00,697336
WIPRO,2016-04-05,15:30:00,566.25,566.60,557.25,557.60,824142
WIPRO,2016-04-06,15:30:00,560.00,562.00,552.75,558.10,1089149
WIPRO,2016-04-07,15:30:00,558.00,560.00,550.35,551.00,608719
WIPRO,2016-04-08,15:30:00,548.00,551.40,546.50,550.40,940527
WIPRO,2016-04-11,15:30:00,549.00,568.60,542.20,567.00,1115536
WIPRO,2016-04-12,15:30:00,565.30,571.75,561.10,569.55,842604
WIPRO,2016-04-13,15:30:00,583.00,591.90,580.55,584.80,2001562
WIPRO,2016-04-18,15:30:00,589.00,594.50,580.20,589.60,2457249
WIPRO,2016-04-20,15:30:00,598.00,607.00,589.60,602.35,4693918
WIPRO,2016-04-21,15:30:00,570.00,575.65,556.85,557.30,5808173
WIPRO,2016-04-22,15:30:00,560.00,562.65,555.10,557.35,2154879
WIPRO,2016-04-25,15:30:00,558.10,561.75,551.10,552.65,1715874
WIPRO,2016-04-26,15:30:00,552.40,558.00,550.20,555.10,1810782
WIPRO,2016-04-27,15:30:00,552.25,561.25,552.25,559.60,898146
WIPRO,2016-04-28,15:30:00,559.50,564.00,551.00,553.50,2719843
WIPRO,2016-04-29,15:30:00,555.00,556.80,548.35,552.50,1280679
