symbol,date,time,open,high,low,close,volume
YESBANK,2017-04-10,15:30:00,1562.00,1605.00,1559.10,1603.00,2377664
YESBANK,2017-04-11,15:30:00,1603.00,1623.50,1595.40,1610.00,2619242
YESBANK,2017-04-12,15:30:00,1617.00,1635.00,1603.45,1634.00,1883962
YESBANK,2017-04-13,15:30:00,1626.00,1637.95,1613.10,1618.10,1192733
YESBANK,2017-04-17,15:30:00,1618.60,1625.90,1602.30,1609.60,1102492
YESBANK,2017-04-18,15:30:00,1614.00,1627.95,1597.95,1609.05,1039352
YESBANK,2017-04-19,15:30:00,1600.30,1619.00,1592.25,1609.00,3296099
YESBANK,2017-04-20,15:30:00,1520.60,1574.95,1520.60,1545.50,7873162
YESBANK,2017-04-21,15:30:00,1557.00,1562.80,1524.00,1543.00,3076330
YESBANK,2017-04-24,15:30:00,1549.00,1573.15,1543.20,1555.50,1851812
YESBANK,2017-04-25,15:30:00,1560.00,1567.00,1553.00,1556.25,1315207
YESBANK,2017-04-26,15:30:00,1560.00,1586.90,1557.75,1581.65,1971652
YESBANK,2017-04-27,15:30:00,1585.00,1651.90,1573.95,1638.75,4221491
YESBANK,2017-04-28,15:30:00,1639.55,1644.65,1621.80,1635.90,1335961
YESBANK,2017-05-02,15:30:00,1632.00,1651.80,1623.55,1630.00,1645639
YESBANK,2017-05-03,15:30:00,1637.70,1641.45,1615.60,1630.00,981337
YESBANK,2017-05-04,15:30:00,1632.55,1640.00,1620.10,1628.00,1011962
YESBANK,2017-05-05,15:30:00,1626.00,1631.00,1604.35,1611.50,977720
YESBANK,2017-05-08,15:30:00,1614.00,1634.00,1609.05,1616.25,842580
YESBANK,2017-05-09,15:30:00,1616.05,1616.60,1592.15,1608.00,977933
YESBANK,2017-05-10,15:30:00,1606.00,1614.95,1584.10,1599.00,1950437
YESBANK,2017-05-11,15:30:00,1608.00,1608.00,1575.00,1578.50,1669314
YESBANK,2017-05-12,15:30:00,1581.00,1591.80,1469.25,1491.00,10279727
YESBANK,2017-05-15,15:30:00,1496.90,1506.00,1453.55,1474.00,6077544
YESBANK,2017-05-16,15:30:00,1476.50,1500.00,1468.10,1477.10,2779811
YESBANK,2017-05-17,15:30:00,1483.95,1483.95,1451.05,1455.40,3409548
YESBANK,2017-05-18,15:30:00,1438.00,1443.90,1393.00,1397.55,4999486
YESBANK,2017-05-19,15:30:00,1412.75,1455.00,1405.25,1430.35,5976947
YESBANK,2017-05-22,15:30:00,1443.80,1450.55,1398.00,1409.70,2527715
YESBANK,2017-05-23,15:30:00,1411.00,1418.00,1376.25,1400.00,2874605
YESBANK,2017-05-24,15:30:00,1408.05,1444.00,1398.05,1427.20,2979073
YESBANK,2017-05-25,15:30:00,1434.00,1470.00,1430.60,1456.00,3908523
YESBANK,2017-05-26,15:30:00,1469.80,1500.00,1455.05,1492.00,2496569
YESBANK,2017-05-29,15:30:00,1493.60,1493.70,1433.15,1435.90,2027477
YESBANK,2017-05-30,15:30:00,1436.00,1461.00,1432.05,1438.05,1662115
YESBANK,2017-05-31,15:30:00,1442.00,1448.40,1409.25,1434.15,2394802
YESBANK,2017-06-01,15:30:00,1430.00,1450.00,1421.05,1444.10,2107031
YESBANK,2017-06-02,15:30:00,1456.70,1487.50,1445.30,1478.00,2601728
YESBANK,2017-06-05,15:30:00,1483.00,1526.30,1481.75,1521.35,3285941
YESBANK,2017-06-06,15:30:00,1525.00,1532.45,1498.80,1501.05,1682050
YESBANK,2017-06-07,15:30:00,1519.95,1520.15,1481.10,1494.50,1849080
YESBANK,2017-06-08,15:30:00,1499.00,1501.70,1467.35,1475.00,1911432
YESBANK,2017-06-09,15:30:00,1479.70,1498.95,1475.20,1489.25,2016761
YESBANK,2017-06-12,15:30:00,1481.00,1504.30,1470.45,1487.15,1610913
YESBANK,2017-06-13,15:30:00,1488.50,1510.95,1487.50,1492.25,1412263
YESBANK,2017-06-14,15:30:00,1496.05,1499.75,1445.00,1449.00,3537948
YESBANK,2017-06-15,15:30:00,1449.00,1450.00,1431.00,1446.00,2779879
YESBANK,2017-06-16,15:30:00,1449.00,1458.35,1437.00,1445.00,2925673
YESBANK,2017-06-19,15:30:00,1454.00,1455.75,1425.60,1428.45,2969794
YESBANK,2017-06-20,15:30:00,1433.00,1455.40,1426.15,1443.05,1982771
YESBANK,2017-06-21,15:30:00,1438.00,1445.15,1426.60,1430.50,1905781
YESBANK,2017-06-22,15:30:00,1438.90,1470.00,1437.35,1450.95,3085982
YESBANK,2017-06-23,15:30:00,1453.70,1458.30,1431.20,1440.00,1360524
YESBANK,2017-06-27,15:30:00,1455.00,1455.40,1405.05,1415.00,2026316
YESBANK,2017-06-28,15:30:00,1414.40,1459.05,1401.50,1449.95,2723464
YESBANK,2017-06-29,15:30:00,1459.90,1470.00,1433.85,1438.00,2619863
YESBANK,2017-06-30,15:30:00,1438.00,1466.85,1425.00,1465.90,2092369
YESBANK,2017-07-03,15:30:00,1469.80,1496.00,1452.00,1491.00,2176784
YESBANK,2017-07-04,15:30:00,1507.80,1512.00,1480.00,1487.05,2193234
YESBANK,2017-07-05,15:30:00,1489.10,1509.70,1487.00,1506.00,1826575
YESBANK,2017-07-06,15:30:00,1501.00,1519.00,1495.00,1504.10,1438599
YESBANK,2017-07-07,15:30:00,1502.65,1515.20,1497.60,1506.50,1231673
YESBANK,2017-07-10,15:30:00,1512.00,1522.00,1500.90,1511.20,315651
YESBANK,2017-07-11,15:30:00,1515.25,1533.00,1508.00,1508.20,1982020
YESBANK,2017-07-12,15:30:00,1516.00,1522.70,1505.00,1515.20,1613612
YESBANK,2017-07-13,15:30:00,1518.00,1588.00,1518.00,1581.10,4158281
YESBANK,2017-07-14,15:30:00,1591.85,1594.85,1554.20,1570.50,2073301
YESBANK,2017-07-17,15:30:00,1569.70,1574.90,1543.40,1549.30,1097877
YESBANK,2017-07-18,15:30:00,1549.70,1577.45,1545.10,1553.50,1432358
YESBANK,2017-07-19,15:30:00,1561.00,1576.50,1551.10,1567.40,2109966
YESBANK,2017-07-20,15:30:00,1572.00,1579.00,1561.20,1571.00,1647855
YESBANK,2017-07-21,15:30:00,1572.00,1581.45,1565.00,1576.55,1065082
YESBANK,2017-07-24,15:30:00,1578.00,1619.00,1576.95,1591.00,2515226
YESBANK,2017-07-25,15:30:00,1596.70,1623.70,1586.10,1615.50,2565352
YESBANK,2017-07-26,15:30:00,1624.70,1724.00,1605.25,1722.00,8549142
YESBANK,2017-07-27,15:30:00,1747.25,1798.00,1742.00,1783.00,11808681
YESBANK,2017-07-28,15:30:00,1765.00,1861.00,1765.00,1844.95,8553332
YESBANK,2017-07-31,15:30:00,1850.00,1858.00,1803.15,1811.90,4353547
YESBANK,2017-08-01,15:30:00,1818.70,1838.00,1809.15,1829.00,2910564
YESBANK,2017-08-02,15:30:00,1830.00,1842.95,1813.05,1820.55,2013175
YESBANK,2017-08-03,15:30:00,1822.00,1828.90,1772.30,1784.55,2997605
YESBANK,2017-08-04,15:30:00,1770.00,1815.25,1763.55,1815.25,2860985
YESBANK,2017-08-07,15:30:00,1810.00,1817.00,1793.75,1798.50,1331197
YESBANK,2017-08-08,15:30:00,1799.00,1802.00,1754.00,1763.00,2329546
YESBANK,2017-08-09,15:30:00,1756.00,1774.45,1736.00,1737.20,1982487
YESBANK,2017-08-10,15:30:00,1741.55,1744.20,1710.10,1733.00,2132127
YESBANK,2017-08-11,15:30:00,1707.00,1757.30,1702.15,1740.00,3102129
YESBANK,2017-08-14,15:30:00,1752.00,1786.00,1750.20,1775.50,1985201
YESBANK,2017-08-16,15:30:00,1784.05,1789.00,1732.00,1760.95,3744611
YESBANK,2017-08-17,15:30:00,1779.00,1779.00,1729.30,1738.50,1913591
YESBANK,2017-08-18,15:30:00,1734.90,1737.30,1708.30,1716.80,1678905
YESBANK,2017-08-21,15:30:00,1721.00,1753.00,1710.10,1714.00,1432922
YESBANK,2017-08-22,15:30:00,1732.00,1732.00,1686.00,1714.50,2753748
YESBANK,2017-08-23,15:30:00,1718.70,1728.00,1697.60,1725.45,2243348
YESBANK,2017-08-24,15:30:00,1727.80,1738.95,1714.40,1725.00,1773053
YESBANK,2017-08-28,15:30:00,1723.00,1757.80,1711.60,1757.00,1949997
YESBANK,2017-08-29,15:30:00,1752.00,1753.35,1716.05,1718.00,1762697
YESBANK,2017-08-30,15:30:00,1731.55,1765.00,1731.05,1750.00,1972851
YESBANK,2017-08-31,15:30:00,1750.00,1774.40,1745.05,1754.00,2566761
YESBANK,2017-09-01,15:30:00,1753.35,1780.00,1753.35,1770.50,1599414
YESBANK,2017-09-04,15:30:00,1770.50,1779.65,1737.05,1757.90,1720102
YESBANK,2017-09-05,15:30:00,1767.00,1787.80,1765.00,1775.00,1612958
YESBANK,2017-09-06,15:30:00,1770.00,1804.80,1762.30,1793.95,1886851
YESBANK,2017-09-07,15:30:00,1801.80,1819.00,1792.40,1796.00,1779055
YESBANK,2017-09-08,15:30:00,1807.00,1807.70,1780.25,1786.00,1080596
YESBANK,2017-09-11,15:30:00,1796.25,1865.75,1794.25,1846.00,3341236
YESBANK,2017-09-12,15:30:00,1854.90,1858.85,1822.00,1853.00,2135213
YESBANK,2017-09-13,15:30:00,1852.00,1862.00,1832.60,1839.05,1374376
YESBANK,2017-09-14,15:30:00,1845.40,1866.00,1840.20,1851.60,1270184
YESBANK,2017-09-15,15:30:00,1828.40,1859.00,1827.30,1840.05,1632078
YESBANK,2017-09-18,15:30:00,1852.10,1872.00,1851.00,1858.00,1424165
YESBANK,2017-09-19,15:30:00,1861.40,1872.00,1847.15,1865.00,1124478
YESBANK,2017-09-20,15:30:00,1865.00,1886.00,1861.00,1878.40,1209930
YESBANK,2017-09-21,15:30:00,375.30,382.90,373.35,377.20,7307710
YESBANK,2017-09-22,15:30:00,376.80,376.80,359.45,361.45,12176561
