symbol,date,time,open,high,low,close,volume
ZEEL,2015-10-28,15:30:00,423.70,427.00,417.75,420.00,2603192
ZEEL,2015-10-29,15:30:00,421.20,422.95,414.65,415.40,2916664
ZEEL,2015-10-30,15:30:00,415.70,421.15,406.00,408.50,2159297
ZEEL,2015-11-02,15:30:00,412.95,415.00,405.00,412.50,2642350
ZEEL,2015-11-03,15:30:00,414.95,416.45,412.45,414.90,2732271
ZEEL,2015-11-04,15:30:00,415.20,417.90,412.70,414.10,2599447
ZEEL,2015-11-05,15:30:00,414.95,414.95,404.05,407.80,962740
ZEEL,2015-11-06,15:30:00,408.75,411.25,394.85,400.00,2654554
ZEEL,2015-11-09,19:00:00,393.20,393.70,385.85,390.90,2779743
ZEEL,2015-11-10,15:30:00,387.00,398.35,384.70,387.90,1872753
ZEEL,2015-11-11,19:05:00,393.25,394.50,390.20,392.00,157244
ZEEL,2015-11-13,15:30:00,385.90,388.10,375.80,377.45,4395598
ZEEL,2015-11-16,15:30:00,377.35,382.90,374.55,382.00,3496301
ZEEL,2015-11-17,15:30:00,383.00,384.30,376.85,380.00,1814631
ZEEL,2015-11-18,15:30:00,381.30,383.75,378.05,378.40,2297968
ZEEL,2015-11-19,15:30:00,380.90,392.45,380.00,392.00,2190565
ZEEL,2015-11-20,15:30:00,392.50,400.45,390.10,396.00,2503663
ZEEL,2015-11-23,15:30:00,397.50,409.50,396.15,406.00,2804622
ZEEL,2015-11-24,15:30:00,407.25,409.35,400.00,400.45,1310215
ZEEL,2015-11-26,15:30:00,398.50,414.50,398.50,409.85,3022983
ZEEL,2015-11-27,15:30:00,411.00,414.40,406.80,413.90,1500618
ZEEL,2015-11-30,15:30:00,411.35,416.85,406.35,411.85,2516202
ZEEL,2015-12-01,15:30:00,409.90,416.45,407.30,415.00,2216108
ZEEL,2015-12-02,15:30:00,418.65,418.90,412.10,413.05,3036346
ZEEL,2015-12-03,15:30:00,412.45,415.40,407.70,409.90,1521090
ZEEL,2015-12-04,15:30:00,407.15,407.80,394.00,395.25,1739804
ZEEL,2015-12-07,15:30:00,396.55,402.00,395.00,401.00,1946681
ZEEL,2015-12-08,15:30:00,399.25,405.70,396.80,399.80,1113890
ZEEL,2015-12-09,15:30:00,400.80,403.25,393.20,396.75,1325884
ZEEL,2015-12-10,15:30:00,396.10,403.85,387.45,403.00,1729318
ZEEL,2015-12-11,15:30:00,403.00,404.50,394.85,397.00,1079115
ZEEL,2015-12-14,15:30:00,399.00,409.00,395.10,408.45,922975
ZEEL,2015-12-15,15:30:00,405.80,412.00,405.80,406.95,1310961
ZEEL,2015-12-16,15:30:00,410.00,411.90,407.30,409.00,878128
ZEEL,2015-12-17,15:30:00,409.50,416.80,404.05,416.10,1258859
ZEEL,2015-12-18,15:30:00,415.00,417.10,412.20,415.70,2949501
ZEEL,2015-12-21,15:30:00,412.10,418.40,412.10,416.00,1750059
ZEEL,2015-12-22,15:30:00,415.50,417.90,412.60,413.75,917169
ZEEL,2015-12-23,15:30:00,416.80,420.50,414.35,416.80,1648251
ZEEL,2015-12-24,15:30:00,417.50,418.20,410.10,410.70,2861942
ZEEL,2015-12-28,15:30:00,410.70,416.00,409.20,411.80,777602
ZEEL,2015-12-29,15:30:00,412.05,417.85,412.05,415.95,1810627
ZEEL,2015-12-30,15:30:00,416.95,429.80,415.25,428.50,2196200
ZEEL,2015-12-31,15:30:00,429.00,439.35,425.75,438.20,3974352
ZEEL,2016-01-01,15:30:00,437.20,437.20,431.50,433.05,512541
ZEEL,2016-01-04,15:30:00,430.00,432.35,420.85,422.30,1100846
ZEEL,2016-01-05,15:30:00,423.55,430.40,420.90,424.05,2545828
ZEEL,2016-01-06,15:30:00,424.00,425.90,417.50,422.00,2048184
ZEEL,2016-01-07,15:30:00,420.05,421.70,413.40,416.60,1897702
ZEEL,2016-01-08,15:30:00,419.95,419.95,409.35,411.70,5154901
ZEEL,2016-01-11,15:30:00,405.00,414.20,403.00,409.55,2618029
ZEEL,2016-01-12,15:30:00,409.35,411.25,404.25,407.40,1417516
ZEEL,2016-01-13,15:30:00,408.40,416.70,405.70,414.70,1746239
ZEEL,2016-01-14,15:30:00,412.30,422.00,407.00,415.15,2107954
ZEEL,2016-01-15,15:30:00,420.40,422.15,396.00,397.00,5656028
ZEEL,2016-01-18,15:30:00,400.00,401.30,378.10,392.45,2733395
ZEEL,2016-01-19,15:30:00,394.65,399.50,388.75,394.00,1175138
ZEEL,2016-01-20,15:30:00,393.10,393.10,374.75,384.80,2017744
ZEEL,2016-01-21,15:30:00,386.80,397.00,384.30,386.05,1469042
ZEEL,2016-01-22,15:30:00,388.95,400.70,388.50,393.05,1608149
ZEEL,2016-01-25,15:30:00,400.00,404.55,390.30,391.60,1763816
ZEEL,2016-01-27,15:30:00,395.00,399.00,393.20,396.00,2871738
ZEEL,2016-01-28,15:30:00,394.95,408.50,394.35,407.00,2784606
ZEEL,2016-01-29,15:30:00,405.15,422.80,404.10,420.00,2605656
ZEEL,2016-02-01,15:30:00,421.00,422.60,411.10,415.35,2035568
ZEEL,2016-02-02,15:30:00,416.00,416.50,400.00,400.00,997951
ZEEL,2016-02-03,15:30:00,400.00,412.50,400.00,403.50,1836644
ZEEL,2016-02-04,15:30:00,410.00,411.80,396.30,398.05,2081736
ZEEL,2016-02-05,15:30:00,400.00,410.80,392.70,410.70,2171019
ZEEL,2016-02-08,15:30:00,406.00,414.30,400.40,401.65,945374
ZEEL,2016-02-09,15:30:00,399.00,400.95,388.40,389.10,2257810
ZEEL,2016-02-10,15:30:00,389.65,389.65,376.25,380.70,2014216
