symbol,date,time,open,high,low,close,volume
ADANIPORTS,2016-08-31,14:50:00,264.05,264.20,264.00,264.05,17756
ADANIPORTS,2016-08-31,14:51:00,264.20,264.20,264.00,264.10,10974
ADANIPORTS,2016-08-31,14:52:00,264.10,264.10,264.00,264.00,9072
ADANIPORTS,2016-08-31,14:53:00,264.25,264.25,264.00,264.15,18083
ADANIPORTS,2016-08-31,14:54:00,264.20,264.20,264.00,264.05,8197
ADANIPORTS,2016-08-31,14:55:00,264.00,264.05,264.00,264.05,18165
ADANIPORTS,2016-08-31,14:56:00,264.05,264.10,264.00,264.00,6430
ADANIPORTS,2016-08-31,14:57:00,264.05,264.05,264.00,264.05,11021
ADANIPORTS,2016-08-31,14:58:00,264.00,264.25,264.00,264.05,9941
ADANIPORTS,2016-08-31,14:59:00,264.25,264.75,264.00,264.75,52031
ADANIPORTS,2016-08-31,15:00:00,264.75,265.00,264.40,264.95,107480
ADANIPORTS,2016-08-31,15:01:00,264.95,264.95,264.65,264.70,48130
ADANIPORTS,2016-08-31,15:02:00,264.60,264.60,264.40,264.40,37195
ADANIPORTS,2016-08-31,15:03:00,264.45,264.45,264.15,264.15,53124
ADANIPORTS,2016-08-31,15:04:00,264.15,264.20,264.00,264.05,48026
ADANIPORTS,2016-08-31,15:05:00,264.05,264.05,263.90,263.90,35739
ADANIPORTS,2016-08-31,15:06:00,263.95,263.95,263.70,263.70,46417
ADANIPORTS,2016-08-31,15:07:00,263.70,263.70,263.35,263.35,51949
ADANIPORTS,2016-08-31,15:08:00,263.35,263.40,262.75,262.75,61573
ADANIPORTS,2016-08-31,15:09:00,262.80,262.80,262.65,262.75,48878
ADANIPORTS,2016-08-31,15:10:00,262.70,262.80,262.70,262.75,36716
ADANIPORTS,2016-08-31,15:11:00,262.70,263.15,262.65,263.05,58451
ADANIPORTS,2016-08-31,15:12:00,263.00,264.00,262.95,263.80,89958
ADANIPORTS,2016-08-31,15:13:00,263.95,263.95,263.50,263.50,45863
ADANIPORTS,2016-08-31,15:14:00,263.50,263.50,263.10,263.10,35923
ADANIPORTS,2016-08-31,15:15:00,263.00,263.00,262.80,262.80,43311
ADANIPORTS,2016-08-31,15:16:00,262.80,262.80,262.45,262.50,61567
ADANIPORTS,2016-08-31,15:17:00,262.45,262.50,262.25,262.35,45740
ADANIPORTS,2016-08-31,15:18:00,262.35,262.35,262.05,262.10,45456
ADANIPORTS,2016-08-31,15:19:00,262.05,262.15,261.90,261.95,64298
ADANIPORTS,2016-08-31,15:20:00,262.05,262.05,261.95,262.00,44908
ADANIPORTS,2016-08-31,15:21:00,262.00,262.05,261.90,261.90,39173
ADANIPORTS,2016-08-31,15:22:00,261.90,261.90,261.75,261.75,49161
ADANIPORTS,2016-08-31,15:23:00,261.75,261.95,261.70,261.95,52061
ADANIPORTS,2016-08-31,15:24:00,262.00,262.10,261.90,262.05,50582
ADANIPORTS,2016-08-31,15:25:00,262.00,263.00,262.00,263.00,54247
ADANIPORTS,2016-08-31,15:26:00,263.10,263.40,263.00,263.00,40494
ADANIPORTS,2016-08-31,15:27:00,263.00,263.00,262.50,262.65,53788
ADANIPORTS,2016-08-31,15:28:00,262.70,263.00,262.50,262.60,25353
ADANIPORTS,2016-08-31,15:29:00,262.55,262.80,262.40,262.55,25920
ADANIPORTS,2016-08-31,15:30:00,262.60,263.15,262.25,262.30,15044
ADANIPORTS,2016-09-01,09:15:00,263.15,263.15,263.15,263.15,150
ADANIPORTS,2016-09-01,09:16:00,263.10,263.30,262.95,262.95,8049
ADANIPORTS,2016-09-01,09:17:00,262.95,263.05,262.50,262.50,7922
ADANIPORTS,2016-09-01,09:18:00,262.50,263.25,262.50,263.05,8968
