symbol,date,time,open,high,low,close,volume
AMBUJACEM,2016-08-31,14:50:00,277.80,277.80,277.00,277.00,34949
AMBUJACEM,2016-08-31,14:51:00,277.15,277.15,276.60,276.65,31532
AMBUJACEM,2016-08-31,14:52:00,276.65,276.65,276.15,276.55,38139
AMBUJACEM,2016-08-31,14:53:00,276.40,276.40,276.15,276.40,22038
AMBUJACEM,2016-08-31,14:54:00,276.40,276.95,276.30,276.95,13490
AMBUJACEM,2016-08-31,14:55:00,277.00,277.05,276.90,276.90,18483
AMBUJACEM,2016-08-31,14:56:00,277.00,277.35,276.90,277.35,8971
AMBUJACEM,2016-08-31,14:57:00,277.40,277.45,277.30,277.45,5780
AMBUJACEM,2016-08-31,14:58:00,277.45,277.50,277.40,277.50,8433
AMBUJACEM,2016-08-31,14:59:00,277.50,277.55,277.20,277.35,27794
AMBUJACEM,2016-08-31,15:00:00,277.35,277.35,277.20,277.25,9922
AMBUJACEM,2016-08-31,15:01:00,277.20,277.25,276.85,276.85,137084
AMBUJACEM,2016-08-31,15:02:00,276.85,276.90,276.50,276.50,214264
AMBUJACEM,2016-08-31,15:03:00,276.55,276.55,276.30,276.45,235438
AMBUJACEM,2016-08-31,15:04:00,276.50,276.50,276.35,276.35,180585
AMBUJACEM,2016-08-31,15:05:00,276.35,276.40,276.25,276.35,184442
AMBUJACEM,2016-08-31,15:06:00,276.35,276.35,276.20,276.30,195772
AMBUJACEM,2016-08-31,15:07:00,276.35,276.45,276.25,276.40,210199
AMBUJACEM,2016-08-31,15:08:00,276.35,277.00,276.35,276.95,169405
AMBUJACEM,2016-08-31,15:09:00,276.95,277.25,276.80,277.25,173957
AMBUJACEM,2016-08-31,15:10:00,277.25,277.45,277.20,277.45,163743
AMBUJACEM,2016-08-31,15:11:00,277.40,277.55,277.40,277.45,183079
AMBUJACEM,2016-08-31,15:12:00,277.50,277.60,277.45,277.60,220851
AMBUJACEM,2016-08-31,15:13:00,277.60,277.60,277.40,277.45,161273
AMBUJACEM,2016-08-31,15:14:00,277.45,277.50,277.40,277.40,201609
AMBUJACEM,2016-08-31,15:15:00,277.45,277.50,277.40,277.45,184307
AMBUJACEM,2016-08-31,15:16:00,277.50,277.50,277.25,277.40,179754
AMBUJACEM,2016-08-31,15:17:00,277.40,277.75,277.40,277.75,221487
AMBUJACEM,2016-08-31,15:18:00,277.75,278.00,277.70,277.95,180577
AMBUJACEM,2016-08-31,15:19:00,277.95,278.55,277.95,278.55,204626
AMBUJACEM,2016-08-31,15:20:00,278.50,279.20,278.50,279.20,204037
AMBUJACEM,2016-08-31,15:21:00,279.10,279.55,279.10,279.55,219573
AMBUJACEM,2016-08-31,15:22:00,279.50,279.95,279.40,279.95,232570
AMBUJACEM,2016-08-31,15:23:00,279.95,279.95,279.05,279.15,184481
AMBUJACEM,2016-08-31,15:24:00,279.10,279.65,279.00,279.65,176566
AMBUJACEM,2016-08-31,15:25:00,279.65,279.85,279.15,279.85,205998
AMBUJACEM,2016-08-31,15:26:00,279.85,279.85,279.80,279.85,199327
AMBUJACEM,2016-08-31,15:27:00,279.90,280.00,279.85,280.00,186218
AMBUJACEM,2016-08-31,15:28:00,280.00,281.00,279.95,280.90,140457
AMBUJACEM,2016-08-31,15:29:00,281.00,281.00,280.10,280.10,155990
AMBUJACEM,2016-08-31,15:30:00,280.10,281.70,280.00,281.70,44790
AMBUJACEM,2016-09-01,09:15:00,274.20,274.20,274.20,274.20,3656
AMBUJACEM,2016-09-01,09:16:00,274.10,275.45,274.10,275.10,151149
AMBUJACEM,2016-09-01,09:17:00,275.35,275.35,273.80,274.00,51286
AMBUJACEM,2016-09-01,09:18:00,273.90,274.35,273.85,274.30,49899
AMBUJACEM,2016-09-01,09:19:00,274.30,274.55,274.10,274.30,53818
AMBUJACEM,2016-09-01,09:20:00,274.20,274.50,273.80,274.50,36492
AMBUJACEM,2016-09-01,09:21:00,274.25,274.95,274.25,274.80,22334
AMBUJACEM,2016-09-01,09:22:00,274.60,275.15,273.85,273.85,44394
AMBUJACEM,2016-09-01,09:23:00,273.85,274.65,273.85,274.65,15034
AMBUJACEM,2016-09-01,09:24:00,274.50,275.00,274.50,274.90,31146
AMBUJACEM,2016-09-01,09:25:00,274.95,275.30,274.80,275.25,36652
AMBUJACEM,2016-09-01,09:26:00,275.15,275.45,275.00,275.15,17198
AMBUJACEM,2016-09-01,09:27:00,275.30,275.45,275.10,275.10,30234
AMBUJACEM,2016-09-01,09:28:00,275.00,275.55,274.90,275.50,24580
AMBUJACEM,2016-09-01,09:29:00,275.35,275.80,275.20,275.45,28103
AMBUJACEM,2016-09-01,09:30:00,275.30,275.45,275.05,275.05,9698
AMBUJACEM,2016-09-01,09:31:00,275.05,275.20,274.70,274.70,22591
AMBUJACEM,2016-09-01,09:32:00,274.70,274.75,274.25,274.60,11160
AMBUJACEM,2016-09-01,09:33:00,274.45,274.90,274.10,274.25,18005
AMBUJACEM,2016-09-01,09:34:00,274.20,274.25,274.00,274.05,17447
AMBUJACEM,2016-09-01,09:35:00,274.10,274.30,274.00,274.15,10537
AMBUJACEM,2016-09-01,09:36:00,274.15,274.30,274.10,274.30,5840
AMBUJACEM,2016-09-01,09:37:00,274.30,274.30,274.10,274.20,3553
AMBUJACEM,2016-09-01,09:38:00,274.30,274.45,274.25,274.45,7397
AMBUJACEM,2016-09-01,09:39:00,274.40,274.80,274.40,274.70,5013
AMBUJACEM,2016-09-01,09:40:00,274.65,274.70,274.60,274.60,6579
AMBUJACEM,2016-09-01,09:41:00,274.60,274.65,274.50,274.65,4406
AMBUJACEM,2016-09-01,09:42:00,274.65,274.65,274.25,274.45,8865
AMBUJACEM,2016-09-01,09:43:00,274.45,274.55,274.20,274.25,7705
AMBUJACEM,2016-09-01,09:44:00,274.25,274.25,273.50,273.50,27749
AMBUJACEM,2016-09-01,09:45:00,273.50,273.50,272.50,273.15,51861
AMBUJACEM,2016-09-01,09:46:00,273.25,273.35,272.85,272.85,9246
AMBUJACEM,2016-09-01,09:47:00,272.95,273.00,272.70,272.90,13703
AMBUJACEM,2016-09-01,09:48:00,272.70,272.85,272.50,272.65,8965
AMBUJACEM,2016-09-01,09:49:00,272.60,272.85,272.45,272.70,8935
AMBUJACEM,2016-09-01,09:50:00,272.75,273.40,272.60,273.25,16883
AMBUJACEM,2016-09-01,09:51:00,273.40,273.50,273.20,273.50,6287
AMBUJACEM,2016-09-01,09:52:00,273.45,273.65,273.40,273.65,10288
AMBUJACEM,2016-09-01,09:53:00,273.70,273.75,273.35,273.35,5881
AMBUJACEM,2016-09-01,09:54:00,273.30,273.35,273.05,273.15,4859
AMBUJACEM,2016-09-01,09:55:00,273.35,273.50,273.00,273.05,5372
AMBUJACEM,2016-09-01,09:56:00,273.25,273.45,273.25,273.30,1495
AMBUJACEM,2016-09-01,09:57:00,273.45,273.70,273.20,273.50,4635
AMBUJACEM,2016-09-01,09:58:00,273.90,273.90,273.70,273.85,3880
AMBUJACEM,2016-09-01,09:59:00,273.90,274.00,273.80,273.90,6874
AMBUJACEM,2016-09-01,10:00:00,273.90,274.00,273.70,273.75,4618
AMBUJACEM,2016-09-01,10:01:00,273.70,273.95,273.70,273.75,3187
AMBUJACEM,2016-09-01,10:02:00,273.75,274.20,273.75,274.10,8011
AMBUJACEM,2016-09-01,10:03:00,274.20,274.40,274.20,274.35,9411
AMBUJACEM,2016-09-01,10:04:00,274.35,274.60,274.35,274.50,6362
AMBUJACEM,2016-09-01,10:05:00,274.40,274.50,274.35,274.40,2069
AMBUJACEM,2016-09-01,10:06:00,274.40,274.45,274.35,274.35,1857
AMBUJACEM,2016-09-01,10:07:00,274.40,274.40,274.30,274.30,1405
AMBUJACEM,2016-09-01,10:08:00,274.30,274.30,274.00,274.00,3845
AMBUJACEM,2016-09-01,10:09:00,274.00,274.20,273.90,274.00,5848
AMBUJACEM,2016-09-01,10:10:00,273.90,274.00,273.60,273.60,4821
