symbol,date,time,open,high,low,close,volume
AUROPHARMA,2016-08-31,14:50:00,795.05,795.05,794.75,795.00,3876
AUROPHARMA,2016-08-31,14:51:00,795.00,795.10,795.00,795.00,4193
AUROPHARMA,2016-08-31,14:52:00,795.05,795.05,794.10,794.25,5877
AUROPHARMA,2016-08-31,14:53:00,794.40,795.00,794.05,794.50,4327
AUROPHARMA,2016-08-31,14:54:00,794.65,795.05,794.55,795.00,3809
AUROPHARMA,2016-08-31,14:55:00,795.05,795.05,795.00,795.05,2266
AUROPHARMA,2016-08-31,14:56:00,795.05,795.05,795.00,795.05,4071
AUROPHARMA,2016-08-31,14:57:00,795.00,795.05,794.75,795.00,4019
AUROPHARMA,2016-08-31,14:58:00,795.05,795.05,795.00,795.00,4160
AUROPHARMA,2016-08-31,14:59:00,795.05,795.50,795.00,795.00,5457
AUROPHARMA,2016-08-31,15:00:00,794.80,795.50,794.10,794.10,2978
AUROPHARMA,2016-08-31,15:01:00,794.45,794.55,793.50,793.55,16822
AUROPHARMA,2016-08-31,15:02:00,793.45,793.45,792.20,792.25,18502
AUROPHARMA,2016-08-31,15:03:00,792.15,793.35,792.15,793.20,19709
AUROPHARMA,2016-08-31,15:04:00,793.30,793.30,793.05,793.15,15727
AUROPHARMA,2016-08-31,15:05:00,793.30,793.30,792.45,792.50,16744
AUROPHARMA,2016-08-31,15:06:00,792.60,792.65,792.55,792.55,13139
AUROPHARMA,2016-08-31,15:07:00,792.55,792.65,792.50,792.60,14803
AUROPHARMA,2016-08-31,15:08:00,792.60,792.60,792.00,792.20,13785
AUROPHARMA,2016-08-31,15:09:00,792.30,792.30,791.75,792.00,23032
AUROPHARMA,2016-08-31,15:10:00,792.00,792.50,791.95,792.20,17355
AUROPHARMA,2016-08-31,15:11:00,792.10,792.70,792.05,792.05,19289
AUROPHARMA,2016-08-31,15:12:00,792.30,792.50,791.55,791.90,19504
AUROPHARMA,2016-08-31,15:13:00,792.40,792.40,791.55,791.55,15372
AUROPHARMA,2016-08-31,15:14:00,791.90,791.90,791.70,791.70,14946
AUROPHARMA,2016-08-31,15:15:00,791.75,791.75,791.00,791.30,21264
AUROPHARMA,2016-08-31,15:16:00,791.50,791.50,790.00,790.60,23516
AUROPHARMA,2016-08-31,15:17:00,790.60,790.75,788.05,788.45,41849
AUROPHARMA,2016-08-31,15:18:00,788.45,789.40,788.40,789.05,21549
AUROPHARMA,2016-08-31,15:19:00,788.70,789.40,788.45,789.10,23342
AUROPHARMA,2016-08-31,15:20:00,789.20,789.90,789.20,789.85,15518
AUROPHARMA,2016-08-31,15:21:00,789.75,790.40,789.75,790.35,20044
AUROPHARMA,2016-08-31,15:22:00,790.35,790.45,789.10,789.45,20767
AUROPHARMA,2016-08-31,15:23:00,789.45,789.55,789.05,789.10,15442
AUROPHARMA,2016-08-31,15:24:00,789.00,789.10,788.20,788.55,21389
AUROPHARMA,2016-08-31,15:25:00,788.65,789.00,788.10,788.65,21633
AUROPHARMA,2016-08-31,15:26:00,788.65,789.55,788.65,789.10,14713
AUROPHARMA,2016-08-31,15:27:00,789.55,790.00,789.20,789.95,18330
AUROPHARMA,2016-08-31,15:28:00,789.95,790.00,789.30,789.75,17555
AUROPHARMA,2016-08-31,15:29:00,789.95,790.80,789.05,790.00,18027
AUROPHARMA,2016-08-31,15:30:00,789.95,790.90,788.70,790.35,8284
AUROPHARMA,2016-09-01,09:15:00,790.85,790.85,790.85,790.85,229
AUROPHARMA,2016-09-01,09:16:00,790.60,792.00,787.15,787.85,16383
AUROPHARMA,2016-09-01,09:17:00,787.00,787.00,784.05,784.35,13373
AUROPHARMA,2016-09-01,09:18:00,784.10,787.50,784.00,786.30,14278
AUROPHARMA,2016-09-01,09:19:00,786.35,787.30,786.20,786.70,11143
AUROPHARMA,2016-09-01,09:20:00,786.70,786.95,784.30,786.30,14388
AUROPHARMA,2016-09-01,09:21:00,785.55,788.00,784.90,788.00,10864
AUROPHARMA,2016-09-01,09:22:00,788.45,789.55,786.60,786.60,15134
AUROPHARMA,2016-09-01,09:23:00,786.05,786.15,785.20,785.70,6330
AUROPHARMA,2016-09-01,09:24:00,785.75,786.55,784.70,784.70,13803
AUROPHARMA,2016-09-01,09:25:00,784.70,785.00,784.15,784.45,14211
AUROPHARMA,2016-09-01,09:26:00,784.35,785.30,784.35,785.00,7854
AUROPHARMA,2016-09-01,09:27:00,785.00,785.30,784.55,784.55,5854
AUROPHARMA,2016-09-01,09:28:00,784.50,784.50,784.00,784.10,7981
AUROPHARMA,2016-09-01,09:29:00,784.10,784.45,783.55,784.40,3576
AUROPHARMA,2016-09-01,09:30:00,784.25,784.40,783.75,783.75,8056
AUROPHARMA,2016-09-01,09:31:00,783.60,784.40,783.50,784.05,6893
AUROPHARMA,2016-09-01,09:32:00,784.10,785.20,784.00,785.00,5660
AUROPHARMA,2016-09-01,09:33:00,784.40,784.75,783.25,783.25,6750
AUROPHARMA,2016-09-01,09:34:00,783.30,783.75,783.10,783.30,6747
AUROPHARMA,2016-09-01,09:35:00,783.45,783.50,782.55,782.95,6423
AUROPHARMA,2016-09-01,09:36:00,782.85,785.35,782.25,784.05,14628
AUROPHARMA,2016-09-01,09:37:00,784.15,784.25,782.85,782.85,5811
AUROPHARMA,2016-09-01,09:38:00,782.90,783.75,782.55,783.10,4193
AUROPHARMA,2016-09-01,09:39:00,783.10,783.40,782.90,783.20,4722
AUROPHARMA,2016-09-01,09:40:00,783.00,783.25,782.60,783.15,5003
AUROPHARMA,2016-09-01,09:41:00,783.00,783.40,782.55,783.10,5477
AUROPHARMA,2016-09-01,09:42:00,783.10,784.25,782.60,783.65,6036
AUROPHARMA,2016-09-01,09:43:00,784.20,784.35,783.45,783.65,2435
AUROPHARMA,2016-09-01,09:44:00,783.60,783.80,783.15,783.35,4518
AUROPHARMA,2016-09-01,09:45:00,783.00,783.30,783.00,783.00,3489
AUROPHARMA,2016-09-01,09:46:00,783.10,783.10,782.50,782.95,5104
AUROPHARMA,2016-09-01,09:47:00,782.75,783.55,782.75,782.75,2149
AUROPHARMA,2016-09-01,09:48:00,782.75,783.05,782.55,782.75,4028
AUROPHARMA,2016-09-01,09:49:00,782.85,783.05,782.60,782.75,2614
AUROPHARMA,2016-09-01,09:50:00,782.75,783.60,782.75,783.30,5458
AUROPHARMA,2016-09-01,09:51:00,783.30,783.60,782.90,783.15,3018
AUROPHARMA,2016-09-01,09:52:00,783.00,783.15,782.65,782.65,6747
AUROPHARMA,2016-09-01,09:53:00,782.65,782.80,782.50,782.65,2808
AUROPHARMA,2016-09-01,09:54:00,782.60,782.65,781.50,782.10,9492
AUROPHARMA,2016-09-01,09:55:00,781.80,782.40,781.80,781.95,2401
AUROPHARMA,2016-09-01,09:56:00,781.90,783.40,781.55,783.10,8991
AUROPHARMA,2016-09-01,09:57:00,783.10,783.35,783.05,783.25,3929
AUROPHARMA,2016-09-01,09:58:00,783.10,783.10,782.50,782.55,2291
AUROPHARMA,2016-09-01,09:59:00,782.55,783.00,782.50,782.60,2463
AUROPHARMA,2016-09-01,10:00:00,782.55,782.70,782.00,782.15,2439
AUROPHARMA,2016-09-01,10:01:00,782.15,782.25,781.65,781.75,2782
AUROPHARMA,2016-09-01,10:02:00,781.60,782.55,781.00,782.20,9251
AUROPHARMA,2016-09-01,10:03:00,782.05,782.70,781.45,782.35,4584
AUROPHARMA,2016-09-01,10:04:00,782.05,782.75,781.85,782.50,3137
AUROPHARMA,2016-09-01,10:05:00,782.55,783.25,782.55,782.60,5342
AUROPHARMA,2016-09-01,10:06:00,782.75,783.80,782.75,783.05,3845
AUROPHARMA,2016-09-01,10:07:00,783.40,783.80,783.10,783.10,2461
AUROPHARMA,2016-09-01,10:08:00,783.30,783.30,782.00,782.25,3741
AUROPHARMA,2016-09-01,10:09:00,782.00,782.50,782.00,782.20,6287
AUROPHARMA,2016-09-01,10:10:00,782.20,782.45,782.00,782.25,2517
AUROPHARMA,2016-09-01,10:11:00,782.25,782.70,782.00,782.25,3416
AUROPHARMA,2016-09-01,10:12:00,782.25,782.25,782.00,782.05,2647
AUROPHARMA,2016-09-01,10:13:00,782.05,782.95,782.00,782.75,2139
AUROPHARMA,2016-09-01,10:14:00,782.55,782.85,782.25,782.50,2693
AUROPHARMA,2016-09-01,10:15:00,782.45,782.65,782.45,782.50,2070
AUROPHARMA,2016-09-01,10:16:00,782.55,782.95,782.50,782.75,1775
AUROPHARMA,2016-09-01,10:17:00,782.80,782.80,782.50,782.65,929
AUROPHARMA,2016-09-01,10:18:00,782.50,783.00,782.50,782.55,1834
AUROPHARMA,2016-09-01,10:19:00,783.00,783.25,783.00,783.25,2871
AUROPHARMA,2016-09-01,10:20:00,783.20,783.25,782.75,783.25,1820
AUROPHARMA,2016-09-01,10:21:00,783.30,784.75,783.30,784.00,5983
AUROPHARMA,2016-09-01,10:22:00,783.45,783.70,783.25,783.65,3091
AUROPHARMA,2016-09-01,10:23:00,783.60,783.65,783.05,783.45,1872
AUROPHARMA,2016-09-01,10:24:00,783.10,783.70,783.10,783.60,3020
AUROPHARMA,2016-09-01,10:25:00,783.75,783.80,783.50,783.80,1374
AUROPHARMA,2016-09-01,10:26:00,784.50,784.50,783.35,783.35,2083
AUROPHARMA,2016-09-01,10:27:00,783.55,783.55,783.10,783.10,1767
AUROPHARMA,2016-09-01,10:28:00,783.10,783.45,782.65,782.65,4381
AUROPHARMA,2016-09-01,10:29:00,782.85,782.85,782.50,782.50,1419
AUROPHARMA,2016-09-01,10:30:00,782.20,782.95,782.20,782.20,2680
AUROPHARMA,2016-09-01,10:31:00,782.15,782.85,782.15,782.15,2889
AUROPHARMA,2016-09-01,10:32:00,782.15,782.30,782.00,782.05,4028
AUROPHARMA,2016-09-01,10:33:00,782.15,783.30,782.00,783.30,16284
AUROPHARMA,2016-09-01,10:34:00,783.00,783.55,783.00,783.20,1854
AUROPHARMA,2016-09-01,10:35:00,783.00,783.00,782.05,782.25,2767
AUROPHARMA,2016-09-01,10:36:00,782.05,782.70,782.05,782.05,2748
AUROPHARMA,2016-09-01,10:37:00,782.00,782.70,782.00,782.70,2061
AUROPHARMA,2016-09-01,10:38:00,782.10,782.30,782.10,782.15,2028
AUROPHARMA,2016-09-01,10:39:00,782.25,783.55,782.25,782.90,3206
AUROPHARMA,2016-09-01,10:40:00,782.90,783.30,782.55,782.60,2221
AUROPHARMA,2016-09-01,10:41:00,782.65,783.60,782.65,783.05,3294
AUROPHARMA,2016-09-01,10:42:00,783.05,783.10,782.10,782.35,2273
AUROPHARMA,2016-09-01,10:43:00,782.45,783.00,782.35,782.85,2645
AUROPHARMA,2016-09-01,10:44:00,782.85,782.85,782.10,782.10,859
AUROPHARMA,2016-09-01,10:45:00,782.35,782.50,782.10,782.50,1786
AUROPHARMA,2016-09-01,10:46:00,782.15,782.95,782.10,782.35,3698
AUROPHARMA,2016-09-01,10:47:00,782.15,782.75,782.10,782.75,1515
AUROPHARMA,2016-09-01,10:48:00,783.05,783.20,782.55,782.55,1384
AUROPHARMA,2016-09-01,10:49:00,782.95,782.95,782.10,782.35,1519
AUROPHARMA,2016-09-01,10:50:00,782.35,782.95,782.10,782.40,1797
AUROPHARMA,2016-09-01,10:51:00,782.70,783.00,782.40,782.55,1811
AUROPHARMA,2016-09-01,10:52:00,782.20,782.75,782.20,782.20,1897
AUROPHARMA,2016-09-01,10:53:00,782.50,782.50,782.00,782.00,1713
AUROPHARMA,2016-09-01,10:54:00,782.00,782.30,782.00,782.00,1894
AUROPHARMA,2016-09-01,10:55:00,782.25,782.30,781.80,781.80,3654
AUROPHARMA,2016-09-01,10:56:00,781.30,781.30,781.05,781.30,2261
AUROPHARMA,2016-09-01,10:57:00,781.10,781.95,780.20,780.40,13424
AUROPHARMA,2016-09-01,10:58:00,780.40,780.70,780.15,780.55,2558
AUROPHARMA,2016-09-01,10:59:00,780.50,781.00,780.50,780.70,1688
AUROPHARMA,2016-09-01,11:00:00,780.90,780.90,780.30,780.30,3668
AUROPHARMA,2016-09-01,11:01:00,780.50,780.85,780.10,780.15,3299
AUROPHARMA,2016-09-01,11:02:00,780.10,780.85,780.10,780.85,1260
AUROPHARMA,2016-09-01,11:03:00,780.30,780.70,780.15,780.70,2820
AUROPHARMA,2016-09-01,11:04:00,780.35,781.20,780.35,780.40,1976
AUROPHARMA,2016-09-01,11:05:00,780.35,780.65,780.30,780.30,1210
AUROPHARMA,2016-09-01,11:06:00,780.30,780.50,780.25,780.50,840
AUROPHARMA,2016-09-01,11:07:00,780.30,780.55,780.20,780.20,2673
AUROPHARMA,2016-09-01,11:08:00,780.40,780.85,780.20,780.50,534
AUROPHARMA,2016-09-01,11:09:00,780.50,780.50,778.85,779.00,25799
AUROPHARMA,2016-09-01,11:10:00,779.00,780.05,778.80,780.00,4394
AUROPHARMA,2016-09-01,11:11:00,779.65,780.00,778.75,779.05,4403
AUROPHARMA,2016-09-01,11:12:00,779.05,779.75,779.05,779.60,2280
AUROPHARMA,2016-09-01,11:13:00,779.25,779.25,778.00,778.20,19451
AUROPHARMA,2016-09-01,11:14:00,778.50,779.50,778.00,779.40,5785
AUROPHARMA,2016-09-01,11:15:00,779.05,779.50,779.05,779.20,2609
AUROPHARMA,2016-09-01,11:16:00,779.20,779.35,778.35,778.50,3754
AUROPHARMA,2016-09-01,11:17:00,778.00,778.30,777.30,777.35,5095
AUROPHARMA,2016-09-01,11:18:00,777.30,778.95,777.25,778.60,4027
AUROPHARMA,2016-09-01,11:19:00,778.90,779.00,778.35,778.50,2740
AUROPHARMA,2016-09-01,11:20:00,778.50,778.50,778.05,778.50,1918
AUROPHARMA,2016-09-01,11:21:00,778.40,778.40,778.00,778.35,2128
AUROPHARMA,2016-09-01,11:22:00,778.20,779.55,778.20,779.55,4031
AUROPHARMA,2016-09-01,11:23:00,779.70,780.00,779.65,779.95,3269
AUROPHARMA,2016-09-01,11:24:00,780.00,780.00,779.00,779.00,1436
AUROPHARMA,2016-09-01,11:25:00,779.00,779.05,778.55,778.70,2692
AUROPHARMA,2016-09-01,11:26:00,778.50,778.70,778.40,778.40,1266
AUROPHARMA,2016-09-01,11:27:00,778.40,778.55,777.70,777.70,3316
AUROPHARMA,2016-09-01,11:28:00,777.75,777.75,777.70,777.75,2446
AUROPHARMA,2016-09-01,11:29:00,777.75,779.40,777.75,778.55,4017
AUROPHARMA,2016-09-01,11:30:00,778.60,779.40,778.25,778.25,2648
AUROPHARMA,2016-09-01,11:31:00,778.30,778.45,777.70,777.70,3142
AUROPHARMA,2016-09-01,11:32:00,777.30,777.75,777.30,777.40,5362
AUROPHARMA,2016-09-01,11:33:00,777.40,777.50,776.55,776.75,10570
AUROPHARMA,2016-09-01,11:34:00,776.55,778.25,776.55,777.95,3992
AUROPHARMA,2016-09-01,11:35:00,778.00,778.70,778.00,778.55,2915
AUROPHARMA,2016-09-01,11:36:00,778.30,778.55,778.00,778.00,4019
AUROPHARMA,2016-09-01,11:37:00,778.00,778.00,776.65,776.75,6045
AUROPHARMA,2016-09-01,11:38:00,777.00,777.30,776.55,777.10,2255
AUROPHARMA,2016-09-01,11:39:00,776.80,777.75,776.55,777.55,2603
AUROPHARMA,2016-09-01,11:40:00,778.00,778.05,777.55,777.85,1151
