symbol,date,time,open,high,low,close,volume
BANKBARODA,2016-08-31,14:50:00,164.85,164.95,164.75,164.80,12280
BANKBARODA,2016-08-31,14:51:00,164.85,164.85,164.40,164.50,38751
BANKBARODA,2016-08-31,14:52:00,164.55,164.65,164.40,164.55,18758
BANKBARODA,2016-08-31,14:53:00,164.70,164.70,164.50,164.50,6136
BANKBARODA,2016-08-31,14:54:00,164.55,164.55,164.40,164.50,16388
BANKBARODA,2016-08-31,14:55:00,164.50,164.65,164.40,164.65,12660
BANKBARODA,2016-08-31,14:56:00,164.60,164.75,164.55,164.75,11298
BANKBARODA,2016-08-31,14:57:00,164.60,164.75,164.60,164.60,12253
BANKBARODA,2016-08-31,14:58:00,164.65,164.65,164.50,164.50,15380
BANKBARODA,2016-08-31,14:59:00,164.65,164.70,164.50,164.70,11750
BANKBARODA,2016-08-31,15:00:00,164.75,164.75,164.40,164.45,12350
BANKBARODA,2016-08-31,15:01:00,164.40,164.45,164.20,164.20,49010
BANKBARODA,2016-08-31,15:02:00,164.25,164.25,164.00,164.15,64520
BANKBARODA,2016-08-31,15:03:00,164.10,164.10,163.85,163.95,45113
BANKBARODA,2016-08-31,15:04:00,163.95,163.95,163.70,163.80,51304
BANKBARODA,2016-08-31,15:05:00,163.80,163.80,163.60,163.65,40481
BANKBARODA,2016-08-31,15:06:00,163.65,163.65,163.10,163.10,55916
BANKBARODA,2016-08-31,15:07:00,163.20,163.55,163.05,163.55,124014
BANKBARODA,2016-08-31,15:08:00,163.60,163.60,163.40,163.50,73436
BANKBARODA,2016-08-31,15:09:00,163.55,163.60,163.40,163.50,36283
BANKBARODA,2016-08-31,15:10:00,163.60,163.60,163.35,163.35,16853
BANKBARODA,2016-08-31,15:11:00,163.40,163.40,162.95,162.95,117306
BANKBARODA,2016-08-31,15:12:00,162.95,163.05,162.70,162.70,43372
BANKBARODA,2016-08-31,15:13:00,162.70,162.80,162.65,162.80,70154
BANKBARODA,2016-08-31,15:14:00,162.85,162.85,162.60,162.60,41984
BANKBARODA,2016-08-31,15:15:00,162.55,162.60,162.30,162.30,43832
BANKBARODA,2016-08-31,15:16:00,162.40,162.40,162.20,162.20,40518
BANKBARODA,2016-08-31,15:17:00,162.25,162.25,162.10,162.10,46667
BANKBARODA,2016-08-31,15:18:00,162.05,162.10,162.00,162.05,37491
BANKBARODA,2016-08-31,15:19:00,162.15,162.25,162.05,162.25,42543
BANKBARODA,2016-08-31,15:20:00,162.30,162.60,162.25,162.60,33841
BANKBARODA,2016-08-31,15:21:00,162.60,162.60,162.40,162.55,40359
BANKBARODA,2016-08-31,15:22:00,162.45,162.50,162.40,162.45,41964
BANKBARODA,2016-08-31,15:23:00,162.45,162.55,162.45,162.45,24728
BANKBARODA,2016-08-31,15:24:00,162.45,162.45,162.20,162.20,31983
BANKBARODA,2016-08-31,15:25:00,162.20,162.20,162.00,162.10,45786
BANKBARODA,2016-08-31,15:26:00,162.15,162.30,162.10,162.10,24748
BANKBARODA,2016-08-31,15:27:00,162.10,162.20,162.10,162.15,48515
BANKBARODA,2016-08-31,15:28:00,162.15,162.20,162.05,162.20,19969
BANKBARODA,2016-08-31,15:29:00,162.20,162.35,162.00,162.10,37478
BANKBARODA,2016-08-31,15:30:00,162.25,162.30,161.90,162.15,27675
