symbol,date,time,open,high,low,close,volume
BHEL,2016-08-31,14:50:00,141.25,141.25,141.10,141.25,6197
BHEL,2016-08-31,14:51:00,141.25,141.25,141.00,141.10,17497
BHEL,2016-08-31,14:52:00,141.10,141.10,141.00,141.10,8121
BHEL,2016-08-31,14:53:00,141.10,141.15,141.00,141.15,12651
BHEL,2016-08-31,14:54:00,141.20,141.20,141.05,141.15,13104
BHEL,2016-08-31,14:55:00,141.15,141.15,141.00,141.05,19982
BHEL,2016-08-31,14:56:00,141.05,141.05,141.00,141.05,21176
BHEL,2016-08-31,14:57:00,141.00,141.05,141.00,141.05,11663
BHEL,2016-08-31,14:58:00,141.05,141.05,140.95,140.95,8198
BHEL,2016-08-31,14:59:00,141.05,141.05,140.90,140.95,10912
BHEL,2016-08-31,15:00:00,141.00,141.05,140.85,140.95,45265
BHEL,2016-08-31,15:01:00,140.85,140.90,140.50,140.50,52844
BHEL,2016-08-31,15:02:00,140.55,140.55,139.85,139.95,85841
BHEL,2016-08-31,15:03:00,139.95,139.95,139.65,139.70,46366
BHEL,2016-08-31,15:04:00,139.70,139.70,139.60,139.60,44155
BHEL,2016-08-31,15:05:00,139.65,139.85,139.60,139.80,38066
BHEL,2016-08-31,15:06:00,139.80,139.80,139.60,139.60,13957
BHEL,2016-08-31,15:07:00,139.65,139.65,139.40,139.45,92404
BHEL,2016-08-31,15:08:00,139.40,139.40,139.15,139.15,44363
BHEL,2016-08-31,15:09:00,139.15,139.15,139.05,139.10,42835
BHEL,2016-08-31,15:10:00,139.15,139.20,139.10,139.20,37316
BHEL,2016-08-31,15:11:00,139.20,139.20,139.10,139.20,52169
BHEL,2016-08-31,15:12:00,139.20,139.20,139.05,139.10,59137
BHEL,2016-08-31,15:13:00,139.10,139.15,139.00,139.05,50185
BHEL,2016-08-31,15:14:00,139.05,139.05,138.90,138.90,34452
BHEL,2016-08-31,15:15:00,138.90,138.90,138.65,138.65,47568
BHEL,2016-08-31,15:16:00,138.65,138.70,138.50,138.50,59135
BHEL,2016-08-31,15:17:00,138.60,138.70,138.50,138.65,64604
BHEL,2016-08-31,15:18:00,138.70,138.70,138.50,138.65,37226
BHEL,2016-08-31,15:19:00,138.70,138.90,138.65,138.85,40119
BHEL,2016-08-31,15:20:00,138.85,139.00,138.85,138.95,36682
BHEL,2016-08-31,15:21:00,138.90,138.90,138.65,138.65,52252
BHEL,2016-08-31,15:22:00,138.65,138.80,138.55,138.80,47770
BHEL,2016-08-31,15:23:00,138.80,138.80,138.55,138.60,37197
BHEL,2016-08-31,15:24:00,138.80,138.80,138.65,138.65,35340
BHEL,2016-08-31,15:25:00,138.75,138.75,138.55,138.65,27221
BHEL,2016-08-31,15:26:00,138.60,138.65,138.50,138.60,45891
BHEL,2016-08-31,15:27:00,138.60,138.65,138.40,138.40,47460
BHEL,2016-08-31,15:28:00,138.35,138.55,138.30,138.55,39505
BHEL,2016-08-31,15:29:00,138.50,138.60,138.45,138.55,13929
BHEL,2016-08-31,15:30:00,138.50,138.75,138.50,138.55,20937
BHEL,2016-09-01,09:16:00,139.00,139.00,138.70,138.80,21153
BHEL,2016-09-01,09:17:00,138.95,138.95,138.70,138.80,17966
BHEL,2016-09-01,09:18:00,138.85,139.15,138.75,139.00,35345
BHEL,2016-09-01,09:19:00,139.00,139.75,139.00,139.70,55395
BHEL,2016-09-01,09:20:00,139.80,139.95,139.50,139.60,46990
BHEL,2016-09-01,09:21:00,139.55,139.80,139.35,139.75,23315
BHEL,2016-09-01,09:22:00,139.80,139.80,139.50,139.50,19278
BHEL,2016-09-01,09:23:00,139.55,139.55,139.20,139.40,14391
BHEL,2016-09-01,09:24:00,139.45,139.60,139.45,139.45,10197
BHEL,2016-09-01,09:25:00,139.50,139.60,139.25,139.40,9275
BHEL,2016-09-01,09:26:00,139.25,139.50,139.15,139.15,10323
BHEL,2016-09-01,09:27:00,139.30,139.30,139.15,139.30,5531
BHEL,2016-09-01,09:28:00,139.30,139.35,139.20,139.30,9451
BHEL,2016-09-01,09:29:00,139.25,139.35,139.25,139.30,7713
BHEL,2016-09-01,09:30:00,139.30,139.35,138.90,138.90,15028
BHEL,2016-09-01,09:31:00,138.95,139.15,138.90,139.10,10097
BHEL,2016-09-01,09:32:00,139.10,139.10,138.90,138.95,10183
BHEL,2016-09-01,09:33:00,138.90,139.05,138.90,139.00,12345
BHEL,2016-09-01,09:34:00,139.00,139.15,139.00,139.05,13137
BHEL,2016-09-01,09:35:00,139.10,139.20,139.05,139.10,3812
BHEL,2016-09-01,09:36:00,139.20,139.30,139.05,139.30,3817
BHEL,2016-09-01,09:37:00,139.35,139.50,139.25,139.40,11914
BHEL,2016-09-01,09:38:00,139.50,139.55,139.40,139.40,6555
BHEL,2016-09-01,09:39:00,139.40,139.40,139.20,139.20,3582
BHEL,2016-09-01,09:40:00,139.30,139.45,139.15,139.20,11051
BHEL,2016-09-01,09:41:00,139.25,139.50,139.15,139.30,27731
BHEL,2016-09-01,09:42:00,139.35,139.40,139.20,139.30,9515
