symbol,date,time,open,high,low,close,volume
BPCL,2016-08-31,14:50:00,606.80,606.80,606.65,606.65,7488
BPCL,2016-08-31,14:51:00,606.65,606.90,606.65,606.85,17338
BPCL,2016-08-31,14:52:00,606.90,607.00,606.05,607.00,19567
BPCL,2016-08-31,14:53:00,607.00,607.00,606.85,606.90,12979
BPCL,2016-08-31,14:54:00,606.90,607.00,606.80,606.80,13296
BPCL,2016-08-31,14:55:00,606.95,607.40,606.95,607.25,23906
BPCL,2016-08-31,14:56:00,607.50,608.00,607.50,607.95,29404
BPCL,2016-08-31,14:57:00,607.90,608.50,607.90,608.30,23567
BPCL,2016-08-31,14:58:00,608.30,608.95,606.25,606.70,23736
BPCL,2016-08-31,14:59:00,606.70,607.75,606.65,607.75,15352
BPCL,2016-08-31,15:00:00,608.00,609.35,607.90,609.10,38241
BPCL,2016-08-31,15:01:00,609.15,609.20,608.40,608.50,233151
BPCL,2016-08-31,15:02:00,608.50,608.55,607.25,607.65,179551
BPCL,2016-08-31,15:03:00,607.70,607.70,606.75,606.90,233375
BPCL,2016-08-31,15:04:00,606.90,607.55,605.35,605.35,224816
BPCL,2016-08-31,15:05:00,605.60,605.60,604.15,604.50,187640
BPCL,2016-08-31,15:06:00,604.50,604.50,603.25,603.30,201452
BPCL,2016-08-31,15:07:00,603.30,603.40,601.65,601.85,200323
BPCL,2016-08-31,15:08:00,601.85,602.70,601.70,602.05,229327
BPCL,2016-08-31,15:09:00,602.10,602.10,600.85,601.20,219500
BPCL,2016-08-31,15:10:00,601.00,601.25,599.95,599.95,215405
BPCL,2016-08-31,15:11:00,599.95,600.00,599.50,599.95,198759
BPCL,2016-08-31,15:12:00,600.00,601.70,599.90,601.65,194889
BPCL,2016-08-31,15:13:00,601.65,602.20,601.50,601.85,184446
BPCL,2016-08-31,15:14:00,601.90,604.00,601.85,603.95,173811
BPCL,2016-08-31,15:15:00,603.95,605.80,603.95,605.75,219234
BPCL,2016-08-31,15:16:00,605.75,605.75,601.20,601.20,479442
BPCL,2016-08-31,15:17:00,601.05,603.05,599.55,600.55,283265
BPCL,2016-08-31,15:18:00,600.20,602.10,600.20,601.85,230473
BPCL,2016-08-31,15:19:00,601.75,604.00,601.75,603.80,269688
BPCL,2016-08-31,15:20:00,603.90,605.10,603.30,603.40,238502
BPCL,2016-08-31,15:21:00,603.45,603.45,597.70,597.70,272286
BPCL,2016-08-31,15:22:00,597.75,601.35,597.60,601.20,221341
BPCL,2016-08-31,15:23:00,601.75,601.95,600.50,600.50,214119
BPCL,2016-08-31,15:24:00,600.50,601.30,600.40,601.20,213911
BPCL,2016-08-31,15:25:00,601.25,601.85,600.45,600.60,196279
BPCL,2016-08-31,15:26:00,600.65,600.65,599.45,599.75,171751
BPCL,2016-08-31,15:27:00,599.70,599.75,599.05,599.25,214628
BPCL,2016-08-31,15:28:00,599.25,600.00,599.25,599.55,197011
BPCL,2016-08-31,15:29:00,599.20,603.00,598.20,600.90,182832
BPCL,2016-08-31,15:30:00,600.05,602.00,600.05,601.05,29278
BPCL,2016-09-01,09:15:00,601.50,601.50,601.50,601.50,412
BPCL,2016-09-01,09:16:00,604.25,606.70,603.00,603.30,77691
BPCL,2016-09-01,09:17:00,603.40,606.00,601.45,606.00,49886
BPCL,2016-09-01,09:18:00,605.75,606.55,602.85,603.05,78292
BPCL,2016-09-01,09:19:00,602.75,603.05,599.60,599.60,35409
BPCL,2016-09-01,09:20:00,599.80,600.60,598.25,598.55,54373
BPCL,2016-09-01,09:21:00,598.50,600.45,598.50,600.45,31298
BPCL,2016-09-01,09:22:00,600.60,601.00,599.10,599.65,16907
BPCL,2016-09-01,09:23:00,599.65,599.65,596.95,597.00,30172
BPCL,2016-09-01,09:24:00,596.20,596.50,594.20,595.45,48489
BPCL,2016-09-01,09:25:00,595.35,596.95,595.35,596.00,14798
BPCL,2016-09-01,09:26:00,596.35,596.80,596.00,596.40,12016
BPCL,2016-09-01,09:27:00,596.40,596.50,595.60,596.40,11146
BPCL,2016-09-01,09:28:00,596.35,596.70,595.05,595.05,14167
BPCL,2016-09-01,09:29:00,595.05,595.55,594.30,594.75,20885
BPCL,2016-09-01,09:30:00,594.85,595.00,594.50,594.85,19703
BPCL,2016-09-01,09:31:00,594.85,595.65,594.30,595.20,32574
BPCL,2016-09-01,09:32:00,595.20,595.80,595.00,595.20,18049
BPCL,2016-09-01,09:33:00,595.40,596.35,595.35,595.55,11096
BPCL,2016-09-01,09:34:00,595.70,595.95,595.10,595.35,7490
BPCL,2016-09-01,09:35:00,595.50,595.50,594.30,594.40,12841
BPCL,2016-09-01,09:36:00,594.30,594.45,592.45,592.60,52026
BPCL,2016-09-01,09:37:00,592.85,593.25,591.20,591.55,26333
BPCL,2016-09-01,09:38:00,591.50,592.05,590.60,591.85,26160
BPCL,2016-09-01,09:39:00,591.90,592.20,591.60,592.00,20716
BPCL,2016-09-01,09:40:00,592.00,592.85,591.80,592.85,11586
BPCL,2016-09-01,09:41:00,592.85,592.90,592.00,592.90,14299
BPCL,2016-09-01,09:42:00,592.85,593.30,592.50,593.00,6997
BPCL,2016-09-01,09:43:00,593.00,593.00,592.35,592.65,10904
BPCL,2016-09-01,09:44:00,592.60,593.35,592.50,592.90,7750
BPCL,2016-09-01,09:45:00,593.00,593.15,592.50,592.65,6914
BPCL,2016-09-01,09:46:00,592.45,592.80,592.35,592.70,3814
BPCL,2016-09-01,09:47:00,592.70,592.85,592.40,592.85,5617
BPCL,2016-09-01,09:48:00,592.70,593.00,591.50,591.50,24203
BPCL,2016-09-01,09:49:00,591.50,592.55,591.50,592.55,111426
BPCL,2016-09-01,09:50:00,592.60,592.65,592.10,592.50,4746
BPCL,2016-09-01,09:51:00,592.35,593.00,592.20,592.80,8307
BPCL,2016-09-01,09:52:00,593.00,593.90,592.45,593.20,15554
BPCL,2016-09-01,09:53:00,593.20,593.35,592.20,592.55,7345
BPCL,2016-09-01,09:54:00,592.65,593.40,592.40,592.45,11680
BPCL,2016-09-01,09:55:00,592.50,592.95,592.45,592.50,3485
BPCL,2016-09-01,09:56:00,592.60,592.65,592.45,592.60,8394
BPCL,2016-09-01,09:57:00,592.65,593.00,592.60,593.00,3257
BPCL,2016-09-01,09:58:00,593.05,593.05,592.15,592.45,9352
BPCL,2016-09-01,09:59:00,592.45,592.70,592.45,592.60,4205
BPCL,2016-09-01,10:00:00,592.60,592.70,592.20,592.30,7039
BPCL,2016-09-01,10:01:00,592.30,592.50,592.20,592.50,4686
BPCL,2016-09-01,10:02:00,592.25,592.60,592.25,592.30,2812
BPCL,2016-09-01,10:03:00,592.45,592.55,592.40,592.45,2699
BPCL,2016-09-01,10:04:00,592.45,592.80,592.45,592.75,3571
BPCL,2016-09-01,10:05:00,592.80,593.30,592.65,593.30,4868
BPCL,2016-09-01,10:06:00,593.45,593.55,593.00,593.25,7323
BPCL,2016-09-01,10:07:00,593.25,593.45,593.00,593.00,7560
BPCL,2016-09-01,10:08:00,593.10,593.10,592.40,592.80,9757
BPCL,2016-09-01,10:09:00,592.80,593.25,592.75,593.25,5608
BPCL,2016-09-01,10:10:00,593.30,594.45,593.20,593.95,14273
BPCL,2016-09-01,10:11:00,594.05,595.85,594.05,594.60,18644
BPCL,2016-09-01,10:12:00,594.60,594.60,593.40,593.90,13096
BPCL,2016-09-01,10:13:00,593.90,594.45,593.50,594.45,4384
BPCL,2016-09-01,10:14:00,594.40,594.45,593.80,594.00,10130
BPCL,2016-09-01,10:15:00,594.20,594.75,594.00,594.10,4224
BPCL,2016-09-01,10:16:00,594.10,594.65,594.00,594.60,5590
BPCL,2016-09-01,10:17:00,594.60,595.15,594.50,595.15,5030
BPCL,2016-09-01,10:18:00,595.15,595.15,594.55,594.65,4737
BPCL,2016-09-01,10:19:00,594.65,594.85,594.00,594.00,70479
BPCL,2016-09-01,10:20:00,594.00,594.60,593.75,594.60,16084
BPCL,2016-09-01,10:21:00,594.60,594.80,594.50,594.75,3363
BPCL,2016-09-01,10:22:00,594.75,595.50,594.75,595.35,6909
BPCL,2016-09-01,10:23:00,595.30,596.80,594.50,594.50,69251
BPCL,2016-09-01,10:24:00,594.55,595.55,594.50,595.05,7581
BPCL,2016-09-01,10:25:00,595.00,595.55,595.00,595.55,4168
BPCL,2016-09-01,10:26:00,595.75,596.35,595.60,595.80,7104
BPCL,2016-09-01,10:27:00,595.80,595.85,595.25,595.25,3045
BPCL,2016-09-01,10:28:00,595.25,595.90,595.25,595.45,4807
BPCL,2016-09-01,10:29:00,595.55,595.75,595.25,595.35,5090
BPCL,2016-09-01,10:30:00,595.40,595.40,594.65,594.65,5510
BPCL,2016-09-01,10:31:00,594.65,594.80,594.50,594.70,4030
BPCL,2016-09-01,10:32:00,594.70,594.75,594.15,594.20,4198
BPCL,2016-09-01,10:33:00,594.35,594.35,594.20,594.25,4002
BPCL,2016-09-01,10:34:00,594.20,594.25,594.15,594.20,3032
BPCL,2016-09-01,10:35:00,594.20,594.25,594.05,594.10,4082
BPCL,2016-09-01,10:36:00,594.10,594.10,593.45,593.65,9680
BPCL,2016-09-01,10:37:00,593.65,593.80,593.40,593.55,2753
BPCL,2016-09-01,10:38:00,593.70,593.75,593.50,593.65,3155
BPCL,2016-09-01,10:39:00,593.75,594.00,593.55,593.95,4427
BPCL,2016-09-01,10:40:00,593.90,594.00,593.60,594.00,2375
BPCL,2016-09-01,10:41:00,594.60,594.60,594.05,594.05,3714
BPCL,2016-09-01,10:42:00,594.05,594.10,593.50,593.50,3261
BPCL,2016-09-01,10:43:00,593.50,593.55,593.00,593.10,4596
BPCL,2016-09-01,10:44:00,593.10,593.20,592.90,593.00,7168
BPCL,2016-09-01,10:45:00,593.00,593.65,593.00,593.65,2437
BPCL,2016-09-01,10:46:00,593.35,593.60,593.35,593.35,2335
BPCL,2016-09-01,10:47:00,593.35,593.55,593.35,593.55,3860
