symbol,date,time,open,high,low,close,volume
CIPLA,2016-08-31,14:50:00,576.65,576.65,576.25,576.25,4010
CIPLA,2016-08-31,14:51:00,576.20,576.30,576.00,576.05,5176
CIPLA,2016-08-31,14:52:00,576.05,576.05,575.75,575.85,6893
CIPLA,2016-08-31,14:53:00,575.90,575.90,575.60,575.60,1539
CIPLA,2016-08-31,14:54:00,575.70,575.70,575.10,575.10,4595
CIPLA,2016-08-31,14:55:00,575.15,575.15,575.00,575.10,5481
CIPLA,2016-08-31,14:56:00,575.10,575.60,575.05,575.45,6262
CIPLA,2016-08-31,14:57:00,575.45,575.45,575.05,575.20,2762
CIPLA,2016-08-31,14:58:00,575.20,575.20,575.00,575.00,4963
CIPLA,2016-08-31,14:59:00,575.00,575.00,574.40,574.60,7213
CIPLA,2016-08-31,15:00:00,574.60,575.15,574.60,575.15,7658
CIPLA,2016-08-31,15:01:00,575.10,575.10,574.70,574.75,25176
CIPLA,2016-08-31,15:02:00,574.75,574.75,573.25,574.40,33439
CIPLA,2016-08-31,15:03:00,574.45,574.75,574.05,574.75,21369
CIPLA,2016-08-31,15:04:00,574.70,574.80,574.60,574.60,15130
CIPLA,2016-08-31,15:05:00,574.65,574.65,574.55,574.55,11901
CIPLA,2016-08-31,15:06:00,574.60,574.60,574.05,574.15,15051
CIPLA,2016-08-31,15:07:00,574.20,574.20,573.60,573.65,18721
CIPLA,2016-08-31,15:08:00,573.65,573.65,573.20,573.25,16439
CIPLA,2016-08-31,15:09:00,573.20,573.25,572.00,572.90,39181
CIPLA,2016-08-31,15:10:00,573.00,573.05,572.50,572.85,19241
CIPLA,2016-08-31,15:11:00,572.85,572.85,572.55,572.65,18572
CIPLA,2016-08-31,15:12:00,572.65,572.70,572.55,572.65,19042
CIPLA,2016-08-31,15:13:00,572.70,572.70,572.50,572.60,19370
CIPLA,2016-08-31,15:14:00,572.70,572.70,572.30,572.50,15153
CIPLA,2016-08-31,15:15:00,572.45,572.45,571.75,571.75,20549
CIPLA,2016-08-31,15:16:00,571.80,571.80,570.50,571.15,26541
