symbol,date,time,open,high,low,close,volume
GRASIM,2016-08-31,14:50:00,4691.90,4692.00,4689.90,4689.90,177
GRASIM,2016-08-31,14:51:00,4690.20,4691.65,4663.35,4663.35,2161
GRASIM,2016-08-31,14:52:00,4663.35,4676.00,4663.35,4673.60,1014
GRASIM,2016-08-31,14:53:00,4673.60,4680.90,4673.60,4675.10,597
GRASIM,2016-08-31,14:54:00,4677.25,4678.20,4672.25,4676.30,520
GRASIM,2016-08-31,14:55:00,4675.35,4677.30,4671.95,4677.30,360
GRASIM,2016-08-31,14:56:00,4677.30,4677.35,4675.00,4677.35,258
GRASIM,2016-08-31,14:57:00,4677.40,4677.40,4675.00,4676.40,326
GRASIM,2016-08-31,14:58:00,4676.40,4676.40,4671.90,4675.00,233
GRASIM,2016-08-31,14:59:00,4675.00,4675.00,4671.60,4675.00,71
GRASIM,2016-08-31,15:00:00,4675.00,4675.05,4671.30,4675.05,248
GRASIM,2016-08-31,15:01:00,4674.65,4675.95,4671.00,4672.60,967
GRASIM,2016-08-31,15:02:00,4672.25,4678.00,4668.00,4672.75,3454
GRASIM,2016-08-31,15:03:00,4673.20,4684.50,4671.10,4681.70,712
GRASIM,2016-08-31,15:04:00,4681.70,4684.85,4678.50,4680.85,178
GRASIM,2016-08-31,15:05:00,4680.70,4680.85,4673.70,4678.35,416
GRASIM,2016-08-31,15:06:00,4678.35,4680.00,4674.60,4678.40,257
GRASIM,2016-08-31,15:07:00,4678.40,4678.40,4669.70,4674.35,473
GRASIM,2016-08-31,15:08:00,4672.00,4675.65,4669.85,4675.65,352
GRASIM,2016-08-31,15:09:00,4678.35,4679.30,4674.10,4679.30,509
GRASIM,2016-08-31,15:10:00,4680.00,4680.00,4675.00,4675.00,554
GRASIM,2016-08-31,15:11:00,4675.00,4677.70,4674.00,4677.70,339
GRASIM,2016-08-31,15:12:00,4678.00,4680.00,4677.05,4680.00,834
GRASIM,2016-08-31,15:13:00,4680.00,4680.00,4675.00,4675.20,1594
GRASIM,2016-08-31,15:14:00,4679.15,4680.00,4676.05,4676.40,127
GRASIM,2016-08-31,15:15:00,4679.00,4679.00,4672.80,4672.80,449
GRASIM,2016-08-31,15:16:00,4674.70,4676.00,4670.00,4674.00,358
GRASIM,2016-08-31,15:17:00,4674.00,4674.95,4661.10,4667.95,2223
GRASIM,2016-08-31,15:18:00,4667.70,4667.85,4660.00,4661.00,1337
GRASIM,2016-08-31,15:19:00,4663.05,4664.00,4657.60,4661.00,1880
GRASIM,2016-08-31,15:20:00,4662.35,4671.00,4661.05,4669.50,1111
GRASIM,2016-08-31,15:21:00,4665.05,4665.40,4663.95,4665.00,742
GRASIM,2016-08-31,15:22:00,4664.00,4665.00,4660.00,4665.00,2262
GRASIM,2016-08-31,15:23:00,4665.00,4666.80,4660.25,4666.80,1453
GRASIM,2016-08-31,15:24:00,4666.35,4667.40,4660.00,4665.20,942
GRASIM,2016-08-31,15:25:00,4666.95,4667.35,4662.25,4666.10,795
GRASIM,2016-08-31,15:26:00,4663.60,4668.05,4663.50,4665.35,964
GRASIM,2016-08-31,15:27:00,4668.00,4675.00,4665.00,4673.90,1507
GRASIM,2016-08-31,15:28:00,4672.95,4673.70,4666.00,4666.00,601
GRASIM,2016-08-31,15:29:00,4666.20,4666.20,4662.05,4663.20,422
GRASIM,2016-08-31,15:30:00,4666.25,4668.00,4663.20,4663.20,423
GRASIM,2016-09-01,09:15:00,4651.00,4651.00,4651.00,4651.00,15
GRASIM,2016-09-01,09:16:00,4660.00,4660.00,4651.05,4656.80,568
GRASIM,2016-09-01,09:17:00,4658.00,4659.00,4652.00,4657.00,514
GRASIM,2016-09-01,09:18:00,4657.00,4669.00,4652.80,4669.00,1077
GRASIM,2016-09-01,09:19:00,4668.95,4669.00,4662.00,4668.70,229
GRASIM,2016-09-01,09:20:00,4666.95,4674.70,4666.95,4670.20,1059
GRASIM,2016-09-01,09:21:00,4672.50,4683.95,4669.95,4669.95,492
GRASIM,2016-09-01,09:22:00,4665.00,4674.55,4659.30,4662.85,356
GRASIM,2016-09-01,09:23:00,4665.90,4671.50,4662.00,4670.00,1370
GRASIM,2016-09-01,09:24:00,4672.00,4678.40,4672.00,4673.05,538
GRASIM,2016-09-01,09:25:00,4672.00,4673.00,4667.35,4668.25,219
GRASIM,2016-09-01,09:26:00,4669.00,4674.75,4668.20,4673.35,628
GRASIM,2016-09-01,09:27:00,4675.30,4679.65,4671.95,4678.50,267
GRASIM,2016-09-01,09:28:00,4679.70,4685.00,4677.20,4685.00,361
GRASIM,2016-09-01,09:29:00,4687.00,4689.95,4686.00,4688.70,289
GRASIM,2016-09-01,09:30:00,4688.00,4688.80,4680.00,4680.00,259
GRASIM,2016-09-01,09:31:00,4677.65,4681.60,4677.65,4680.00,84
GRASIM,2016-09-01,09:32:00,4679.80,4681.25,4674.65,4679.10,264
GRASIM,2016-09-01,09:33:00,4679.05,4681.00,4676.50,4680.90,141
GRASIM,2016-09-01,09:34:00,4680.05,4683.00,4680.05,4683.00,144
GRASIM,2016-09-01,09:35:00,4682.65,4683.00,4679.10,4679.10,86
GRASIM,2016-09-01,09:36:00,4677.00,4680.35,4677.00,4680.00,206
GRASIM,2016-09-01,09:37:00,4679.05,4679.05,4676.75,4676.80,177
GRASIM,2016-09-01,09:38:00,4679.95,4679.95,4676.85,4676.85,111
GRASIM,2016-09-01,09:39:00,4676.75,4676.75,4675.00,4675.00,136
GRASIM,2016-09-01,09:40:00,4675.00,4677.65,4675.00,4677.30,259
GRASIM,2016-09-01,09:41:00,4677.90,4678.20,4676.35,4678.20,55
GRASIM,2016-09-01,09:42:00,4679.00,4680.35,4673.15,4675.25,218
GRASIM,2016-09-01,09:43:00,4675.85,4675.85,4670.15,4670.15,130
GRASIM,2016-09-01,09:44:00,4670.55,4672.15,4661.45,4661.45,302
GRASIM,2016-09-01,09:45:00,4661.10,4661.45,4655.90,4658.45,225
GRASIM,2016-09-01,09:46:00,4655.00,4657.85,4646.00,4649.00,448
GRASIM,2016-09-01,09:47:00,4643.10,4661.45,4641.00,4660.90,1769
GRASIM,2016-09-01,09:48:00,4660.85,4665.70,4660.00,4660.25,500
GRASIM,2016-09-01,09:49:00,4657.75,4664.40,4657.10,4661.10,287
GRASIM,2016-09-01,09:50:00,4664.70,4668.80,4660.45,4664.80,227
GRASIM,2016-09-01,09:51:00,4664.80,4665.85,4664.05,4665.85,27
GRASIM,2016-09-01,09:52:00,4664.00,4668.70,4664.00,4666.30,206
GRASIM,2016-09-01,09:53:00,4665.00,4668.60,4658.55,4668.60,378
GRASIM,2016-09-01,09:54:00,4670.00,4670.00,4663.35,4666.00,445
GRASIM,2016-09-01,09:55:00,4668.65,4670.00,4667.15,4669.95,356
GRASIM,2016-09-01,09:56:00,4667.65,4670.00,4666.10,4669.95,30
GRASIM,2016-09-01,09:57:00,4667.50,4670.00,4667.05,4670.00,168
GRASIM,2016-09-01,09:58:00,4673.00,4673.00,4669.85,4670.00,542
GRASIM,2016-09-01,09:59:00,4672.80,4673.00,4672.80,4673.00,331
GRASIM,2016-09-01,10:00:00,4673.15,4675.00,4672.85,4675.00,603
GRASIM,2016-09-01,10:01:00,4674.85,4675.00,4674.85,4675.00,130
GRASIM,2016-09-01,10:02:00,4674.00,4675.00,4672.85,4675.00,701
GRASIM,2016-09-01,10:03:00,4678.20,4689.90,4678.20,4683.75,1712
GRASIM,2016-09-01,10:04:00,4682.80,4694.15,4682.80,4692.00,906
GRASIM,2016-09-01,10:05:00,4692.95,4700.00,4692.00,4696.40,1026
GRASIM,2016-09-01,10:06:00,4698.95,4699.40,4691.80,4696.65,708
GRASIM,2016-09-01,10:07:00,4697.40,4697.40,4691.10,4691.70,244
GRASIM,2016-09-01,10:08:00,4692.00,4692.70,4685.00,4687.95,876
GRASIM,2016-09-01,10:09:00,4687.30,4687.30,4681.15,4682.10,206
GRASIM,2016-09-01,10:10:00,4682.00,4689.90,4681.90,4689.90,92
GRASIM,2016-09-01,10:11:00,4688.85,4688.85,4686.85,4687.65,47
GRASIM,2016-09-01,10:12:00,4685.20,4689.75,4685.00,4686.05,156
GRASIM,2016-09-01,10:13:00,4684.00,4689.00,4684.00,4689.00,49
GRASIM,2016-09-01,10:14:00,4688.10,4690.05,4684.15,4686.40,196
GRASIM,2016-09-01,10:15:00,4687.05,4690.95,4685.85,4690.05,45
GRASIM,2016-09-01,10:16:00,4692.00,4694.00,4690.25,4690.50,189
GRASIM,2016-09-01,10:17:00,4690.50,4692.90,4688.10,4688.10,239
GRASIM,2016-09-01,10:18:00,4689.60,4689.60,4687.60,4688.30,19
GRASIM,2016-09-01,10:19:00,4689.70,4696.00,4689.70,4696.00,318
GRASIM,2016-09-01,10:20:00,4697.80,4700.35,4695.00,4699.60,3452
GRASIM,2016-09-01,10:21:00,4695.75,4700.00,4694.40,4694.40,2968
GRASIM,2016-09-01,10:22:00,4696.95,4705.30,4695.00,4703.55,7285
GRASIM,2016-09-01,10:23:00,4705.00,4710.30,4704.70,4704.70,1023
GRASIM,2016-09-01,10:24:00,4704.75,4710.00,4704.75,4708.10,227
GRASIM,2016-09-01,10:25:00,4707.45,4710.50,4705.75,4705.75,308
GRASIM,2016-09-01,10:26:00,4706.50,4707.95,4703.45,4703.45,209
GRASIM,2016-09-01,10:27:00,4701.90,4714.00,4701.90,4708.90,2287
