symbol,date,time,open,high,low,close,volume
HCLTECH,2016-08-31,14:50:00,787.95,787.95,787.35,787.65,3878
HCLTECH,2016-08-31,14:51:00,787.70,787.75,787.55,787.55,2193
HCLTECH,2016-08-31,14:52:00,787.60,787.80,787.55,787.80,4452
HCLTECH,2016-08-31,14:53:00,787.95,787.95,787.80,787.85,4276
HCLTECH,2016-08-31,14:54:00,787.90,788.00,787.85,788.00,4416
HCLTECH,2016-08-31,14:55:00,788.00,788.00,787.90,787.90,5360
HCLTECH,2016-08-31,14:56:00,788.00,788.00,786.55,786.55,8603
HCLTECH,2016-08-31,14:57:00,786.65,786.90,786.45,786.50,4706
HCLTECH,2016-08-31,14:58:00,786.55,787.35,786.55,787.35,2395
HCLTECH,2016-08-31,14:59:00,787.45,787.45,787.30,787.45,3189
HCLTECH,2016-08-31,15:00:00,787.45,787.80,787.40,787.75,4051
HCLTECH,2016-08-31,15:01:00,787.70,787.70,785.75,785.75,23705
HCLTECH,2016-08-31,15:02:00,785.65,785.70,784.30,784.35,29782
HCLTECH,2016-08-31,15:03:00,784.35,784.35,783.95,784.10,47042
HCLTECH,2016-08-31,15:04:00,784.25,784.25,782.65,782.65,21661
HCLTECH,2016-08-31,15:05:00,782.75,782.75,782.30,782.30,28806
HCLTECH,2016-08-31,15:06:00,782.30,782.40,781.75,781.75,22624
HCLTECH,2016-08-31,15:07:00,781.80,781.85,781.25,781.30,32955
HCLTECH,2016-08-31,15:08:00,781.30,781.30,781.00,781.00,27827
HCLTECH,2016-08-31,15:09:00,780.95,780.95,780.40,780.40,30442
HCLTECH,2016-08-31,15:10:00,780.35,780.40,780.15,780.20,44228
HCLTECH,2016-08-31,15:11:00,780.15,780.20,779.25,779.50,39448
HCLTECH,2016-08-31,15:12:00,779.40,779.50,779.00,779.00,26717
HCLTECH,2016-08-31,15:13:00,778.95,778.95,778.10,778.10,28869
HCLTECH,2016-08-31,15:14:00,778.10,778.10,777.35,777.40,23901
HCLTECH,2016-08-31,15:15:00,777.35,777.35,777.00,777.05,44873
HCLTECH,2016-08-31,15:16:00,777.10,779.60,776.85,778.75,65680
HCLTECH,2016-08-31,15:17:00,778.65,778.95,778.25,778.25,28760
HCLTECH,2016-08-31,15:18:00,778.25,778.25,777.05,777.05,22437
HCLTECH,2016-08-31,15:19:00,777.05,777.10,776.55,776.55,28752
HCLTECH,2016-08-31,15:20:00,776.50,776.50,776.15,776.15,36552
HCLTECH,2016-08-31,15:21:00,776.15,776.20,775.90,775.95,29546
HCLTECH,2016-08-31,15:22:00,776.00,776.00,775.40,775.45,47209
HCLTECH,2016-08-31,15:23:00,775.50,775.70,775.00,775.05,42060
HCLTECH,2016-08-31,15:24:00,775.00,775.05,774.55,774.60,33338
HCLTECH,2016-08-31,15:25:00,774.55,774.55,773.90,774.10,31409
HCLTECH,2016-08-31,15:26:00,774.10,774.25,773.50,773.95,48308
HCLTECH,2016-08-31,15:27:00,774.00,774.00,773.90,773.95,29943
HCLTECH,2016-08-31,15:28:00,773.90,777.95,773.80,777.80,22105
HCLTECH,2016-08-31,15:29:00,777.75,779.05,776.95,778.95,15092
HCLTECH,2016-08-31,15:30:00,778.70,778.70,775.15,778.00,7760
HCLTECH,2016-09-01,09:15:00,781.30,781.30,781.30,781.30,100
HCLTECH,2016-09-01,09:16:00,782.00,782.90,782.00,782.30,8644
HCLTECH,2016-09-01,09:17:00,782.35,782.95,781.65,782.60,5853
HCLTECH,2016-09-01,09:18:00,782.60,782.95,782.00,782.45,5820
HCLTECH,2016-09-01,09:19:00,782.45,784.20,782.30,784.20,3206
HCLTECH,2016-09-01,09:20:00,784.20,784.90,784.00,784.15,7496
HCLTECH,2016-09-01,09:21:00,784.60,784.90,784.05,784.20,5045
