symbol,date,time,open,high,low,close,volume
KOTAKBANK,2016-08-31,14:50:00,812.75,812.75,812.00,812.00,8141
KOTAKBANK,2016-08-31,14:51:00,812.40,812.40,812.00,812.20,3464
KOTAKBANK,2016-08-31,14:52:00,812.05,812.20,811.55,811.90,5412
KOTAKBANK,2016-08-31,14:53:00,811.95,811.95,811.40,811.40,4881
KOTAKBANK,2016-08-31,14:54:00,811.75,811.80,811.05,811.65,5158
KOTAKBANK,2016-08-31,14:55:00,811.65,811.95,811.50,811.60,2788
KOTAKBANK,2016-08-31,14:56:00,811.60,812.40,811.60,812.05,5006
KOTAKBANK,2016-08-31,14:57:00,812.35,812.35,811.55,812.10,5079
KOTAKBANK,2016-08-31,14:58:00,812.15,812.30,811.50,812.25,6197
KOTAKBANK,2016-08-31,14:59:00,812.25,812.45,811.50,812.00,4553
KOTAKBANK,2016-08-31,15:00:00,812.50,812.50,811.90,812.00,4276
KOTAKBANK,2016-08-31,15:01:00,812.50,812.70,811.05,811.40,11554
KOTAKBANK,2016-08-31,15:02:00,811.60,811.60,809.10,810.15,23351
KOTAKBANK,2016-08-31,15:03:00,810.35,810.35,807.50,808.45,21119
KOTAKBANK,2016-08-31,15:04:00,808.65,808.65,807.10,807.60,13662
KOTAKBANK,2016-08-31,15:05:00,807.60,808.20,807.10,807.35,15336
KOTAKBANK,2016-08-31,15:06:00,807.35,807.75,806.60,806.85,17409
KOTAKBANK,2016-08-31,15:07:00,806.85,806.90,805.05,805.40,18276
KOTAKBANK,2016-08-31,15:08:00,805.55,805.55,805.10,805.10,11680
KOTAKBANK,2016-08-31,15:09:00,805.30,805.70,804.75,805.05,16197
KOTAKBANK,2016-08-31,15:10:00,805.50,806.10,805.15,805.50,10471
KOTAKBANK,2016-08-31,15:11:00,805.55,806.15,805.00,805.10,21628
KOTAKBANK,2016-08-31,15:12:00,805.15,806.00,805.00,805.40,11688
KOTAKBANK,2016-08-31,15:13:00,806.15,807.50,805.75,806.60,30803
KOTAKBANK,2016-08-31,15:14:00,806.65,806.65,805.10,805.10,12929
KOTAKBANK,2016-08-31,15:15:00,805.25,805.25,804.10,804.20,11155
KOTAKBANK,2016-08-31,15:16:00,804.50,805.00,803.40,804.05,12832
KOTAKBANK,2016-08-31,15:17:00,804.05,804.60,802.85,803.40,17830
KOTAKBANK,2016-08-31,15:18:00,803.30,804.50,803.00,803.50,8514
KOTAKBANK,2016-08-31,15:19:00,803.50,805.00,803.20,804.50,13087
KOTAKBANK,2016-08-31,15:20:00,804.50,805.10,804.10,805.05,14321
KOTAKBANK,2016-08-31,15:21:00,805.05,805.50,804.50,804.60,13222
KOTAKBANK,2016-08-31,15:22:00,804.60,805.10,804.25,804.80,12396
KOTAKBANK,2016-08-31,15:23:00,804.65,805.50,804.30,805.40,20584
KOTAKBANK,2016-08-31,15:24:00,805.15,807.85,804.75,807.85,33660
KOTAKBANK,2016-08-31,15:25:00,807.50,808.80,807.00,807.50,31719
KOTAKBANK,2016-08-31,15:26:00,807.55,809.75,806.50,808.55,29108
KOTAKBANK,2016-08-31,15:27:00,808.50,810.40,808.50,810.40,23483
KOTAKBANK,2016-08-31,15:28:00,809.45,809.95,808.25,809.10,21197
KOTAKBANK,2016-08-31,15:29:00,809.25,810.50,808.75,809.45,26688
KOTAKBANK,2016-08-31,15:30:00,809.45,811.20,808.10,809.00,11289
KOTAKBANK,2016-09-01,09:15:00,812.10,812.10,812.10,812.10,195
KOTAKBANK,2016-09-01,09:16:00,812.00,812.85,810.30,811.70,12875
KOTAKBANK,2016-09-01,09:17:00,812.05,812.05,809.05,810.05,9373
