symbol,date,time,open,high,low,close,volume
MARUTI,2016-08-31,14:50:00,5079.00,5079.00,5078.70,5078.80,2601
MARUTI,2016-08-31,14:51:00,5078.80,5078.80,5068.15,5068.15,4219
MARUTI,2016-08-31,14:52:00,5068.15,5077.95,5068.15,5072.95,3492
MARUTI,2016-08-31,14:53:00,5074.65,5078.00,5074.00,5077.90,1103
MARUTI,2016-08-31,14:54:00,5077.90,5077.90,5073.45,5074.30,1441
MARUTI,2016-08-31,14:55:00,5075.10,5076.00,5074.00,5075.80,1072
MARUTI,2016-08-31,14:56:00,5075.80,5077.00,5075.70,5076.55,1241
MARUTI,2016-08-31,14:57:00,5076.70,5076.70,5071.75,5075.00,2416
MARUTI,2016-08-31,14:58:00,5075.00,5075.00,5072.75,5073.00,1639
MARUTI,2016-08-31,14:59:00,5073.95,5074.00,5073.90,5073.95,1545
MARUTI,2016-08-31,15:00:00,5074.00,5074.15,5073.95,5073.95,2407
MARUTI,2016-08-31,15:01:00,5073.95,5073.95,5071.80,5072.75,5102
MARUTI,2016-08-31,15:02:00,5072.75,5072.75,5070.40,5070.75,5168
MARUTI,2016-08-31,15:03:00,5070.75,5070.75,5065.10,5065.25,6803
MARUTI,2016-08-31,15:04:00,5065.30,5065.30,5064.60,5064.95,8001
MARUTI,2016-08-31,15:05:00,5065.00,5065.00,5062.00,5062.05,6474
MARUTI,2016-08-31,15:06:00,5062.00,5062.00,5060.10,5060.30,6471
MARUTI,2016-08-31,15:07:00,5060.30,5060.30,5058.00,5058.15,7736
MARUTI,2016-08-31,15:08:00,5058.20,5058.50,5057.80,5057.90,5139
MARUTI,2016-08-31,15:09:00,5057.90,5057.95,5055.75,5055.95,5869
MARUTI,2016-08-31,15:10:00,5055.95,5055.95,5047.65,5051.65,12129
MARUTI,2016-08-31,15:11:00,5051.65,5051.65,5045.00,5046.95,9042
MARUTI,2016-08-31,15:12:00,5046.70,5046.70,5043.80,5043.80,7525
MARUTI,2016-08-31,15:13:00,5043.75,5043.80,5040.75,5041.10,9442
MARUTI,2016-08-31,15:14:00,5041.05,5044.45,5037.80,5037.80,11428
MARUTI,2016-08-31,15:15:00,5037.80,5041.85,5037.70,5041.85,7149
MARUTI,2016-08-31,15:16:00,5041.85,5046.00,5041.55,5045.70,6755
MARUTI,2016-08-31,15:17:00,5045.80,5048.15,5045.80,5048.05,6633
MARUTI,2016-08-31,15:18:00,5048.00,5048.10,5047.45,5047.65,6629
MARUTI,2016-08-31,15:19:00,5047.65,5047.65,5046.00,5046.65,7136
MARUTI,2016-08-31,15:20:00,5046.65,5052.95,5046.60,5052.95,6658
MARUTI,2016-08-31,15:21:00,5052.40,5054.45,5051.60,5054.25,8567
MARUTI,2016-08-31,15:22:00,5054.05,5060.00,5053.75,5059.95,12832
MARUTI,2016-08-31,15:23:00,5059.90,5059.95,5058.75,5058.80,6513
MARUTI,2016-08-31,15:24:00,5058.75,5058.80,5057.80,5057.90,6453
MARUTI,2016-08-31,15:25:00,5057.95,5057.95,5057.00,5057.25,7022
MARUTI,2016-08-31,15:26:00,5057.05,5057.05,5056.55,5057.05,6290
MARUTI,2016-08-31,15:27:00,5057.00,5057.00,5051.90,5051.90,12420
MARUTI,2016-08-31,15:28:00,5052.30,5052.30,5049.95,5051.00,7280
MARUTI,2016-08-31,15:29:00,5050.95,5056.05,5048.05,5051.45,5984
MARUTI,2016-08-31,15:30:00,5051.45,5057.75,5050.00,5056.00,2745
MARUTI,2016-09-01,09:15:00,5100.00,5100.00,5100.00,5100.00,790
MARUTI,2016-09-01,09:16:00,5097.95,5097.95,5048.20,5052.05,8407
MARUTI,2016-09-01,09:17:00,5045.80,5060.00,5042.70,5058.10,4766
MARUTI,2016-09-01,09:18:00,5058.30,5064.85,5058.30,5064.10,4409
MARUTI,2016-09-01,09:19:00,5064.95,5074.30,5064.60,5074.30,4431
MARUTI,2016-09-01,09:20:00,5074.30,5077.90,5074.30,5076.75,3644
MARUTI,2016-09-01,09:21:00,5076.85,5084.90,5076.85,5082.00,2861
MARUTI,2016-09-01,09:22:00,5082.00,5082.00,5066.15,5068.85,3804
MARUTI,2016-09-01,09:23:00,5066.55,5070.60,5066.00,5069.60,1794
MARUTI,2016-09-01,09:24:00,5070.35,5075.00,5065.30,5066.45,2220
MARUTI,2016-09-01,09:25:00,5065.45,5068.60,5065.00,5065.95,1731
MARUTI,2016-09-01,09:26:00,5066.00,5073.40,5064.50,5072.45,2136
MARUTI,2016-09-01,09:27:00,5072.45,5073.00,5070.00,5070.95,2783
MARUTI,2016-09-01,09:28:00,5070.00,5070.90,5063.20,5063.50,1719
MARUTI,2016-09-01,09:29:00,5063.00,5067.95,5061.10,5067.00,1751
MARUTI,2016-09-01,09:30:00,5067.00,5067.00,5063.00,5064.80,2337
MARUTI,2016-09-01,09:31:00,5064.80,5067.55,5063.10,5064.05,1195
MARUTI,2016-09-01,09:32:00,5064.20,5069.55,5064.00,5067.80,716
MARUTI,2016-09-01,09:33:00,5067.80,5070.95,5067.00,5068.05,264
MARUTI,2016-09-01,09:34:00,5068.05,5073.40,5066.60,5070.50,1293
MARUTI,2016-09-01,09:35:00,5071.95,5071.95,5068.00,5068.55,559
MARUTI,2016-09-01,09:36:00,5068.55,5068.55,5064.20,5064.95,1620
MARUTI,2016-09-01,09:37:00,5064.05,5065.00,5064.00,5064.10,762
MARUTI,2016-09-01,09:38:00,5064.85,5065.00,5064.00,5065.00,653
MARUTI,2016-09-01,09:39:00,5065.00,5065.00,5063.80,5063.80,1126
MARUTI,2016-09-01,09:40:00,5063.80,5065.00,5063.00,5064.20,760
MARUTI,2016-09-01,09:41:00,5063.95,5065.00,5061.20,5061.20,485
MARUTI,2016-09-01,09:42:00,5061.10,5064.00,5058.60,5058.60,4957
MARUTI,2016-09-01,09:43:00,5058.60,5059.30,5055.00,5055.00,580
MARUTI,2016-09-01,09:44:00,5056.45,5060.00,5055.85,5055.85,1096
MARUTI,2016-09-01,09:45:00,5056.30,5058.00,5054.05,5055.05,1087
MARUTI,2016-09-01,09:46:00,5056.00,5059.30,5055.20,5057.90,643
MARUTI,2016-09-01,09:47:00,5056.60,5056.95,5054.05,5056.10,819
MARUTI,2016-09-01,09:48:00,5055.00,5057.00,5055.00,5057.00,506
MARUTI,2016-09-01,09:49:00,5058.00,5058.35,5055.00,5055.00,691
MARUTI,2016-09-01,09:50:00,5055.00,5056.10,5055.00,5056.10,722
MARUTI,2016-09-01,09:51:00,5056.00,5056.00,5054.05,5054.15,1480
MARUTI,2016-09-01,09:52:00,5054.15,5055.50,5054.15,5054.95,16757
MARUTI,2016-09-01,09:53:00,5054.95,5054.95,5051.40,5052.50,858
MARUTI,2016-09-01,09:54:00,5052.50,5052.55,5048.70,5050.00,2054
MARUTI,2016-09-01,09:55:00,5050.00,5050.00,5048.50,5049.05,846
MARUTI,2016-09-01,09:56:00,5050.00,5051.90,5049.05,5051.90,1252
MARUTI,2016-09-01,09:57:00,5053.60,5055.00,5050.10,5054.00,2703
MARUTI,2016-09-01,09:58:00,5054.00,5054.00,5048.00,5050.00,899
MARUTI,2016-09-01,09:59:00,5050.00,5053.90,5048.65,5050.05,1540
MARUTI,2016-09-01,10:00:00,5052.00,5052.00,5049.10,5052.00,1247
MARUTI,2016-09-01,10:01:00,5052.00,5052.00,5050.60,5050.60,1166
MARUTI,2016-09-01,10:02:00,5051.90,5055.00,5050.80,5055.00,1157
MARUTI,2016-09-01,10:03:00,5055.00,5055.00,5053.00,5054.40,562
MARUTI,2016-09-01,10:04:00,5054.40,5054.95,5054.40,5054.95,719
