symbol,date,time,open,high,low,close,volume
ONGC,2016-08-31,14:50:00,236.65,236.65,236.40,236.40,10964
ONGC,2016-08-31,14:51:00,236.45,236.55,236.35,236.50,18281
ONGC,2016-08-31,14:52:00,236.55,236.60,236.50,236.55,13492
ONGC,2016-08-31,14:53:00,236.65,236.75,236.60,236.75,15085
ONGC,2016-08-31,14:54:00,236.75,236.75,236.40,236.50,23971
ONGC,2016-08-31,14:55:00,236.55,236.55,236.40,236.50,20127
ONGC,2016-08-31,14:56:00,236.55,236.55,236.40,236.50,19309
ONGC,2016-08-31,14:57:00,236.40,236.50,236.30,236.30,20946
ONGC,2016-08-31,14:58:00,236.30,236.35,236.25,236.25,18577
ONGC,2016-08-31,14:59:00,236.30,236.30,236.20,236.30,20727
ONGC,2016-08-31,15:00:00,236.25,236.30,235.80,235.90,44700
ONGC,2016-08-31,15:01:00,235.90,236.00,235.85,235.90,56506
ONGC,2016-08-31,15:02:00,235.90,235.90,235.50,235.50,56136
ONGC,2016-08-31,15:03:00,235.65,236.00,235.50,236.00,67985
ONGC,2016-08-31,15:04:00,235.95,236.00,235.65,235.75,66686
ONGC,2016-08-31,15:05:00,235.75,235.95,235.75,235.85,67540
ONGC,2016-08-31,15:06:00,235.85,235.85,235.65,235.65,55353
ONGC,2016-08-31,15:07:00,235.70,235.70,235.50,235.55,55119
ONGC,2016-08-31,15:08:00,235.55,235.55,235.20,235.20,68957
ONGC,2016-08-31,15:09:00,235.30,236.10,235.20,236.05,137826
ONGC,2016-08-31,15:10:00,236.00,236.15,235.90,236.00,99379
ONGC,2016-08-31,15:11:00,236.05,236.15,235.90,236.00,80126
ONGC,2016-08-31,15:12:00,236.05,236.05,235.85,236.00,97137
ONGC,2016-08-31,15:13:00,236.00,236.05,235.85,235.90,102286
ONGC,2016-08-31,15:14:00,236.00,236.20,235.90,236.15,101560
ONGC,2016-08-31,15:15:00,236.15,236.15,236.00,236.10,52655
ONGC,2016-08-31,15:16:00,236.10,236.20,236.05,236.10,86644
ONGC,2016-08-31,15:17:00,236.15,236.15,235.95,236.00,86252
ONGC,2016-08-31,15:18:00,236.00,236.10,235.95,236.00,125920
ONGC,2016-08-31,15:19:00,236.15,236.15,235.95,236.15,124020
ONGC,2016-08-31,15:20:00,236.15,236.70,236.10,236.45,125270
ONGC,2016-08-31,15:21:00,236.50,237.05,236.40,237.05,145094
ONGC,2016-08-31,15:22:00,237.05,237.05,236.80,236.80,132447
ONGC,2016-08-31,15:23:00,236.80,236.95,236.55,236.90,113200
ONGC,2016-08-31,15:24:00,237.00,237.10,236.75,236.80,103999
ONGC,2016-08-31,15:25:00,236.80,236.85,236.40,236.40,74734
ONGC,2016-08-31,15:26:00,236.45,237.15,236.30,237.15,206695
ONGC,2016-08-31,15:27:00,237.00,237.15,237.00,237.05,64219
ONGC,2016-08-31,15:28:00,237.00,237.45,237.00,237.45,94870
ONGC,2016-08-31,15:29:00,237.45,237.45,237.00,237.05,60892
ONGC,2016-08-31,15:30:00,237.05,237.50,237.05,237.25,31456
ONGC,2016-09-01,09:16:00,236.75,237.50,236.70,237.25,39817
ONGC,2016-09-01,09:17:00,237.20,237.80,237.20,237.80,17360
ONGC,2016-09-01,09:18:00,237.70,238.00,237.70,237.80,8730
ONGC,2016-09-01,09:19:00,237.80,238.00,237.75,237.95,6661
ONGC,2016-09-01,09:20:00,237.95,238.10,237.70,237.70,9791
ONGC,2016-09-01,09:21:00,237.90,238.10,237.75,238.10,12835
ONGC,2016-09-01,09:22:00,238.10,238.30,238.05,238.10,9001
ONGC,2016-09-01,09:23:00,238.10,238.10,237.00,237.40,23036
ONGC,2016-09-01,09:24:00,237.50,237.75,237.50,237.75,5845
ONGC,2016-09-01,09:25:00,237.75,237.75,237.45,237.60,6407
ONGC,2016-09-01,09:26:00,237.60,237.60,237.30,237.30,5330
ONGC,2016-09-01,09:27:00,237.30,237.50,237.20,237.50,8441
ONGC,2016-09-01,09:28:00,237.50,237.50,237.30,237.45,6798
ONGC,2016-09-01,09:29:00,237.35,237.45,237.25,237.45,4012
ONGC,2016-09-01,09:30:00,237.20,237.50,237.20,237.45,6367
ONGC,2016-09-01,09:31:00,237.45,237.50,237.20,237.45,6144
ONGC,2016-09-01,09:32:00,237.40,237.45,237.25,237.40,2451
ONGC,2016-09-01,09:33:00,237.35,237.60,237.35,237.60,11205
ONGC,2016-09-01,09:34:00,237.50,237.70,237.40,237.50,3182
ONGC,2016-09-01,09:35:00,237.50,237.65,237.50,237.50,1366
ONGC,2016-09-01,09:36:00,237.50,237.60,237.25,237.40,2092
