symbol,date,time,open,high,low,close,volume
POWERGRID,2016-08-31,14:50:00,183.55,183.55,183.40,183.45,7495
POWERGRID,2016-08-31,14:51:00,183.45,183.65,183.40,183.50,25535
POWERGRID,2016-08-31,14:52:00,183.50,183.80,183.45,183.65,25123
POWERGRID,2016-08-31,14:53:00,183.80,183.80,183.60,183.70,3790
POWERGRID,2016-08-31,14:54:00,183.75,183.75,183.60,183.75,3703
POWERGRID,2016-08-31,14:55:00,183.75,183.75,183.60,183.75,5819
POWERGRID,2016-08-31,14:56:00,183.75,183.75,183.55,183.60,3576
POWERGRID,2016-08-31,14:57:00,183.55,183.55,183.10,183.15,14846
POWERGRID,2016-08-31,14:58:00,183.15,183.35,183.00,183.25,20223
POWERGRID,2016-08-31,14:59:00,183.40,183.55,183.15,183.55,14752
POWERGRID,2016-08-31,15:00:00,183.60,184.00,183.50,183.55,101961
POWERGRID,2016-08-31,15:01:00,183.60,183.60,183.40,183.45,14978
POWERGRID,2016-08-31,15:02:00,183.50,183.65,183.30,183.65,12912
POWERGRID,2016-08-31,15:03:00,183.65,183.65,183.35,183.45,13281
POWERGRID,2016-08-31,15:04:00,183.50,183.60,183.40,183.60,10465
POWERGRID,2016-08-31,15:05:00,183.60,183.75,183.50,183.55,14708
POWERGRID,2016-08-31,15:06:00,183.55,183.60,183.40,183.50,35027
POWERGRID,2016-08-31,15:07:00,183.55,183.65,183.30,183.65,15344
POWERGRID,2016-08-31,15:08:00,183.65,183.65,183.50,183.55,9170
POWERGRID,2016-08-31,15:09:00,183.65,183.70,183.50,183.50,36913
POWERGRID,2016-08-31,15:10:00,183.50,183.70,183.50,183.55,14924
POWERGRID,2016-08-31,15:11:00,183.70,183.70,183.50,183.55,30264
POWERGRID,2016-08-31,15:12:00,183.65,183.65,183.55,183.55,21424
POWERGRID,2016-08-31,15:13:00,183.65,183.65,183.55,183.60,11693
POWERGRID,2016-08-31,15:14:00,183.60,183.65,183.55,183.60,17995
POWERGRID,2016-08-31,15:15:00,183.65,183.65,183.50,183.55,26306
POWERGRID,2016-08-31,15:16:00,183.60,183.60,183.50,183.55,13958
POWERGRID,2016-08-31,15:17:00,183.55,183.65,183.40,183.55,28235
POWERGRID,2016-08-31,15:18:00,183.65,183.65,183.20,183.20,27997
POWERGRID,2016-08-31,15:19:00,183.35,183.80,183.35,183.70,12004
POWERGRID,2016-08-31,15:20:00,183.70,184.00,183.70,183.95,23366
POWERGRID,2016-08-31,15:21:00,184.00,184.00,183.85,183.85,33577
POWERGRID,2016-08-31,15:22:00,183.95,183.95,183.90,183.90,12518
POWERGRID,2016-08-31,15:23:00,183.95,183.95,183.75,183.75,19598
POWERGRID,2016-08-31,15:24:00,183.95,184.00,183.90,183.95,30492
POWERGRID,2016-08-31,15:25:00,184.00,184.00,183.65,183.70,25830
POWERGRID,2016-08-31,15:26:00,183.75,184.00,183.75,183.90,24350
POWERGRID,2016-08-31,15:27:00,184.00,184.05,184.00,184.00,28000
POWERGRID,2016-08-31,15:28:00,184.05,184.05,184.00,184.00,24878
POWERGRID,2016-08-31,15:29:00,184.00,184.10,183.70,183.70,19833
POWERGRID,2016-08-31,15:30:00,183.90,184.40,183.60,183.60,17343
POWERGRID,2016-09-01,09:16:00,183.15,183.15,182.80,183.00,24215
POWERGRID,2016-09-01,09:17:00,183.05,183.05,182.50,182.55,23201
POWERGRID,2016-09-01,09:18:00,182.60,182.90,182.50,182.85,20099
POWERGRID,2016-09-01,09:19:00,182.90,183.05,182.60,182.75,20132
POWERGRID,2016-09-01,09:20:00,182.80,183.05,182.80,182.85,21176
POWERGRID,2016-09-01,09:21:00,182.75,183.00,182.75,183.00,9628
POWERGRID,2016-09-01,09:22:00,182.90,183.10,182.90,182.95,27095
POWERGRID,2016-09-01,09:23:00,182.90,183.00,182.80,182.90,3369
POWERGRID,2016-09-01,09:24:00,183.00,183.00,182.65,182.65,15492
POWERGRID,2016-09-01,09:25:00,182.65,182.75,182.65,182.75,27749
POWERGRID,2016-09-01,09:26:00,182.75,182.90,182.75,182.85,3024
POWERGRID,2016-09-01,09:27:00,182.85,183.05,182.85,182.90,9601
POWERGRID,2016-09-01,09:28:00,183.00,183.05,182.95,183.00,3909
POWERGRID,2016-09-01,09:29:00,183.00,183.05,182.90,182.90,10458
POWERGRID,2016-09-01,09:30:00,183.00,183.00,182.90,182.90,7668
POWERGRID,2016-09-01,09:31:00,182.90,182.90,182.80,182.85,8338
POWERGRID,2016-09-01,09:32:00,182.85,182.90,182.80,182.80,2628
POWERGRID,2016-09-01,09:33:00,182.80,182.85,182.65,182.65,6582
POWERGRID,2016-09-01,09:34:00,182.65,182.70,182.60,182.70,5456
POWERGRID,2016-09-01,09:35:00,182.70,182.70,182.60,182.60,1752
POWERGRID,2016-09-01,09:36:00,182.60,182.70,182.60,182.65,4758
POWERGRID,2016-09-01,09:37:00,182.70,182.80,182.70,182.80,7300
POWERGRID,2016-09-01,09:38:00,182.75,182.80,182.75,182.80,2126
POWERGRID,2016-09-01,09:39:00,182.80,182.85,182.80,182.85,2757
POWERGRID,2016-09-01,09:40:00,182.85,182.85,182.80,182.80,3449
POWERGRID,2016-09-01,09:41:00,182.75,182.80,182.75,182.80,3551
POWERGRID,2016-09-01,09:42:00,182.75,182.80,182.75,182.75,1663
POWERGRID,2016-09-01,09:43:00,182.70,182.75,182.60,182.60,14679
POWERGRID,2016-09-01,09:44:00,182.60,182.60,182.50,182.50,6487
POWERGRID,2016-09-01,09:45:00,182.50,182.50,182.45,182.50,1796
POWERGRID,2016-09-01,09:46:00,182.50,182.60,182.50,182.50,1151
POWERGRID,2016-09-01,09:47:00,182.50,182.60,182.50,182.55,1619
POWERGRID,2016-09-01,09:48:00,182.60,182.70,182.55,182.70,6936
POWERGRID,2016-09-01,09:49:00,182.65,182.70,182.60,182.65,4009
