symbol,date,time,open,high,low,close,volume
TATAMTRDVR,2016-08-31,14:51:00,347.15,347.25,347.05,347.25,4198
TATAMTRDVR,2016-08-31,14:52:00,347.25,347.25,346.70,347.00,5136
TATAMTRDVR,2016-08-31,14:53:00,347.10,347.15,346.80,347.00,2309
TATAMTRDVR,2016-08-31,14:54:00,347.15,347.25,346.70,346.95,3601
TATAMTRDVR,2016-08-31,14:55:00,347.00,347.00,346.70,346.90,2057
TATAMTRDVR,2016-08-31,14:56:00,347.00,347.10,346.70,347.05,1808
TATAMTRDVR,2016-08-31,14:57:00,347.05,347.10,347.00,347.10,2813
TATAMTRDVR,2016-08-31,14:58:00,347.10,347.20,346.90,347.20,1372
TATAMTRDVR,2016-08-31,14:59:00,347.20,347.20,346.95,347.20,2034
TATAMTRDVR,2016-08-31,15:00:00,347.20,347.35,347.00,347.35,5562
TATAMTRDVR,2016-08-31,15:01:00,347.30,347.30,346.95,347.05,18597
TATAMTRDVR,2016-08-31,15:02:00,347.00,347.00,346.15,346.15,17177
TATAMTRDVR,2016-08-31,15:03:00,346.15,346.15,345.40,345.50,29932
TATAMTRDVR,2016-08-31,15:04:00,345.45,345.50,345.30,345.30,19273
TATAMTRDVR,2016-08-31,15:05:00,345.25,345.30,344.50,344.70,24148
TATAMTRDVR,2016-08-31,15:06:00,344.70,344.70,344.30,344.50,32180
TATAMTRDVR,2016-08-31,15:07:00,344.50,344.50,343.90,343.95,24957
TATAMTRDVR,2016-08-31,15:08:00,343.90,343.95,343.10,343.20,30695
TATAMTRDVR,2016-08-31,15:09:00,343.15,343.30,342.65,343.30,42568
TATAMTRDVR,2016-08-31,15:10:00,343.30,343.30,342.85,342.95,18282
TATAMTRDVR,2016-08-31,15:11:00,342.95,343.70,342.75,343.45,41085
TATAMTRDVR,2016-08-31,15:12:00,343.60,343.65,343.40,343.55,24175
TATAMTRDVR,2016-08-31,15:13:00,343.60,343.85,343.35,343.85,35848
TATAMTRDVR,2016-08-31,15:14:00,344.00,344.00,343.10,343.40,18348
