symbol,date,time,open,high,low,close,volume
TCS,2016-08-31,14:50:00,2534.75,2534.90,2533.25,2533.90,1468
TCS,2016-08-31,14:51:00,2534.20,2534.20,2530.85,2531.20,1464
TCS,2016-08-31,14:52:00,2531.80,2532.70,2530.50,2532.65,3914
TCS,2016-08-31,14:53:00,2532.70,2532.70,2531.05,2532.15,1620
TCS,2016-08-31,14:54:00,2532.00,2532.10,2531.25,2531.65,1416
TCS,2016-08-31,14:55:00,2531.30,2531.50,2530.10,2530.25,1546
TCS,2016-08-31,14:56:00,2530.25,2530.30,2529.30,2530.00,3120
TCS,2016-08-31,14:57:00,2530.05,2530.05,2526.75,2527.25,2373
TCS,2016-08-31,14:58:00,2526.75,2527.25,2526.20,2526.70,2720
TCS,2016-08-31,14:59:00,2526.85,2527.20,2525.10,2527.20,7037
TCS,2016-08-31,15:00:00,2528.20,2528.90,2527.80,2528.90,2486
TCS,2016-08-31,15:01:00,2528.85,2528.90,2528.20,2528.45,15610
TCS,2016-08-31,15:02:00,2528.20,2528.20,2523.05,2523.25,26873
TCS,2016-08-31,15:03:00,2523.25,2523.25,2521.35,2521.45,28940
TCS,2016-08-31,15:04:00,2521.45,2521.45,2518.00,2518.85,22199
TCS,2016-08-31,15:05:00,2518.85,2518.85,2518.15,2518.15,18974
TCS,2016-08-31,15:06:00,2518.15,2518.60,2517.75,2517.75,22842
TCS,2016-08-31,15:07:00,2517.75,2517.75,2516.15,2516.35,25137
TCS,2016-08-31,15:08:00,2516.35,2516.35,2511.70,2512.70,24449
TCS,2016-08-31,15:09:00,2512.70,2512.70,2512.25,2512.25,30845
TCS,2016-08-31,15:10:00,2512.15,2512.15,2510.20,2511.10,33460
TCS,2016-08-31,15:11:00,2511.20,2511.20,2510.20,2510.75,27187
TCS,2016-08-31,15:12:00,2510.75,2510.75,2510.20,2510.20,21027
TCS,2016-08-31,15:13:00,2510.55,2510.55,2509.40,2509.75,30627
TCS,2016-08-31,15:14:00,2509.75,2509.75,2509.50,2509.55,19190
TCS,2016-08-31,15:15:00,2509.55,2509.55,2506.35,2507.45,22670
TCS,2016-08-31,15:16:00,2507.40,2507.50,2506.55,2506.55,29103
TCS,2016-08-31,15:17:00,2506.55,2506.60,2504.85,2505.75,31311
TCS,2016-08-31,15:18:00,2505.70,2505.70,2505.30,2505.55,24006
TCS,2016-08-31,15:19:00,2505.50,2508.55,2505.35,2508.35,32748
TCS,2016-08-31,15:20:00,2508.35,2512.30,2508.35,2511.40,22790
TCS,2016-08-31,15:21:00,2511.50,2512.40,2511.50,2512.00,19833
TCS,2016-08-31,15:22:00,2512.05,2512.05,2510.25,2511.00,21865
TCS,2016-08-31,15:23:00,2510.90,2510.95,2510.05,2510.10,20936
TCS,2016-08-31,15:24:00,2510.10,2510.10,2507.40,2508.30,24177
TCS,2016-08-31,15:25:00,2508.25,2508.25,2505.20,2505.35,17417
TCS,2016-08-31,15:26:00,2505.35,2505.35,2503.10,2503.25,26047
TCS,2016-08-31,15:27:00,2503.15,2503.15,2501.55,2501.55,31737
TCS,2016-08-31,15:28:00,2501.60,2506.60,2501.00,2504.75,28860
TCS,2016-08-31,15:29:00,2504.55,2509.50,2503.60,2509.15,12189
TCS,2016-08-31,15:30:00,2509.65,2516.30,2509.20,2514.70,7829
TCS,2016-09-01,09:16:00,2520.00,2530.00,2506.55,2507.30,17298
TCS,2016-09-01,09:17:00,2507.25,2507.25,2490.30,2491.80,16289
TCS,2016-09-01,09:18:00,2493.05,2500.00,2488.00,2498.85,17822
TCS,2016-09-01,09:19:00,2498.90,2502.15,2493.55,2498.95,9281
TCS,2016-09-01,09:20:00,2498.15,2503.40,2498.15,2501.50,2133
TCS,2016-09-01,09:21:00,2502.00,2504.70,2500.65,2502.10,3971
TCS,2016-09-01,09:22:00,2503.00,2503.40,2493.00,2496.55,8268
TCS,2016-09-01,09:23:00,2497.60,2499.65,2495.30,2497.70,2415
TCS,2016-09-01,09:24:00,2497.70,2500.00,2497.00,2497.80,5467
TCS,2016-09-01,09:25:00,2497.80,2499.80,2497.00,2499.80,1099
TCS,2016-09-01,09:26:00,2500.00,2501.50,2499.70,2501.45,1587
TCS,2016-09-01,09:27:00,2501.45,2503.45,2501.00,2502.85,2838
TCS,2016-09-01,09:28:00,2502.55,2503.35,2500.00,2500.75,2072
TCS,2016-09-01,09:29:00,2500.80,2503.50,2500.80,2503.50,889
TCS,2016-09-01,09:30:00,2503.55,2503.80,2501.50,2502.50,1602
TCS,2016-09-01,09:31:00,2502.25,2503.80,2502.25,2503.65,841
TCS,2016-09-01,09:32:00,2503.65,2503.80,2503.00,2503.80,1111
TCS,2016-09-01,09:33:00,2503.25,2503.80,2503.10,2503.80,782
TCS,2016-09-01,09:34:00,2503.55,2509.55,2503.55,2509.00,3326
TCS,2016-09-01,09:35:00,2508.90,2508.90,2504.10,2506.25,2239
TCS,2016-09-01,09:36:00,2506.25,2507.50,2505.70,2505.75,873
TCS,2016-09-01,09:37:00,2506.00,2507.80,2506.00,2507.05,530
TCS,2016-09-01,09:38:00,2507.05,2511.40,2507.05,2511.00,6705
TCS,2016-09-01,09:39:00,2511.30,2512.90,2511.00,2512.90,2100
TCS,2016-09-01,09:40:00,2513.15,2516.65,2513.15,2514.85,5148
TCS,2016-09-01,09:41:00,2514.90,2515.00,2512.10,2512.95,4811
TCS,2016-09-01,09:42:00,2512.20,2513.45,2512.20,2513.00,1713
TCS,2016-09-01,09:43:00,2513.00,2513.00,2511.25,2511.25,2054
TCS,2016-09-01,09:44:00,2511.70,2511.70,2509.05,2510.05,1400
TCS,2016-09-01,09:45:00,2509.10,2510.20,2509.05,2510.05,1083
TCS,2016-09-01,09:46:00,2510.00,2510.20,2509.15,2509.40,1283
TCS,2016-09-01,09:47:00,2509.60,2510.60,2509.30,2510.20,782
TCS,2016-09-01,09:48:00,2509.70,2510.20,2508.10,2508.50,806
TCS,2016-09-01,09:49:00,2508.50,2510.10,2508.50,2510.10,615
TCS,2016-09-01,09:50:00,2510.05,2510.85,2510.05,2510.70,534
TCS,2016-09-01,09:51:00,2510.95,2510.95,2510.60,2510.60,127
TCS,2016-09-01,09:52:00,2510.65,2510.65,2504.00,2504.50,4750
TCS,2016-09-01,09:53:00,2505.35,2506.25,2505.35,2506.00,1305
TCS,2016-09-01,09:54:00,2506.35,2506.35,2505.00,2506.00,2316
TCS,2016-09-01,09:55:00,2506.35,2506.65,2505.80,2506.15,1008
TCS,2016-09-01,09:56:00,2506.15,2507.05,2506.15,2506.65,635
TCS,2016-09-01,09:57:00,2506.60,2509.00,2506.60,2508.00,1252
TCS,2016-09-01,09:58:00,2508.00,2509.50,2508.00,2508.50,1320
TCS,2016-09-01,09:59:00,2508.50,2509.80,2508.45,2509.80,1306
TCS,2016-09-01,10:00:00,2509.80,2510.40,2508.70,2510.00,507
TCS,2016-09-01,10:01:00,2510.15,2510.75,2509.90,2510.75,851
TCS,2016-09-01,10:02:00,2510.75,2511.00,2510.50,2510.50,357
TCS,2016-09-01,10:03:00,2510.65,2510.65,2510.00,2510.15,1334
TCS,2016-09-01,10:04:00,2510.00,2510.15,2508.45,2509.00,905
TCS,2016-09-01,10:05:00,2509.25,2511.50,2509.25,2510.85,971
TCS,2016-09-01,10:06:00,2510.85,2510.85,2508.55,2509.95,976
TCS,2016-09-01,10:07:00,2508.75,2509.95,2508.00,2508.00,386
TCS,2016-09-01,10:08:00,2508.00,2508.00,2506.00,2506.80,1287
TCS,2016-09-01,10:09:00,2506.80,2507.00,2506.80,2506.80,416
TCS,2016-09-01,10:10:00,2506.80,2507.80,2506.40,2506.90,930
TCS,2016-09-01,10:11:00,2506.60,2507.25,2506.40,2506.55,263
TCS,2016-09-01,10:12:00,2506.65,2507.30,2506.60,2506.90,276
TCS,2016-09-01,10:13:00,2507.00,2507.00,2506.55,2506.65,744
TCS,2016-09-01,10:14:00,2506.55,2507.30,2506.55,2507.00,256
TCS,2016-09-01,10:15:00,2507.10,2508.05,2507.05,2507.90,912
TCS,2016-09-01,10:16:00,2508.10,2508.35,2508.00,2508.25,432
TCS,2016-09-01,10:17:00,2508.25,2508.50,2508.25,2508.25,274
TCS,2016-09-01,10:18:00,2508.35,2508.85,2506.10,2507.75,2766
TCS,2016-09-01,10:19:00,2508.00,2508.05,2506.85,2507.00,1274
TCS,2016-09-01,10:20:00,2507.45,2508.50,2507.45,2508.50,665
TCS,2016-09-01,10:21:00,2508.00,2508.40,2508.00,2508.10,518
TCS,2016-09-01,10:22:00,2508.20,2508.20,2508.10,2508.10,447
TCS,2016-09-01,10:23:00,2508.10,2508.15,2507.00,2507.05,1215
TCS,2016-09-01,10:24:00,2507.05,2507.60,2507.05,2507.30,574
TCS,2016-09-01,10:25:00,2507.30,2507.30,2505.15,2505.65,1327
TCS,2016-09-01,10:26:00,2505.15,2505.95,2504.00,2504.15,2380
TCS,2016-09-01,10:27:00,2504.05,2506.10,2503.95,2504.00,1161
TCS,2016-09-01,10:28:00,2504.95,2505.00,2504.00,2505.00,1559
TCS,2016-09-01,10:29:00,2505.00,2506.25,2505.00,2505.40,1003
TCS,2016-09-01,10:30:00,2505.40,2506.35,2505.10,2505.20,727
TCS,2016-09-01,10:31:00,2505.20,2505.45,2505.10,2505.15,618
TCS,2016-09-01,10:32:00,2505.15,2506.35,2505.00,2505.00,650
TCS,2016-09-01,10:33:00,2505.00,2505.15,2504.80,2505.05,482
TCS,2016-09-01,10:34:00,2505.00,2507.50,2505.00,2505.50,697
TCS,2016-09-01,10:35:00,2505.50,2506.00,2504.50,2505.05,1507
TCS,2016-09-01,10:36:00,2505.05,2505.15,2505.00,2505.00,645
TCS,2016-09-01,10:37:00,2505.00,2505.05,2504.95,2504.95,934
TCS,2016-09-01,10:38:00,2504.95,2505.10,2504.95,2505.05,808
TCS,2016-09-01,10:39:00,2505.00,2505.05,2504.90,2505.00,429
TCS,2016-09-01,10:40:00,2505.00,2505.05,2505.00,2505.00,398
TCS,2016-09-01,10:41:00,2505.00,2505.00,2504.60,2504.85,803
TCS,2016-09-01,10:42:00,2504.50,2505.20,2504.50,2505.20,1267
TCS,2016-09-01,10:43:00,2504.50,2506.05,2504.50,2505.00,823
TCS,2016-09-01,10:44:00,2505.10,2506.00,2505.00,2505.15,849
TCS,2016-09-01,10:45:00,2505.15,2506.40,2505.15,2505.40,474
TCS,2016-09-01,10:46:00,2505.40,2505.55,2505.40,2505.40,683
TCS,2016-09-01,10:47:00,2505.70,2505.70,2505.40,2505.40,317
TCS,2016-09-01,10:48:00,2505.40,2505.50,2505.30,2505.30,525
TCS,2016-09-01,10:49:00,2505.30,2505.30,2504.80,2504.80,782
TCS,2016-09-01,10:50:00,2504.80,2505.00,2504.80,2505.00,609
TCS,2016-09-01,10:51:00,2505.00,2505.05,2504.90,2505.05,627
TCS,2016-09-01,10:52:00,2505.05,2505.15,2505.00,2505.00,322
TCS,2016-09-01,10:53:00,2505.00,2505.05,2504.90,2505.00,634
TCS,2016-09-01,10:54:00,2505.00,2505.05,2505.00,2505.00,432
TCS,2016-09-01,10:55:00,2505.05,2506.70,2504.90,2504.95,1130
TCS,2016-09-01,10:56:00,2504.95,2504.95,2501.80,2501.80,3072
TCS,2016-09-01,10:57:00,2502.50,2504.60,2500.00,2501.80,2997
TCS,2016-09-01,10:58:00,2500.70,2501.85,2500.15,2501.05,497
TCS,2016-09-01,10:59:00,2501.05,2504.35,2501.05,2502.50,659
TCS,2016-09-01,11:00:00,2502.50,2502.55,2500.60,2500.60,1699
TCS,2016-09-01,11:01:00,2500.55,2501.40,2500.00,2501.00,513
TCS,2016-09-01,11:02:00,2500.30,2501.00,2500.00,2500.40,610
TCS,2016-09-01,11:03:00,2500.40,2501.05,2500.30,2500.75,383
TCS,2016-09-01,11:04:00,2500.55,2501.90,2500.55,2501.85,646
TCS,2016-09-01,11:05:00,2501.70,2502.00,2500.55,2500.85,421
TCS,2016-09-01,11:06:00,2500.65,2502.95,2500.65,2502.40,519
TCS,2016-09-01,11:07:00,2502.40,2502.65,2501.80,2501.90,670
TCS,2016-09-01,11:08:00,2502.00,2502.45,2501.90,2502.10,398
TCS,2016-09-01,11:09:00,2501.70,2501.70,2501.25,2501.30,207
TCS,2016-09-01,11:10:00,2501.25,2502.30,2501.05,2501.60,417
TCS,2016-09-01,11:11:00,2501.60,2502.85,2501.30,2501.60,543
TCS,2016-09-01,11:12:00,2502.05,2502.30,2501.35,2502.25,611
TCS,2016-09-01,11:13:00,2501.65,2502.85,2501.50,2502.30,204
TCS,2016-09-01,11:14:00,2502.35,2502.35,2501.50,2501.50,380
TCS,2016-09-01,11:15:00,2501.50,2501.50,2501.05,2501.10,619
TCS,2016-09-01,11:16:00,2501.10,2501.35,2501.10,2501.35,414
TCS,2016-09-01,11:17:00,2501.25,2501.35,2501.15,2501.15,271
TCS,2016-09-01,11:18:00,2501.30,2501.40,2501.15,2501.15,283
TCS,2016-09-01,11:19:00,2501.15,2502.35,2501.05,2501.25,639
TCS,2016-09-01,11:20:00,2501.50,2501.50,2501.25,2501.35,194
TCS,2016-09-01,11:21:00,2501.30,2502.90,2501.30,2501.50,446
TCS,2016-09-01,11:22:00,2501.50,2501.50,2501.40,2501.40,257
TCS,2016-09-01,11:23:00,2501.40,2501.60,2501.35,2501.35,718
TCS,2016-09-01,11:24:00,2501.40,2501.40,2501.35,2501.35,136
TCS,2016-09-01,11:25:00,2501.35,2501.45,2501.25,2501.25,470
TCS,2016-09-01,11:26:00,2501.45,2501.45,2501.00,2501.20,563
TCS,2016-09-01,11:27:00,2501.00,2501.15,2501.00,2501.05,163
TCS,2016-09-01,11:28:00,2501.15,2501.15,2500.90,2500.90,265
TCS,2016-09-01,11:29:00,2500.90,2501.15,2500.80,2501.15,599
