symbol,date,time,open,high,low,close,volume
YESBANK,2016-08-31,14:51:00,1350.50,1350.55,1348.70,1348.75,16952
YESBANK,2016-08-31,14:52:00,1348.75,1350.00,1347.70,1349.90,26098
YESBANK,2016-08-31,14:53:00,1349.90,1349.90,1349.35,1349.45,12639
YESBANK,2016-08-31,14:54:00,1349.45,1349.45,1348.90,1348.95,11937
YESBANK,2016-08-31,14:55:00,1348.90,1349.95,1348.70,1349.65,25952
YESBANK,2016-08-31,14:56:00,1349.60,1351.80,1349.50,1351.80,39833
YESBANK,2016-08-31,14:57:00,1352.10,1353.55,1351.35,1352.75,51189
YESBANK,2016-08-31,14:58:00,1352.90,1354.85,1352.60,1354.50,48362
YESBANK,2016-08-31,14:59:00,1354.65,1357.30,1353.35,1357.25,76192
YESBANK,2016-08-31,15:00:00,1357.15,1357.15,1355.00,1355.65,85960
YESBANK,2016-08-31,15:01:00,1355.65,1360.60,1355.65,1359.70,614482
YESBANK,2016-08-31,15:02:00,1359.15,1363.10,1358.20,1361.75,729975
YESBANK,2016-08-31,15:03:00,1362.05,1366.40,1360.25,1363.65,673462
YESBANK,2016-08-31,15:04:00,1363.70,1366.00,1362.95,1364.85,636610
YESBANK,2016-08-31,15:05:00,1364.90,1366.80,1363.65,1364.95,737783
YESBANK,2016-08-31,15:06:00,1364.65,1367.25,1364.60,1366.90,619864
YESBANK,2016-08-31,15:07:00,1366.95,1369.80,1366.80,1368.45,644540
YESBANK,2016-08-31,15:08:00,1368.80,1368.85,1364.15,1364.15,548691
YESBANK,2016-08-31,15:09:00,1364.15,1364.15,1360.80,1362.05,644449
YESBANK,2016-08-31,15:10:00,1361.90,1366.65,1361.90,1363.60,664888
YESBANK,2016-08-31,15:11:00,1363.55,1366.15,1363.30,1366.00,634410
YESBANK,2016-08-31,15:12:00,1366.00,1367.75,1365.50,1367.00,619773
YESBANK,2016-08-31,15:13:00,1367.00,1368.20,1367.00,1368.10,502106
YESBANK,2016-08-31,15:14:00,1368.10,1368.85,1367.00,1367.65,399266
YESBANK,2016-08-31,15:15:00,1367.65,1367.90,1365.35,1365.35,393451
YESBANK,2016-08-31,15:16:00,1365.35,1368.65,1363.60,1363.70,609380
YESBANK,2016-08-31,15:17:00,1363.60,1368.00,1362.55,1362.55,780356
YESBANK,2016-08-31,15:18:00,1362.30,1367.50,1361.35,1366.70,761400
YESBANK,2016-08-31,15:19:00,1366.60,1367.90,1365.65,1365.70,597568
YESBANK,2016-08-31,15:20:00,1365.75,1367.20,1363.70,1365.65,764789
YESBANK,2016-08-31,15:21:00,1365.70,1367.75,1364.90,1366.30,680470
YESBANK,2016-08-31,15:22:00,1366.00,1367.90,1365.65,1367.00,698700
YESBANK,2016-08-31,15:23:00,1367.00,1367.90,1366.20,1367.00,622949
YESBANK,2016-08-31,15:24:00,1367.00,1367.60,1365.80,1366.20,631819
YESBANK,2016-08-31,15:25:00,1366.10,1367.05,1365.50,1367.05,642662
YESBANK,2016-08-31,15:26:00,1367.00,1367.05,1364.35,1364.35,631096
YESBANK,2016-08-31,15:27:00,1364.90,1366.80,1363.85,1366.75,602881
YESBANK,2016-08-31,15:28:00,1366.65,1367.75,1366.65,1367.20,593922
YESBANK,2016-08-31,15:29:00,1367.25,1376.55,1367.00,1375.00,814574
YESBANK,2016-08-31,15:30:00,1376.85,1380.00,1375.00,1378.00,459992
YESBANK,2016-09-01,09:15:00,1369.00,1369.00,1369.00,1369.00,100
