symbol,date,time,open,high,low,close,volume
ACC,2018-03-21,09:16:00,1555.20,1567.05,1555.20,1565.45,1756
ACC,2018-03-21,09:17:00,1562.10,1567.40,1562.10,1564.65,648
ACC,2018-03-21,09:18:00,1565.50,1566.95,1564.20,1566.00,608
ACC,2018-03-21,09:19:00,1564.45,1566.85,1564.45,1566.00,1004
ACC,2018-03-21,09:20:00,1565.45,1567.30,1565.45,1567.30,899
ACC,2018-03-21,09:21:00,1569.00,1569.00,1565.05,1565.05,884
ACC,2018-03-21,09:22:00,1564.95,1569.00,1564.00,1566.95,1168
ACC,2018-03-21,09:23:00,1566.50,1568.20,1566.50,1568.20,463
ACC,2018-03-21,09:24:00,1569.00,1569.65,1568.70,1569.20,621
ACC,2018-03-21,09:25:00,1567.95,1568.00,1566.35,1566.70,478
ACC,2018-03-21,09:26:00,1568.00,1568.00,1566.15,1566.15,623
ACC,2018-03-21,09:27:00,1566.55,1566.90,1564.00,1564.00,412
ACC,2018-03-21,09:28:00,1564.50,1565.95,1564.50,1565.00,1257
ACC,2018-03-21,09:29:00,1565.25,1567.80,1564.80,1564.80,986
ACC,2018-03-21,09:30:00,1565.15,1565.35,1564.10,1564.10,161
ACC,2018-03-21,09:31:00,1565.50,1565.50,1561.05,1561.05,531
ACC,2018-03-21,09:32:00,1560.60,1562.50,1560.60,1562.00,91
ACC,2018-03-21,09:33:00,1561.30,1563.30,1561.30,1563.30,1445
ACC,2018-03-21,09:34:00,1563.25,1564.00,1563.20,1564.00,233
ACC,2018-03-21,09:35:00,1563.60,1564.70,1563.40,1564.70,160
ACC,2018-03-21,09:36:00,1563.80,1565.95,1563.20,1564.05,236
ACC,2018-03-21,09:37:00,1564.00,1564.30,1563.40,1563.65,925
ACC,2018-03-21,09:38:00,1563.40,1563.50,1562.95,1563.50,236
ACC,2018-03-21,09:39:00,1563.50,1564.00,1562.05,1562.05,164
ACC,2018-03-21,09:40:00,1563.00,1564.15,1563.00,1564.15,48
ACC,2018-03-21,09:41:00,1564.00,1565.00,1563.35,1564.05,301
ACC,2018-03-21,09:42:00,1564.55,1566.95,1564.55,1565.10,582
ACC,2018-03-21,09:43:00,1566.00,1569.00,1566.00,1567.55,1472
ACC,2018-03-21,09:44:00,1568.25,1569.50,1568.25,1569.50,1452
ACC,2018-03-21,09:45:00,1569.50,1570.00,1568.80,1568.80,3127
ACC,2018-03-21,09:46:00,1568.50,1570.00,1568.50,1568.75,667
ACC,2018-03-21,09:47:00,1569.30,1569.30,1567.00,1567.00,911
ACC,2018-03-21,09:48:00,1567.05,1568.00,1567.05,1568.00,170
ACC,2018-03-21,09:49:00,1567.25,1569.00,1567.25,1569.00,1455
ACC,2018-03-21,09:50:00,1570.00,1570.00,1568.55,1568.90,349
ACC,2018-03-21,09:51:00,1569.00,1570.00,1569.00,1570.00,872
ACC,2018-03-21,09:52:00,1569.45,1570.00,1569.45,1569.90,336
ACC,2018-03-21,09:53:00,1569.95,1570.00,1569.45,1569.45,1993
ACC,2018-03-21,09:54:00,1569.95,1570.00,1569.00,1569.45,507
ACC,2018-03-21,09:55:00,1568.00,1569.85,1568.00,1569.35,333
ACC,2018-03-21,09:56:00,1569.95,1570.75,1569.00,1569.50,1423
ACC,2018-03-21,09:57:00,1570.00,1570.00,1569.35,1570.00,129
ACC,2018-03-21,09:58:00,1569.20,1570.00,1569.00,1570.00,189
ACC,2018-03-21,09:59:00,1570.00,1570.00,1569.00,1569.25,309
ACC,2018-03-21,10:00:00,1569.00,1569.55,1569.00,1569.35,118
ACC,2018-03-21,10:01:00,1569.65,1569.90,1569.05,1569.05,343
ACC,2018-03-21,10:02:00,1569.25,1569.25,1569.00,1569.00,446
ACC,2018-03-21,10:03:00,1569.00,1569.55,1565.50,1566.50,3257
ACC,2018-03-21,10:04:00,1566.00,1566.35,1564.85,1564.85,2334
ACC,2018-03-21,10:05:00,1565.10,1566.40,1565.00,1566.40,554
ACC,2018-03-21,10:06:00,1566.00,1566.40,1564.00,1564.00,623
ACC,2018-03-21,10:07:00,1564.50,1564.95,1562.00,1564.00,777
ACC,2018-03-21,10:08:00,1563.95,1564.10,1562.00,1563.00,835
