symbol,date,time,open,high,low,close,volume
ADANIPORTS,2018-03-21,09:16:00,373.00,373.30,371.55,372.00,25769
ADANIPORTS,2018-03-21,09:17:00,371.80,372.35,371.50,371.75,10417
ADANIPORTS,2018-03-21,09:18:00,371.70,371.95,371.55,371.75,8501
ADANIPORTS,2018-03-21,09:19:00,371.70,372.00,371.35,372.00,6392
ADANIPORTS,2018-03-21,09:20:00,371.85,372.70,371.70,372.60,6140
ADANIPORTS,2018-03-21,09:21:00,372.60,373.00,372.05,372.40,16865
ADANIPORTS,2018-03-21,09:22:00,372.40,372.40,372.00,372.20,13087
ADANIPORTS,2018-03-21,09:23:00,372.20,372.35,372.05,372.20,7122
ADANIPORTS,2018-03-21,09:24:00,372.20,372.85,372.20,372.55,10943
ADANIPORTS,2018-03-21,09:25:00,372.30,372.45,372.00,372.10,7256
ADANIPORTS,2018-03-21,09:26:00,372.20,372.30,371.50,371.50,5837
ADANIPORTS,2018-03-21,09:27:00,371.50,371.95,371.30,371.30,5203
ADANIPORTS,2018-03-21,09:28:00,371.30,371.60,371.30,371.35,4934
ADANIPORTS,2018-03-21,09:29:00,371.50,372.00,371.50,372.00,3551
ADANIPORTS,2018-03-21,09:30:00,372.00,372.15,372.00,372.00,7999
ADANIPORTS,2018-03-21,09:31:00,372.00,372.00,371.70,371.70,3410
ADANIPORTS,2018-03-21,09:32:00,371.80,371.80,371.35,371.35,2567
ADANIPORTS,2018-03-21,09:33:00,371.40,371.40,370.80,371.05,16196
ADANIPORTS,2018-03-21,09:34:00,371.05,371.30,370.60,370.75,4949
ADANIPORTS,2018-03-21,09:35:00,370.75,370.75,370.10,370.10,14815
ADANIPORTS,2018-03-21,09:36:00,370.15,370.15,369.40,369.55,20921
ADANIPORTS,2018-03-21,09:37:00,369.55,369.75,369.50,369.75,5410
ADANIPORTS,2018-03-21,09:38:00,369.55,369.80,368.65,369.00,19472
ADANIPORTS,2018-03-21,09:39:00,369.00,369.20,368.25,368.70,10104
ADANIPORTS,2018-03-21,09:40:00,368.85,369.20,368.70,368.90,5242
ADANIPORTS,2018-03-21,09:41:00,368.90,369.90,368.90,369.90,10609
ADANIPORTS,2018-03-21,09:42:00,369.90,370.95,369.90,370.95,9551
ADANIPORTS,2018-03-21,09:43:00,370.90,370.90,370.20,370.25,6242
ADANIPORTS,2018-03-21,09:44:00,370.25,370.75,370.25,370.55,6154
ADANIPORTS,2018-03-21,09:45:00,370.45,370.60,370.40,370.50,4293
ADANIPORTS,2018-03-21,09:46:00,370.50,370.50,370.25,370.25,1908
ADANIPORTS,2018-03-21,09:47:00,370.10,370.35,369.80,369.90,5997
ADANIPORTS,2018-03-21,09:48:00,370.00,370.00,369.40,369.90,12699
ADANIPORTS,2018-03-21,09:49:00,369.75,369.95,369.75,369.90,1150
ADANIPORTS,2018-03-21,09:50:00,370.00,370.50,369.90,370.50,6559
ADANIPORTS,2018-03-21,09:51:00,370.50,370.50,370.00,370.40,3866
ADANIPORTS,2018-03-21,09:52:00,370.40,370.40,370.20,370.35,1952
ADANIPORTS,2018-03-21,09:53:00,370.35,370.90,370.35,370.90,4596
ADANIPORTS,2018-03-21,09:54:00,371.00,371.00,370.55,370.55,8612
ADANIPORTS,2018-03-21,09:55:00,370.55,371.20,370.55,370.90,11796
