symbol,date,time,open,high,low,close,volume
AMBUJACEM,2018-03-21,09:16:00,231.50,231.90,231.35,231.65,7622
AMBUJACEM,2018-03-21,09:17:00,231.60,232.05,231.60,232.05,8046
AMBUJACEM,2018-03-21,09:18:00,232.00,232.50,232.00,232.50,11221
AMBUJACEM,2018-03-21,09:19:00,232.50,232.65,232.40,232.60,7058
AMBUJACEM,2018-03-21,09:20:00,232.50,232.75,232.50,232.65,4478
AMBUJACEM,2018-03-21,09:21:00,232.65,232.90,232.65,232.75,5903
AMBUJACEM,2018-03-21,09:22:00,232.60,232.80,232.35,232.55,8163
AMBUJACEM,2018-03-21,09:23:00,232.50,232.95,232.50,232.95,10014
AMBUJACEM,2018-03-21,09:24:00,233.00,233.35,233.00,233.25,13242
AMBUJACEM,2018-03-21,09:25:00,233.50,233.50,233.00,233.25,9509
AMBUJACEM,2018-03-21,09:26:00,233.25,233.30,232.50,232.50,11227
AMBUJACEM,2018-03-21,09:27:00,232.75,232.75,232.00,232.00,6042
AMBUJACEM,2018-03-21,09:28:00,232.00,232.75,232.00,232.65,4589
AMBUJACEM,2018-03-21,09:29:00,232.70,233.00,232.70,233.00,7598
AMBUJACEM,2018-03-21,09:30:00,233.00,233.10,232.95,233.10,3996
AMBUJACEM,2018-03-21,09:31:00,233.00,233.00,232.45,232.60,4016
AMBUJACEM,2018-03-21,09:32:00,232.60,232.75,232.60,232.75,4102
AMBUJACEM,2018-03-21,09:33:00,232.80,233.35,232.75,233.35,16502
AMBUJACEM,2018-03-21,09:34:00,233.40,233.80,233.40,233.60,14738
AMBUJACEM,2018-03-21,09:35:00,233.60,233.70,233.40,233.50,9149
AMBUJACEM,2018-03-21,09:36:00,233.50,233.50,233.25,233.25,8365
AMBUJACEM,2018-03-21,09:37:00,233.30,233.45,233.20,233.30,6366
AMBUJACEM,2018-03-21,09:38:00,233.25,233.35,233.25,233.30,2511
AMBUJACEM,2018-03-21,09:39:00,233.35,233.45,233.35,233.40,2579
AMBUJACEM,2018-03-21,09:40:00,233.35,233.45,233.35,233.45,2547
AMBUJACEM,2018-03-21,09:41:00,233.50,233.60,233.40,233.55,9964
AMBUJACEM,2018-03-21,09:42:00,233.55,233.65,233.45,233.65,8565
AMBUJACEM,2018-03-21,09:43:00,233.55,233.75,233.50,233.65,2220
AMBUJACEM,2018-03-21,09:44:00,233.70,233.70,233.65,233.70,3579
AMBUJACEM,2018-03-21,09:45:00,233.70,234.00,233.70,234.00,11553
AMBUJACEM,2018-03-21,09:46:00,233.95,234.25,233.95,234.05,13883
AMBUJACEM,2018-03-21,09:47:00,234.00,234.10,233.85,233.95,8398
AMBUJACEM,2018-03-21,09:48:00,234.00,234.00,233.65,233.70,13837
AMBUJACEM,2018-03-21,09:49:00,233.65,233.85,233.65,233.80,7393
AMBUJACEM,2018-03-21,09:50:00,233.85,233.85,233.65,233.70,2472
AMBUJACEM,2018-03-21,09:51:00,233.80,233.90,233.65,233.90,5936
AMBUJACEM,2018-03-21,09:52:00,233.90,234.00,233.85,234.00,7551
AMBUJACEM,2018-03-21,09:53:00,234.00,234.40,234.00,234.40,9822
AMBUJACEM,2018-03-21,09:54:00,234.40,234.55,234.25,234.40,11123
AMBUJACEM,2018-03-21,09:55:00,234.40,234.55,234.25,234.45,9969
AMBUJACEM,2018-03-21,09:56:00,234.50,234.55,234.45,234.50,7398
AMBUJACEM,2018-03-21,09:57:00,234.50,234.55,234.35,234.35,7927
AMBUJACEM,2018-03-21,09:58:00,234.45,234.45,234.35,234.40,3262
AMBUJACEM,2018-03-21,09:59:00,234.45,234.50,234.20,234.35,8959
AMBUJACEM,2018-03-21,10:00:00,234.40,234.45,234.30,234.40,2675
AMBUJACEM,2018-03-21,10:01:00,234.40,234.45,234.40,234.40,1848
AMBUJACEM,2018-03-21,10:02:00,234.45,234.45,234.00,234.05,7028
AMBUJACEM,2018-03-21,10:03:00,234.00,234.55,234.00,234.15,14846
AMBUJACEM,2018-03-21,10:04:00,234.25,234.45,234.10,234.45,7955
AMBUJACEM,2018-03-21,10:05:00,234.35,234.35,234.10,234.20,1682
AMBUJACEM,2018-03-21,10:06:00,234.25,234.25,234.10,234.10,1763
AMBUJACEM,2018-03-21,10:07:00,234.15,234.15,233.75,233.85,7485
AMBUJACEM,2018-03-21,10:08:00,233.90,234.10,233.80,233.85,5343
AMBUJACEM,2018-03-21,10:09:00,233.85,233.90,233.60,233.60,3808
AMBUJACEM,2018-03-21,10:10:00,233.75,233.75,233.50,233.55,3354
AMBUJACEM,2018-03-21,10:11:00,233.65,233.70,233.50,233.50,8894
AMBUJACEM,2018-03-21,10:12:00,233.55,233.70,233.50,233.55,4444
AMBUJACEM,2018-03-21,10:13:00,233.65,233.65,233.50,233.50,3130
AMBUJACEM,2018-03-21,10:14:00,233.55,233.70,233.50,233.55,5047
AMBUJACEM,2018-03-21,10:15:00,233.65,233.65,233.50,233.55,2783
AMBUJACEM,2018-03-21,10:16:00,233.55,233.70,233.55,233.60,5496
AMBUJACEM,2018-03-21,10:17:00,233.65,233.65,233.50,233.50,5674
AMBUJACEM,2018-03-21,10:18:00,233.40,233.50,232.85,232.85,17649
AMBUJACEM,2018-03-21,10:19:00,232.90,233.30,232.90,232.95,4621
AMBUJACEM,2018-03-21,10:20:00,233.05,233.25,232.90,232.95,9899
AMBUJACEM,2018-03-21,10:21:00,233.15,233.75,233.05,233.60,11376
AMBUJACEM,2018-03-21,10:22:00,233.35,233.60,233.30,233.30,3462
AMBUJACEM,2018-03-21,10:23:00,233.35,233.75,233.35,233.75,12897
AMBUJACEM,2018-03-21,10:24:00,233.75,233.80,233.65,233.75,3288
AMBUJACEM,2018-03-21,10:25:00,233.80,233.80,233.35,233.35,5691
AMBUJACEM,2018-03-21,10:26:00,233.55,233.55,233.30,233.40,2797
AMBUJACEM,2018-03-21,10:27:00,233.40,233.55,233.20,233.20,3820
AMBUJACEM,2018-03-21,10:28:00,233.35,233.35,233.00,233.00,3231
AMBUJACEM,2018-03-21,10:29:00,233.10,233.25,232.90,233.05,8372
AMBUJACEM,2018-03-21,10:30:00,233.20,233.20,232.90,233.00,3436
AMBUJACEM,2018-03-21,10:31:00,233.15,233.30,233.05,233.10,7314
AMBUJACEM,2018-03-21,10:32:00,233.30,233.30,232.95,233.05,3008
AMBUJACEM,2018-03-21,10:33:00,233.00,233.05,233.00,233.05,4592
AMBUJACEM,2018-03-21,10:34:00,233.10,233.15,233.00,233.00,3315
AMBUJACEM,2018-03-21,10:35:00,233.05,233.30,233.00,233.10,7735
AMBUJACEM,2018-03-21,10:36:00,233.20,233.20,233.00,233.00,2752
AMBUJACEM,2018-03-21,10:37:00,233.15,233.15,233.00,233.15,4742
