symbol,date,time,open,high,low,close,volume
ASIANPAINT,2018-03-21,09:16:00,1106.50,1109.55,1106.30,1109.00,2346
ASIANPAINT,2018-03-21,09:17:00,1109.10,1109.70,1108.75,1109.50,2675
ASIANPAINT,2018-03-21,09:18:00,1109.60,1110.50,1108.85,1110.50,3201
ASIANPAINT,2018-03-21,09:19:00,1111.00,1112.15,1109.85,1109.85,3340
ASIANPAINT,2018-03-21,09:20:00,1109.95,1110.90,1109.25,1110.90,2274
ASIANPAINT,2018-03-21,09:21:00,1110.90,1110.90,1109.95,1109.95,1599
ASIANPAINT,2018-03-21,09:22:00,1109.95,1109.95,1107.00,1107.10,2874
ASIANPAINT,2018-03-21,09:23:00,1107.00,1108.50,1107.00,1108.45,1726
ASIANPAINT,2018-03-21,09:24:00,1108.55,1109.95,1108.55,1109.00,1534
ASIANPAINT,2018-03-21,09:25:00,1108.45,1108.95,1107.35,1108.00,1577
ASIANPAINT,2018-03-21,09:26:00,1107.90,1107.90,1105.00,1105.20,5295
ASIANPAINT,2018-03-21,09:27:00,1105.10,1106.35,1105.05,1106.35,1078
ASIANPAINT,2018-03-21,09:28:00,1106.00,1108.10,1106.00,1108.05,1141
ASIANPAINT,2018-03-21,09:29:00,1108.10,1109.70,1108.10,1109.70,2061
ASIANPAINT,2018-03-21,09:30:00,1109.70,1109.75,1109.05,1109.05,1074
ASIANPAINT,2018-03-21,09:31:00,1108.95,1108.95,1107.40,1108.90,2723
ASIANPAINT,2018-03-21,09:32:00,1107.30,1107.55,1107.30,1107.30,410
ASIANPAINT,2018-03-21,09:33:00,1107.35,1108.35,1106.60,1108.30,1697
ASIANPAINT,2018-03-21,09:34:00,1108.30,1108.30,1107.95,1107.95,412
ASIANPAINT,2018-03-21,09:35:00,1107.95,1107.95,1107.30,1107.45,320
ASIANPAINT,2018-03-21,09:36:00,1107.50,1107.80,1107.35,1107.35,830
ASIANPAINT,2018-03-21,09:37:00,1107.55,1107.55,1106.30,1106.50,1261
ASIANPAINT,2018-03-21,09:38:00,1106.10,1106.90,1106.10,1106.20,1451
ASIANPAINT,2018-03-21,09:39:00,1106.80,1106.85,1106.15,1106.15,497
ASIANPAINT,2018-03-21,09:40:00,1106.50,1106.50,1106.20,1106.35,532
ASIANPAINT,2018-03-21,09:41:00,1106.50,1107.25,1106.25,1107.20,637
ASIANPAINT,2018-03-21,09:42:00,1108.00,1108.20,1108.00,1108.10,747
ASIANPAINT,2018-03-21,09:43:00,1107.90,1108.30,1107.05,1107.05,794
ASIANPAINT,2018-03-21,09:44:00,1107.05,1107.55,1107.05,1107.45,414
ASIANPAINT,2018-03-21,09:45:00,1107.35,1107.35,1106.40,1107.15,818
ASIANPAINT,2018-03-21,09:46:00,1107.20,1107.80,1107.20,1107.80,589
ASIANPAINT,2018-03-21,09:47:00,1107.40,1107.70,1107.40,1107.55,239
ASIANPAINT,2018-03-21,09:48:00,1107.50,1107.65,1107.45,1107.65,607
ASIANPAINT,2018-03-21,09:49:00,1107.70,1108.00,1107.70,1107.75,455
ASIANPAINT,2018-03-21,09:50:00,1107.70,1108.30,1107.70,1107.95,1051
ASIANPAINT,2018-03-21,09:51:00,1107.95,1109.05,1107.95,1109.05,940
ASIANPAINT,2018-03-21,09:52:00,1109.05,1109.40,1108.95,1109.25,1251
ASIANPAINT,2018-03-21,09:53:00,1109.35,1109.90,1109.35,1109.55,781
ASIANPAINT,2018-03-21,09:54:00,1109.90,1109.95,1109.80,1109.95,519
ASIANPAINT,2018-03-21,09:55:00,1109.95,1110.80,1109.95,1110.80,1079
ASIANPAINT,2018-03-21,09:56:00,1110.75,1111.00,1110.65,1110.85,977
ASIANPAINT,2018-03-21,09:57:00,1110.90,1111.00,1110.85,1111.00,3353
ASIANPAINT,2018-03-21,09:58:00,1111.00,1111.00,1110.30,1110.50,1178
ASIANPAINT,2018-03-21,09:59:00,1110.65,1110.65,1110.00,1110.05,744
ASIANPAINT,2018-03-21,10:00:00,1110.00,1110.10,1110.00,1110.10,398
ASIANPAINT,2018-03-21,10:01:00,1110.00,1110.50,1109.65,1110.50,569
ASIANPAINT,2018-03-21,10:02:00,1110.05,1111.00,1110.05,1110.15,975
ASIANPAINT,2018-03-21,10:03:00,1110.00,1111.00,1110.00,1110.05,3509
ASIANPAINT,2018-03-21,10:04:00,1110.20,1111.00,1110.20,1111.00,2057
ASIANPAINT,2018-03-21,10:05:00,1110.75,1111.00,1110.55,1110.55,1538
ASIANPAINT,2018-03-21,10:06:00,1110.30,1110.55,1109.90,1109.90,399
ASIANPAINT,2018-03-21,10:07:00,1109.75,1109.75,1109.00,1109.00,1980
ASIANPAINT,2018-03-21,10:08:00,1109.00,1109.00,1108.60,1108.80,596
ASIANPAINT,2018-03-21,10:09:00,1108.80,1108.80,1108.50,1108.80,617
ASIANPAINT,2018-03-21,10:10:00,1108.90,1109.00,1108.90,1109.00,321
ASIANPAINT,2018-03-21,10:11:00,1109.15,1109.80,1109.15,1109.80,256
ASIANPAINT,2018-03-21,10:12:00,1109.75,1110.45,1109.75,1110.45,733
ASIANPAINT,2018-03-21,10:13:00,1110.45,1110.80,1110.05,1110.05,702
ASIANPAINT,2018-03-21,10:14:00,1110.65,1110.65,1109.80,1110.00,395
ASIANPAINT,2018-03-21,10:15:00,1109.95,1109.95,1109.65,1109.65,421
ASIANPAINT,2018-03-21,10:16:00,1109.65,1109.65,1109.00,1109.00,781
ASIANPAINT,2018-03-21,10:17:00,1109.20,1109.20,1109.00,1109.00,268
ASIANPAINT,2018-03-21,10:18:00,1109.05,1109.25,1108.90,1109.15,1072
ASIANPAINT,2018-03-21,10:19:00,1109.15,1109.25,1108.90,1109.10,440
ASIANPAINT,2018-03-21,10:20:00,1109.15,1109.30,1109.00,1109.30,919
ASIANPAINT,2018-03-21,10:21:00,1109.40,1109.85,1109.35,1109.85,386
ASIANPAINT,2018-03-21,10:22:00,1109.75,1109.75,1109.60,1109.65,273
ASIANPAINT,2018-03-21,10:23:00,1109.65,1109.65,1109.00,1109.35,3108
ASIANPAINT,2018-03-21,10:24:00,1109.40,1109.85,1109.00,1109.55,723
ASIANPAINT,2018-03-21,10:25:00,1109.85,1109.85,1109.20,1109.35,732
ASIANPAINT,2018-03-21,10:26:00,1109.50,1109.50,1109.45,1109.50,141
ASIANPAINT,2018-03-21,10:27:00,1109.45,1109.75,1109.25,1109.75,550
ASIANPAINT,2018-03-21,10:28:00,1109.90,1109.90,1109.60,1109.90,569
ASIANPAINT,2018-03-21,10:29:00,1109.90,1110.30,1109.90,1110.20,1002
ASIANPAINT,2018-03-21,10:30:00,1110.95,1110.95,1110.50,1110.50,971
ASIANPAINT,2018-03-21,10:31:00,1110.85,1110.85,1110.75,1110.85,273
ASIANPAINT,2018-03-21,10:32:00,1110.85,1110.90,1109.60,1110.30,2299
ASIANPAINT,2018-03-21,10:33:00,1110.40,1110.85,1110.40,1110.45,436
ASIANPAINT,2018-03-21,10:34:00,1110.40,1110.80,1110.25,1110.80,3661
ASIANPAINT,2018-03-21,10:35:00,1110.70,1110.70,1110.40,1110.50,1058
ASIANPAINT,2018-03-21,10:36:00,1110.40,1110.45,1109.60,1109.70,2794
ASIANPAINT,2018-03-21,10:37:00,1109.90,1109.90,1109.85,1109.85,530
ASIANPAINT,2018-03-21,10:38:00,1109.85,1110.00,1109.80,1109.95,1467
ASIANPAINT,2018-03-21,10:39:00,1109.55,1110.00,1109.35,1109.35,1505
ASIANPAINT,2018-03-21,10:40:00,1109.70,1109.70,1109.00,1109.05,894
ASIANPAINT,2018-03-21,10:41:00,1109.00,1109.05,1109.00,1109.05,514
ASIANPAINT,2018-03-21,10:42:00,1109.40,1109.65,1109.20,1109.60,157
ASIANPAINT,2018-03-21,10:43:00,1109.60,1109.65,1109.50,1109.65,581
ASIANPAINT,2018-03-21,10:44:00,1109.65,1109.70,1109.60,1109.70,504
ASIANPAINT,2018-03-21,10:45:00,1109.70,1109.80,1109.65,1109.70,384
ASIANPAINT,2018-03-21,10:46:00,1109.65,1109.70,1109.65,1109.70,368
ASIANPAINT,2018-03-21,10:47:00,1109.70,1110.45,1109.65,1110.25,1446
ASIANPAINT,2018-03-21,10:48:00,1110.45,1110.45,1110.05,1110.05,259
ASIANPAINT,2018-03-21,10:49:00,1110.10,1110.15,1110.00,1110.00,651
ASIANPAINT,2018-03-21,10:50:00,1110.05,1110.05,1110.00,1110.05,1604
ASIANPAINT,2018-03-21,10:51:00,1110.05,1110.15,1109.65,1110.00,786
ASIANPAINT,2018-03-21,10:52:00,1110.20,1110.20,1109.90,1110.15,272
ASIANPAINT,2018-03-21,10:53:00,1110.10,1110.15,1109.65,1109.70,504
ASIANPAINT,2018-03-21,10:54:00,1109.65,1110.00,1109.65,1110.00,870
ASIANPAINT,2018-03-21,10:55:00,1110.00,1110.00,1109.80,1109.85,473
ASIANPAINT,2018-03-21,10:56:00,1109.85,1109.85,1109.75,1109.75,313
ASIANPAINT,2018-03-21,10:57:00,1109.75,1109.85,1109.70,1109.80,635
ASIANPAINT,2018-03-21,10:58:00,1109.75,1109.95,1109.75,1109.95,1510
ASIANPAINT,2018-03-21,10:59:00,1109.90,1110.20,1109.90,1110.20,1048
ASIANPAINT,2018-03-21,11:00:00,1110.15,1111.10,1110.15,1111.00,8007
ASIANPAINT,2018-03-21,11:01:00,1111.10,1111.10,1110.70,1111.05,797
ASIANPAINT,2018-03-21,11:02:00,1111.00,1111.50,1110.80,1111.05,1198
ASIANPAINT,2018-03-21,11:03:00,1111.50,1111.95,1111.40,1111.45,719
ASIANPAINT,2018-03-21,11:04:00,1111.45,1111.50,1111.00,1111.40,1003
ASIANPAINT,2018-03-21,11:05:00,1111.40,1111.40,1111.10,1111.20,171
ASIANPAINT,2018-03-21,11:06:00,1111.20,1111.20,1111.00,1111.05,1371
ASIANPAINT,2018-03-21,11:07:00,1111.00,1111.05,1111.00,1111.05,2171
ASIANPAINT,2018-03-21,11:08:00,1111.00,1111.05,1110.90,1111.05,3253
ASIANPAINT,2018-03-21,11:09:00,1111.15,1111.25,1110.95,1111.20,1102
ASIANPAINT,2018-03-21,11:10:00,1111.20,1111.20,1111.00,1111.10,1060
ASIANPAINT,2018-03-21,11:11:00,1111.05,1111.05,1111.00,1111.05,170
ASIANPAINT,2018-03-21,11:12:00,1111.00,1111.20,1111.00,1111.20,570
ASIANPAINT,2018-03-21,11:13:00,1111.20,1111.20,1111.10,1111.20,432
ASIANPAINT,2018-03-21,11:14:00,1111.20,1111.20,1111.05,1111.05,233
ASIANPAINT,2018-03-21,11:15:00,1111.10,1111.10,1111.00,1111.00,1200
ASIANPAINT,2018-03-21,11:16:00,1111.05,1111.05,1111.00,1111.05,260
ASIANPAINT,2018-03-21,11:17:00,1111.00,1111.10,1111.00,1111.05,1019
ASIANPAINT,2018-03-21,11:18:00,1111.00,1111.05,1110.95,1111.00,1376
ASIANPAINT,2018-03-21,11:19:00,1110.95,1111.05,1110.95,1111.00,571
ASIANPAINT,2018-03-21,11:20:00,1111.10,1111.15,1111.10,1111.10,92
ASIANPAINT,2018-03-21,11:21:00,1111.10,1111.20,1110.95,1111.15,942
ASIANPAINT,2018-03-21,11:22:00,1110.95,1111.10,1110.95,1111.05,624
ASIANPAINT,2018-03-21,11:23:00,1111.00,1111.05,1111.00,1111.05,183
ASIANPAINT,2018-03-21,11:24:00,1111.00,1111.05,1110.95,1110.95,2644
ASIANPAINT,2018-03-21,11:25:00,1110.95,1111.05,1110.90,1111.00,3279
ASIANPAINT,2018-03-21,11:26:00,1111.00,1111.40,1111.00,1111.40,3104
ASIANPAINT,2018-03-21,11:27:00,1111.35,1112.10,1111.35,1112.05,3526
ASIANPAINT,2018-03-21,11:28:00,1112.05,1112.05,1112.00,1112.05,923
ASIANPAINT,2018-03-21,11:29:00,1112.05,1112.35,1112.00,1112.30,3323
ASIANPAINT,2018-03-21,11:30:00,1112.85,1113.25,1112.85,1113.00,1637
ASIANPAINT,2018-03-21,11:31:00,1112.95,1113.25,1112.95,1113.00,2173
ASIANPAINT,2018-03-21,11:32:00,1113.25,1113.40,1112.00,1112.90,3063
ASIANPAINT,2018-03-21,11:33:00,1113.20,1113.80,1112.80,1113.80,1012
ASIANPAINT,2018-03-21,11:34:00,1113.75,1113.95,1113.60,1113.60,606
ASIANPAINT,2018-03-21,11:35:00,1113.80,1113.95,1113.00,1113.10,1448
ASIANPAINT,2018-03-21,11:36:00,1113.10,1113.10,1112.75,1112.75,655
ASIANPAINT,2018-03-21,11:37:00,1112.90,1112.90,1112.75,1112.80,543
ASIANPAINT,2018-03-21,11:38:00,1112.80,1112.80,1112.50,1112.75,1247
ASIANPAINT,2018-03-21,11:39:00,1112.90,1112.90,1112.20,1112.75,2515
ASIANPAINT,2018-03-21,11:40:00,1112.75,1112.75,1112.50,1112.50,876
ASIANPAINT,2018-03-21,11:41:00,1112.70,1112.70,1112.05,1112.05,3312
ASIANPAINT,2018-03-21,11:42:00,1112.00,1112.50,1111.75,1112.35,8063
