symbol,date,time,open,high,low,close,volume
AXISBANK,2018-03-21,09:15:00,522.95,522.95,522.95,522.95,112
AXISBANK,2018-03-21,09:16:00,522.95,527.35,522.95,525.60,111036
AXISBANK,2018-03-21,09:17:00,526.00,527.40,525.95,527.00,47496
AXISBANK,2018-03-21,09:18:00,527.00,528.80,526.60,528.40,41593
AXISBANK,2018-03-21,09:19:00,528.70,528.70,527.75,528.60,24599
AXISBANK,2018-03-21,09:20:00,528.60,528.80,528.00,528.15,21934
AXISBANK,2018-03-21,09:21:00,528.30,528.70,528.00,528.45,37048
AXISBANK,2018-03-21,09:22:00,528.50,529.35,528.10,528.25,36937
AXISBANK,2018-03-21,09:23:00,528.45,528.90,528.45,528.65,15944
AXISBANK,2018-03-21,09:24:00,528.90,529.25,528.80,528.80,29048
AXISBANK,2018-03-21,09:25:00,528.90,529.00,528.20,528.85,29820
AXISBANK,2018-03-21,09:26:00,528.75,528.85,528.00,528.15,35378
AXISBANK,2018-03-21,09:27:00,528.20,528.55,527.40,527.40,20207
AXISBANK,2018-03-21,09:28:00,527.65,528.85,527.50,528.85,19022
AXISBANK,2018-03-21,09:29:00,528.85,529.30,528.45,528.80,29413
AXISBANK,2018-03-21,09:30:00,528.80,529.15,528.15,529.15,17688
AXISBANK,2018-03-21,09:31:00,529.10,529.20,528.70,529.00,24235
AXISBANK,2018-03-21,09:32:00,529.00,529.25,528.50,529.00,77295
AXISBANK,2018-03-21,09:33:00,529.00,529.00,528.65,529.00,17851
AXISBANK,2018-03-21,09:34:00,529.00,531.50,529.00,531.00,90533
AXISBANK,2018-03-21,09:35:00,530.80,531.00,530.10,530.15,13204
AXISBANK,2018-03-21,09:36:00,530.10,530.30,529.95,530.20,16915
AXISBANK,2018-03-21,09:37:00,530.20,530.30,529.00,529.50,14880
AXISBANK,2018-03-21,09:38:00,529.30,529.65,528.80,528.85,37156
AXISBANK,2018-03-21,09:39:00,528.85,529.75,528.85,529.50,24316
AXISBANK,2018-03-21,09:40:00,529.75,530.10,529.45,529.75,25840
AXISBANK,2018-03-21,09:41:00,529.55,529.60,529.05,529.45,15491
AXISBANK,2018-03-21,09:42:00,529.50,529.85,529.00,529.70,22096
AXISBANK,2018-03-21,09:43:00,529.70,529.75,528.80,528.80,20780
AXISBANK,2018-03-21,09:44:00,529.00,529.40,528.70,528.75,18321
AXISBANK,2018-03-21,09:45:00,528.50,529.30,528.50,529.00,23259
AXISBANK,2018-03-21,09:46:00,529.25,529.25,528.60,528.90,13997
AXISBANK,2018-03-21,09:47:00,528.90,528.90,528.40,528.70,25770
AXISBANK,2018-03-21,09:48:00,528.60,528.65,527.60,528.45,10453
AXISBANK,2018-03-21,09:49:00,528.45,528.85,528.35,528.85,7986
AXISBANK,2018-03-21,09:50:00,528.75,529.00,528.50,528.85,7306
AXISBANK,2018-03-21,09:51:00,528.55,528.55,528.20,528.30,5189
AXISBANK,2018-03-21,09:52:00,528.50,528.90,528.30,528.90,3629
AXISBANK,2018-03-21,09:53:00,528.85,529.45,528.85,529.40,9368
AXISBANK,2018-03-21,09:54:00,529.40,529.65,529.40,529.50,10194
AXISBANK,2018-03-21,09:55:00,529.50,530.45,529.30,530.00,27544
AXISBANK,2018-03-21,09:56:00,530.15,530.15,529.35,529.85,7831
AXISBANK,2018-03-21,09:57:00,529.90,530.25,529.90,530.00,11752
AXISBANK,2018-03-21,09:58:00,530.00,530.10,529.40,530.10,12611
AXISBANK,2018-03-21,09:59:00,530.00,530.20,529.90,529.95,10769
AXISBANK,2018-03-21,10:00:00,530.00,531.40,530.00,531.40,37839
AXISBANK,2018-03-21,10:01:00,531.20,531.90,530.95,531.50,17027
AXISBANK,2018-03-21,10:02:00,531.15,531.50,531.05,531.05,10105
AXISBANK,2018-03-21,10:03:00,531.10,532.30,531.10,531.85,38448
AXISBANK,2018-03-21,10:04:00,531.55,532.50,531.55,532.30,15874
AXISBANK,2018-03-21,10:05:00,532.30,532.50,531.85,532.00,9929
AXISBANK,2018-03-21,10:06:00,532.00,532.00,531.15,531.75,5951
AXISBANK,2018-03-21,10:07:00,531.45,531.75,531.30,531.60,7935
