symbol,date,time,open,high,low,close,volume
BAJAJ-AUTO,2018-03-21,09:15:00,2890.00,2890.00,2890.00,2890.00,26
BAJAJ-AUTO,2018-03-21,09:16:00,2889.50,2889.50,2873.80,2875.05,1683
BAJAJ-AUTO,2018-03-21,09:17:00,2875.05,2880.00,2875.05,2879.40,870
BAJAJ-AUTO,2018-03-21,09:18:00,2880.00,2888.75,2880.00,2883.95,3302
BAJAJ-AUTO,2018-03-21,09:19:00,2884.30,2884.30,2875.00,2875.00,1577
BAJAJ-AUTO,2018-03-21,09:20:00,2874.60,2874.60,2871.35,2873.95,734
BAJAJ-AUTO,2018-03-21,09:21:00,2873.95,2873.95,2862.85,2862.85,1933
BAJAJ-AUTO,2018-03-21,09:22:00,2863.15,2863.85,2857.50,2858.45,3484
BAJAJ-AUTO,2018-03-21,09:23:00,2858.50,2859.00,2856.00,2857.60,2814
BAJAJ-AUTO,2018-03-21,09:24:00,2857.60,2869.25,2857.00,2869.25,1401
BAJAJ-AUTO,2018-03-21,09:25:00,2868.00,2868.15,2866.05,2868.10,324
BAJAJ-AUTO,2018-03-21,09:26:00,2868.00,2868.00,2863.35,2864.05,457
BAJAJ-AUTO,2018-03-21,09:27:00,2863.75,2869.20,2863.70,2867.10,1006
BAJAJ-AUTO,2018-03-21,09:28:00,2868.00,2872.45,2868.00,2872.00,199
BAJAJ-AUTO,2018-03-21,09:29:00,2873.00,2880.00,2872.80,2880.00,951
BAJAJ-AUTO,2018-03-21,09:30:00,2879.10,2879.10,2874.15,2875.15,526
BAJAJ-AUTO,2018-03-21,09:31:00,2875.15,2875.15,2873.40,2874.50,227
BAJAJ-AUTO,2018-03-21,09:32:00,2873.05,2875.95,2872.05,2874.05,219
BAJAJ-AUTO,2018-03-21,09:33:00,2875.70,2875.70,2874.05,2875.25,66
BAJAJ-AUTO,2018-03-21,09:34:00,2877.45,2877.45,2874.60,2876.25,180
BAJAJ-AUTO,2018-03-21,09:35:00,2876.25,2880.00,2876.25,2880.00,300
BAJAJ-AUTO,2018-03-21,09:36:00,2878.00,2884.00,2878.00,2884.00,1045
BAJAJ-AUTO,2018-03-21,09:37:00,2884.00,2884.00,2880.00,2881.25,541
BAJAJ-AUTO,2018-03-21,09:38:00,2879.60,2879.95,2878.00,2879.95,317
BAJAJ-AUTO,2018-03-21,09:39:00,2880.40,2880.40,2879.15,2879.95,13
BAJAJ-AUTO,2018-03-21,09:40:00,2879.15,2880.40,2879.15,2879.50,144
BAJAJ-AUTO,2018-03-21,09:41:00,2879.15,2880.45,2878.75,2880.45,129
BAJAJ-AUTO,2018-03-21,09:42:00,2879.60,2880.30,2879.60,2879.65,48
BAJAJ-AUTO,2018-03-21,09:43:00,2879.05,2879.95,2879.05,2879.95,49
BAJAJ-AUTO,2018-03-21,09:44:00,2878.75,2878.75,2878.00,2878.45,64
BAJAJ-AUTO,2018-03-21,09:45:00,2878.00,2880.80,2877.90,2880.80,348
BAJAJ-AUTO,2018-03-21,09:46:00,2880.75,2880.75,2878.70,2880.35,105
BAJAJ-AUTO,2018-03-21,09:47:00,2880.50,2880.50,2879.60,2879.60,75
BAJAJ-AUTO,2018-03-21,09:48:00,2878.70,2879.20,2878.65,2878.65,122
BAJAJ-AUTO,2018-03-21,09:49:00,2878.65,2878.65,2877.50,2877.70,164
BAJAJ-AUTO,2018-03-21,09:50:00,2877.50,2877.50,2875.10,2875.10,150
BAJAJ-AUTO,2018-03-21,09:51:00,2875.05,2876.35,2874.30,2876.35,108
BAJAJ-AUTO,2018-03-21,09:52:00,2876.35,2879.00,2876.35,2879.00,214
BAJAJ-AUTO,2018-03-21,09:53:00,2879.95,2881.00,2879.50,2879.90,564
BAJAJ-AUTO,2018-03-21,09:54:00,2878.20,2878.30,2873.05,2877.50,952
BAJAJ-AUTO,2018-03-21,09:55:00,2878.40,2883.65,2878.40,2883.45,399
BAJAJ-AUTO,2018-03-21,09:56:00,2882.20,2883.65,2881.45,2883.55,415
BAJAJ-AUTO,2018-03-21,09:57:00,2884.00,2887.45,2883.35,2887.45,400
BAJAJ-AUTO,2018-03-21,09:58:00,2887.50,2888.00,2883.35,2885.00,841
BAJAJ-AUTO,2018-03-21,09:59:00,2883.60,2884.00,2880.60,2881.05,742
BAJAJ-AUTO,2018-03-21,10:00:00,2881.05,2881.05,2878.65,2879.00,1343
BAJAJ-AUTO,2018-03-21,10:01:00,2879.00,2882.40,2879.00,2882.40,1656
BAJAJ-AUTO,2018-03-21,10:02:00,2882.00,2882.50,2881.25,2882.20,1729
BAJAJ-AUTO,2018-03-21,10:03:00,2882.10,2887.80,2881.55,2884.05,2453
BAJAJ-AUTO,2018-03-21,10:04:00,2885.80,2885.80,2885.00,2885.10,99
BAJAJ-AUTO,2018-03-21,10:05:00,2885.35,2885.80,2884.25,2885.80,1591
BAJAJ-AUTO,2018-03-21,10:06:00,2884.10,2885.00,2884.10,2884.30,793
BAJAJ-AUTO,2018-03-21,10:07:00,2884.35,2885.45,2883.35,2884.05,1276
BAJAJ-AUTO,2018-03-21,10:08:00,2884.05,2884.65,2884.05,2884.10,838
BAJAJ-AUTO,2018-03-21,10:09:00,2884.65,2885.90,2880.50,2883.40,5851
BAJAJ-AUTO,2018-03-21,10:10:00,2883.85,2883.85,2883.80,2883.80,125
BAJAJ-AUTO,2018-03-21,10:11:00,2883.80,2883.80,2882.00,2882.00,496
BAJAJ-AUTO,2018-03-21,10:12:00,2882.00,2882.00,2879.05,2879.50,1013
BAJAJ-AUTO,2018-03-21,10:13:00,2879.55,2881.00,2879.55,2880.95,327
BAJAJ-AUTO,2018-03-21,10:14:00,2881.90,2881.90,2881.90,2881.90,145
BAJAJ-AUTO,2018-03-21,10:15:00,2881.90,2881.90,2880.00,2880.30,377
BAJAJ-AUTO,2018-03-21,10:16:00,2880.30,2880.60,2880.00,2880.60,190
BAJAJ-AUTO,2018-03-21,10:17:00,2880.35,2881.85,2880.05,2881.85,514
BAJAJ-AUTO,2018-03-21,10:18:00,2881.85,2884.50,2881.85,2884.35,601
BAJAJ-AUTO,2018-03-21,10:19:00,2884.35,2884.35,2883.65,2883.65,41
BAJAJ-AUTO,2018-03-21,10:20:00,2882.90,2883.45,2882.30,2882.40,690
BAJAJ-AUTO,2018-03-21,10:21:00,2883.00,2884.45,2883.00,2884.45,358
BAJAJ-AUTO,2018-03-21,10:22:00,2885.25,2885.25,2884.80,2884.80,133
BAJAJ-AUTO,2018-03-21,10:23:00,2884.90,2884.90,2882.00,2882.00,465
BAJAJ-AUTO,2018-03-21,10:24:00,2882.10,2882.25,2882.05,2882.25,180
BAJAJ-AUTO,2018-03-21,10:25:00,2882.05,2882.15,2882.00,2882.00,860
BAJAJ-AUTO,2018-03-21,10:26:00,2881.95,2881.95,2880.60,2880.60,577
BAJAJ-AUTO,2018-03-21,10:27:00,2880.60,2880.60,2880.00,2880.05,741
BAJAJ-AUTO,2018-03-21,10:28:00,2880.05,2880.10,2880.00,2880.00,705
BAJAJ-AUTO,2018-03-21,10:29:00,2880.00,2880.00,2879.70,2879.85,453
