symbol,date,time,open,high,low,close,volume
BANKBARODA,2018-03-21,09:15:00,137.45,137.45,137.45,137.45,911
BANKBARODA,2018-03-21,09:16:00,137.90,138.30,137.50,137.70,168273
BANKBARODA,2018-03-21,09:17:00,137.55,137.70,137.20,137.30,127626
BANKBARODA,2018-03-21,09:18:00,137.30,138.00,137.20,137.85,68682
BANKBARODA,2018-03-21,09:19:00,137.90,138.20,137.80,138.10,92908
BANKBARODA,2018-03-21,09:20:00,138.00,138.50,138.00,138.45,88204
BANKBARODA,2018-03-21,09:21:00,138.45,138.50,138.05,138.10,64435
BANKBARODA,2018-03-21,09:22:00,138.10,138.40,137.85,138.00,85660
BANKBARODA,2018-03-21,09:23:00,138.05,138.20,138.00,138.10,53606
BANKBARODA,2018-03-21,09:24:00,138.10,138.20,137.80,137.85,64152
BANKBARODA,2018-03-21,09:25:00,137.80,137.80,137.30,137.65,91453
BANKBARODA,2018-03-21,09:26:00,137.80,137.90,137.60,137.85,59909
BANKBARODA,2018-03-21,09:27:00,137.85,137.90,137.50,137.50,41265
BANKBARODA,2018-03-21,09:28:00,137.60,137.65,137.35,137.45,89532
BANKBARODA,2018-03-21,09:29:00,137.45,137.85,137.45,137.55,32018
BANKBARODA,2018-03-21,09:30:00,137.60,137.75,137.45,137.75,30498
BANKBARODA,2018-03-21,09:31:00,137.60,137.65,137.35,137.55,54994
BANKBARODA,2018-03-21,09:32:00,137.50,137.60,137.10,137.40,86112
BANKBARODA,2018-03-21,09:33:00,137.40,137.60,137.20,137.55,95549
BANKBARODA,2018-03-21,09:34:00,137.55,137.70,137.55,137.70,27754
BANKBARODA,2018-03-21,09:35:00,137.65,137.70,137.40,137.45,17152
BANKBARODA,2018-03-21,09:36:00,137.40,137.60,137.30,137.35,19254
BANKBARODA,2018-03-21,09:37:00,137.35,137.35,137.15,137.20,39011
BANKBARODA,2018-03-21,09:38:00,137.25,137.35,136.55,136.75,163379
BANKBARODA,2018-03-21,09:39:00,136.75,137.05,136.20,136.45,158696
BANKBARODA,2018-03-21,09:40:00,136.45,136.85,136.40,136.65,65976
BANKBARODA,2018-03-21,09:41:00,136.65,137.00,136.50,136.90,56872
BANKBARODA,2018-03-21,09:42:00,136.95,137.10,136.80,137.05,36295
BANKBARODA,2018-03-21,09:43:00,136.95,137.05,136.80,136.90,27980
BANKBARODA,2018-03-21,09:44:00,136.95,137.10,136.90,136.90,31692
BANKBARODA,2018-03-21,09:45:00,136.90,137.05,136.55,136.70,35442
BANKBARODA,2018-03-21,09:46:00,136.75,136.80,136.65,136.65,15245
BANKBARODA,2018-03-21,09:47:00,136.65,136.75,136.50,136.60,41108
BANKBARODA,2018-03-21,09:48:00,136.60,136.90,136.55,136.90,32729
BANKBARODA,2018-03-21,09:49:00,136.85,137.05,136.80,137.05,44567
BANKBARODA,2018-03-21,09:50:00,137.05,137.10,136.90,137.10,23344
BANKBARODA,2018-03-21,09:51:00,137.10,137.20,136.95,137.00,16993
BANKBARODA,2018-03-21,09:52:00,137.05,137.20,137.00,137.20,19147
BANKBARODA,2018-03-21,09:53:00,137.15,137.40,137.15,137.35,22379
BANKBARODA,2018-03-21,09:54:00,137.50,137.60,137.10,137.25,106816
BANKBARODA,2018-03-21,09:55:00,137.35,137.50,137.20,137.35,22450
BANKBARODA,2018-03-21,09:56:00,137.35,137.35,137.05,137.30,54813
BANKBARODA,2018-03-21,09:57:00,137.35,137.60,137.35,137.55,34513
BANKBARODA,2018-03-21,09:58:00,137.60,137.65,137.30,137.65,71466
BANKBARODA,2018-03-21,09:59:00,137.70,138.05,137.60,137.80,197545
BANKBARODA,2018-03-21,10:00:00,137.90,138.10,137.75,138.10,50890
BANKBARODA,2018-03-21,10:01:00,138.05,138.15,137.80,138.00,96869
BANKBARODA,2018-03-21,10:02:00,138.05,138.05,137.90,137.90,27282
BANKBARODA,2018-03-21,10:03:00,138.00,138.05,137.65,137.80,64281
