symbol,date,time,open,high,low,close,volume
BHARTIARTL,2018-03-21,09:16:00,403.00,404.40,402.50,404.05,49475
BHARTIARTL,2018-03-21,09:17:00,404.05,405.30,404.05,405.05,29402
BHARTIARTL,2018-03-21,09:18:00,404.90,405.60,404.90,405.45,43494
BHARTIARTL,2018-03-21,09:19:00,405.45,405.45,404.65,404.95,24451
BHARTIARTL,2018-03-21,09:20:00,405.00,405.05,403.70,404.00,28482
BHARTIARTL,2018-03-21,09:21:00,404.35,404.60,404.10,404.60,13954
BHARTIARTL,2018-03-21,09:22:00,404.60,404.65,404.00,404.65,18492
BHARTIARTL,2018-03-21,09:23:00,404.70,405.30,404.70,405.20,18724
BHARTIARTL,2018-03-21,09:24:00,405.30,406.00,404.35,405.75,35947
BHARTIARTL,2018-03-21,09:25:00,405.75,406.55,405.65,406.55,12967
BHARTIARTL,2018-03-21,09:26:00,406.55,407.00,406.35,406.75,44012
BHARTIARTL,2018-03-21,09:27:00,406.60,407.50,406.60,407.35,16509
BHARTIARTL,2018-03-21,09:28:00,407.20,407.70,406.80,407.50,37123
BHARTIARTL,2018-03-21,09:29:00,407.40,409.20,407.40,409.15,66203
BHARTIARTL,2018-03-21,09:30:00,409.20,410.10,408.95,409.25,80423
BHARTIARTL,2018-03-21,09:31:00,409.60,409.60,407.50,407.65,49150
BHARTIARTL,2018-03-21,09:32:00,407.65,408.20,407.65,408.00,15153
BHARTIARTL,2018-03-21,09:33:00,407.85,408.00,407.20,408.00,20653
BHARTIARTL,2018-03-21,09:34:00,407.95,408.50,407.95,408.50,14718
BHARTIARTL,2018-03-21,09:35:00,408.45,408.90,408.45,408.85,13155
BHARTIARTL,2018-03-21,09:36:00,409.00,410.55,408.90,410.30,40468
BHARTIARTL,2018-03-21,09:37:00,410.40,410.70,409.90,410.25,52162
BHARTIARTL,2018-03-21,09:38:00,410.25,410.80,410.20,410.25,25361
BHARTIARTL,2018-03-21,09:39:00,410.30,411.20,410.30,410.80,58047
BHARTIARTL,2018-03-21,09:40:00,411.15,411.20,409.95,410.20,38429
BHARTIARTL,2018-03-21,09:41:00,409.95,410.35,408.20,409.60,49985
BHARTIARTL,2018-03-21,09:42:00,409.80,410.00,409.00,409.15,19733
BHARTIARTL,2018-03-21,09:43:00,409.55,409.55,408.60,408.85,24607
BHARTIARTL,2018-03-21,09:44:00,409.00,409.75,408.85,409.75,15372
BHARTIARTL,2018-03-21,09:45:00,409.75,410.00,409.15,409.30,17082
BHARTIARTL,2018-03-21,09:46:00,409.40,409.50,409.10,409.30,10763
BHARTIARTL,2018-03-21,09:47:00,409.25,409.50,409.20,409.35,7414
BHARTIARTL,2018-03-21,09:48:00,409.30,409.35,409.00,409.30,17581
BHARTIARTL,2018-03-21,09:49:00,409.20,409.25,408.50,409.05,22929
BHARTIARTL,2018-03-21,09:50:00,409.20,409.30,408.80,409.25,21251
BHARTIARTL,2018-03-21,09:51:00,409.40,409.90,409.25,409.90,22328
BHARTIARTL,2018-03-21,09:52:00,409.75,409.90,409.25,409.85,10584
BHARTIARTL,2018-03-21,09:53:00,409.90,410.20,409.85,410.20,34367
BHARTIARTL,2018-03-21,09:54:00,410.20,410.60,410.15,410.50,26651
