symbol,date,time,open,high,low,close,volume
BHEL,2018-03-21,09:16:00,84.30,84.45,84.30,84.40,47865
BHEL,2018-03-21,09:17:00,84.35,84.50,84.35,84.50,22539
BHEL,2018-03-21,09:18:00,84.50,84.75,84.45,84.70,53875
BHEL,2018-03-21,09:19:00,84.70,84.75,84.60,84.60,26282
BHEL,2018-03-21,09:20:00,84.60,84.60,84.50,84.60,46445
BHEL,2018-03-21,09:21:00,84.65,84.65,84.50,84.55,16899
BHEL,2018-03-21,09:22:00,84.50,84.65,84.45,84.50,76717
BHEL,2018-03-21,09:23:00,84.50,84.50,84.40,84.45,8051
BHEL,2018-03-21,09:24:00,84.45,84.50,84.35,84.50,30057
BHEL,2018-03-21,09:25:00,84.45,84.50,84.40,84.45,12592
BHEL,2018-03-21,09:26:00,84.45,84.45,84.35,84.40,42147
BHEL,2018-03-21,09:27:00,84.30,84.45,84.30,84.45,31651
BHEL,2018-03-21,09:28:00,84.45,84.55,84.35,84.55,51538
BHEL,2018-03-21,09:29:00,84.55,84.60,84.50,84.60,38536
BHEL,2018-03-21,09:30:00,84.50,84.60,84.35,84.45,43767
BHEL,2018-03-21,09:31:00,84.45,84.45,84.35,84.40,14696
BHEL,2018-03-21,09:32:00,84.40,84.40,84.30,84.40,35042
BHEL,2018-03-21,09:33:00,84.40,84.40,84.30,84.40,18007
BHEL,2018-03-21,09:34:00,84.40,84.50,84.35,84.50,29422
BHEL,2018-03-21,09:35:00,84.50,84.50,84.40,84.50,11426
BHEL,2018-03-21,09:36:00,84.50,84.55,84.40,84.55,29115
BHEL,2018-03-21,09:37:00,84.50,84.55,84.45,84.50,17138
BHEL,2018-03-21,09:38:00,84.45,84.50,84.40,84.40,60681
BHEL,2018-03-21,09:39:00,84.35,84.40,84.30,84.30,39416
BHEL,2018-03-21,09:40:00,84.35,84.45,84.35,84.35,24271
BHEL,2018-03-21,09:41:00,84.40,84.40,84.30,84.35,25417
BHEL,2018-03-21,09:42:00,84.35,84.45,84.35,84.45,9666
BHEL,2018-03-21,09:43:00,84.40,84.45,84.40,84.45,6831
BHEL,2018-03-21,09:44:00,84.45,84.50,84.40,84.50,5187
BHEL,2018-03-21,09:45:00,84.50,84.60,84.45,84.55,32211
BHEL,2018-03-21,09:46:00,84.55,84.60,84.50,84.50,17314
BHEL,2018-03-21,09:47:00,84.50,84.50,84.40,84.45,33375
BHEL,2018-03-21,09:48:00,84.40,84.45,84.40,84.45,22153
BHEL,2018-03-21,09:49:00,84.45,84.45,84.40,84.45,25255
BHEL,2018-03-21,09:50:00,84.50,84.55,84.45,84.50,9979
