symbol,date,time,open,high,low,close,volume
BOSCHLTD,2018-03-21,09:16:00,17973.55,17973.55,17950.00,17955.75,73
BOSCHLTD,2018-03-21,09:17:00,17955.30,17969.40,17945.00,17945.00,91
BOSCHLTD,2018-03-21,09:18:00,17900.00,17913.95,17900.00,17910.00,53
BOSCHLTD,2018-03-21,09:19:00,17910.00,17910.00,17878.15,17909.00,65
BOSCHLTD,2018-03-21,09:20:00,17883.80,17908.95,17883.80,17908.95,24
BOSCHLTD,2018-03-21,09:21:00,17900.00,17908.90,17886.40,17886.45,55
BOSCHLTD,2018-03-21,09:22:00,17881.10,17886.40,17853.00,17853.00,51
BOSCHLTD,2018-03-21,09:23:00,17850.00,17864.15,17850.00,17851.05,5
BOSCHLTD,2018-03-21,09:24:00,17854.70,17854.70,17783.20,17783.20,68
BOSCHLTD,2018-03-21,09:25:00,17780.60,17791.90,17736.65,17759.25,133
BOSCHLTD,2018-03-21,09:26:00,17773.20,17773.20,17750.00,17760.00,57
BOSCHLTD,2018-03-21,09:27:00,17773.90,17773.90,17766.05,17768.90,20
BOSCHLTD,2018-03-21,09:28:00,17768.00,17832.55,17768.00,17832.55,52
BOSCHLTD,2018-03-21,09:29:00,17835.95,17835.95,17824.80,17835.00,28
BOSCHLTD,2018-03-21,09:30:00,17855.60,17863.00,17855.60,17863.00,82
BOSCHLTD,2018-03-21,09:31:00,17863.00,17863.00,17850.00,17850.00,15
BOSCHLTD,2018-03-21,09:32:00,17838.95,17841.35,17838.95,17838.95,18
BOSCHLTD,2018-03-21,09:33:00,17825.75,17838.95,17825.75,17838.95,14
BOSCHLTD,2018-03-21,09:34:00,17850.95,17850.95,17838.95,17838.95,18
BOSCHLTD,2018-03-21,09:35:00,17827.45,17827.45,17824.80,17826.95,19
BOSCHLTD,2018-03-21,09:36:00,17826.20,17839.30,17826.20,17839.30,2
BOSCHLTD,2018-03-21,09:37:00,17850.00,17850.00,17829.15,17843.80,34
BOSCHLTD,2018-03-21,09:38:00,17850.35,17850.35,17830.55,17833.50,57
BOSCHLTD,2018-03-21,09:39:00,17833.50,17833.50,17824.80,17824.80,85
BOSCHLTD,2018-03-21,09:40:00,17820.00,17820.00,17777.80,17780.15,58
BOSCHLTD,2018-03-21,09:41:00,17780.25,17791.60,17780.25,17791.50,28
BOSCHLTD,2018-03-21,09:42:00,17802.95,17802.95,17790.30,17796.00,13
BOSCHLTD,2018-03-21,09:43:00,17795.20,17800.00,17785.05,17798.95,45
BOSCHLTD,2018-03-21,09:44:00,17798.55,17800.00,17779.95,17779.95,147
BOSCHLTD,2018-03-21,09:45:00,17777.85,17777.85,17775.00,17775.00,8
BOSCHLTD,2018-03-21,09:46:00,17776.00,17784.05,17776.00,17776.00,9
BOSCHLTD,2018-03-21,09:47:00,17781.95,17783.85,17774.00,17775.00,15
BOSCHLTD,2018-03-21,09:48:00,17779.70,17779.70,17770.05,17770.05,5
BOSCHLTD,2018-03-21,09:49:00,17770.00,17770.00,17751.00,17762.90,44
BOSCHLTD,2018-03-21,09:50:00,17751.00,17766.70,17751.00,17765.40,27
BOSCHLTD,2018-03-21,09:51:00,17765.25,17765.35,17752.05,17755.00,14
BOSCHLTD,2018-03-21,09:52:00,17755.05,17770.00,17755.00,17768.00,26
BOSCHLTD,2018-03-21,09:53:00,17769.80,17783.40,17769.75,17783.40,25
BOSCHLTD,2018-03-21,09:54:00,17796.60,17796.60,17788.00,17788.00,9
BOSCHLTD,2018-03-21,09:55:00,17788.00,17790.25,17773.90,17790.25,40
BOSCHLTD,2018-03-21,09:56:00,17800.00,17800.00,17791.15,17791.15,12
BOSCHLTD,2018-03-21,09:57:00,17800.00,17800.00,17793.30,17794.05,165
BOSCHLTD,2018-03-21,09:58:00,17794.05,17794.05,17760.00,17760.05,50
BOSCHLTD,2018-03-21,09:59:00,17767.60,17779.35,17767.60,17768.80,4
BOSCHLTD,2018-03-21,10:00:00,17779.25,17780.00,17774.65,17780.00,17
BOSCHLTD,2018-03-21,10:01:00,17787.00,17791.95,17787.00,17791.95,9
BOSCHLTD,2018-03-21,10:02:00,17780.00,17792.00,17780.00,17792.00,13
BOSCHLTD,2018-03-21,10:03:00,17792.00,17799.90,17782.25,17787.45,213
BOSCHLTD,2018-03-21,10:04:00,17788.60,17800.00,17788.60,17788.65,43
BOSCHLTD,2018-03-21,10:05:00,17790.00,17800.00,17790.00,17800.00,26
BOSCHLTD,2018-03-21,10:06:00,17800.00,17800.00,17790.05,17795.80,47
BOSCHLTD,2018-03-21,10:07:00,17790.00,17799.90,17789.00,17799.90,64
BOSCHLTD,2018-03-21,10:08:00,17795.00,17799.00,17795.00,17795.05,8
BOSCHLTD,2018-03-21,10:09:00,17800.00,17800.00,17796.00,17796.00,134
BOSCHLTD,2018-03-21,10:10:00,17799.00,17800.00,17786.00,17786.15,281
BOSCHLTD,2018-03-21,10:11:00,17799.80,17799.85,17787.35,17790.20,6
BOSCHLTD,2018-03-21,10:12:00,17799.90,17799.95,17797.50,17798.75,10
BOSCHLTD,2018-03-21,10:13:00,17799.95,17800.00,17798.80,17800.00,11
BOSCHLTD,2018-03-21,10:14:00,17800.00,17800.00,17791.10,17791.15,184
BOSCHLTD,2018-03-21,10:15:00,17800.00,17800.00,17791.20,17795.50,6
BOSCHLTD,2018-03-21,10:16:00,17791.30,17795.85,17782.05,17786.05,60
BOSCHLTD,2018-03-21,10:17:00,17785.00,17785.00,17782.60,17782.60,5
BOSCHLTD,2018-03-21,10:18:00,17789.20,17792.50,17785.00,17785.00,12
BOSCHLTD,2018-03-21,10:19:00,17792.50,17792.50,17770.00,17770.00,136
BOSCHLTD,2018-03-21,10:20:00,17776.65,17792.05,17776.65,17792.05,12
BOSCHLTD,2018-03-21,10:21:00,17776.75,17792.45,17776.75,17792.45,11
BOSCHLTD,2018-03-21,10:22:00,17779.05,17779.05,17770.00,17770.00,25
BOSCHLTD,2018-03-21,10:23:00,17770.00,17783.65,17768.00,17780.00,57
BOSCHLTD,2018-03-21,10:24:00,17792.10,17792.10,17780.00,17780.00,4
BOSCHLTD,2018-03-21,10:25:00,17780.00,17780.00,17771.05,17780.00,56
BOSCHLTD,2018-03-21,10:26:00,17789.90,17789.90,17774.70,17789.30,14
BOSCHLTD,2018-03-21,10:27:00,17790.00,17792.50,17789.90,17792.50,10
BOSCHLTD,2018-03-21,10:28:00,17800.00,17800.25,17800.00,17800.25,7
BOSCHLTD,2018-03-21,10:29:00,17800.00,17800.00,17800.00,17800.00,2
BOSCHLTD,2018-03-21,10:30:00,17800.15,17820.00,17800.15,17820.00,141
BOSCHLTD,2018-03-21,10:31:00,17813.05,17820.00,17811.00,17818.00,30
BOSCHLTD,2018-03-21,10:32:00,17819.95,17820.00,17818.00,17819.40,6
BOSCHLTD,2018-03-21,10:33:00,17819.45,17819.45,17819.45,17819.45,2
BOSCHLTD,2018-03-21,10:34:00,17817.10,17817.10,17817.10,17817.10,4
BOSCHLTD,2018-03-21,10:35:00,17818.85,17818.85,17814.75,17818.85,5
BOSCHLTD,2018-03-21,10:36:00,17819.45,17820.00,17819.45,17820.00,35
BOSCHLTD,2018-03-21,10:37:00,17818.40,17818.40,17816.80,17816.80,5
BOSCHLTD,2018-03-21,10:38:00,17816.80,17816.80,17805.85,17805.85,7
BOSCHLTD,2018-03-21,10:39:00,17809.90,17819.75,17809.90,17819.75,4
BOSCHLTD,2018-03-21,10:40:00,17819.75,17819.75,17814.80,17814.80,6
BOSCHLTD,2018-03-21,10:41:00,17819.55,17819.55,17803.65,17803.65,3
BOSCHLTD,2018-03-21,10:42:00,17803.95,17819.40,17803.95,17819.40,11
BOSCHLTD,2018-03-21,10:43:00,17819.40,17819.40,17818.70,17818.70,5
BOSCHLTD,2018-03-21,10:44:00,17815.20,17815.20,17815.20,17815.20,1
BOSCHLTD,2018-03-21,10:45:00,17816.00,17818.75,17816.00,17818.75,15
BOSCHLTD,2018-03-21,10:46:00,17818.75,17818.75,17816.00,17816.00,20
BOSCHLTD,2018-03-21,10:47:00,17816.00,17819.20,17816.00,17819.20,71
BOSCHLTD,2018-03-21,10:48:00,17819.00,17819.00,17816.00,17816.00,35
BOSCHLTD,2018-03-21,10:49:00,17816.00,17819.25,17816.00,17819.25,10
