symbol,date,time,open,high,low,close,volume
BPCL,2018-03-21,09:16:00,426.95,429.65,426.75,429.00,23907
BPCL,2018-03-21,09:17:00,429.05,430.60,429.00,429.10,21865
BPCL,2018-03-21,09:18:00,429.10,430.20,429.10,429.85,21944
BPCL,2018-03-21,09:19:00,429.75,430.10,428.60,429.50,15979
BPCL,2018-03-21,09:20:00,429.55,430.00,429.35,429.75,7307
BPCL,2018-03-21,09:21:00,430.00,430.45,429.70,429.70,12231
BPCL,2018-03-21,09:22:00,429.80,430.90,429.75,430.00,19796
BPCL,2018-03-21,09:23:00,430.35,430.45,429.95,430.45,7477
BPCL,2018-03-21,09:24:00,430.70,431.70,430.40,431.40,18514
BPCL,2018-03-21,09:25:00,431.70,431.80,430.95,431.60,15874
BPCL,2018-03-21,09:26:00,431.80,431.80,430.50,430.50,17342
BPCL,2018-03-21,09:27:00,430.45,430.85,430.45,430.70,4618
BPCL,2018-03-21,09:28:00,430.70,430.70,429.80,429.95,13243
BPCL,2018-03-21,09:29:00,430.00,430.20,429.55,429.65,22773
BPCL,2018-03-21,09:30:00,429.75,430.35,429.70,430.10,5064
BPCL,2018-03-21,09:31:00,430.15,430.35,430.10,430.25,8608
BPCL,2018-03-21,09:32:00,430.35,430.35,430.20,430.30,4610
BPCL,2018-03-21,09:33:00,430.30,431.50,430.25,431.50,10335
BPCL,2018-03-21,09:34:00,431.30,432.75,431.25,432.35,24867
BPCL,2018-03-21,09:35:00,432.50,432.50,431.95,432.40,11858
BPCL,2018-03-21,09:36:00,432.30,432.90,432.30,432.80,16275
BPCL,2018-03-21,09:37:00,432.90,432.90,431.90,431.90,15660
BPCL,2018-03-21,09:38:00,432.05,432.05,431.50,431.50,7169
BPCL,2018-03-21,09:39:00,431.45,432.20,431.40,432.20,7794
BPCL,2018-03-21,09:40:00,432.00,432.40,432.00,432.40,10465
BPCL,2018-03-21,09:41:00,432.15,433.50,432.15,433.50,16475
BPCL,2018-03-21,09:42:00,433.50,434.00,433.20,433.90,20680
BPCL,2018-03-21,09:43:00,433.80,434.50,433.80,434.15,28328
BPCL,2018-03-21,09:44:00,434.00,434.25,433.70,433.85,10128
BPCL,2018-03-21,09:45:00,433.70,434.30,433.50,434.00,14665
BPCL,2018-03-21,09:46:00,434.00,434.20,433.65,433.85,16365
BPCL,2018-03-21,09:47:00,433.70,433.80,432.60,433.00,18318
BPCL,2018-03-21,09:48:00,433.00,433.00,432.65,432.75,5834
BPCL,2018-03-21,09:49:00,432.65,432.70,432.25,432.30,8007
BPCL,2018-03-21,09:50:00,432.50,433.15,432.30,433.15,11654
BPCL,2018-03-21,09:51:00,433.30,433.30,432.95,433.00,3027
BPCL,2018-03-21,09:52:00,433.15,433.15,432.75,432.80,3425
BPCL,2018-03-21,09:53:00,433.00,433.35,433.00,433.35,6116
BPCL,2018-03-21,09:54:00,433.35,433.95,433.30,433.80,7002
BPCL,2018-03-21,09:55:00,433.85,433.85,433.65,433.80,4457
BPCL,2018-03-21,09:56:00,433.80,433.90,433.50,433.70,5462
BPCL,2018-03-21,09:57:00,433.70,434.15,433.70,434.00,10228
BPCL,2018-03-21,09:58:00,433.85,434.00,433.30,433.70,7594
BPCL,2018-03-21,09:59:00,433.80,433.80,433.10,433.20,5385
BPCL,2018-03-21,10:00:00,433.05,433.15,432.25,432.35,6944
BPCL,2018-03-21,10:01:00,432.35,432.95,432.35,432.85,10446
BPCL,2018-03-21,10:02:00,433.00,433.00,432.85,432.90,1649
BPCL,2018-03-21,10:03:00,432.90,433.20,432.75,433.00,7527
BPCL,2018-03-21,10:04:00,432.95,433.05,432.90,433.05,3792
