symbol,date,time,open,high,low,close,volume
CIPLA,2018-03-21,09:15:00,558.60,558.60,558.60,558.60,170
CIPLA,2018-03-21,09:16:00,558.50,558.50,556.05,557.20,20506
CIPLA,2018-03-21,09:17:00,557.40,557.75,556.75,557.00,11962
CIPLA,2018-03-21,09:18:00,557.15,557.50,556.45,557.00,19262
CIPLA,2018-03-21,09:19:00,557.10,558.50,557.10,558.00,8917
CIPLA,2018-03-21,09:20:00,558.05,558.40,557.40,558.00,11252
CIPLA,2018-03-21,09:21:00,557.90,558.50,557.65,557.70,12053
CIPLA,2018-03-21,09:22:00,557.70,557.95,556.95,557.00,6216
CIPLA,2018-03-21,09:23:00,557.00,557.10,556.50,556.90,5537
CIPLA,2018-03-21,09:24:00,556.90,557.00,556.55,556.75,6171
CIPLA,2018-03-21,09:25:00,556.95,556.95,556.25,556.40,5797
CIPLA,2018-03-21,09:26:00,556.40,556.50,556.25,556.35,3145
CIPLA,2018-03-21,09:27:00,556.25,556.35,555.50,555.50,6007
CIPLA,2018-03-21,09:28:00,555.60,555.60,555.00,555.20,5767
CIPLA,2018-03-21,09:29:00,555.20,556.15,554.60,555.75,12113
CIPLA,2018-03-21,09:30:00,555.60,557.95,555.60,557.50,5488
CIPLA,2018-03-21,09:31:00,557.60,559.05,557.50,559.05,18955
CIPLA,2018-03-21,09:32:00,559.50,561.90,559.50,561.05,37521
CIPLA,2018-03-21,09:33:00,560.70,561.75,560.35,560.70,17948
CIPLA,2018-03-21,09:34:00,561.10,561.40,561.00,561.00,6982
CIPLA,2018-03-21,09:35:00,561.00,561.20,560.60,561.00,9455
CIPLA,2018-03-21,09:36:00,561.15,561.45,560.70,561.20,7691
CIPLA,2018-03-21,09:37:00,561.05,561.40,559.50,559.70,12244
CIPLA,2018-03-21,09:38:00,559.65,560.55,559.65,560.40,6025
CIPLA,2018-03-21,09:39:00,560.30,560.70,560.00,560.50,2890
CIPLA,2018-03-21,09:40:00,560.40,561.00,560.35,560.95,4927
CIPLA,2018-03-21,09:41:00,561.00,561.25,560.90,561.25,9741
CIPLA,2018-03-21,09:42:00,561.40,561.50,561.15,561.30,5068
CIPLA,2018-03-21,09:43:00,561.30,561.50,561.00,561.20,3149
CIPLA,2018-03-21,09:44:00,561.40,561.55,561.20,561.55,5662
CIPLA,2018-03-21,09:45:00,561.60,563.00,561.60,563.00,30338
CIPLA,2018-03-21,09:46:00,562.75,563.00,562.00,562.20,17379
CIPLA,2018-03-21,09:47:00,562.20,562.45,562.15,562.40,2458
CIPLA,2018-03-21,09:48:00,562.30,562.60,562.10,562.50,6070
CIPLA,2018-03-21,09:49:00,562.50,562.80,562.40,562.75,5571
CIPLA,2018-03-21,09:50:00,562.75,562.75,562.00,562.30,12071
CIPLA,2018-03-21,09:51:00,562.25,562.25,560.85,561.05,14336
CIPLA,2018-03-21,09:52:00,561.05,561.35,560.80,560.80,5036
CIPLA,2018-03-21,09:53:00,561.00,561.50,560.75,561.30,3017
CIPLA,2018-03-21,09:54:00,561.70,562.00,561.40,561.75,2308
CIPLA,2018-03-21,09:55:00,561.75,562.70,561.75,562.60,4753
CIPLA,2018-03-21,09:56:00,562.45,563.50,562.45,562.95,10825
CIPLA,2018-03-21,09:57:00,563.40,563.40,562.80,562.85,11420
CIPLA,2018-03-21,09:58:00,562.80,562.80,562.05,562.50,3159
CIPLA,2018-03-21,09:59:00,562.30,562.75,562.20,562.65,2862
CIPLA,2018-03-21,10:00:00,562.75,562.75,562.00,562.00,6948
CIPLA,2018-03-21,10:01:00,562.25,562.40,561.85,562.00,3339
CIPLA,2018-03-21,10:02:00,562.20,562.20,561.70,562.05,3824
CIPLA,2018-03-21,10:03:00,562.05,562.80,562.05,562.55,2770
CIPLA,2018-03-21,10:04:00,562.55,562.95,562.55,562.80,2335
CIPLA,2018-03-21,10:05:00,562.95,562.95,562.40,562.70,1642
CIPLA,2018-03-21,10:06:00,562.60,562.75,562.25,562.25,1537
CIPLA,2018-03-21,10:07:00,562.25,562.40,562.00,562.10,4427
CIPLA,2018-03-21,10:08:00,562.00,562.75,562.00,562.55,8607
CIPLA,2018-03-21,10:09:00,562.25,562.55,562.10,562.50,2073
CIPLA,2018-03-21,10:10:00,562.15,562.45,561.90,562.00,3079
CIPLA,2018-03-21,10:11:00,562.05,562.30,561.75,561.75,2651
CIPLA,2018-03-21,10:12:00,561.75,561.75,561.20,561.50,3424
CIPLA,2018-03-21,10:13:00,561.45,562.30,561.45,562.00,3818
CIPLA,2018-03-21,10:14:00,562.00,562.30,561.95,562.25,2046
CIPLA,2018-03-21,10:15:00,562.35,562.40,562.20,562.25,1892
CIPLA,2018-03-21,10:16:00,562.25,562.50,562.20,562.50,3762
CIPLA,2018-03-21,10:17:00,562.45,562.55,562.40,562.45,2153
CIPLA,2018-03-21,10:18:00,562.45,562.45,562.30,562.45,4300
CIPLA,2018-03-21,10:19:00,562.50,562.60,562.45,562.55,2006
CIPLA,2018-03-21,10:20:00,562.60,564.00,562.50,563.90,17465
CIPLA,2018-03-21,10:21:00,563.90,565.00,563.90,564.75,40830
CIPLA,2018-03-21,10:22:00,564.75,564.90,564.45,564.55,5452
CIPLA,2018-03-21,10:23:00,564.55,564.75,564.05,564.40,6877
CIPLA,2018-03-21,10:24:00,564.45,564.75,564.00,564.75,7588
CIPLA,2018-03-21,10:25:00,564.70,564.80,564.35,564.35,3531
CIPLA,2018-03-21,10:26:00,564.40,564.45,563.80,564.20,9167
CIPLA,2018-03-21,10:27:00,564.40,564.40,563.70,563.70,3740
CIPLA,2018-03-21,10:28:00,563.85,564.30,563.85,564.00,3960
CIPLA,2018-03-21,10:29:00,563.95,564.30,563.90,564.00,2958
CIPLA,2018-03-21,10:30:00,564.05,564.25,563.50,563.90,2508
CIPLA,2018-03-21,10:31:00,563.90,564.00,563.60,564.00,3445
CIPLA,2018-03-21,10:32:00,563.90,564.30,563.90,564.15,4906
CIPLA,2018-03-21,10:33:00,564.15,565.95,564.15,565.65,37912
CIPLA,2018-03-21,10:34:00,565.95,566.00,565.35,565.70,9567
CIPLA,2018-03-21,10:35:00,565.65,565.80,565.10,565.20,5461
CIPLA,2018-03-21,10:36:00,565.20,565.50,565.10,565.45,4646
CIPLA,2018-03-21,10:37:00,565.40,565.40,565.00,565.00,6307
CIPLA,2018-03-21,10:38:00,565.20,565.40,565.20,565.40,6648
CIPLA,2018-03-21,10:39:00,565.35,566.00,565.30,565.85,10857
CIPLA,2018-03-21,10:40:00,565.85,565.85,565.30,565.30,5656
CIPLA,2018-03-21,10:41:00,565.30,565.75,565.30,565.60,5116
CIPLA,2018-03-21,10:42:00,565.80,565.85,565.50,565.65,2909
CIPLA,2018-03-21,10:43:00,565.75,565.80,565.60,565.75,2401
