symbol,date,time,open,high,low,close,volume
COALINDIA,2018-03-21,09:16:00,270.90,271.00,270.60,270.75,15689
COALINDIA,2018-03-21,09:17:00,270.75,270.75,270.15,270.25,11967
COALINDIA,2018-03-21,09:18:00,270.35,270.60,270.10,270.50,33834
COALINDIA,2018-03-21,09:19:00,270.55,270.70,270.50,270.60,11600
COALINDIA,2018-03-21,09:20:00,270.60,270.70,270.55,270.65,8318
COALINDIA,2018-03-21,09:21:00,270.70,270.70,270.50,270.70,8628
COALINDIA,2018-03-21,09:22:00,270.65,270.75,270.50,270.55,8724
COALINDIA,2018-03-21,09:23:00,270.80,270.80,270.50,270.50,16729
COALINDIA,2018-03-21,09:24:00,270.70,271.50,270.70,271.50,9245
COALINDIA,2018-03-21,09:25:00,271.25,271.40,271.15,271.40,5089
COALINDIA,2018-03-21,09:26:00,271.45,271.50,271.05,271.10,18989
COALINDIA,2018-03-21,09:27:00,271.10,271.10,270.90,271.00,7953
COALINDIA,2018-03-21,09:28:00,270.95,271.20,270.95,271.00,3211
COALINDIA,2018-03-21,09:29:00,271.05,271.20,271.05,271.15,8971
COALINDIA,2018-03-21,09:30:00,271.05,271.15,271.05,271.15,2077
COALINDIA,2018-03-21,09:31:00,271.15,271.15,270.70,270.70,7540
COALINDIA,2018-03-21,09:32:00,270.70,270.80,270.55,270.65,6153
COALINDIA,2018-03-21,09:33:00,270.60,270.95,270.60,270.95,7407
COALINDIA,2018-03-21,09:34:00,271.05,271.50,270.95,271.35,9401
COALINDIA,2018-03-21,09:35:00,271.50,271.50,271.35,271.45,17141
COALINDIA,2018-03-21,09:36:00,271.45,271.50,271.45,271.45,9906
COALINDIA,2018-03-21,09:37:00,271.45,271.50,270.75,270.75,10300
COALINDIA,2018-03-21,09:38:00,270.75,271.00,270.75,270.80,2982
COALINDIA,2018-03-21,09:39:00,270.90,271.10,270.75,270.85,3402
COALINDIA,2018-03-21,09:40:00,270.90,271.10,270.90,271.05,2442
COALINDIA,2018-03-21,09:41:00,271.05,271.05,270.90,271.05,3142
COALINDIA,2018-03-21,09:42:00,271.05,271.40,271.00,271.35,3410
COALINDIA,2018-03-21,09:43:00,271.40,271.40,271.05,271.15,3315
COALINDIA,2018-03-21,09:44:00,271.00,271.10,271.00,271.10,2141
COALINDIA,2018-03-21,09:45:00,271.00,271.15,270.95,271.15,1418
COALINDIA,2018-03-21,09:46:00,271.05,271.05,270.85,270.95,1644
COALINDIA,2018-03-21,09:47:00,270.95,271.05,270.75,270.95,7462
COALINDIA,2018-03-21,09:48:00,270.95,271.05,270.95,271.00,2513
COALINDIA,2018-03-21,09:49:00,271.05,271.05,270.85,270.90,2794
COALINDIA,2018-03-21,09:50:00,270.85,271.00,270.80,271.00,2232
COALINDIA,2018-03-21,09:51:00,271.00,271.00,270.75,270.85,4439
COALINDIA,2018-03-21,09:52:00,270.85,270.95,270.75,270.80,3141
COALINDIA,2018-03-21,09:53:00,270.75,270.80,270.70,270.80,5116
COALINDIA,2018-03-21,09:54:00,270.80,270.80,270.70,270.75,3879
COALINDIA,2018-03-21,09:55:00,270.75,270.80,270.75,270.75,3532
COALINDIA,2018-03-21,09:56:00,270.75,270.95,270.70,270.75,9417
COALINDIA,2018-03-21,09:57:00,270.75,270.75,270.65,270.75,4244
COALINDIA,2018-03-21,09:58:00,270.75,270.90,270.65,270.70,3936
COALINDIA,2018-03-21,09:59:00,270.70,270.75,270.65,270.65,3293
COALINDIA,2018-03-21,10:00:00,270.70,270.90,270.70,270.80,2296
COALINDIA,2018-03-21,10:01:00,270.85,271.00,270.80,270.95,4423
COALINDIA,2018-03-21,10:02:00,271.00,271.05,270.65,270.75,10686
COALINDIA,2018-03-21,10:03:00,270.75,270.85,270.70,270.80,2893
COALINDIA,2018-03-21,10:04:00,270.80,270.95,270.80,270.95,7064
COALINDIA,2018-03-21,10:05:00,270.85,270.90,270.75,270.80,3812
COALINDIA,2018-03-21,10:06:00,270.75,270.90,270.55,270.65,9496
COALINDIA,2018-03-21,10:07:00,270.60,270.65,270.25,270.25,12257
COALINDIA,2018-03-21,10:08:00,270.30,270.45,270.05,270.05,9562
COALINDIA,2018-03-21,10:09:00,270.00,270.05,269.75,269.85,23614
COALINDIA,2018-03-21,10:10:00,269.85,270.00,269.80,270.00,8028
COALINDIA,2018-03-21,10:11:00,270.00,270.00,269.60,269.80,8706
COALINDIA,2018-03-21,10:12:00,269.70,269.80,269.40,269.40,8056
COALINDIA,2018-03-21,10:13:00,269.60,269.90,269.50,269.90,5117
COALINDIA,2018-03-21,10:14:00,269.90,269.90,269.60,269.60,2987
COALINDIA,2018-03-21,10:15:00,269.65,269.90,269.65,269.85,5364
COALINDIA,2018-03-21,10:16:00,269.75,270.00,269.75,269.95,3952
COALINDIA,2018-03-21,10:17:00,269.95,269.95,269.75,269.90,5837
COALINDIA,2018-03-21,10:18:00,269.90,270.00,269.90,270.00,2422
COALINDIA,2018-03-21,10:19:00,270.00,270.00,269.95,270.00,5342
COALINDIA,2018-03-21,10:20:00,270.00,270.10,269.95,270.00,7345
COALINDIA,2018-03-21,10:21:00,270.00,270.15,270.00,270.00,6831
COALINDIA,2018-03-21,10:22:00,270.00,270.00,269.75,269.90,7437
COALINDIA,2018-03-21,10:23:00,269.90,269.95,269.90,269.95,1186
COALINDIA,2018-03-21,10:24:00,269.90,269.95,269.90,269.95,4135
COALINDIA,2018-03-21,10:25:00,269.95,269.95,269.85,269.90,4615
COALINDIA,2018-03-21,10:26:00,269.90,270.00,269.80,269.90,3010
COALINDIA,2018-03-21,10:27:00,269.90,269.90,269.75,269.85,2316
COALINDIA,2018-03-21,10:28:00,269.75,269.85,269.75,269.75,1682
COALINDIA,2018-03-21,10:29:00,269.80,269.80,269.70,269.70,2885
COALINDIA,2018-03-21,10:30:00,269.75,269.80,269.65,269.80,3749
COALINDIA,2018-03-21,10:31:00,269.75,269.90,269.75,269.90,2041
COALINDIA,2018-03-21,10:32:00,269.90,269.90,269.70,269.75,369534
COALINDIA,2018-03-21,10:33:00,269.75,269.75,269.65,269.75,6225
COALINDIA,2018-03-21,10:34:00,269.75,269.75,269.65,269.75,8702
COALINDIA,2018-03-21,10:35:00,269.75,269.90,269.65,269.85,5728
COALINDIA,2018-03-21,10:36:00,269.85,270.00,269.75,269.80,5561
COALINDIA,2018-03-21,10:37:00,269.85,270.00,269.80,269.90,5502
COALINDIA,2018-03-21,10:38:00,269.90,270.75,269.85,270.35,15732
COALINDIA,2018-03-21,10:39:00,270.55,270.60,270.40,270.45,5958
COALINDIA,2018-03-21,10:40:00,270.45,270.50,270.20,270.30,2361
COALINDIA,2018-03-21,10:41:00,270.35,270.50,270.30,270.45,7500
COALINDIA,2018-03-21,10:42:00,270.50,270.60,270.40,270.60,3177
COALINDIA,2018-03-21,10:43:00,270.60,270.65,270.50,270.55,3327
COALINDIA,2018-03-21,10:44:00,270.60,270.60,270.35,270.55,5810
COALINDIA,2018-03-21,10:45:00,270.60,270.60,270.50,270.55,1780
COALINDIA,2018-03-21,10:46:00,270.50,270.60,270.50,270.55,1392
COALINDIA,2018-03-21,10:47:00,270.60,270.65,270.55,270.55,5280
COALINDIA,2018-03-21,10:48:00,270.60,270.80,270.50,270.50,5071
COALINDIA,2018-03-21,10:49:00,270.55,270.60,270.45,270.50,2433
COALINDIA,2018-03-21,10:50:00,270.50,270.60,270.35,270.40,11294
COALINDIA,2018-03-21,10:51:00,270.40,270.90,270.40,270.70,5071
COALINDIA,2018-03-21,10:52:00,270.75,270.85,270.65,270.75,2018
COALINDIA,2018-03-21,10:53:00,270.80,271.40,270.70,271.35,42230
COALINDIA,2018-03-21,10:54:00,271.35,271.40,271.10,271.15,13108
COALINDIA,2018-03-21,10:55:00,271.15,271.40,271.10,271.35,8785
COALINDIA,2018-03-21,10:56:00,271.30,271.95,271.30,271.80,24855
COALINDIA,2018-03-21,10:57:00,271.80,271.95,271.75,271.85,10601
COALINDIA,2018-03-21,10:58:00,271.85,272.35,271.80,272.35,20311
COALINDIA,2018-03-21,10:59:00,272.35,272.55,272.30,272.30,17360
COALINDIA,2018-03-21,11:00:00,272.30,272.40,272.15,272.25,14830
COALINDIA,2018-03-21,11:01:00,272.35,272.35,271.70,271.75,8655
COALINDIA,2018-03-21,11:02:00,271.75,271.95,271.75,271.90,9252
COALINDIA,2018-03-21,11:03:00,271.95,271.95,271.80,271.85,1390
COALINDIA,2018-03-21,11:04:00,271.90,271.90,271.80,271.80,2570
COALINDIA,2018-03-21,11:05:00,271.75,271.80,271.45,271.65,3854
COALINDIA,2018-03-21,11:06:00,271.70,271.70,271.45,271.55,6228
COALINDIA,2018-03-21,11:07:00,271.40,271.45,271.10,271.15,7694
COALINDIA,2018-03-21,11:08:00,271.20,271.20,271.00,271.00,3273
COALINDIA,2018-03-21,11:09:00,271.10,271.40,271.00,271.20,7539
COALINDIA,2018-03-21,11:10:00,271.30,271.50,271.15,271.40,3128
COALINDIA,2018-03-21,11:11:00,271.35,271.50,271.35,271.45,4520
COALINDIA,2018-03-21,11:12:00,271.50,271.75,271.45,271.55,5606
COALINDIA,2018-03-21,11:13:00,271.55,271.55,271.40,271.55,8133
COALINDIA,2018-03-21,11:14:00,271.60,271.75,271.35,271.35,3183
COALINDIA,2018-03-21,11:15:00,271.40,271.45,271.35,271.45,1209
COALINDIA,2018-03-21,11:16:00,271.45,271.65,271.40,271.60,2976
COALINDIA,2018-03-21,11:17:00,271.65,271.75,271.40,271.40,4331
COALINDIA,2018-03-21,11:18:00,271.40,271.75,271.35,271.75,7979
COALINDIA,2018-03-21,11:19:00,271.75,271.75,271.40,271.45,6644
COALINDIA,2018-03-21,11:20:00,271.45,271.50,271.05,271.15,4003
COALINDIA,2018-03-21,11:21:00,271.15,271.15,271.00,271.10,19710
COALINDIA,2018-03-21,11:22:00,271.15,271.30,271.00,271.30,1114
COALINDIA,2018-03-21,11:23:00,271.30,271.30,271.20,271.25,1653
COALINDIA,2018-03-21,11:24:00,271.20,271.20,271.15,271.15,3991
COALINDIA,2018-03-21,11:25:00,271.20,271.20,271.15,271.15,3207
COALINDIA,2018-03-21,11:26:00,271.20,271.20,271.15,271.20,529
COALINDIA,2018-03-21,11:27:00,271.15,271.20,271.05,271.05,3525
COALINDIA,2018-03-21,11:28:00,271.05,271.05,271.00,271.05,2483
COALINDIA,2018-03-21,11:29:00,271.05,271.05,271.00,271.05,3036
COALINDIA,2018-03-21,11:30:00,271.05,271.05,270.75,270.75,6266
COALINDIA,2018-03-21,11:31:00,270.85,270.85,270.75,270.75,3080
COALINDIA,2018-03-21,11:32:00,270.70,270.70,270.50,270.70,7873
COALINDIA,2018-03-21,11:33:00,270.70,270.75,270.55,270.65,4238
COALINDIA,2018-03-21,11:34:00,270.65,270.70,270.60,270.65,1188
COALINDIA,2018-03-21,11:35:00,270.70,270.75,270.55,270.60,3534
COALINDIA,2018-03-21,11:36:00,270.75,270.90,270.70,270.80,4680
COALINDIA,2018-03-21,11:37:00,270.90,270.90,270.80,270.80,1060
COALINDIA,2018-03-21,11:38:00,270.80,270.90,270.70,270.80,2698
COALINDIA,2018-03-21,11:39:00,270.80,270.85,270.55,270.55,1908
COALINDIA,2018-03-21,11:40:00,270.60,270.60,270.25,270.25,14037
COALINDIA,2018-03-21,11:41:00,270.30,270.35,270.25,270.30,2511
COALINDIA,2018-03-21,11:42:00,270.25,270.25,270.00,270.00,20440
COALINDIA,2018-03-21,11:43:00,270.00,270.25,269.85,270.25,8566
COALINDIA,2018-03-21,11:44:00,270.05,270.40,270.05,270.20,4278
COALINDIA,2018-03-21,11:45:00,270.25,270.30,270.10,270.30,3006
COALINDIA,2018-03-21,11:46:00,270.25,270.40,270.20,270.35,1149
COALINDIA,2018-03-21,11:47:00,270.35,270.40,270.25,270.35,3754
COALINDIA,2018-03-21,11:48:00,270.35,270.35,270.20,270.20,3315
COALINDIA,2018-03-21,11:49:00,270.30,270.30,270.05,270.05,1911
COALINDIA,2018-03-21,11:50:00,270.20,270.65,270.20,270.50,10896
COALINDIA,2018-03-21,11:51:00,270.50,270.60,270.50,270.60,1573
COALINDIA,2018-03-21,11:52:00,270.60,270.65,270.50,270.60,5334
COALINDIA,2018-03-21,11:53:00,270.65,270.65,270.45,270.60,2646
COALINDIA,2018-03-21,11:54:00,270.60,270.60,270.40,270.40,1440
COALINDIA,2018-03-21,11:55:00,270.50,270.60,270.40,270.45,6264
COALINDIA,2018-03-21,11:56:00,270.45,270.45,270.20,270.30,1626
COALINDIA,2018-03-21,11:57:00,270.40,270.40,270.20,270.25,3126
COALINDIA,2018-03-21,11:58:00,270.30,270.30,270.05,270.05,2318
COALINDIA,2018-03-21,11:59:00,270.25,270.25,270.05,270.15,1460
COALINDIA,2018-03-21,12:00:00,270.15,270.15,270.05,270.05,1978
COALINDIA,2018-03-21,12:01:00,270.10,270.20,270.00,270.10,5773
COALINDIA,2018-03-21,12:02:00,270.10,270.15,270.05,270.05,1875
COALINDIA,2018-03-21,12:03:00,270.05,270.15,270.05,270.10,3598
COALINDIA,2018-03-21,12:04:00,270.10,270.15,270.05,270.05,2647
COALINDIA,2018-03-21,12:05:00,270.10,270.10,270.05,270.05,1953
COALINDIA,2018-03-21,12:06:00,270.10,270.15,270.05,270.10,3260
COALINDIA,2018-03-21,12:07:00,270.05,270.15,270.00,270.10,4356
COALINDIA,2018-03-21,12:08:00,270.05,270.10,270.05,270.10,2222
COALINDIA,2018-03-21,12:09:00,270.10,270.35,270.05,270.25,5505
COALINDIA,2018-03-21,12:10:00,270.30,270.40,270.20,270.25,2256
COALINDIA,2018-03-21,12:11:00,270.25,270.25,270.00,270.00,3063
COALINDIA,2018-03-21,12:12:00,270.05,270.10,270.00,270.05,1549
COALINDIA,2018-03-21,12:13:00,270.05,270.20,270.00,270.00,2288
COALINDIA,2018-03-21,12:14:00,270.10,270.30,270.05,270.20,2548
COALINDIA,2018-03-21,12:15:00,270.15,270.25,270.15,270.25,1532
COALINDIA,2018-03-21,12:16:00,270.20,270.20,270.15,270.15,1203
COALINDIA,2018-03-21,12:17:00,270.20,270.25,270.10,270.10,1237
COALINDIA,2018-03-21,12:18:00,270.10,270.10,270.00,270.00,2560
COALINDIA,2018-03-21,12:19:00,270.05,270.10,270.05,270.10,1789
COALINDIA,2018-03-21,12:20:00,270.10,270.10,270.05,270.10,577
COALINDIA,2018-03-21,12:21:00,270.05,270.10,269.90,270.00,9178
COALINDIA,2018-03-21,12:22:00,270.00,270.00,269.65,269.85,14781
COALINDIA,2018-03-21,12:23:00,270.00,270.00,269.80,269.90,1565
COALINDIA,2018-03-21,12:24:00,269.90,270.00,269.85,270.00,5983
COALINDIA,2018-03-21,12:25:00,270.00,270.05,270.00,270.00,3492
COALINDIA,2018-03-21,12:26:00,270.00,270.05,269.75,270.00,8600
COALINDIA,2018-03-21,12:27:00,270.05,270.05,270.00,270.00,4327
COALINDIA,2018-03-21,12:28:00,270.05,270.05,270.00,270.05,2908
COALINDIA,2018-03-21,12:29:00,270.05,270.20,270.00,270.00,8144
COALINDIA,2018-03-21,12:30:00,270.00,270.15,270.00,270.00,4182
COALINDIA,2018-03-21,12:31:00,270.00,270.05,270.00,270.00,5910
COALINDIA,2018-03-21,12:32:00,270.05,270.05,270.00,270.00,5778
COALINDIA,2018-03-21,12:33:00,270.05,270.05,270.00,270.00,14533
COALINDIA,2018-03-21,12:34:00,270.05,270.05,270.00,270.00,3122
COALINDIA,2018-03-21,12:35:00,270.05,270.10,270.00,270.10,3002
COALINDIA,2018-03-21,12:36:00,270.10,270.25,270.10,270.10,5162
COALINDIA,2018-03-21,12:37:00,270.10,270.15,270.10,270.15,1634
COALINDIA,2018-03-21,12:38:00,270.15,270.15,270.00,270.00,3099
COALINDIA,2018-03-21,12:39:00,270.05,270.15,270.00,270.05,1429
COALINDIA,2018-03-21,12:40:00,270.10,270.15,270.00,270.10,8262
COALINDIA,2018-03-21,12:41:00,270.20,270.20,270.00,270.00,3235
COALINDIA,2018-03-21,12:42:00,270.05,270.20,270.00,270.00,7740
COALINDIA,2018-03-21,12:43:00,270.05,270.10,270.00,270.05,1946
COALINDIA,2018-03-21,12:44:00,270.05,270.05,270.00,270.05,3005
COALINDIA,2018-03-21,12:45:00,270.05,270.10,270.00,270.00,14109
COALINDIA,2018-03-21,12:46:00,270.05,270.05,270.00,270.05,2517
COALINDIA,2018-03-21,12:47:00,270.05,270.10,270.00,270.00,2586
COALINDIA,2018-03-21,12:48:00,270.05,270.10,270.00,270.05,3967
COALINDIA,2018-03-21,12:49:00,270.05,270.10,270.00,270.00,2259
COALINDIA,2018-03-21,12:50:00,270.00,270.10,270.00,270.00,1308
COALINDIA,2018-03-21,12:51:00,270.05,270.05,270.00,270.00,3140
COALINDIA,2018-03-21,12:52:00,270.05,270.05,270.00,270.00,3354
COALINDIA,2018-03-21,12:53:00,270.05,270.15,270.00,270.05,3164
COALINDIA,2018-03-21,12:54:00,270.05,270.15,270.00,270.00,1354
COALINDIA,2018-03-21,12:55:00,270.05,270.10,270.00,270.05,2614
COALINDIA,2018-03-21,12:56:00,270.10,270.10,270.00,270.00,9787
COALINDIA,2018-03-21,12:57:00,270.05,270.05,270.00,270.00,2602
COALINDIA,2018-03-21,12:58:00,270.05,270.05,270.00,270.05,3567
COALINDIA,2018-03-21,12:59:00,270.05,270.05,269.90,270.05,4087
COALINDIA,2018-03-21,13:00:00,270.05,270.05,270.00,270.00,3420
COALINDIA,2018-03-21,13:01:00,270.05,270.05,270.00,270.00,1233
COALINDIA,2018-03-21,13:02:00,270.05,270.10,270.00,270.10,5352
COALINDIA,2018-03-21,13:03:00,270.10,270.45,270.00,270.30,4847
COALINDIA,2018-03-21,13:04:00,270.35,270.35,270.05,270.05,2200
COALINDIA,2018-03-21,13:05:00,270.10,270.30,270.10,270.25,2438
COALINDIA,2018-03-21,13:06:00,270.25,270.25,270.10,270.10,1821
COALINDIA,2018-03-21,13:07:00,270.10,270.15,270.00,270.10,1494
COALINDIA,2018-03-21,13:08:00,270.15,270.20,270.05,270.05,838
COALINDIA,2018-03-21,13:09:00,270.15,270.15,270.05,270.10,4329
COALINDIA,2018-03-21,13:10:00,270.15,270.20,270.10,270.10,3006
COALINDIA,2018-03-21,13:11:00,270.15,270.15,270.10,270.10,4532
COALINDIA,2018-03-21,13:12:00,270.05,270.10,270.00,270.00,4397
COALINDIA,2018-03-21,13:13:00,270.05,270.10,270.00,270.00,3806
COALINDIA,2018-03-21,13:14:00,270.00,270.05,270.00,270.00,6265
COALINDIA,2018-03-21,13:15:00,270.00,270.10,270.00,270.05,6852
COALINDIA,2018-03-21,13:16:00,270.05,270.10,270.00,270.05,1923
COALINDIA,2018-03-21,13:17:00,270.05,270.05,270.00,270.05,1332
COALINDIA,2018-03-21,13:18:00,270.15,270.20,269.90,270.00,3488
COALINDIA,2018-03-21,13:19:00,270.05,270.05,270.00,270.05,2802
COALINDIA,2018-03-21,13:20:00,270.05,270.15,270.00,270.15,4370
COALINDIA,2018-03-21,13:21:00,270.25,270.25,270.00,270.05,3566
COALINDIA,2018-03-21,13:22:00,270.20,270.20,270.05,270.05,2659
COALINDIA,2018-03-21,13:23:00,270.10,270.15,270.05,270.15,1953
