symbol,date,time,open,high,low,close,volume
DRREDDY,2018-03-21,09:15:00,2168.80,2168.80,2168.80,2168.80,111
DRREDDY,2018-03-21,09:16:00,2168.80,2169.90,2165.50,2168.55,3429
DRREDDY,2018-03-21,09:17:00,2166.95,2168.90,2165.30,2167.20,3752
DRREDDY,2018-03-21,09:18:00,2167.80,2168.00,2165.00,2166.60,1261
DRREDDY,2018-03-21,09:19:00,2167.75,2169.00,2165.60,2166.50,1476
DRREDDY,2018-03-21,09:20:00,2166.80,2167.00,2165.00,2167.00,2372
DRREDDY,2018-03-21,09:21:00,2165.30,2167.15,2165.00,2165.00,991
DRREDDY,2018-03-21,09:22:00,2165.50,2165.50,2157.00,2160.00,4265
DRREDDY,2018-03-21,09:23:00,2160.25,2160.25,2158.00,2158.00,1518
DRREDDY,2018-03-21,09:24:00,2158.00,2160.25,2158.00,2159.45,1127
DRREDDY,2018-03-21,09:25:00,2160.15,2160.90,2158.00,2160.90,2403
DRREDDY,2018-03-21,09:26:00,2160.90,2160.90,2159.10,2159.10,1033
DRREDDY,2018-03-21,09:27:00,2159.00,2160.00,2159.00,2159.00,1158
DRREDDY,2018-03-21,09:28:00,2158.00,2160.00,2156.70,2156.70,1036
DRREDDY,2018-03-21,09:29:00,2157.55,2160.00,2156.00,2158.05,2231
DRREDDY,2018-03-21,09:30:00,2158.05,2160.70,2158.00,2159.60,2496
DRREDDY,2018-03-21,09:31:00,2159.00,2160.90,2158.05,2158.25,536
DRREDDY,2018-03-21,09:32:00,2158.70,2160.00,2158.60,2159.15,507
DRREDDY,2018-03-21,09:33:00,2158.15,2160.15,2158.10,2160.15,479
DRREDDY,2018-03-21,09:34:00,2160.15,2166.00,2160.15,2165.00,2168
DRREDDY,2018-03-21,09:35:00,2164.00,2166.00,2164.00,2164.80,653
DRREDDY,2018-03-21,09:36:00,2164.65,2165.75,2162.40,2163.75,902
DRREDDY,2018-03-21,09:37:00,2162.90,2164.40,2162.55,2162.55,866
DRREDDY,2018-03-21,09:38:00,2162.50,2163.00,2162.00,2162.10,709
DRREDDY,2018-03-21,09:39:00,2162.00,2163.00,2160.10,2161.10,1573
DRREDDY,2018-03-21,09:40:00,2161.05,2161.15,2159.85,2159.85,868
DRREDDY,2018-03-21,09:41:00,2159.10,2163.00,2159.00,2163.00,717
DRREDDY,2018-03-21,09:42:00,2161.50,2163.70,2160.15,2162.80,336
DRREDDY,2018-03-21,09:43:00,2161.90,2162.65,2160.45,2160.50,308
DRREDDY,2018-03-21,09:44:00,2160.85,2162.25,2160.85,2162.25,415
DRREDDY,2018-03-21,09:45:00,2161.00,2165.60,2161.00,2165.00,1079
DRREDDY,2018-03-21,09:46:00,2163.90,2165.35,2163.90,2165.00,1332
DRREDDY,2018-03-21,09:47:00,2164.40,2164.65,2162.50,2163.20,1126
DRREDDY,2018-03-21,09:48:00,2164.00,2164.90,2164.00,2164.90,159
DRREDDY,2018-03-21,09:49:00,2164.20,2164.20,2163.00,2163.75,839
DRREDDY,2018-03-21,09:50:00,2163.30,2164.00,2163.05,2164.00,348
DRREDDY,2018-03-21,09:51:00,2163.60,2164.85,2162.55,2163.05,865
DRREDDY,2018-03-21,09:52:00,2163.10,2164.70,2163.10,2164.10,366
DRREDDY,2018-03-21,09:53:00,2164.10,2164.30,2163.20,2164.00,335
DRREDDY,2018-03-21,09:54:00,2163.70,2164.70,2163.70,2164.70,190
DRREDDY,2018-03-21,09:55:00,2164.60,2169.30,2164.60,2167.00,3515
DRREDDY,2018-03-21,09:56:00,2167.25,2168.15,2165.05,2166.00,1202
DRREDDY,2018-03-21,09:57:00,2165.65,2166.95,2165.65,2166.75,596
DRREDDY,2018-03-21,09:58:00,2166.75,2166.75,2164.90,2165.70,674
DRREDDY,2018-03-21,09:59:00,2166.00,2169.00,2166.00,2167.50,315
DRREDDY,2018-03-21,10:00:00,2169.00,2169.00,2168.40,2168.70,513
DRREDDY,2018-03-21,10:01:00,2169.00,2169.50,2168.40,2169.00,843
DRREDDY,2018-03-21,10:02:00,2168.60,2171.70,2168.60,2171.70,1400
DRREDDY,2018-03-21,10:03:00,2172.95,2173.80,2169.30,2171.00,2929
DRREDDY,2018-03-21,10:04:00,2170.35,2171.75,2168.10,2170.95,814
DRREDDY,2018-03-21,10:05:00,2169.85,2170.95,2168.10,2168.15,286
DRREDDY,2018-03-21,10:06:00,2169.45,2169.45,2165.60,2167.90,875
DRREDDY,2018-03-21,10:07:00,2167.90,2169.10,2167.00,2167.00,734
DRREDDY,2018-03-21,10:08:00,2167.00,2170.00,2167.00,2169.85,823
DRREDDY,2018-03-21,10:09:00,2168.30,2169.40,2168.30,2168.55,102
DRREDDY,2018-03-21,10:10:00,2168.55,2169.40,2168.55,2169.40,744
DRREDDY,2018-03-21,10:11:00,2169.25,2169.90,2169.10,2169.80,382
DRREDDY,2018-03-21,10:12:00,2169.60,2169.85,2168.20,2168.20,528
DRREDDY,2018-03-21,10:13:00,2168.20,2168.50,2168.00,2168.50,227
DRREDDY,2018-03-21,10:14:00,2167.50,2170.00,2167.50,2170.00,742
DRREDDY,2018-03-21,10:15:00,2169.40,2170.80,2167.95,2170.75,691
DRREDDY,2018-03-21,10:17:00,2169.50,2170.00,2169.50,2169.50,258
DRREDDY,2018-03-21,10:18:00,2168.50,2170.00,2168.50,2168.55,1140
DRREDDY,2018-03-21,10:19:00,2168.55,2169.00,2167.95,2167.95,1047
DRREDDY,2018-03-21,10:20:00,2168.00,2168.95,2166.50,2168.00,2003
DRREDDY,2018-03-21,10:21:00,2167.95,2169.60,2167.75,2169.00,1052
DRREDDY,2018-03-21,10:22:00,2168.05,2168.40,2168.05,2168.10,239
DRREDDY,2018-03-21,10:23:00,2168.10,2168.10,2167.00,2167.35,724
DRREDDY,2018-03-21,10:24:00,2167.30,2167.65,2167.05,2167.65,527
DRREDDY,2018-03-21,10:25:00,2167.50,2167.50,2165.25,2165.25,1200
DRREDDY,2018-03-21,10:26:00,2166.00,2169.70,2165.25,2167.75,2657
DRREDDY,2018-03-21,10:27:00,2167.70,2170.00,2167.70,2170.00,2914
DRREDDY,2018-03-21,10:28:00,2170.00,2171.50,2170.00,2171.50,909
DRREDDY,2018-03-21,10:29:00,2170.65,2173.00,2170.65,2173.00,2486
DRREDDY,2018-03-21,10:30:00,2172.85,2175.00,2172.85,2175.00,2481
DRREDDY,2018-03-21,10:31:00,2173.90,2174.55,2173.00,2173.80,1750
DRREDDY,2018-03-21,10:32:00,2173.30,2174.55,2173.15,2174.55,1471
DRREDDY,2018-03-21,10:33:00,2174.00,2179.55,2173.80,2177.15,7348
DRREDDY,2018-03-21,10:34:00,2176.15,2176.15,2174.75,2175.15,687
DRREDDY,2018-03-21,10:35:00,2174.45,2174.65,2172.65,2173.45,772
DRREDDY,2018-03-21,10:36:00,2173.90,2175.50,2173.00,2173.55,1037
DRREDDY,2018-03-21,10:37:00,2173.25,2174.00,2173.10,2173.55,303
DRREDDY,2018-03-21,10:38:00,2173.55,2174.70,2173.55,2174.00,237
DRREDDY,2018-03-21,10:39:00,2174.00,2174.40,2174.00,2174.40,317
DRREDDY,2018-03-21,10:40:00,2174.10,2174.40,2173.55,2173.95,1691
DRREDDY,2018-03-21,10:41:00,2173.95,2174.90,2173.95,2174.90,383
DRREDDY,2018-03-21,10:42:00,2174.50,2174.85,2174.50,2174.65,321
DRREDDY,2018-03-21,10:43:00,2174.50,2174.85,2174.50,2174.65,192
DRREDDY,2018-03-21,10:44:00,2174.65,2175.80,2174.65,2175.55,594
DRREDDY,2018-03-21,10:45:00,2175.70,2175.80,2175.50,2175.65,206
DRREDDY,2018-03-21,10:46:00,2175.50,2175.75,2173.10,2174.25,735
DRREDDY,2018-03-21,10:47:00,2173.70,2174.25,2173.70,2174.00,100
DRREDDY,2018-03-21,10:48:00,2174.00,2174.00,2173.00,2173.00,255
DRREDDY,2018-03-21,10:49:00,2173.00,2173.00,2172.05,2172.15,628
DRREDDY,2018-03-21,10:50:00,2172.15,2172.55,2171.40,2171.40,441
DRREDDY,2018-03-21,10:51:00,2171.10,2171.15,2170.00,2170.00,410
DRREDDY,2018-03-21,10:52:00,2170.35,2170.75,2170.00,2170.65,402
DRREDDY,2018-03-21,10:53:00,2170.00,2170.00,2168.00,2168.00,316
DRREDDY,2018-03-21,10:54:00,2168.00,2168.45,2165.00,2166.10,1202
DRREDDY,2018-03-21,10:55:00,2166.55,2168.25,2166.50,2167.85,440
DRREDDY,2018-03-21,10:56:00,2167.80,2168.95,2167.80,2168.95,555
DRREDDY,2018-03-21,10:57:00,2168.95,2169.80,2168.95,2169.80,395
DRREDDY,2018-03-21,10:58:00,2169.65,2169.80,2169.35,2169.70,298
DRREDDY,2018-03-21,10:59:00,2169.25,2169.95,2169.20,2169.85,422
DRREDDY,2018-03-21,11:00:00,2169.40,2170.80,2169.40,2170.65,1443
DRREDDY,2018-03-21,11:01:00,2170.80,2172.40,2170.70,2170.70,590
DRREDDY,2018-03-21,11:02:00,2170.15,2172.50,2168.70,2170.80,726
DRREDDY,2018-03-21,11:03:00,2170.35,2170.45,2169.50,2170.45,187
DRREDDY,2018-03-21,11:04:00,2170.45,2170.45,2169.55,2169.65,267
DRREDDY,2018-03-21,11:05:00,2169.65,2169.65,2169.00,2169.00,201
DRREDDY,2018-03-21,11:06:00,2168.70,2169.00,2166.00,2166.50,750
DRREDDY,2018-03-21,11:07:00,2166.30,2166.50,2165.20,2165.20,2287
DRREDDY,2018-03-21,11:08:00,2165.10,2165.10,2163.35,2164.50,2181
DRREDDY,2018-03-21,11:09:00,2164.50,2165.00,2163.40,2164.60,1363
DRREDDY,2018-03-21,11:10:00,2164.80,2164.80,2162.00,2162.00,2470
