symbol,date,time,open,high,low,close,volume
EICHERMOT,2018-03-21,09:16:00,28380.05,28480.90,28210.00,28300.00,345
EICHERMOT,2018-03-21,09:17:00,28301.35,28337.40,28301.35,28314.10,130
EICHERMOT,2018-03-21,09:18:00,28307.85,28313.65,28257.10,28257.10,294
EICHERMOT,2018-03-21,09:19:00,28282.60,28292.30,28228.50,28281.45,302
EICHERMOT,2018-03-21,09:20:00,28290.60,28299.10,28266.60,28266.60,92
EICHERMOT,2018-03-21,09:21:00,28285.05,28289.35,28214.00,28214.00,114
EICHERMOT,2018-03-21,09:22:00,28218.65,28236.05,28208.95,28208.95,155
EICHERMOT,2018-03-21,09:23:00,28213.15,28219.95,28150.50,28154.95,169
EICHERMOT,2018-03-21,09:24:00,28175.35,28193.85,28153.65,28188.35,118
EICHERMOT,2018-03-21,09:25:00,28180.00,28180.00,28153.00,28167.40,118
EICHERMOT,2018-03-21,09:26:00,28153.00,28173.35,28115.85,28115.85,300
EICHERMOT,2018-03-21,09:27:00,28120.60,28132.30,28110.00,28111.00,137
EICHERMOT,2018-03-21,09:28:00,28111.00,28125.00,28109.75,28110.30,145
EICHERMOT,2018-03-21,09:29:00,28110.30,28128.00,28110.00,28120.15,50
EICHERMOT,2018-03-21,09:30:00,28110.00,28130.00,28110.00,28119.45,72
EICHERMOT,2018-03-21,09:31:00,28124.70,28187.70,28119.40,28185.80,210
EICHERMOT,2018-03-21,09:32:00,28196.95,28196.95,28151.80,28151.80,100
EICHERMOT,2018-03-21,09:33:00,28150.10,28169.60,28150.00,28152.00,109
EICHERMOT,2018-03-21,09:34:00,28164.80,28178.00,28158.40,28174.95,82
EICHERMOT,2018-03-21,09:35:00,28174.95,28174.95,28158.00,28166.00,90
EICHERMOT,2018-03-21,09:36:00,28157.80,28174.50,28135.00,28135.00,46
EICHERMOT,2018-03-21,09:37:00,28150.10,28150.10,28135.00,28136.60,92
EICHERMOT,2018-03-21,09:38:00,28135.00,28137.40,28130.00,28130.00,39
EICHERMOT,2018-03-21,09:39:00,28130.00,28130.00,28101.00,28101.00,181
EICHERMOT,2018-03-21,09:40:00,28103.10,28103.10,28021.05,28049.40,302
EICHERMOT,2018-03-21,09:41:00,28049.40,28055.10,28032.65,28050.05,88
