symbol,date,time,open,high,low,close,volume
HDFC,2018-03-21,09:16:00,1817.95,1817.95,1805.35,1806.00,34791
HDFC,2018-03-21,09:17:00,1806.00,1807.00,1805.40,1806.40,14243
HDFC,2018-03-21,09:18:00,1806.30,1809.60,1806.30,1809.00,12478
HDFC,2018-03-21,09:19:00,1809.05,1810.50,1808.55,1810.05,20482
HDFC,2018-03-21,09:20:00,1810.15,1812.80,1810.15,1812.00,15836
HDFC,2018-03-21,09:21:00,1812.00,1812.00,1809.05,1809.10,18658
HDFC,2018-03-21,09:22:00,1809.20,1809.50,1804.05,1805.75,49933
HDFC,2018-03-21,09:23:00,1805.95,1808.15,1804.95,1808.15,36542
HDFC,2018-03-21,09:24:00,1808.00,1808.70,1807.00,1807.50,11085
HDFC,2018-03-21,09:25:00,1807.70,1809.20,1807.50,1808.90,9880
HDFC,2018-03-21,09:26:00,1808.80,1809.20,1808.50,1808.70,13912
HDFC,2018-03-21,09:27:00,1808.70,1809.55,1808.65,1809.35,6121
HDFC,2018-03-21,09:28:00,1809.20,1809.55,1809.00,1809.20,4481
HDFC,2018-03-21,09:29:00,1809.20,1809.90,1809.00,1809.35,5825
HDFC,2018-03-21,09:30:00,1809.30,1809.70,1808.60,1809.35,5319
HDFC,2018-03-21,09:31:00,1808.60,1809.35,1808.30,1808.90,4297
HDFC,2018-03-21,09:32:00,1808.50,1808.85,1807.60,1807.60,4783
HDFC,2018-03-21,09:33:00,1807.75,1808.00,1806.30,1807.30,5261
HDFC,2018-03-21,09:34:00,1807.50,1807.85,1807.25,1807.45,5249
HDFC,2018-03-21,09:35:00,1807.45,1807.80,1807.30,1807.80,4767
HDFC,2018-03-21,09:36:00,1807.80,1808.35,1807.35,1808.25,5626
HDFC,2018-03-21,09:37:00,1807.70,1808.05,1807.25,1808.00,7233
HDFC,2018-03-21,09:38:00,1808.00,1808.50,1807.85,1808.00,5309
HDFC,2018-03-21,09:39:00,1808.15,1808.95,1808.00,1808.95,7520
HDFC,2018-03-21,09:40:00,1808.95,1809.95,1808.95,1809.95,7315
HDFC,2018-03-21,09:41:00,1809.95,1811.50,1809.95,1811.50,13939
HDFC,2018-03-21,09:42:00,1811.65,1812.00,1811.45,1811.90,5118
HDFC,2018-03-21,09:43:00,1811.95,1812.50,1811.05,1811.55,10469
HDFC,2018-03-21,09:44:00,1811.55,1813.95,1811.45,1813.95,9262
HDFC,2018-03-21,09:45:00,1813.95,1815.00,1812.90,1813.00,12064
HDFC,2018-03-21,09:46:00,1812.25,1813.00,1812.00,1812.85,5537
HDFC,2018-03-21,09:47:00,1812.95,1814.90,1812.95,1814.75,4629
HDFC,2018-03-21,09:48:00,1814.85,1815.80,1813.55,1815.80,7804
HDFC,2018-03-21,09:49:00,1815.80,1816.65,1815.50,1815.80,5400
HDFC,2018-03-21,09:50:00,1816.15,1817.60,1815.90,1817.25,10264
HDFC,2018-03-21,09:51:00,1817.00,1817.75,1817.00,1817.25,5777
HDFC,2018-03-21,09:52:00,1817.60,1818.00,1817.50,1817.95,9163
HDFC,2018-03-21,09:53:00,1818.00,1818.00,1817.65,1817.65,5401
HDFC,2018-03-21,09:54:00,1817.85,1817.90,1817.55,1817.60,3623
HDFC,2018-03-21,09:55:00,1817.70,1818.00,1817.70,1818.00,8506
HDFC,2018-03-21,09:56:00,1818.00,1818.90,1817.95,1818.90,4491
HDFC,2018-03-21,09:57:00,1818.75,1820.00,1818.75,1819.85,12767
HDFC,2018-03-21,09:58:00,1820.00,1821.95,1819.85,1821.90,16579
HDFC,2018-03-21,09:59:00,1822.00,1824.00,1821.90,1823.65,10252
HDFC,2018-03-21,10:00:00,1823.85,1824.00,1823.00,1823.90,8365
HDFC,2018-03-21,10:01:00,1824.60,1825.80,1824.60,1825.10,16954
HDFC,2018-03-21,10:02:00,1825.80,1827.15,1825.00,1826.50,13197
HDFC,2018-03-21,10:03:00,1826.20,1827.20,1825.30,1826.50,24514
HDFC,2018-03-21,10:04:00,1826.50,1827.00,1826.25,1827.00,9988
HDFC,2018-03-21,10:05:00,1827.20,1827.80,1826.85,1826.85,6844
HDFC,2018-03-21,10:06:00,1826.95,1827.45,1826.00,1826.00,5232
HDFC,2018-03-21,10:07:00,1826.10,1826.40,1824.50,1824.50,5350
HDFC,2018-03-21,10:08:00,1824.60,1825.00,1823.55,1824.60,5285
HDFC,2018-03-21,10:09:00,1824.80,1824.80,1824.15,1824.80,7930
HDFC,2018-03-21,10:10:00,1824.80,1824.80,1824.60,1824.75,6642
HDFC,2018-03-21,10:11:00,1824.80,1826.00,1824.80,1825.40,11476
HDFC,2018-03-21,10:12:00,1825.50,1825.85,1825.00,1825.50,5007
HDFC,2018-03-21,10:13:00,1825.50,1825.70,1825.05,1825.70,3633
HDFC,2018-03-21,10:14:00,1825.70,1825.70,1825.05,1825.45,5798
HDFC,2018-03-21,10:15:00,1825.45,1826.50,1825.40,1826.35,5877
HDFC,2018-03-21,10:16:00,1826.45,1827.00,1826.45,1826.80,7037
HDFC,2018-03-21,10:17:00,1826.90,1827.50,1826.90,1827.05,5724
HDFC,2018-03-21,10:18:00,1827.05,1829.50,1827.05,1829.25,21472
HDFC,2018-03-21,10:19:00,1829.25,1829.75,1828.50,1828.90,8487
HDFC,2018-03-21,10:20:00,1829.40,1829.80,1828.55,1829.65,6869
HDFC,2018-03-21,10:21:00,1829.00,1830.00,1829.00,1829.15,12594
HDFC,2018-03-21,10:22:00,1829.10,1829.65,1827.75,1829.15,14458
HDFC,2018-03-21,10:23:00,1829.15,1829.80,1828.50,1829.00,8449
HDFC,2018-03-21,10:24:00,1828.95,1829.85,1828.75,1829.20,3871
HDFC,2018-03-21,10:25:00,1829.90,1830.05,1829.00,1829.45,4412
HDFC,2018-03-21,10:26:00,1829.45,1830.00,1829.40,1829.95,7679
HDFC,2018-03-21,10:27:00,1830.00,1830.30,1829.20,1829.80,8724
HDFC,2018-03-21,10:28:00,1829.80,1830.00,1829.75,1829.95,7795
HDFC,2018-03-21,10:29:00,1830.00,1830.40,1829.55,1830.10,5286
HDFC,2018-03-21,10:30:00,1830.00,1830.10,1829.85,1829.90,4459
HDFC,2018-03-21,10:31:00,1829.95,1830.10,1829.95,1830.10,3723
HDFC,2018-03-21,10:32:00,1830.10,1830.10,1829.80,1829.80,5758
HDFC,2018-03-21,10:33:00,1829.80,1829.90,1829.50,1829.90,5555
