symbol,date,time,open,high,low,close,volume
HDFCBANK,2018-03-21,09:16:00,1847.30,1848.60,1845.15,1846.80,7832
HDFCBANK,2018-03-21,09:17:00,1846.15,1846.75,1844.05,1844.70,5852
HDFCBANK,2018-03-21,09:18:00,1844.70,1847.35,1844.70,1846.30,3327
HDFCBANK,2018-03-21,09:19:00,1847.75,1848.40,1846.05,1846.90,8782
HDFCBANK,2018-03-21,09:20:00,1846.30,1848.95,1846.30,1848.95,5145
HDFCBANK,2018-03-21,09:21:00,1848.90,1848.95,1847.05,1847.50,3510
HDFCBANK,2018-03-21,09:22:00,1847.50,1848.45,1847.40,1847.40,3324
HDFCBANK,2018-03-21,09:23:00,1848.45,1850.00,1847.90,1849.95,648
HDFCBANK,2018-03-21,09:24:00,1849.60,1851.00,1849.60,1851.00,1962
HDFCBANK,2018-03-21,09:25:00,1850.80,1850.80,1849.55,1850.25,1155
HDFCBANK,2018-03-21,09:26:00,1850.25,1850.90,1850.00,1850.00,1071
HDFCBANK,2018-03-21,09:27:00,1850.00,1850.00,1847.50,1848.00,1042
HDFCBANK,2018-03-21,09:28:00,1847.40,1848.20,1847.35,1847.90,671
HDFCBANK,2018-03-21,09:29:00,1847.95,1848.65,1847.35,1848.45,1569
HDFCBANK,2018-03-21,09:30:00,1848.50,1849.90,1848.05,1849.10,1130
HDFCBANK,2018-03-21,09:31:00,1848.20,1849.50,1848.20,1849.50,659
HDFCBANK,2018-03-21,09:32:00,1849.00,1849.00,1848.25,1848.75,413
HDFCBANK,2018-03-21,09:33:00,1848.75,1848.95,1847.60,1848.70,944
HDFCBANK,2018-03-21,09:34:00,1848.20,1849.15,1847.65,1848.25,1620
HDFCBANK,2018-03-21,09:35:00,1849.20,1849.35,1848.75,1849.00,411
HDFCBANK,2018-03-21,09:36:00,1849.20,1850.00,1848.15,1848.30,3803
HDFCBANK,2018-03-21,09:37:00,1848.30,1849.20,1848.20,1849.20,1797
HDFCBANK,2018-03-21,09:38:00,1848.75,1848.85,1847.25,1847.25,2143
HDFCBANK,2018-03-21,09:39:00,1847.25,1848.45,1847.25,1847.60,1107
HDFCBANK,2018-03-21,09:40:00,1848.30,1848.95,1848.00,1848.95,1390
HDFCBANK,2018-03-21,09:41:00,1848.85,1849.90,1848.85,1849.75,2200
HDFCBANK,2018-03-21,09:42:00,1849.50,1850.00,1849.30,1850.00,2432
