symbol,date,time,open,high,low,close,volume
HEROMOTOCO,2018-03-21,09:16:00,3528.90,3528.90,3513.80,3514.00,762
HEROMOTOCO,2018-03-21,09:17:00,3515.05,3515.05,3511.00,3511.10,1270
HEROMOTOCO,2018-03-21,09:18:00,3511.10,3515.05,3511.00,3511.90,1171
HEROMOTOCO,2018-03-21,09:19:00,3515.00,3515.00,3509.00,3509.00,1152
HEROMOTOCO,2018-03-21,09:20:00,3509.00,3509.45,3503.75,3505.30,1700
HEROMOTOCO,2018-03-21,09:21:00,3505.10,3505.30,3500.00,3500.50,2012
HEROMOTOCO,2018-03-21,09:22:00,3500.50,3502.70,3498.05,3498.20,4139
HEROMOTOCO,2018-03-21,09:23:00,3498.75,3498.75,3494.10,3496.20,931
HEROMOTOCO,2018-03-21,09:24:00,3496.00,3506.80,3495.00,3498.35,3169
HEROMOTOCO,2018-03-21,09:25:00,3498.35,3500.00,3496.00,3500.00,1901
HEROMOTOCO,2018-03-21,09:26:00,3500.00,3503.45,3497.45,3498.55,1288
HEROMOTOCO,2018-03-21,09:27:00,3498.10,3500.00,3497.30,3498.50,2535
HEROMOTOCO,2018-03-21,09:28:00,3498.50,3498.65,3497.40,3498.00,2048
HEROMOTOCO,2018-03-21,09:29:00,3498.00,3500.80,3498.00,3500.75,1206
HEROMOTOCO,2018-03-21,09:30:00,3500.20,3500.75,3498.65,3500.75,1738
HEROMOTOCO,2018-03-21,09:31:00,3500.75,3502.80,3500.00,3501.20,1836
HEROMOTOCO,2018-03-21,09:32:00,3501.20,3503.95,3501.20,3501.75,1643
HEROMOTOCO,2018-03-21,09:33:00,3501.75,3502.00,3500.00,3500.30,3139
HEROMOTOCO,2018-03-21,09:34:00,3500.30,3500.95,3500.00,3500.80,1598
HEROMOTOCO,2018-03-21,09:35:00,3500.75,3501.80,3500.50,3500.70,1789
HEROMOTOCO,2018-03-21,09:36:00,3500.70,3501.60,3500.70,3501.20,1218
HEROMOTOCO,2018-03-21,09:37:00,3501.25,3501.25,3501.00,3501.00,1196
HEROMOTOCO,2018-03-21,09:38:00,3500.80,3500.80,3500.00,3500.05,1341
HEROMOTOCO,2018-03-21,09:39:00,3500.00,3500.05,3499.50,3499.50,1810
HEROMOTOCO,2018-03-21,09:40:00,3499.90,3499.90,3497.30,3497.40,2672
HEROMOTOCO,2018-03-21,09:41:00,3497.40,3504.75,3497.35,3500.05,3890
HEROMOTOCO,2018-03-21,09:42:00,3501.50,3501.50,3500.20,3500.45,963
HEROMOTOCO,2018-03-21,09:43:00,3500.50,3500.50,3497.50,3497.55,981
HEROMOTOCO,2018-03-21,09:44:00,3497.55,3497.75,3497.15,3497.55,1828
HEROMOTOCO,2018-03-21,09:45:00,3497.55,3499.90,3497.45,3499.60,1585
HEROMOTOCO,2018-03-21,09:46:00,3499.30,3499.30,3498.35,3499.10,896
HEROMOTOCO,2018-03-21,09:47:00,3499.85,3500.90,3499.20,3499.50,662
