symbol,date,time,open,high,low,close,volume
HINDALCO,2018-03-21,09:16:00,218.20,219.50,218.20,219.50,76213
HINDALCO,2018-03-21,09:17:00,219.35,219.70,218.40,218.40,53285
HINDALCO,2018-03-21,09:18:00,218.50,218.55,218.10,218.30,48665
HINDALCO,2018-03-21,09:19:00,218.35,218.35,218.00,218.20,29386
HINDALCO,2018-03-21,09:20:00,218.25,218.85,218.00,218.80,45568
HINDALCO,2018-03-21,09:21:00,218.95,218.95,218.40,218.40,27918
HINDALCO,2018-03-21,09:22:00,218.50,218.60,218.00,218.05,22080
HINDALCO,2018-03-21,09:23:00,218.05,218.05,217.70,217.95,42455
HINDALCO,2018-03-21,09:24:00,218.00,218.20,217.70,217.90,18966
HINDALCO,2018-03-21,09:25:00,217.60,217.60,217.20,217.30,61122
HINDALCO,2018-03-21,09:26:00,217.30,217.35,216.40,216.85,82368
HINDALCO,2018-03-21,09:27:00,216.90,217.50,216.70,217.35,26067
HINDALCO,2018-03-21,09:28:00,217.45,217.95,217.40,217.75,20378
HINDALCO,2018-03-21,09:29:00,217.80,218.55,217.80,217.95,92011
HINDALCO,2018-03-21,09:30:00,218.00,218.00,217.20,217.40,83664
HINDALCO,2018-03-21,09:31:00,217.40,217.40,216.80,217.00,61335
HINDALCO,2018-03-21,09:32:00,216.90,216.90,216.20,216.20,50851
HINDALCO,2018-03-21,09:33:00,216.05,216.80,216.05,216.80,21051
HINDALCO,2018-03-21,09:34:00,216.80,217.00,216.65,217.00,17839
HINDALCO,2018-03-21,09:35:00,217.00,217.00,216.75,216.80,21111
HINDALCO,2018-03-21,09:36:00,216.75,216.75,216.25,216.30,32273
HINDALCO,2018-03-21,09:37:00,216.30,216.30,215.90,216.20,49887
HINDALCO,2018-03-21,09:38:00,216.25,216.30,216.10,216.15,25716
HINDALCO,2018-03-21,09:39:00,216.10,216.10,215.50,215.50,40194
HINDALCO,2018-03-21,09:40:00,215.45,215.80,215.40,215.65,34623
HINDALCO,2018-03-21,09:41:00,215.70,216.00,215.55,215.95,31174
HINDALCO,2018-03-21,09:42:00,215.95,216.00,215.80,216.00,66176
HINDALCO,2018-03-21,09:43:00,216.00,216.00,215.30,215.85,47646
HINDALCO,2018-03-21,09:44:00,215.75,216.05,215.75,216.00,78347
HINDALCO,2018-03-21,09:45:00,215.95,216.00,215.80,216.00,56106
HINDALCO,2018-03-21,09:46:00,216.00,216.00,215.95,216.00,40754
HINDALCO,2018-03-21,09:47:00,216.00,216.00,215.75,215.80,70040
HINDALCO,2018-03-21,09:48:00,215.80,215.90,215.70,215.75,79183
HINDALCO,2018-03-21,09:49:00,215.75,215.95,215.75,215.95,25909
HINDALCO,2018-03-21,09:50:00,216.00,216.50,215.90,216.50,24899
HINDALCO,2018-03-21,09:51:00,216.60,216.65,216.40,216.50,24271
HINDALCO,2018-03-21,09:52:00,216.55,216.55,216.30,216.45,8662
HINDALCO,2018-03-21,09:53:00,216.40,217.00,216.35,217.00,60525
HINDALCO,2018-03-21,09:54:00,217.00,217.00,216.80,216.80,27618
HINDALCO,2018-03-21,09:55:00,216.85,217.10,216.70,217.10,23795
HINDALCO,2018-03-21,09:56:00,217.10,217.15,216.90,217.05,11895
HINDALCO,2018-03-21,09:57:00,217.20,217.45,217.10,217.30,34201
HINDALCO,2018-03-21,09:58:00,217.20,217.20,216.90,217.05,24132
HINDALCO,2018-03-21,09:59:00,217.05,217.05,216.90,217.00,15535
HINDALCO,2018-03-21,10:00:00,217.00,217.10,216.90,217.00,13963
HINDALCO,2018-03-21,10:01:00,217.00,217.15,216.95,217.15,18438
HINDALCO,2018-03-21,10:02:00,217.15,217.15,216.90,217.00,24994
HINDALCO,2018-03-21,10:03:00,217.00,217.30,217.00,217.05,76204
HINDALCO,2018-03-21,10:04:00,217.05,217.10,216.90,217.10,13899
HINDALCO,2018-03-21,10:05:00,217.05,217.05,216.85,216.95,14214
HINDALCO,2018-03-21,10:06:00,216.90,217.00,216.75,216.80,14258
HINDALCO,2018-03-21,10:07:00,216.80,216.85,216.75,216.85,22402
HINDALCO,2018-03-21,10:08:00,216.85,217.00,216.80,216.90,18517
HINDALCO,2018-03-21,10:09:00,216.95,217.10,216.90,217.05,16093
HINDALCO,2018-03-21,10:10:00,217.10,217.10,216.95,217.05,13169
HINDALCO,2018-03-21,10:11:00,217.05,217.05,216.80,216.95,12020
HINDALCO,2018-03-21,10:12:00,216.95,216.95,216.70,216.80,12866
HINDALCO,2018-03-21,10:13:00,216.75,216.95,216.75,216.80,8207
HINDALCO,2018-03-21,10:14:00,216.80,216.85,216.65,216.85,14627
HINDALCO,2018-03-21,10:15:00,216.85,217.00,216.75,216.85,16078
HINDALCO,2018-03-21,10:16:00,216.80,216.85,216.50,216.55,16881
HINDALCO,2018-03-21,10:17:00,216.55,216.60,216.40,216.50,8759
HINDALCO,2018-03-21,10:18:00,216.50,216.50,216.40,216.50,10509
HINDALCO,2018-03-21,10:19:00,216.50,216.70,216.50,216.55,10271
HINDALCO,2018-03-21,10:20:00,216.60,216.85,216.55,216.85,11795
HINDALCO,2018-03-21,10:21:00,216.85,216.85,216.80,216.85,5439
HINDALCO,2018-03-21,10:22:00,216.85,217.05,216.80,216.95,31211
HINDALCO,2018-03-21,10:23:00,216.90,217.05,216.90,216.90,18055
HINDALCO,2018-03-21,10:24:00,216.90,216.95,216.85,216.95,6389
HINDALCO,2018-03-21,10:25:00,216.95,216.95,216.80,216.95,8505
HINDALCO,2018-03-21,10:26:00,216.95,217.00,216.85,216.90,11319
HINDALCO,2018-03-21,10:27:00,216.85,216.90,216.80,216.90,5175
HINDALCO,2018-03-21,10:28:00,216.85,216.85,216.65,216.65,3956
HINDALCO,2018-03-21,10:29:00,216.75,217.10,216.55,217.00,37589
HINDALCO,2018-03-21,10:30:00,217.10,217.10,216.80,216.95,16913
HINDALCO,2018-03-21,10:31:00,216.95,217.00,216.80,216.95,21232
HINDALCO,2018-03-21,10:32:00,216.95,217.00,216.70,216.90,18831
HINDALCO,2018-03-21,10:33:00,216.90,217.00,216.75,217.00,22832
HINDALCO,2018-03-21,10:34:00,217.05,217.45,217.00,217.35,20922
HINDALCO,2018-03-21,10:35:00,217.35,217.45,217.05,217.20,14112
HINDALCO,2018-03-21,10:36:00,217.15,217.45,217.15,217.40,12140
HINDALCO,2018-03-21,10:37:00,217.45,217.50,217.35,217.50,16376
HINDALCO,2018-03-21,10:38:00,217.50,217.50,217.40,217.45,12967
HINDALCO,2018-03-21,10:39:00,217.45,217.50,217.25,217.40,16637
HINDALCO,2018-03-21,10:40:00,217.35,217.40,217.20,217.35,12361
